#漢字	音標	解釋
翕	ɕiʔ7	
翠	tɕʰi5	
翻	pʰai1	呕吐
翻	fai1	
翼	iʔ8	
考	kʰu3	
耐	na6	
耘	vaŋ2	
耙	pʰuo2	
耳	ŋi3	
聖	saŋ5	～筊
聖	ɕiau5	问～：请示女巫
聘	pʰiŋ5	
聯	te1	～衫：缝制
聯	le2	对～
聰	tsʰiŋ1	
聲	ɕiau1	
職	tʃʅʔ7	
聽	tɕʰiau1-	
聽	tʰaŋ5	～脈
聾	liŋ1	
肉	ŋyeʔ8	
肖	siu5	
肚	tiu3	
肝	kai1	
股	kuə3	
肥	pʰə2	
肩	tʃe1	
肯	kʰaŋ3	
肺	fi5	
腎	tɕʰiŋ1	鸡胗
胃	vi5	
背	pɨe5	溪～
背	pʰɨe6	～书
胞	pa1	
胡	fɨə2	
胭	ie1	
能	naŋ2	
脂	tʃʅ1	
脆	tsə5	
脈	muoʔ8	
脊	tsiaʔ7	
脣	fiŋ2	
脧	tsie1	男阴
脫	tʰaʔ7	
脫	ləʔ7@	
脹	tɕiau5	
脾	pʰi2	
腐	fɨə6	
腟	tʃʅ1	女阴
腦	nu3	
腫	tʃuŋ3	
腰	iu1	
腳	tɕiuʔ7	
腸	tʃʰau2	
腹	pɨəʔ7	
腿	tʰie3	
膏	ku1	
膚	fɨə1	
膩	nə6	
膽	tau3	
膿	niŋ6	
臍	tsʰi2	
臘	luoʔ8	
臭	tɕʰiu5	
至	tʃʅ5	
臺	tʰa2	
舂	ʃuŋ1	
舅	tɕʰiu1	
興	ɕiŋ1	
興	ɕiŋ5	
舉	tʃye3	
舊	tʃʰu6	
舌	tɕʰiʔ8	
舍	ʃuo5	
舜	fiŋ5	
舜	fe6	
舞	vɨə3	
般	pai1	
船	fe2	
艾	ŋi5-	
芋	ye6	
芒	mau2	
芒	miau2	
芫	ŋie2	
花	fuo1	
芹	tɕʰiŋ2	
苓	liŋ2	
苔	tʰa2	
苗	miuo2	
苦	kʰuə3	
苧	tʃʰye1	
英	iŋ1	
茂	mie6	
范	fuo6	
茄	tɕʰiu2	
茅	ma2	
莖	hau2	长条量词
茴	fɨe2	
茶	tsʰuo2	
草	tsʰu3	
荒	fau1	
荔	li6	
荷	hu2	
荽	sie1	芫～：香菜
莊	tsau1	
莢	tɕieʔ7	
莧	ʃe6	
菇	kuə1	
菜	tsʰie5	
菩	pʰɨə2	
華	fuo2	
華	huo2	
萄	tʰu2	
萊	lie2	
萬	vai6	
落	luʔ8	
葉	iʔ8	
葛	kaʔ7	
葷	faŋ1	
蒲	pʰɨə2	
蒸	tsaŋ1	
蓄	ʃyeʔ7	
蓋	kɨe5	
蓑	su1	
蓮	le2	
蔔	pʰəʔ8	
蔗	tʃʰuo1	
蔘	saŋ1	
蔥	tsʰiŋ1	
蕉	tsiu1	
蕾	lie3	
薄	pʰuʔ8	
薑	tɕiau1	
薛	sieʔ7	
薩	saʔ7	
薯	ʃye2	
薸	pʰiu1	浮萍
薺	tsʰi3	
藍	lau2	
藝	ŋi5	
藤	tʰaŋ2	
藥	iuʔ8	
藨	pʰu1	野莓
藪	sie3	巢
藷	ʃye2	
蘆	liu2	
蘭	lai2	
虎	fɨə3	
處	tʃʰye3	
虧	kʰuə1	
虹	fuŋ2	
蚊	maŋ1	
蚣	kuŋ1	
蚤	tsu3	
蚳	tʃʰʅ2	鸡虱
蛇	ʃuo2	
蛟	ka1	
蛤	kuoʔ7	
蜀	ʃyeʔ8	
蜂	puŋ1	
蜈	ŋuo2	
蜜	məʔ8	
