#漢字	音標	解釋
㐴	pʰɑ̟n1	
䚝	t͡sɔ7	
䚢	t͡sʰɐ̝7	
䚥	l̃ɔ7	
䚦	t͡szᵚ5	
䚨	pʰɑ7	
䚫	t͡ɕi̯ɔ7	
䚫	ɕi̯e̞7	
䚴	wɑ7	
䚹	pʰe̞ɪ̯3	～整，表示慢打扮，耗時耗力去做某事。2.表示批評，斥責
䛀	pɑ̟n1	作動詞，表示與他人發生口角，進行（言語上的）爭論，或作（𰵐）（掰）
䛅	ɕi̯ɑ7	
䛎	ɕy̑e̞7	
䛚	l̃i̯ɔ7	
䛢	tʰɔ7	
䛥	ɕi̯e̞7	
䛽	t͡sɑ7	
䜅	swe̞ɪ̯2	
䜆	t͡sɐ̝7	
䜉	t͡sʰe̞7	
䜚	tʰɑ7	
䜯	t͡ɕi̯ɔ7	
䜲	l̃i̯e̞7	
䜺	t͡sʰɐ̝7	初三
䜼	kɔ7	
䝕	t͡sɐ̝7	
䝟	jɑ7	
䞙	t͡sɑ7	
䞞	fɔ7	
䞠	t͡se̞7	
䞥	jə̞ʊ̯5	
䞦	xɐ̝7	
䞨	kʰwe̞ɪ̯3	
䞩	ɕi̯ɑ7	
䞰	t͡swɐ̝7	
䞳	pɐ̝7	
䞵	t͡ɕy̑e̞7	
䞷	t͡ɕy̑e̞7	
䞽	sɔ7	生三
䟃	t͡sʰɑ7	
䟄	t͡ɕʰi̯e̞7	
䟆	pi̯e̞7	
䟉	t͡sɔ7	
䟏	sɔ7	
䟏	l̃i̯e̞7	
䟐	l̃i̯e̞7	
䟑	jɔ7	
䟕	t͡sʰɑ1	表示用腳（踩）的動作，又作（蹅）
䟘	xɑŋ3	
䟘	xɑŋ5	
䟙	t͡ɕʰi̯e̞7	
䟛	pʰɑ7	
䟠	ɕy̑e̞7	
䟣	t͡sʰɔ7	
䟯	kwɑ7	
䟵	t͡ɕʰi̯ə̞ʊ̯2	
䟷	t͡sʰzᵚ5	
䟹	l̃ɐ̝7	
䟾	t͡swɐ̝7	
䟿	l̃ɔ7	
䠇	t͡ɕi̯ɔ7	
䠈	tʰɔ7	
䠍	ɕi̯ɑ2	
䠐	t͡ɕʰi̯ɔ7	
䠑	kʰwe̞ɪ̯3	
䠚	wɑ5	
䠛	jɑʊ̯2	
䠟	ti̯e̞7	
䠯	jɔ7	
䠷	tʰi̯ɑʊ̯3	指下半身衹穿一條內褲（尤指男性）甚至不穿內褲裸露的樣子又作（朓）2.作形容詞，指身材修長
䡈	t͡ɕi̯ɔ7	
䡜	l̃ɔ7	
䡞	t͡ɕi̯ɔ7	
䡾	l̃i̯e̞7	
䢅	sə̞n2	
䢌	pɔ7	
䢔	xɔ7	
䢖	jɔ7	
䢛	t͡ɕyn3	
䢡	je̞7	
䢡	ɕi̯e̞7	
䢦	sɔ7	
䢮	ti̯e̞7	
䢰	tʰi̯e̞7	
䢱	tɔ7	
䢲	jɔ7	
䢵	jyn2	
䣅	sə̞n2	
䣛	t͡ɕʰi̯e̞7	
䣟	t͡sɑ7	
䣢	t͡ɕi̯e̞7	
䣤	t͡ɕi̯ɔ7	
䣧	je̞7	
䣩	swə̞n2	
䣪	pʰɔ7	
䣮	pʰɑ7	
䣹	fɑ7	
䤉	mᵇi̯e̞7	
䤎	t͡ɕi̯ɔ7	
䤕	ɕi̯ɔ7	
䤙	l̃i̯e̞7	
䤢	pɑ7	
䤨	pʰɐ̝7	
䤨	pʰi̯e̞7	
䤶	je̞7	
䥍	t͡se̞7	
䥑	mᵇɐ̝7	
䥗	kʰwɑ̟n5	
䥛	t͡ɕi̯e̞7	
䥡	ti̯e̞7	
䥬	pɔ7	
䥶	l̃i̯e̞7	
䦑	ɕy̑e̞7	
䦖	ɕi̯e̞7	
䦗	ɕi̯ɔ7	
䦝	xwɐ̝7	
䦧	ɕi̯e̞7	
䦪	jɑ7	
䧊	kʰɔ7	
䧤	pʰɔ7	
䧨	l̃i̯e̞7	
䧪	t͡sʰɐ̝7	
䧴	t͡szᵚ1	
䧼	kɔ7	
䨌	pɔ7	
䨐	t͡ɕʰi̯ɑ7	
䨗	fə̞ʊ̯2	
䨛	sɐ̝7	
䨣	kɐ̝7	
䨥	xɔ7	
䨮	ɕy̑e̞7	
䨰	pʰɔ7	
䩊	ɔ7	
䩏	mᵇi̯e̞7	
䩐	xɔ7	
䩛	pi̯e̞7	
䩞	tʰi̯e̞7	
䩞	ti̯e̞7	
䩡	t͡ɕi̯ɑ7	
䩢	t͡sɐ̝7	
䩤	ɕi̯e̞7	
䩯	t͡ɕʰi̯e̞7	
䩹	ŋɐ̝7	
䪁	pʰɔ7	
䪂	kɐ̝7	
䪉	l̃i̯e̞7	
䪏	l̃ɑ7	
䪙	pʰɔ7	
䪚	tɑ7	
䪝	wɐ̝7	
䪝	jɔ7	
䪞	t͡sɑ7	
䪬	pʰɔ7	
䪯	jyn2	
䪼	t͡swɐ̝7	
䫄	t͡sʰwɑ7	
䫒	mᵇə̞n2	
䫘	xɔ7	
䫦	kɔ7	
䫳	tɔ7	
䫻	jɔ7	
䫾	pi̯e̞7	
䬂	ɕy̑e̞7	
䬂	ɕi̯ɔ7	
䬆	l̃i̯e̞7	
䬉	xwɐ̝7	
䬊	t͡sɑ7	
䬍	xɔ7	
䬎	kwɐ̝7	
䬑	jɔ7	
䬴	mᵇɔ7	
䭂	je̞7	
䭆	l̃ɐ̝7	
䭒	ɕi̯e̞7	
䭦	pɔ7	
䭮	fɔ7	
䭱	pi̯e̞7	
䭱	pʰi̯e̞7	
䭿	je̞7	
䮀	pɔ7	
䮂	pʰɑ7	
䮙	jɔ7	
䮠	pi̯e̞7	
䮢	t͡sɑ7	
䮤	xɔ7	
䮤	t͡ɕi̯ɔ7	
䮥	l̃i̯e̞7	
䮩	kɔ7	
䮭	mᵇi̯e̞7	
䮱	t͡sɔ7	
䮷	tɔ7	
䮸	t͡ɕi̯ɔ7	
䮸	ɔ7	
䯂	t͡sɐ̝7	崇三
䯂	sə̞n1	
䯇	kʰwɑ7	
䯉	wɑ7	
䯋	pʰɑ7	
䯏	kɔ7	
䯐	xɑɪ̯2	
䯒	xə̞n2	
䯜	ɕi̯e̞7	
䯜	tʰi̯e̞7	
䯦	mᵇɑ7	
䯰	kɑɪ̯5	
䰖	t͡sɑ7	
䰥	xwɐ̝7	
䰲	jɑ7	
䰴	t͡ɕi̯e̞7	
䱅	mᵇɔ7	
䱏	tʰə̞ʊ̯3	
䱐	fə̞ʊ̯2	
䱒	je̞7	
䱚	l̃ɔ7	
䱜	t͡sʰɔ7	
䱜	t͡ɕʰi̯ɔ7	
䱡	t͡ɕi̯ɔ7	
䱡	t͡ɕʰi̯ɔ7	
䱣	t͡ɕi̯ɔ7	
䱮	ŋɐ̝7	
䱻	xwɑ7	
䲌	kʰwɑ̟n5	
䲙	t͡ɕi̯e̞7	
䲚	tʰɑ7	
䲜	l̃i̯e̞7	
䲯	t͡ɕi̯e̞7	
䲽	se̞7	
䳀	je̞7	
䳊	pʰɑ7	
䳔	t͡ɕi̯ɔ7	
䳕	fə̞ʊ̯2	
䳖	l̃i̯e̞7	
䳚	kʰɔ7	
䳤	pi̯e̞7	
䳳	ɕi̯ɔ7	
䳴	tʰɑ7	
䴆	pʰɔ7	
䴑	ti̯e̞7	
䴰	je̞7	
䴰	ɕi̯ɔ7	
䴲	mᵇɔ7	
䴳	xwɑ7	
䵁	t͡ɕʰi̯ɑŋ5	
䵂	ti̯e̞7	
䵈	kʰɔ7	
䵋	we̞ɪ̯3	
䵑	l̃i̯e̞7	
䵒	l̃i̯e̞7	
䵗	pɐ̝7	
䵣	tɑ7	
䵬	tʰɑ7	
䵱	ɕi̯e̞7	
䵵	t͡sʰwɑ7	
䵵	t͡swɐ̝7	
䵽	t͡sʰɑ7	
䶀	tʰɑ7	
䶂	t͡sɔ7	
䶅	l̃ɔ7	
