#漢字	音標	解釋
㐴	pʰan1	
懊	ŋɑʊ̯5	
懌	j̟e̞7	
懎	s̻e̞7	生三
懖	ko̞7	
懝	n̠ᶽi̯e̞7	
懪	po̞7	
懫	t͡s̻e̞7	
懭	kʰwɑŋ3	
懱	mᵇi̯e̞7	
懲	t͡s̻ʰə̟n3	
懵	mᵇo̞ŋ1	
懶	nan3	
懷	xwaɪ̯2	
懸	ɕy̑e̞n2	
懸	ɕi̯e̞n2	白讀，表示物體邊緣
懺	t͡s̻ʰan5	
懻	t͡ɕi5	
懼	t͡ɕy̑i5	
懾	s̻e̞7	
懿	j̟i5	
戀	ni̯e̞n5	
戄	ɕi̯o̞7	
戄	t͡ɕi̯o̞7	
戅	kɑŋ5	
戅	t͡s̻wɑŋ5	
戇	kɑŋ5	
戇	t͡s̻wɑŋ5	
戈	kɔ1	
戉	y̑e̞7	
戊	ʋ5	
戌	ɕi̯o̞7	
戍	s̻u̜5	
戎	z̻o̞ŋ2	
成	t͡s̻ʰə̟n2	
我	ŋɔ3	
戒	kaɪ̯5	
戒	t͡ɕi̯ɛɪ̯5	
戓	kʰe̞7	
戕	t͡ɕʰi̯ɑŋ2	
或	xwe̞7	
或	xo̞7	白讀，～者
戚	t͡ɕʰi̯e̞7	
戛	t͡ɕi̯a7	
戜	ti̯e̞7	
戟	t͡ɕi̯e̞7	
戠	t͡s̻e̞7	
截	t͡ɕʰi̯e̞7	
戫	j̟o̞7	
戮	no̞7	
戰	t͡s̻an5	
戲	ɕi5	
戳	t͡s̻ʰo̞7	
戳	to̞7	白讀，表示戳
戴	taɪ̯5	
戶	xu̜5	最老派文讀
戶	fʋ̩5	
戹	ŋe̞7	
戼	mᵇɑʊ̯3	
戽	xu̜5	最老派文讀
戽	fʋ̩5	
房	fɑŋ2	
所	s̻ɔ3	
扁	pi̯e̞n3	
扁	pi̯ɑ3	白讀，一說本字為（癟）
扃	t͡ɕy̑in1	
扇	s̻an5	
扈	xu̜5	最老派文讀
扈	fʋ̩5	
手	s̻əʊ̯3	
才	t͡s̻ʰaɪ̯2	
扐	ne̞7	
扐	ni̯e̞7	
扒	pa7	
扒	pʰa7	扒手
打	tɑ3	
扔	z̻ə̟n3	
托	tʰo̞7	
扙	t͡s̻ɑŋ5	
扚	ti̯e̞7	
扜	y̑i1	動詞，表示彎曲或蜷縮
扢	t͡ɕi̯e̞7	
扢	ko̞7	
扣	kʰəʊ̯2	1.表示將物品倒置，翻面。2.表示人貪婪，嗇色
扣	kʰəʊ̯5	
扤	y̑e̞7	
扦	t͡ɕʰi̯e̞n1	動詞，表示表衣服/鋪蓋等（掀起）理順，擺平，鋪開。如：～抻
扭	n̠ᶽi̯əʊ̯3	
扮	pan5	
扯	t͡s̻ʰe̞ɪ̯3	
扱	t͡s̻ʰa7	
扳	pan1	
扴	t͡ɕi̯a7	
扶	fʋ̩2	
扸	pʰi̯e̞n3	動詞，表示用斧頭削木頭皮
批	pʰe̞ɪ̯1	
扽	tə̟n5	動詞，表示把物品放置在某處
找	t͡s̻ɑʊ̯3	
承	s̻ə̟n2	白讀，表示支持之意。如：～不起
承	t͡s̻ʰə̟n2	
技	t͡ɕi5	
抄	t͡s̻ʰɑʊ̯1	
抇	xo̞7	
抈	y̑e̞7	
抉	y̑e̞7	
抉	t͡ɕy̑e̞7	
把	pɑ3	
把	pɑŋ3	把這個拿跟我，把飯吃了…
抐	no̞7	
抑	j̟e̞7	
抓	t͡s̻wɑ1	
抓	t͡s̻ɑʊ̯3	白讀又音，作動詞，表示把褲腿等往上提
抔	pʰe̞ɪ̯3	
投	tʰəʊ̯2	
抖	tʰəʊ̯3	白讀，作動詞
抖	təʊ̯3	
抗	kʰɑŋ5	
折	s̻e̞7	折本
折	t͡s̻a7	折耳根
折	t͡s̻e̞7	
抨	pʰɑŋ1	白讀，表示用手使勁擊打
抨	pʰə̟n1	文讀
披	pʰe̞ɪ̯1	
抬	tʰaɪ̯2	
抭	j̟ɑʊ̯3	
抭	j̟o̞7	
抱	pɑʊ̯5	
抲	xɑ1	動詞，表示用手翻找
抴	j̟e̞7	
抵	ti3	
抶	t͡s̻ʰe̞7	
抹	mᵇa7	
抹	mᵇɔ3	
抻	t͡s̻ʰə̟n1	1.作動詞，表示把鋪蓋（衣服等）鋪平整，理好。引審出把衣著形象理順，使看起來得體。如：理～，扦～2.作形容詞，形容衣著或人的（形象）等大方得體有風度。如：～敨（㪗）
押	j̟a7	
抽	t͡s̻ʰəʊ̯1	
抾	t͡ɕʰi̯e̞7	
拂	fo̞7	
拆	t͡s̻ʰe̞7	
拇	mᵇu̜3	可作動詞，依照，依原樣（作畫或寫字等）
拈	n̠ᶽi̯e̞n1	
拉	nɑ1	
拋	pʰɑʊ̯1	
拌	pan5	
拌	pə̟n5	白讀
拍	pʰe̞7	
拎	nin1	
拐	kwaɪ̯3	
拒	t͡ɕy̑i5	
拓	tʰo̞7	
拔	pʰa7	
拔	fa7	
拕	tʰɔ3	延續
拖	tʰɔ1	
拗	ŋɑʊ̯5	
拘	t͡ɕy̑i1	
拙	t͡s̻we̞7	
拚	pʰan5	
招	t͡s̻ɑʊ̯1	
拜	paɪ̯5	
拤	kʰɑ1	表示為難，限制，夾住之意
括	kʰwe̞7	
拭	s̻ɹ̆ᶤ̞5	
拮	t͡ɕi̯e̞7	
拯	t͡s̻ə̟n3	
拱	ko̞ŋ3	
拱	ko̞ŋ5	人頂進去
拲	t͡ɕi̯o̞7	
拳	t͡ɕʰy̑e̞n2	
拴	s̻wan1	
拶	t͡s̻a7	
拹	ɕi̯e̞7	
拺	s̻e̞7	
拺	t͡s̻ʰe̞7	
拼	pʰin1	
拾	s̻e̞7	
拿	nɑ2	
持	t͡s̻ʰɹ̆ᶤ̞2	
挃	t͡s̻e̞7	
指	t͡s̻ɹ̆ᶤ̞3	
按	ŋan5	
挌	ke̞7	
挑	ti̯ɑʊ̯1	白讀，作動詞
挑	tʰi̯ɑʊ̯1	
挒	ni̯e̞7	
挓	t͡s̻ʰɑ5	～輪子：插隊
挕	t͡s̻e̞7	
挕	ti̯e̞7	
挖	wa7	最老派白讀
挖	wɑ1	
挨	ŋaɪ̯1	
挨	ŋaɪ̯2	
挩	tʰo̞7	
挩	to̞7	動詞，表示用棍戳
挪	nɔ2	
挬	po̞7	
挭	kə̟n3	
振	t͡s̻ə̟n3	
挶	t͡ɕi̯o̞7	
挶	t͡ɕi̯o̞7	動詞，表示吮吸
挹	j̟e̞7	
挺	tʰin3	
挽	wan3	
挾	ɕi̯e̞7	
捅	tʰo̞ŋ1	最老派白讀
捅	tʰo̞ŋ3	文讀
捆	kʰwə̟n3	
捇	t͡ɕʰi̯e̞7	
捉	t͡s̻o̞7	
捋	no̞7	
捌	pa7	
捎	s̻ɑʊ̯1	
捎	ɕi̯ɑʊ̯1	白讀表示翻，推
捏	n̠ᶽi̯e̞7	
捐	t͡ɕy̑e̞n1	
捔	t͡ɕi̯o̞7	
捕	pʰu̜3	捕捉（白讀）
捕	pu̜3	
捧	pʰo̞ŋ3	
捨	s̻e̞ɪ̯3	
捩	ni̯a7	白讀，作動詞，表示物體跌落，或作助動詞，表未能趕上xx
捩	ni̯e̞7	
捫	mᵇə̟n1	
捭	paɪ̯3	
捱	ŋaɪ̯2	動詞，表示拖延
捲	t͡ɕy̑e̞n3	
捳	j̟o̞7	
捶	t͡s̻ʰwe̞ɪ̯2	
捷	t͡ɕʰi̯e̞7	白讀，如：走捷路
捷	t͡ɕi̯e̞7	
捹	pə̟n5	表示努力掙扎，擺脫束縛。如：～脫.同(𨁼)
捺	na7	
捼	z̻wɑ2	動詞，表示揉
捽	t͡ɕʰi̯o̞7	動詞，表示揉眼睛
捾	o̞7	
掀	ɕi̯e̞n1	
掂	ti̯e̞n1	
掂	ti̯e̞n5	最老派
掃	s̻ɑʊ̯3	
掃	s̻ɑʊ̯5	掃把
掇	to̞7	動詞，表示用棍戳
掇	to̞7	
掇	t͡s̻we̞7	
授	s̻əʊ̯5	
掉	tʰi̯ɑʊ̯3	白讀，作動詞，表示調換，一說作（斢）
掉	ti̯ɑʊ̯5	
掌	t͡s̻ɑŋ3	
掏	tʰɑʊ̯1	
掐	kʰa7	白讀，作動詞
掐	t͡ɕʰi̯a7	
排	pʰaɪ̯2	
掓	s̻o̞7	
掖	j̟e̞7	
掘	t͡ɕy̑e̞7	又音，如：～進隊
掘	t͡ɕʰi̯o̞7	
掛	kwɑ5	
掝	xwe̞7	
掠	ni̯o̞7	
採	t͡s̻ʰaɪ̯3	
探	tʰan1	
掣	t͡s̻ʰe̞7	
接	t͡ɕi̯e̞7	
控	kʰo̞ŋ5	
推	tʰwe̞ɪ̯1	
掩	j̟e̞n3	
措	t͡s̻ʰu̜5	
掫	t͡s̻ʰəʊ̯1	動詞，表示推，又作（搊）（𫼝）
掬	t͡ɕi̯o̞7	
掯	kʰə̟n3	
掰	pan1	1.作動詞，表示用手把東西分開或折斷2.表示與他人發生口角，進行（言語上的）爭論，或作（䛀）（𰵐）
掹	mᵇo̞ŋ3	
掿	no̞7	
揀	t͡ɕi̯e̞n3	
揄	y̑i2	
揆	kwe̞ɪ̯5	
揇	nan3	
揉	z̻əʊ̯2	
揍	t͡s̻əʊ̯5	
描	mᵇi̯ɑʊ̯2	
提	tʰi2	
插	t͡s̻ʰa7	
揖	j̟e̞7	
揘	y̑in2	
揚	j̟ɑŋ2	
換	xwan5	
揠	j̟a7	
握	o̞7	
揢	kʰe̞7	
揣	t͡s̻ʰwaɪ̯1	
揣	t͡s̻ʰwaɪ̯3	
揤	t͡ɕi̯e̞7	
揧	na7	
揩	kʰaɪ̯1	
揪	t͡ɕi̯əʊ̯2	白讀
揪	t͡ɕi̯əʊ̯1	
揬	tʰo̞7	
揭	t͡ɕi̯e̞7	
揮	xwe̞ɪ̯1	
揱	s̻o̞7	
揲	ti̯e̞7	
揲	s̻e̞7	
揳	ɕi̯e̞7	
援	y̑e̞n2	
揸	t͡s̻ɑ1	
揹	pe̞ɪ̯1	
揾	o̞7	
搉	t͡ɕʰi̯o̞7	
搊	t͡s̻ʰəʊ̯1	動詞，表示推，又作（掫）（𫼝）
搌	t͡s̻an3	動詞，表示用手抬動或移動物品，同時也可作形容詞表示用力的樣子，如：～勁
損	s̻ə̟n3	
搏	po̞7	
搓	t͡s̻ʰɔ1	
搕	o̞7	
搖	j̟ɑʊ̯2	
搙	no̞7	拭
搙	no̞7	
搙	no̞7	捻
搚	na7	
搜	s̻əʊ̯1	
搞	kɑʊ̯3	
搡	s̻ɑŋ3	
搣	mᵇi3	白讀，作動詞，表示用手掰彎
搣	pʰi3	白讀，又音，作動詞，表示用手掰彎
搣	mᵇi̯e̞7	
搤	ŋe̞7	
搦	no̞7	
搦	ne̞7	
搧	s̻an5	動詞
搩	t͡ɕi̯e̞7	
搬	pan1	
搭	ta7	
搮	ni̯e̞7	
搯	tʰɑʊ̯1	
搰	xo̞7	
搲	wɑ5	～憋憋：人生氣（或傷心時）發出的高亢而淒慘聲音的樣子
搶	t͡ɕʰi̯ɑŋ3	
搹	ke̞7	
搽	t͡s̻ʰɑ2	搽臉，搽藥
摃	kʰɑŋ2	
摋	s̻a7	
摌	t͡s̻ʰan3	動詞，表示用手猛烈擊打。一說本字作（𫼪）或（𢱟）
摍	s̻o̞7	
摏	t͡s̻o̞ŋ1	動詞，表示用棍等物體向下捅 2.表示煽動
摑	kwe̞7	
摔	t͡s̻waɪ̯1	白讀，動詞，表跌倒
摔	s̻waɪ̯1	
摕	ti̯e̞7	
摘	t͡s̻e̞7	
摛	t͡s̻ʰɹ̆ᶤ̞1	動詞表示伸手
摝	no̞7	
摞	nɔ5	動詞，表示重疊
摟	nəʊ̯3	
摤	t͡ɕʰi̯ɑŋ3	
摩	mᵇɔ1	
摭	t͡s̻e̞7	
摳	kʰəʊ̯1	
摳	kʰəʊ̯2	形容詞，表示人自私貪婪
摵	s̻e̞7	
摵	t͡ɕi̯o̞7	
摸	mᵇɔ1	
摺	na7	
摺	t͡s̻e̞7	
摻	t͡s̻ʰan1	
摽	pʰi̯ɑʊ̯1	打賭
撅	t͡ɕy̑e̞7	
撆	pʰi̯e̞7	
撇	pʰi̯e̞7	
撈	nɑʊ̯1	白讀作動詞
撈	nɑʊ̯2	文讀
撋	z̻wan2	
撏	ɕi̯e̞n2	
撐	t͡s̻ʰə̟n1	
撒	s̻a7	白讀，表示水漏出
撒	s̻ɑ3	噴撒
撓	nɑʊ̯2	
撕	s̻ɹ̆ᶤ̞1	
撚	n̠ᶽi̯e̞n3	
撞	t͡s̻ʰwɑŋ3	白讀
撞	t͡s̻ʰwɑŋ5	白讀二
撞	t͡s̻wɑŋ5	
撠	t͡ɕi̯e̞7	
撢	tʰan1	
撣	tan3	
撤	t͡s̻ʰe̞7	
撥	po̞7	
撦	t͡s̻ʰe̞ɪ̯3	
撩	ni̯ɑʊ̯1	白讀作動詞
撩	ni̯ɑʊ̯2	
撫	fʋ̩3	
撬	t͡ɕʰi̯ɑʊ̯1	白讀，作動詞
撬	t͡ɕʰi̯ɑʊ̯5	
播	pɔ5	
撮	t͡s̻ʰo̞7	一撮，少，頭髮一撮厘兒
撰	t͡s̻wan5	
撲	pʰo̞7	
撻	tʰa7	
撼	xan5	
撾	t͡s̻wɑ1	
撾	ɔ1	
擀	kan3	
擁	j̟o̞ŋ3	
擂	nwe̞ɪ̯2	白讀，作動詞
擂	nwe̞ɪ̯5	
擅	s̻an5	
擆	t͡s̻o̞7	
擇	t͡s̻ʰe̞7	
擉	t͡s̻ʰo̞7	
擊	t͡ɕi̯e̞7	
擋	tɑŋ2	白讀
擋	tɑŋ3	
擌	s̻e̞7	
操	t͡s̻ʰɑʊ̯1	
操	t͡s̻ʰɑʊ̯5	
擎	t͡ɕʰin2	
擒	t͡ɕʰin2	
擓	kʰwaɪ̯1	
擔	tan1	
擔	tan5	
擖	xa7	動詞，表示撓癢
擗	pi̯e̞7	
擘	pe̞7	
據	t͡ɕy̑i5	
擠	t͡ɕi1	白讀，動詞
擠	t͡ɕi3	
擢	t͡s̻o̞7	
擤	ɕin3	動詞，表示揩鼻涕
擦	t͡s̻ʰa7	
擩	z̻u̜1	表示把某樣東西塞進某處
擩	z̻u̜5	表示把某樣東西塞進某處
擬	n̠ᶽi3	
擭	xo̞7	
擱	ko̞7	文讀，如：～淺～置
擱	kʰɔ1	白讀1，做動詞
擱	kʰɔ5	白讀2，如：～板
擲	t͡s̻e̞7	
擳	t͡s̻e̞7	
擴	kʰwe̞7	
擷	ɕi̯e̞7	
擸	na7	
擸	ni̯e̞7	
擺	paɪ̯3	
擻	s̻əʊ̯3	
擽	ni̯o̞7	
擾	z̻ɑʊ̯3	
擿	t͡s̻e̞7	
攀	pʰan1	
攃	t͡s̻ʰa7	
攆	n̠ᶽi̯e̞n3	
攉	xo̞7	
攊	ni̯e̞7	
攋	na7	
攏	no̞ŋ3	
攔	nan2	
攔	nwan2	白讀
攘	z̻ɑŋ3	
攙	t͡s̻ʰan1	
攜	ɕi1	
攝	s̻e̞7	
攣	nwan2	
攤	tʰan1	
攤	tʰɑŋ1	白讀，表示遭遇某些不幸的事
攥	t͡s̻o̞7	動詞如～筆表示握筆～拳表示手捏緊作拳狀～著手教（某人）指手把人教授別人某項技能
攪	kɑʊ̯2	白讀
攪	t͡ɕi̯ɑʊ̯3	
攫	t͡ɕi̯o̞7	
攬	nan3	
支	t͡s̻ɹ̆ᶤ̞1	
攴	pʰo̞7	
收	s̻əʊ̯1	
攸	j̟əʊ̯1	
改	kaɪ̯3	
攻	ko̞ŋ1	
放	fɑŋ5	
政	t͡s̻ə̟n5	
敀	pe̞7	
敀	pʰe̞7	
敁	ti̯e̞n1	
故	ku̜5	
效	ɕi̯ɑʊ̯5	
敊	t͡s̻ʰo̞7	
敏	mᵇin3	
敐	s̻ə̟n2	
救	t͡ɕi̯əʊ̯5	
敓	to̞7	
敕	t͡s̻ʰe̞7	
敖	ŋɑʊ̯2	
敗	paɪ̯5	
敘	ɕy̑i5	
教	t͡ɕi̯ɑʊ̯1	
教	t͡ɕi̯ɑʊ̯5	
敜	n̠ᶽi̯e̞7	
敝	pi5	
敝	pʰi5	表示東西破，爛
敟	ti̯e̞n3	
敠	to̞7	
敠	t͡ɕʰy̑e̞7	
敢	kan3	
散	s̻an3	
散	s̻an5	
敦	tə̟n1	
敨	tʰəʊ̯3	抻～，1.作動詞，表示把鋪蓋（衣服等）鋪平整，理好。引審出把衣著形象理順，使看起來得體。2.作形容詞，形容衣著或人的（形象）等大方得體有風度。又作（㪗）
敫	j̟o̞7	
敫	t͡ɕi̯e̞7	
敬	t͡ɕin5	
敮	ɕi̯a7	
敲	kʰɑʊ̯1	
敲	t͡ɕʰi̯ɑʊ̯1	文讀
整	t͡s̻ə̟n3	
敵	ti̯e̞7	
敷	fʋ̩1	
數	s̻u̜3	
數	s̻u̜5	
敹	ni̯ɑʊ̯1	表示縫製
敻	ɕy̑in5	
斀	t͡s̻o̞7	
斁	j̟e̞7	
斂	ni̯e̞n3	
斃	pi5	
文	wə̟n2	
斈	ɕi̯o̞7	
斗	təʊ̯3	
料	ni̯ɑʊ̯5	
斛	xo̞7	
斜	ɕi̯ɑ2	白讀
斜	ɕi2	文讀
斟	t͡s̻ə̟n1	
斠	t͡ɕi̯o̞7	
斡	o̞7	
斢	tʰi̯ɑʊ̯3	假借字，作動詞，表示調換，一說正字作（掉）白讀
斢	tʰəʊ̯3	本音
斤	t͡ɕin1	
斥	t͡s̻ʰe̞7	
斦	j̟in2	
斧	fʋ̩3	
斨	t͡ɕʰi̯ɑŋ1	
斫	t͡s̻o̞7	
斬	t͡s̻an3	
斮	t͡s̻o̞7	
斯	s̻ɹ̆ᶤ̞1	
新	ɕin1	
斲	t͡s̻o̞7	
斷	twan5	
斸	t͡s̻o̞7	
方	fɑŋ1	
於	j̟i2	等於是，等於，屬於
施	s̻ɹ̆ᶤ̞1	
斿	j̟əʊ̯2	
旁	pʰɑŋ2	
旂	t͡ɕʰi2	
旄	mᵇɑʊ̯2	
旅	ny̑i3	
旋	ɕy̑e̞n2	
旋	ɕy̑e̞n5	1.表示在某地來回轉圈。2.表示現場馬上完成某個動作
旌	t͡ɕin1	
旍	t͡ɕin1	
族	t͡ɕʰi̯o̞7	
旗	t͡ɕʰi2	
既	t͡ɕi5	
日	z̻e̞7	
旦	tan5	
旨	t͡s̻ɹ̆ᶤ̞3	
早	t͡s̻ɑʊ̯3	
旪	ɕi̯e̞7	
旬	ɕy̑in2	
旭	ɕi̯o̞7	
旱	xan5	
旺	wɑŋ1	～實:份量足
旺	wɑŋ5	
旻	mᵇin2	
旼	mᵇin2	
旽	tʰə̟n5	互相拖，等別人先行動
昂	ŋɑŋ2	
昃	t͡s̻e̞7	莊三
昅	t͡ɕi̯e̞7	
昆	kʰwə̟n1	
昌	t͡s̻ʰɑŋ1	
明	mᵇə̟n2	白讀，如：～天，～朝，～年
明	mᵇin2	
昏	xwə̟n1	昏君
昒	o̞7	
易	j̟i5	
易	j̟e̞7	交易，貿易。
昔	ɕi̯e̞7	
昕	ɕin1	
昞	pin3	
星	ɕin1	
映	j̟in5	
昢	pʰo̞7	
春	t͡s̻ʰwə̟n1	
昧	mᵇe̞ɪ̯5	
昨	t͡s̻o̞7	
昩	mᵇo̞7	
昫	ɕy̑i5	
昭	t͡s̻ɑʊ̯1	
是	sɛ1	南部白讀音
是	s̻ɹ̆ᶤ̞5	
昱	j̟o̞7	
昳	ti̯e̞7	
昴	mᵇɑʊ̯3	
昵	n̠ᶽi̯e̞7	
昺	pin3	
時	s̻ɹ̆ᶤ̞2	
晃	xwɑŋ3	晃眼睛
晃	xwɑŋ5	
晉	t͡ɕin5	
晊	t͡s̻e̞7	
晏	ŋan5	
晐	kaɪ̯1	
晚	wan3	
晝	t͡s̻əʊ̯5	
晢	t͡s̻e̞7	
晣	t͡s̻e̞7	
晦	xwe̞ɪ̯5	
晧	xɑʊ̯5	
晨	s̻ə̟n2	
晫	t͡s̻o̞7	
晫	t͡s̻ʰo̞7	
普	pʰu̜3	
景	t͡ɕin3	
晳	ɕi̯e̞7	
晴	t͡ɕʰin2	
晶	t͡ɕin1	
晷	kwe̞ɪ̯3	
晹	s̻e̞7	
智	t͡s̻ɹ̆ᶤ̞5	
晾	ni̯ɑŋ5	
晾	nɑŋ5	白讀，如：～衣裳
暇	ɕi̯ɑ5	
暈	y̑in5	暈車
暍	j̟e̞7	
暑	s̻u̜3	
暖	nwan3	
暗	ŋan5	
暢	t͡s̻ʰɑŋ5	
暫	t͡s̻an5	
暮	mᵇɔ5	
暯	mᵇo̞7	
暱	n̠ᶽi̯e̞7	
暴	pɑʊ̯5	
暹	ɕi̯e̞n1	
暻	t͡ɕy̑in3	
暼	pʰi̯e̞7	
曄	j̟e̞7	
曅	j̟e̞7	
曆	ni̯e̞7	
曉	ɕi̯ɑʊ̯3	
曙	s̻u̜3	
曝	pʰo̞7	
曠	kʰwɑŋ5	
曠	kwɑŋ3	形容人心不在焉，走神
曡	ti̯e̞7	
曩	nɑŋ3	
曬	s̻aɪ̯5	
曰	y̑e̞7	
曲	t͡ɕʰi̯o̞7	
更	kə̟n1	打更
更	kə̟n5	
曶	xo̞7	
曷	xo̞7	
書	s̻u̜1	
曹	t͡s̻ʰɑʊ̯2	
曾	t͡s̻ə̟n1	
曾	t͡s̻ʰə̟n2	
替	tʰi5	
最	t͡s̻we̞ɪ̯5	
朂	ɕi̯o̞7	
會	kwaɪ̯5	會稽，會計
會	xwe̞ɪ̯5	
月	y̑e̞7	
有	j̟əʊ̯3	
朋	pʰo̞ŋ2	
服	fo̞7	
朒	kɑ3	
朓	tʰi̯ɑʊ̯3	指下半身衹穿一條內褲（尤指男性）甚至不穿內褲裸露的樣子又作（䠷）
朔	s̻o̞7	
朕	t͡s̻ə̟n5	
朗	nɑŋ3	
望	wɑŋ5	上望
朝	t͡s̻ɑʊ̯1	
朝	t͡s̻ʰɑʊ̯2	
期	t͡ɕʰi1	
朦	mᵇo̞ŋ2	
木	mᵇo̞7	
未	mᵇe̞ɪ̯1	未得，未有
未	we̞ɪ̯5	
末	mᵇo̞7	
本	pə̟n3	
札	t͡s̻a7	
朱	t͡s̻u̜1	
朳	pa7	
朵	tɔ1	耳朵
朵	tɔ3	
朵	tu̜3	一朵花，幾朵花
朷	mᵇo̞7	
朸	ne̞7	
朸	ni̯e̞7	
朽	ɕi̯əʊ̯3	
杈	t͡s̻ʰɑ1	
杉	s̻an1	
杌	ŋo̞7	
杍	t͡s̻ɹ̆ᶤ̞3	
李	ni3	
杏	xə̟n5	
材	t͡s̻ʰaɪ̯2	
村	t͡s̻ʰə̟n1	
杓	s̻o̞7	
杔	t͡s̻e̞7	
杖	t͡s̻ɑŋ5	
杙	j̟e̞7	
杜	tu̜5	
杞	t͡ɕi5	
杞	t͡ɕʰi3	文讀，如：～人憂天
束	t͡s̻ʰo̞7	結束
束	s̻o̞7	
杪	mᵇi̯ɑʊ̯3	
杭	xɑŋ2	
杯	pe̞ɪ̯1	
杰	t͡ɕi̯e̞7	
東	to̞ŋ1	
杳	j̟ɑʊ̯3	
杷	pɑ1	枇杷
杷	pʰɑ2	
板	pan3	
枂	mᵇo̞7	
枂	y̑e̞7	
枉	wɑŋ3	
析	ɕi̯e̞7	
枕	t͡s̻ə̟n3	
枕	t͡s̻ə̟n5	地～
林	nin2	
枘	z̻we̞ɪ̯5	
枚	mᵇe̞ɪ̯2	
果	kɔ3	
枝	t͡s̻ɹ̆ᶤ̞1	
枯	kʰu̜1	
枵	ɕi̯ɑʊ̯1	
架	t͡ɕi̯ɑ5	
枼	j̟e̞7	
枿	ŋo̞7	
柄	pin3	
柏	pe̞7	
某	mᵇo̞ŋ3	
柑	kan1	
柒	t͡ɕʰi̯e̞7	
染	z̻an3	
柔	z̻əʊ̯2	
柙	ɕi̯a7	
柚	j̟əʊ̯5	
柞	t͡s̻o̞7	
柣	t͡s̻ʰe̞7	
查	t͡s̻ɑ1	
查	t͡s̻ʰɑ2	
柩	t͡ɕi̯əʊ̯5	
柫	fo̞7	
柬	t͡ɕi̯e̞n3	
柮	t͡s̻o̞7	又音
柮	to̞7	
柱	t͡s̻ʰu̜3	白讀動詞，表示用力向下戳
柱	t͡s̻u̜5	
柲	pi̯e̞7	
柳	ni̯əʊ̯3	
柴	t͡s̻ʰaɪ̯2	
柵	t͡s̻ɑ5	
柷	t͡s̻o̞7	
栐	y̑in3	
栗	ni̯e̞7	
栜	s̻e̞7	
栝	ko̞7	
校	kɑʊ̯5	白讀，動詞。表示嘗試。或作（㩭）（𫽊）
校	t͡ɕi̯ɑʊ̯5	
校	ɕi̯ɑʊ̯5	
栢	pe̞7	
栩	ɕy̑i3	
株	t͡s̻u̜1	
栵	ni̯e̞7	
核	xe̞7	
根	kə̟n1	
栻	t͡s̻ʰe̞7	
格	ke̞7	
栽	t͡s̻aɪ̯1	
栿	fo̞7	
桀	t͡ɕi̯e̞7	
桁	xɑŋ2	1.古代的一種刑具2.衣架
桁	xə̟n2	屋梁或門窗上的橫木如～架
桂	kwe̞ɪ̯5	
桃	tʰɑʊ̯2	
桅	we̞ɪ̯2	
框	kʰwɑŋ1	
案	ŋan5	
桌	t͡s̻o̞7	
桎	t͡s̻e̞7	
桐	tʰo̞ŋ2	
桑	s̻ɑŋ1	
桓	xwan2	
桔	t͡ɕi̯e̞7	
桲	po̞7	
桴	fəʊ̯2	
桵	z̻we̞ɪ̯2	
桶	tʰo̞ŋ3	
桷	t͡ɕi̯o̞7	
桼	t͡ɕʰi̯e̞7	
桿	kan1	
梀	t͡s̻ʰo̞7	
梀	s̻o̞7	
梁	ni̯ɑŋ2	
梅	mᵇe̞ɪ̯2	
梆	pɑŋ1	
梏	ko̞7	
梑	ti̯e̞7	
梓	t͡s̻ɹ̆ᶤ̞3	
梔	t͡s̻ɹ̆ᶤ̞1	
梗	kə̟n3	
梜	t͡ɕi̯a7	
條	tʰi̯ɑʊ̯2	
梢	s̻ɑʊ̯1	
梧	ʋ̩2	
梨	ni2	
梩	ni2	
梭	s̻ɔ1	
梮	t͡ɕi̯o̞7	
梯	tʰi1	
械	kaɪ̯5	
械	t͡ɕi̯ɛɪ̯5	文讀
梲	t͡s̻we̞7	
梳	s̻u̜1	
梵	fan2	梵士林，梵高
梵	fan5	
梲	tʰo̞7	
棄	t͡ɕʰi5	
棉	mᵇi̯e̞n2	
棋	t͡ɕʰi2	
棍	kwə̟n5	
棎	s̻an2	
棏	tʰe̞7	
棏	t͡s̻e̞7	蠶箔閣架上的橫木。
棒	pɑŋ5	
棕	t͡s̻o̞ŋ1	
棗	t͡s̻ɑʊ̯3	
棘	t͡ɕi̯e̞7	
棚	pʰo̞ŋ2	
棛	j̟o̞7	
棟	to̞ŋ5	
棢	wɑŋ3	
棤	ɕi̯e̞7	
棧	t͡s̻an5	
棨	t͡ɕʰi3	事物的種類，如：這～=這種
棫	j̟o̞7	
森	s̻ə̟n1	
棱	nə̟n2	
棲	ɕi1	
棴	fo̞7	
棵	kʰɔ3	
椁	ko̞7	
椄	t͡ɕi̯e̞7	
椅	j̟i3	
椈	t͡ɕi̯o̞7	
椉	s̻ə̟n2	
椊	t͡s̻o̞7	
植	t͡s̻e̞7	
椑	pi̯e̞7	親身棺
椒	t͡ɕi̯ɑʊ̯1	
椰	j̟i1	
椱	fo̞7	
椶	t͡s̻o̞ŋ1	
椹	t͡s̻ə̟n1	
椺	ɕi̯e̞7	
椽	t͡s̻ʰwan2	
椿	t͡s̻ʰwə̞n1	
楁	xe̞7	
楂	t͡s̻ɑ1	
楃	o̞7	
楅	fo̞7	
楉	z̻o̞7	
楊	j̟ɑŋ2	
楋	na7	
