#漢字	音標	解釋
㼦	koŋ2	瓶子、杯子，替字
罩	ta3	白读
罪	tsue6	
罪	tso6	得罪
置	ti3	
罰	huak8	
署	su2	
罵	me7	
罷	pa6	
羅	lo5	
羈	ki1	
羊	iõ5	白读
羊	iaŋ5	文读
羌	kiaŋ1	
美	mi2	
美	mui2	陈世美，疑为膜潮剧音
美	be2	美翼，白读
美	bvue2	“尾”字地名雅化
羔	ko1	羔羊，白读
羔	kau1	羊羔绒，文读
羞	siu1	
羣	kʰuŋ5	
羣	kuŋ5	
羨	iaŋ6	
義	ŋi6	
羹	kẽ1	
羽	u2	
翁	oŋ1	文读
翁	eŋ1	姓，白读
翁	aŋ1	丈夫，白读
翅	tsʰi3	
翅	tʰi3	
習	sip8	
翠	tsʰui3	
翰	haŋ5	
翻	huaŋ1	
翼	ek8	文读
翼	sik8	翅膀，白读
翼	iaʔ8	美翼，白读
翼	iaʔ4	翼囝，白读
耀	iau6	文读
耀	tsʰio7	照亮，白读
老	lau2	
老	lau6	
老	nau6	老虎
考	kʰau2	
者	tsia2	
者	tse2	“这”本字
耆	kʰi5	
而	dzu5	
耍	sŋ2	
耐	nai6	
耕	kẽ1	白读
耕	keŋ1	文读
耗	ho3	
耨	dziok8	
耩	kaŋ2	
耳	dzu2	文读
耳	hĩ6	白读
耶	ia7	
耶	e7	
耶	ia5	
恥	tsʰi2	
耽	tam1	文读
耽	tã1	白读
耿	kueŋ2	
聊	liau5	
聖	siã3	白读
聖	seŋ3	文读
聘	pʰeŋ3	文读
聘	pʰiã3	聘金，白读
聚	tsu6	
聞	bvuŋ6	
聞	bvuŋ5	闻光，旧名山门、善闻，陈店地名，今做“文光”
聯	liaŋ5	
聰	tsʰoŋ1	
聲	siã1	白读
聲	seŋ1	文读
聶	niap4	
職	tseʔ4	
聽	tʰiã1	白读
聽	tʰeŋ3	文读
聾	laŋ5	
聾	loŋ5	文读
肄	i3	
肅	sok4	
肆	su3	
肆	si3	四
肇	siau6	
肉	nek8	白读
肉	baʔ4	俗读
肉	dziok8	骨肉，老派文读
肋	lek8	
肌	ki1	
肘	tsiu2	
肘	tiu2	陈店音
肚	tou2	
肚	tou6	猪肚
肛	kaŋ1	
肝	kuã1	
股	kou2	
肢	ki1	
肥	pfui5	
肩	kaĩ1	
肪	huaŋ2	文读
肪	paŋ1	朥肪，白读
肫	tuŋ1	
肯	kʰiaŋ2	
肯	kʰeŋ2	达濠音
育	iok8	
肴	ŋau5	
肺	hui3	
胃	ui7	
背	pfue3	背后
背	pfue6	背诵
背	pi3	背书包
背	pi5	背重
背	pa5	背东背西
胎	tʰo1	白读
胎	tʰai1	文读
胖	pfʰuaŋ3	
胖	pʰoŋ3	
胚	pfʰue1	
胞	pau1	
胡	hu5	文读
胡	hou5	白读
胡	ou5	姓，白读
胥	su1	
胳	koʔ4	
胳	koiʔ4	胳卵跤
胸	heŋ1	
能	leŋ5	
能	neŋ5	普宁东部潮阳腔音
胿	kui1	
胿	kuai1	
脂	tsĩ1	
脅	hiap8	
脆	tsʰui3	
脆	tsʰui2	干脆
脆	tsui2	干脆
脆	tsʰiu2	干脆
脈	meʔ8	
脊	tsik4	文读
脊	tsiaʔ4	巴脊，白读
脖	pfuak8	
脫	tʰuk4	
脫	tʰuak4	
脫	tʰuʔ4	又
脯	pou2	
脹	tiõ3	白读
脹	tsiaŋ3	文读
脾	pi5	脾胃
脾	pʰi5	脾气
腋	ek8	
腎	siaŋ6	
腐	hu1	腐败
腐	hu7	豆腐
腑	hu2	
腔	kʰiõ1	
腕	uaŋ2	
腡	lo5	
腥	tsʰẽ1	白读
腥	seŋ1	文读
腥	tsʰo1	替字，本字“臊”
腦	nau2	文读
腦	lo2	头脑，头头儿，白读
腦	lou2	樟脑
腫	tseŋ2	
腮	tsʰi1	白读
腮	sai1	文读
腰	io1	
腱	kiaŋ6	
腳	kʰa1	训读，本字“跤”或“骹”
腳	kioʔ4	
腳	kiok4	
腸	tsʰiaŋ5	文读
腸	tŋ5	白读
腹	pak4	
腹	pʰak4	腹下、肚腹，又读
腿	tʰui2	
膏	ko1	白读
膏	kau1	病入膏肓，老派文读
膚	hu1	
膜	moʔ8	
膝	tsʰek4	
膠	ka1	
膨	pʰẽ5	白读
膨	pʰeŋ5	文读
膩	ni6	文读
膩	dzi7	白读
膳	siaŋ6	
膻	siaŋ1	
膽	tã2	白读
膽	tam2	文读
膿	loŋ5	文读
膿	naŋ5	白读
臀	tʰuŋ5	
臂	pi3	
臉	liaŋ2	
臊	tsʰo1	白读
臊	sau1	文读
臍	tsai5	脐带
臍	tsaĩ5	肚脐
臟	tsaŋ1	
臘	laʔ8	
臘	la5	猪油，也写作“朥”
臣	tsʰiŋ5	
臥	o6	
臧	tsaŋ1	
臨	lim5	文读
臨	niam5	白读
自	tsu6	
臭	tsʰau3	
至	tsi3	
致	ti3	
臺	tʰai5	
臺	tʰai1	風颱
臺	tai5	烛台
臻	tsiŋ1	
臼	kʰu6	
舀	io2	
舀	iõ2	
舂	tseŋ1	
舅	ku6	
與	u2	
興	heŋ1	兴旺
興	heŋ3	高兴
舉	ku2	
舊	ku7	
舊	kʰiu7	守旧
舌	tsiʔ8	
舍	sia3	
舍	sia2	四舍五入
舒	su1	
舔	tʰiam2	
舛	tsʰuaŋ2	
舜	suŋ3	
舞	bvu2	白读
舞	mou6	舞虎狮，白读
舟	tsiu1	
航	haŋ5	文读
航	pʰaŋ5	训读
般	pfʰuã1	
舵	tua6	
舵	tai6	
船	tsuŋ5	
艇	tʰeŋ2	
艦	nam2	
艦	lam2	
良	liaŋ5	
艱	kaŋ1	
色	sek4	
艷	iam6	
艾	ŋai6	文读
艾	aĩ3	文读
艾	hiã7	
芋	ou7	
芍	tsiak4	
芒	maŋ5	文读
芒	me5	麦芒，白读
芝	tsu1	
芥	kai3	文读
芥	kaʔ4	芥蓝
芥	kua3	芥菜，白读
芬	huŋ1	
芭	pʰa1	
花	hue1	白读
花	hua1	花费，文读
芳	huaŋ1	文读
芳	pʰaŋ1	香，白读
芹	kʰiŋ5	
芻	tsʰu1	
芼	mo1	芒萁
芽	ɡe5	
苔	tʰai5	文读
苔	tʰo1	白读
苔	tʰi5	白读
苗	miau5	文读
苗	bio5	白读
苛	kʰo1	
苟	kou2	
若	dziak8	文读
若	dzioʔ8	白读
苦	kʰou2	
苧	tiu6	
英	eŋ1	
茂	mou6	
茂	bou7	人名音，白读
范	huam6	老派音
范	huaŋ6	新派音
茄	kio5	
茄	kia1	雪茄
茅	mau5	
茫	maŋ5	
茶	te5	
茸	dzioŋ5	
荀	suŋ5	
荆	keŋ1	文读
荆	kiŋ5	荆芥，白读
草	tsʰau2	
草	tsʰo2	草稿
荒	huaŋ1	文读
荒	hŋ1	白读
荔	li6	文读
荔	nai7	白读
荔	lai7	荔湾区
荔	kia1	荔湾区，又读，怀疑是读成“茄”
荷	ho5	
荷	ho3	薄荷
荷	ho6	电荷
莆	pʰou2	俗读
莊	tsaŋ1	庄严，文读
莊	tsuaŋ1	文读
莊	tsŋ1	白读
莖	kʰeŋ5	
莠	iu2	
莧	haĩ7	
莫	mok8	
莽	maŋ2	
菊	kek4	
菌	kʰuŋ2	
菜	tsʰai3	
菩	pʰo5	菩萨，白读
菩	pfʰu5	菩提，文读
華	hua1	
華	hua5	
華	e6	地名雅化
華	hue1	日华，白读
菱	leŋ5	
菱	nai5	俗读
菲	hui1	
萄	to5	
萌	meŋ5	
萬	baŋ7	
萬	maŋ7	
萬	bvuaŋ7	
落	loʔ8	
落	lak4	
落	lauʔ4	
落	lau5	
落	lak8	落苏
落	lok8	
葉	hioʔ8	
葉	hiap8	
葉	iap8	
著	tu3	名著
著	tioʔ8	同“着”
著	tioʔ4	同“着”
著	tioʔ4	着
著	tioʔ8	着
著	tiaʔ8	着
葚	sim6	
葛	kuaʔ4	
董	toŋ2	文读
董	taŋ2	姓，白读
葦	ui2	
葬	tsaŋ3	文读
葬	tsŋ3	白读
葱	tsʰaŋ1	白读
葱	tsʰoŋ1	葱郁，文读
葵	kʰui5	
葵	kʰue5	葵扇
葵	kue5	葵扇，普宁东潮阳腔白读
葷	huŋ1	
蒐	siau1	
蒓	suŋ5	
蒙	mou5	
蒜	sŋ3	
蒯	kʰuai3	
蒲	pfʰu5	
蒸	tseŋ1	
蒹	kiam1	
蒼	tsʰaŋ1	
蒿	hau1	文读
蒿	ho1	茼蒿，白读
蓄	tʰiok4	文读
蓄	hak4	购置，白读
蓋	kʰaĩ3	白读
蓋	kai3	文读
蓋	kua3	白读
蓋	kʰap4	
蓋	kʰop4	
蓋	kaʔ4	盖被子
蓋	kʰam3	
蓑	sui1	棕蓑
蓑	so1	文读
蓬	pʰoŋ5	
蓬	pou5	白读
蓮	liaŋ5	文读
蓮	nai5	白读
蔗	tsia3	
蔡	tsʰuã3	
蔣	tsiõ2	
蔫	iaŋ1	文读
蔫	ŋiaŋ1	文读
蔫	iã1	白读
蔬	so1	
蔭	im3	
蔭	im1	荫益
蔻	kʰou3	
蔽	pi3	根据海门音鉴定为阴去
蕈	tsʰim6	
蕊	lui2	
蕩	taŋ6	文读
蕩	toŋ1	浪荡
蕩	tŋ6	荡嘴，白读
蕭	siau1	
蕹	eŋ3	蕹菜，空心菜
薄	poʔ8	
薅	kʰau1	
薇	bvui5	
薑	kiõ1	薑
薑	kiaŋ1	姜
薛	siʔ4	
薦	tsiaŋ3	文读
薦	tsĩ1	草荐，白读
薩	sak4	
薪	tsiŋ1	
薯	tsu5	
薰	huŋ1	
薰	hiŋ1	
薺	tsʰi5	
薺	tsĩ5	荠葱
藉	tsia6	
藍	nam5	
藍	lam5	
藍	lam1	花蓝
藍	lom1	花蓝
藍	na5	姓，白读
藏	tsʰaŋ5	
藏	tsaŋ6	
藐	miau2	
藕	ŋou2	文读
藕	nau6	白读
藕	ŋau6	老派白读
藝	ɡoi7	白读
藝	ŋi6	文读
藤	tʰeŋ5	文读
藤	tiŋ5	白读
藩	pfʰuaŋ1	
藹	ai2	
藿	kʰak4	
蘇	sou1	
蘇	so3	苏打
蘊	uŋ2	蕴含
蘊	uŋ7	底蕴
蘭	laŋ5	
蘸	tsam3	
虎	hoũ2	白读
虎	hu1	马虎，文读
虎	hom2	棉城音
虐	ŋiak8	
虔	kʰiaŋ1	
處	tsʰu3	
處	tsʰu2	
虛	hu1	
虜	lu2	
虞	ŋu5	
虞	ŋo5	
號	ho7	白读
號	hau6	名字号，文读
號	hau5	哭号，文读
虢	kʰueʔ4	
虧	kʰui1	
虱	sak4	
虹	hoŋ5	文读
虹	kʰeŋ6	白读
蚊	bvuŋ1	
蚌	hoŋ2	鹬蚌
蚌	paŋ2	蚌埠
蚌	paŋ6	象拔蚌
蚤	tsau2	
蚶	kam1	蚶虫
蚶	ham1	血蚶
蛆	tsʰu1	
蛇	tsua5	
蛋	taŋ3	
蛙	ua1	
蛛	tu1	
蛛	tʰu1	
蛤	kap4	文读
蛤	kaʔ4	白读
蛾	ɡo5	
蜀	tsuak8	文读
蜀	dzuak8	陈店音，文读
蜀	tsek8	一，白读
蜀	tsik8	一，老派白读
蜂	pʰaŋ1	
蜂	hoŋ1	文读
蜉	pʰiu5	
蜓	tʰeŋ5	
蜓	teŋ5	
蜜	bik8	蜂蜜
蜜	mik8	甜蜜
蜻	tsʰẽ1	白读
蜻	tsʰeŋ1	文读
蜻	tseŋ1	文读
蝎	hiap4	
蝕	sik8	文读
蝕	siʔ8	白读
蝗	huaŋ5	
蝙	pʰiaŋ1	
蝟	ui2	
蝟	ue3	棉城音
蝠	hok4	文读
蝠	pak4	白读
蝠	pik8	蝠婆，白读
蝠	bik8	蝠婆，白读
蝠	pik4	蝠婆，白读
蝠	bik4	蝠婆，白读
蝦	he5	
蝶	tiap8	
蝸	o1	
蝸	ua1	
螂	laŋ5	
融	ioŋ5	
融	iõ5	训读，本字“烊”
螢	ueŋ1	
螳	tʰaŋ5	
螺	lo5	
螺	lou1	白读，am2-lou1-thang5，蜗牛
蟀	suk4	
蟄	tek8	
蟆	mo5	
蟆	po5	俗读
蟬	siam5	
蟬	siaŋ5	
蟬	suŋ5	替字
蟲	tʰaŋ5	
蟲	tsʰaŋ5	冬虫夏草
蟶	tʰaŋ1	
蟹	hoi6	
蟻	ŋi2	文读
蟻	hia6	白读
蠅	siŋ5	
蠟	laʔ8	
蠢	tsʰuŋ2	
蠱	ku2	
蠶	tsʰai5	
蠹	tu3	
蠻	maŋ5	
血	hueʔ4	
行	kiã5	行走，白读
行	haŋ5	行业，文读
行	heŋ5	行李，文读
行	heŋ6	品行，文读
行	haŋ5	银行，文读
行	ŋ5	蜀行，白读
術	suk8	
街	koi1	
衙	ɡe5	
衛	ue6	
衝	tsʰoŋ1	
衝	tsʰoŋ3	
衝	tsʰeŋ3	气味冲、蒸，替字
衝	tsʰioŋ3	语气很冲、植物长势快
衡	hueŋ5	
衣	i1	文读
衣	ui1	白读
表	piau2	文读
表	pio2	白读
衰	sue1	
袁	uaŋ5	
袋	to7	
袍	pʰau5	
袖	siu3	
被	pfʰue6	被子
被	pi6	被动
袱	hok8	
袷	kiap4	文读
袷	koiʔ4	白读
裁	tsʰai5	
裂	liak8	文读
裂	liʔ8	白读
裂	leʔ8	割，白读，也写作“列”
裏	li2	文读
裏	lai6	白读
裏	loi2	白读
裏	lai7	入里，入宅，白读
裕	dzu6	
裙	kuŋ5	
補	pou2	
裝	tsuaŋ1	文读
裝	tsŋ1	白读
裨	pi1	
裳	siaŋ5	
裸	lua2	白读
裸	nua2	井都音，白读
裸	lo2	文读
裹	ko2	
裹	kue2	
製	tsi3	
褒	pʰau1	
褚	tu2	
褥	dziok8	
褪	tʰo3	褪色
褪	tʰŋ3	褪衫，脱衣
褯	tsia6	
褲	kʰou3	
褻	siak4	
襄	siaŋ1	
襇	kaĩ2	褶子
襖	o2	
襖	ŋau2	
襟	kʰim1	
襪	ɡueʔ8	
襯	tsʰiŋ3	
襲	sip8	
襻	pʰaŋ3	
西	sai1	白读
西	si1	文读
要	iau3	
要	iau1	
覆	hok8	
見	kiaŋ3	文读
見	kĩ3	白读
見	kiŋ3	现面见公，眼见为实
規	kui1	
覓	mik8	
覓	tsʰue7	训读
視	si6	
視	si7	
親	tsʰiŋ1	
親	tsʰẽ1	“亲家”合音
覺	kak4	
覽	nam2	
覽	lam2	
觀	kuaŋ1	观看
觀	kuaŋ3	道观
角	kak4	
角	kioʔ4	训读，本字“脚”
角	kiok4	训读，本字“脚”
角	kok4	宫商角徵羽
解	koi2	解开
解	koi3	解押
解	kai2	姓
解	kai3	解元
解	kaĩ3	劝解
解	hai6	解甲归田
解	oi6	会的本字
觸	tsʰok4	
言	ŋaŋ5	
訂	teŋ3	文读
訂	tiã7	白读
訃	pok4	訃告
訃	hu3	
計	koi3	白读
計	ki3	文读
訊	siŋ3	
討	tʰo2	
討	tʰõ2	
訓	huŋ3	
訕	saŋ3	
訖	ŋiak4	
託	tʰoʔ4	
記	ki3	
訛	ŋo5	
訝	ɡia5	
訟	soŋ6	
訣	kuak4	
訪	huaŋ2	
設	siak4	
許	hu2	文读
許	kʰou2	姓，白读
許	hi2	
訴	su3	
診	tsiaŋ2	
詐	tsa3	
詐	tẽ3	替字
詔	dziau3	
評	pʰeŋ5	
詞	su5	
詢	suŋ5	
詣	ŋi6	
試	tsʰi3	
詩	si1	
詫	tʰeʔ8	
詭	kʰui2	
詰	kiak4	
話	ue7	
該	kai1	
詳	siaŋ5	
詼	kʰue1	
誅	tsu1	
誌	tsi3	
認	dziŋ7	
誓	si7	
誓	tsua7	咒誓，白读
誓	tsuã7	咒誓，棉城音，白读
誕	taŋ3	
誘	iu2	
語	ŋu2	
語	ŋou2	语文
誠	seŋ5	
誣	bvu5	
誤	ɡou7	
誦	soŋ6	
誦	sioŋ6	
說	sueʔ4	
說	sueʔ4	
誰	sui5	
課	kʰue3	
誼	ŋi3	
調	tʰiau5	
調	tiau7	
調	tiau3	调头，原路折返
調	tʰiau2	调位、调换
諄	tuŋ1	
談	tʰam5	
請	tsʰiã2	
諒	liaŋ6	
論	luŋ6	
論	luŋ5	论语
諜	tiap8	
諧	kai1	
諧	kʰai1	
諧	hai5	
諧	hai1	谐和
諫	kaŋ3	
諱	hui3	
諳	am1	
諷	hoŋ3	
諸	tsu1	
諺	ŋaŋ6	
諾	nap8	
謀	mou5	
謁	hak4	
謂	ui6	
謄	tʰeŋ5	
謊	huaŋ1	
謎	mi6	
謗	paŋ6	
謙	kʰiam1	
講	kaŋ2	
講	koŋ2	
謝	sia7	
謝	tsia7	姓
謠	iau5	
謬	miu3	
謳	au1	
謹	kiŋ2	
證	tseŋ3	
譏	ki1	
識	sek4	
識	tsi3	标识
譚	tʰam5	
譜	pʰou2	
警	keŋ2	
譬	pʰĩ3	
譯	ek8	
議	ŋi2	
護	hu6	文读
護	ho7	保护，保佑
譽	u6	
讀	tʰak8	
讀	tau7	句读
變	piaŋ3	文读
變	pĩ3	白读
變	piŋ3	音变
讎	tsʰiu5	
讒	tsʰam5	
讓	dziaŋ6	文读
讓	dziaŋ7	文读
讓	nio7	白读
谷	kok4	文读
谷	kak4	五谷，白读
豁	hak4	
豆	tau7	
豈	kʰa2	
豈	kʰaʔ4	
豉	si7	
豌	uaŋ1	
豎	su6	
豐	hoŋ1	
豕	si2	
豚	tʰuŋ5	
象	tsʰiõ6	白读
象	siaŋ6	文读
象	siaŋ3	印象，文读
豪	hau5	文读
豪	ho5	豪猪，白读
豫	u6	
豬	tu1	
豹	pa3	
豺	tsʰai5	
貂	tiau1	
貌	mau6	
貓	ŋiau1	
貓	ba5	山猫
貝	pfue6	
貞	tseŋ1	
貞	tiaŋ1	人名
負	hu6	
財	tsʰai5	
貢	koŋ3	
貧	pʰiŋ5	
貧	paŋ5	贫惰，白读
貨	hue3	
販	huaŋ3	
販	pfʰuã3	成批估卖，白读
貪	tʰam1	
貫	kuaŋ3	
責	tseʔ4	
貳	dzi6	
貳	dzi7	
貳	no6	训读
貳	ni5	扑克牌2
貴	kui3	
貶	pʰiaŋ2	
買	boi2	
貸	tai3	
費	hui3	文读
費	pi3	姓，白读
費	pfui3	白读
貼	tʰiap4	文读
貼	taʔ4	白读
貽	i5	
貿	mou6	
賀	ho7	
賂	lu6	
賂	luk8	
賃	dzim6	
賄	hue3	
賄	iu6	
資	tsu1	
賈	kia2	姓
賈	ku2	商贾
賊	tsʰak8	白读
賊	tsok8	蟊贼，文读
賒	tsʰia1	
賓	piŋ1	
賓	piaŋ1	
賜	su3	
賞	siõ2	白读
賞	siaŋ2	品赏，文读
賠	pfue5	
賢	hiaŋ5	
賢	ɡau5	训读
賣	boi7	
賤	tsuã7	
賦	hu3	
質	tsioʔ4	
賬	tiõ3	
賭	tu2	文读
賭	tou2	白读
賴	lai6	文读
賴	nai6	姓，文读
賴	lua7	白读
賴	tʰai2	图赖，撒娇、耍小孩子脾气
賺	tʰaŋ3	训读，本字“趁”
賺	tã7	错误
購	kou3	
賽	sai3	
贅	tsue3	
贈	tsaŋ7	
贈	tsaŋ6	
贊	tsaŋ3	
贍	siam7	
贏	iõ5	白读
贏	iã5	白读
贏	ueŋ1	赢利，也写作盈利，文读
贓	tsaŋ1	文读
贓	tsŋ1	白读
贖	siok8	
贖	sok8	
貳	dzi5	扑克牌2
赤	tsʰiaʔ4	
赦	sia3	
赫	heʔ4	
走	tsau2	
赴	hu3	
起	kʰi2	
趁	tʰaŋ3	
超	tʰiau3	
超	tʰiau1	超度
越	uak8	
趕	kuã2	白读
趕	kaŋ2	文读
趙	tiõ6	
趙	tio6	
趟	tʰaŋ3	
趣	tsʰu3	
趨	tsʰu1	
足	tsok4	
足	tsiok4	尽足、十足
趾	tsi2	
趾	tsaĩ2	
跋	pfuak8	
跌	tiʔ4	跌落，白读
跌	tiak4	文读
跌	tiʔ8	下跌，白读
跑	pʰau5	
跑	pʰau2	陈店音
跛	pʰo2	
距	ku6	
跟	kiŋ1	
跡	tsiaʔ4	
跨	kʰua3	
跪	kui6	
路	lou7	白读
路	lu6	姓，文读
跳	tʰiau3	文读
跳	tio5	白读
跳	tio7	白读
踏	taʔ8	
踐	tsiaŋ2	文读
踐	tsuã7	白读
踢	tʰak4	白读
踢	tʰek4	文读
踱	tak8	
踱	tok8	
蹄	toi5	
蹤	tsoŋ1	
蹲	tuŋ1	文读
蹲	tsʰŋ5	白读
躁	tsʰau3	
躍	iak4	文读
躍	iaũʔ4	白读
躍	iauʔ4	白读
身	siŋ1	
身	siaŋ1	半身不遂
躬	kioŋ1	
躲	to5	
躺	tʰaŋ2	
車	tsʰia1	
車	ku1	
車	tsʰia1	车子
車	ku1	象棋里的“车”
軋	iak4	
軋	ak4	
軋	kak4	
軋	kʰoiʔ4	
軌	kui2	
軌	kʰui2	又
軍	kuŋ1	
軍	kŋ1	老派音
軒	hiŋ1	
軛	eʔ4	
軟	nŋ2	
軸	tek8	
軻	kʰo1	
較	ka3	
較	kʰaʔ4	太
較	kaʔ4	太
載	tsai3	
載	tsai7	量词
載	tsai6	记载、半载
輒	tiak4	
輔	hu6	
輕	kʰiŋ1	
輛	liaŋ2	
輜	tsu1	
輝	hui1	
輟	tsʰuak4	
輦	liŋ2	
輩	pfue3	
輪	luŋ5	
輯	tsʰip4	
輯	tsip8	
輸	su1	
轄	hak4	
轄	kʰak4	直辖，陈店音
轉	tsuaŋ2	文读
轉	tuaŋ2	文读
轉	tŋ2	白读
轉	dzuaŋ2	转螺丝
轍	tiak4	
轎	kio7	
轟	hoŋ1	
轡	pi3	
辛	siŋ1	
辜	ku1	文读
辜	kou1	姓，白读
辣	luaʔ8	
辣	laʔ8	
辣	luaʔ4	
辣	tuaʔ8	
辦	paĩ7	白读
辦	paŋ7	文读
辨	piaŋ6	
辭	si5	白读
辭	su5	楚辞，文读
辮	pĩ1	名词
辮	pĩ6	动词
辯	piaŋ6	
辰	siŋ5	
辰	tsuŋ5	此辰，现在，本字有待考证
辱	dziok8	
辱	hiok4	辱侬，凌辱人
農	loŋ5	
迂	u1	
迄	ŋiak4	
迅	siŋ3	
迎	ŋeŋ5	文读
迎	iã5	迎神，白读
近	kiŋ6	
迓	ɡia5	
迥	kueŋ2	
迫	pek4	
迭	tiak4	
述	suk8	
迷	mi5	
迸	peŋ3	
追	tui1	
退	tʰo3	
送	saŋ3	
逃	to5	
逆	ŋek8	文读
逆	keʔ8	白读
透	tʰau3	
逐	tok4	
途	tʰu5	
逗	tau7	
通	tʰoŋ1	文读
通	tʰaŋ1	白读
逛	kuaŋ3	
逝	si7	
逝	tsua7	次
逞	tʰeŋ2	
速	sok4	
造	tsau6	文读
造	tso6	造作，白读
逢	hoŋ5	文读
逢	pʰoŋ5	白读
連	liaŋ5	
連	hiã5	姓
進	tsiŋ3	
逵	kʰui5	
逸	ik8	
逼	pek4	
逾	dzu5	
遁	tuŋ6	
遂	sui5	
遇	ŋu6	
遇	ŋo6	
遇	mu6	
遇	muŋ6	
遇	mŋ6	后三个音皆为ngu6的口语音变
運	uŋ7	
遍	piaŋ3	
遍	piŋ3	
遍	pʰiaŋ3	普遍
過	kue3	
遐	hia5	
道	tau6	文读
道	to6	道理，老派白读
達	tak8	
達	taʔ8	达濠
違	ui2	
遜	suŋ3	
遞	ti7	
遞	ti5	老派音不变调
遞	ti6	
遠	iaŋ2	文读
遠	hŋ6	白读
遣	kʰiaŋ2	
適	sek4	
遭	tsau1	文读
遭	tso1	遭罪，老派白读
遮	tsia1	
遲	tsʰi5	
遲	ti5	凌迟
遲	tĩ5	凌迟
遵	tsuŋ1	
遷	tsʰiaŋ1	
選	suaŋ2	
遺	dzui5	
遺	dzui6	
遼	liau5	
遽	ku6	
避	pi7	
邀	iau1	
邀	kiau1	带
邁	mai6	
還	huaŋ5	文读
還	haĩ5	白读
還	huã5	白读
還	huaŋ2	文读
還	huã2	白读
還	hã2	白读
還	hã5	白读
還	hoŋ2	文读
還	haŋ5	文读
還	haŋ2	白读
還	hiaŋ2	文读
邊	piaŋ1	文读
邊	pĩ1	白读
邑	ip4	
邦	paŋ1	
邪	sia5	
邪	ia5	
邯	ham5	
邵	siau6	
郁	uk4	抑郁
郁	uʔ4	抑郁
郁	hiok4	葱郁
郊	kau1	
郎	laŋ5	
郎	loŋ5	
郎	nŋ5	白读
郡	kuŋ6	
部	pou6	
郭	kueʔ4	姓
郭	kuak4	城郭
郵	iu5	
都	tou1	
都	to1	
鄂	ŋak8	
鄉	hiõ1	白读
鄉	hiaŋ1	文读
鄒	tsou1	
鄙	pʰi2	
鄧	teŋ6	
鄭	tẽ7	
鄰	liŋ5	
酉	iu2	
酌	tsiak4	
酌	tiak4	
配	pfʰue3	
酒	tsiu2	
酣	ham1	
酥	sou1	
酪	lok8	
酬	tsʰiu5	
酵	kã3	
酷	kʰok4	文读
酷	hok4	很，白读
酷	hoʔ4	很，白读
酸	suaŋ1	文读
酸	sŋ1	白读
醇	suŋ5	
醉	tsui3	
醋	tsʰou3	
醒	tsʰẽ2	白读
醒	seŋ2	醒定，文读
醜	tʰiu2	
醫	ui1	
醬	tsiõ6	
釀	dziaŋ2	
釁	hiaŋ3	
釅	ŋiam5	
采	tsʰaĩ2	
釉	iu5	
釋	sek4	
里	li2	文读
里	lai6	白读
里	loi2	白读
里	lai7	入里，入宅，白读
重	toŋ6	重要
重	taŋ6	重量
重	teŋ5	重来、重阳
重	tʰoŋ5	重阳
重	tʰioŋ5	重阳
重	tʰuaŋ5	重阳，本字“团圆”
重	taŋ5	重阳
野	ia2	
量	liaŋ5	文读
量	liaŋ6	文读
量	nio5	白读
量	nio6	滥量，白读
量	nio7	有量，白读
金	kim1	
釘	teŋ1	
釘	teŋ3	
釜	hu5	
針	tsam1	
針	tsiam1	金针菇，老派音
釣	tiõ3	
釵	tsʰe1	
釵	tʰoi1	
鈍	tuŋ6	
鈑	paĩ2	白读
鈑	paŋ2	文读
鈔	tsʰau1	
鈞	kiŋ1	
鈰	tsʰi6	
鈴	leŋ1	
鈸	pfuak8	文读
鈸	bvuaʔ4	白读
鉗	kʰiam5	文读
鉗	kʰĩ5	白读
鉛	iaŋ5	
鉤	kau1	
鉸	ka1	
鉻	kak4	
鉿	haʔ4	
銀	ŋiŋ5	
銃	tsʰeŋ3	
銅	taŋ5	
銅	tŋ5	铜钵盂，潮阳地名
銘	meŋ5	
銜	ham5	文读
銜	kã5	叼，白读
銷	siau1	
銼	tsʰo3	
鋒	hoŋ1	
鋤	tu5	锄头
鋤	tsʰo5	锄草
鋦	ku1	
鋪	pʰou3	店铺
鋪	pʰou1	床
鋭	dzue6	
鋸	ku3	
鋼	kaŋ1	文读
鋼	kŋ3	白读
錁	kʰo3	锞丝，一种纸钱
錄	lok8	
錐	tsui1	
錘	tui5	
錘	tʰui5	
錠	teŋ6	文读
錠	tiã6	白读
錠	teŋ3	锚
錢	tsĩ5	白读
錢	tsʰiaŋ5	马钱子，文读
錦	kim2	
錫	siaʔ4	
錯	tsʰo3	
錯	tsʰak4	交错
錶	pio1	
鍁	hiaŋ1	
鍋	ue1	
鍍	tou7	
鍘	tsak4	
鍛	tuaŋ3	
鍬	tsʰiu1	
鍵	kiaŋ6	根据海门音鉴定为阳上
鎖	so2	
鎢	u1	
鎮	tiaŋ3	
鎮	tiŋ3	镇中，居中
鏇	suaŋ5	
鏟	tsʰaŋ2	文读
鏟	tʰuã2	白读
鏡	kiã3	
鏽	siu3	
鐃	nau5	
鐘	tseŋ1	
鐮	niam5	
鐲	tsuak8	
鐲	dzuak8	陈店音
鐵	tʰiʔ4	
鐸	tak8	
鐺	taŋ1	
鑄	tsu3	
鑊	uek8	
鑒	kam3	
鑞	laʔ8	
鑰	iak4	
鑲	siõ1	白读
鑲	siaŋ1	文读
鑷	niap4	
鑼	lo5	
