#漢字	音標	解釋
□	mɔŋ1	帶黏性的半透明網狀物：lou4-6zou1～(蛛網)|豬腸～(豬網油)
灶	ɗɵ̜u3	
灸	tɕɐu2	
灸	tɕɐu3	又讀
灼	tɕa2	
災	ɗɔi1	
炅	kʷeŋ2	
炅	kʷɐi3	姓
炊	tɕʰui1	
炎	jim6	炎症，發炎
炎	jim4	炎熱
炒	tɕʰɔu2	
炔	kʰÿt7	
炕	kʰɔŋ3	
炙	tɕøk7	
炫	jÿn6	
炬	ky5	
炭	tʰɔn3	
炮	pʰɔu3	
炯	kʷeŋ2	
炱	tɔi4	
炳	ɓeŋ2	
炷	tɕy3	
炸	tɕɔ3	爆～
炸	tɕɔu3	油～。本字「焯」
爲	wɐi4	行～
爲	wɐi6	因～
炻	ɕek9	
烀	wu1	
烈	lᴇɐ̯t10	
烊	ja4	
烏	wu1	
烘	hoŋ1	～亁|～托
烘	oŋ6	火盛貌
烙	lɔk8	
烤	hɔu1	本字或爲「灱」
烯	hi1	
烴	tʰeŋ1	
烷	jÿn4	
烹	pʰa1	
烽	foŋ1	
焉	jin1	
焐	ŋ̍6	
焓	ɔm4	
焙	pui6	
焚	fɐn4	
無	fu4	文讀
焦	ɗiu1	
焯	tɕɔu3	
焰	jim6	
焱	jim6	
然	ɕin4	
煆	hɔ1	
煉	lin6	
煊	jÿn1	
煌	wɔŋ4	
煎	ɗin1	
煎	ɗin3	（用肥肉）煉油
煒	wɐi5	
煙	jin1	
煙	ȵin1	
煜	jok7	
煞	ɕɔt8	
煢	keŋ4	
煤	mui4	
煥	wun6	
煦	hy2	
照	tɕiu3	
煨	wui1	
煩	fɔn4	
煬	ja4	鎔化金屬
煬	ja6	烘烤；就火取暖；炎熱
煮	tɕy2	
煲	ɓɵ̜u1	
煸	pʰin1	
煽	ɕin3	
熄	ɬek7	
熆	ɔp10	生火
熊	joŋ4	
熔	joŋ4	
熗	tʰa3	
熙	hi1	
熟	ɕok9	
熠	jɔp10	
熨	tʰɔŋ3	「燙」的訓讀
熬	ŋɵ̜u4	
熬	ŋɵ̜u6	白讀
熱	ȵᴇɐ̯t10	
熳	mɔn6	
熵	ɕa1	
熹	hi1	
熾	tɕek7	見《玉林话研究》
燁	jᴇɐ̯p10	
燃	ɕin4	文讀
燃	ȵin4	白讀
燄	jim6	
燈	ɗɐŋ1	
燉	tɐn6	
燎	lᴇɐ̯u1	白讀：火～|火～杆
燎	liu4	文讀
燒	ɕiu1	
燔	fɔn4	
燕	jin3	鳥名
燕	jin1	地名
燙	tʰɔŋ3	
燜	mɐn1	
營	weŋ4	
燠	ɵ̜u2	
燥	tʰɵ̜u3	
燦	tʰɔn2	
燧	tɕui6	
燬	wɐi2	
燭	tɕok7	
燮	ɬip7	
燹	ɬin2	
燻	wɐn1	
燼	tɐn6	
燾	tɵ̜u6	
爆	ɓɔu3	～裂
爆	pɵ̜u6	～炸
爍	lek7	
爐	lu4	
爛	lɔn6	
爝	tʰa2	
爨	tʰÿn3	
爪	tɕɔu2	文讀：～牙
爪	ȵɔu2	白讀：雞～
爬	pɔ4	
爭	tɕa1	
爰	jÿn4	
爲	wɐi4	行～
爲	wɐi6	因～
爵	tʰa2	
父	fu6	
爸	ɓɔ1	
爹	ɗɛ1	
爺	jɛ1	
爻	ȵɔu4	
爽	ɕɔŋ2	
爾	ni5	
爿	pɔn4	
牀	ɕɔŋ4	
牆	ta4	
片	pʰᴇɐ̯n3	白讀。名量詞：藥～|一～豬肉；切成片：～芋頭
片	pʰin3	
版	ɓɔn2	
牌	pɔi4	
牒	tᴇɐ̯p10	
牖	jɐu5	
牘	tok9	
牙	ȵɔ4	
牚	tɕʰa3	死雞～硬頸
牚	tʰa3	硬～
牛	ȵɐu4	
牜	ȵɐu4	
牝	pɐn5	
牟	mu6	
牠	tʰɔ1	
牡	mɵ̜u5	
牢	lɵ̜u4	
牦	mɵ̜u4	
牧	mok9	
物	mɐt9	
牮	ɗᴇɐ̯n3	
牯	ku2	
牲	ɕa1	
牴	ɗɐi2	
牸	ti6	
特	tɐk9	
牽	jin1	
牾	ŋ̍5	
牿	kok7	
犀	ɬɐi1	
犁	lɐi4	
犄	ki1	
犋	ky6	
犍	kin6	
犏	pʰin1	
犒	hɵ̜u3	
犛	li4	
犟	ka6	～頸
犢	tok9	
犧	hi1	
犬	jÿn2	
犭	jÿn2	
犯	fɔm6	
犯	fɔm5	白讀。阻礙，干擾；騷擾，冒犯；
犰	tɕɐu4	
犴	ŋɔn6	
狀	tɕɔŋ6	形～|奬～|～元
狀	ɕɔŋ6	陳述事實的文字：告～|～紙|～告
狁	jɐn5	
狂	kʷɔŋ4	
狃	nɐu5	
狄	tek9	
狍	pɔu4	
狎	ɔp10	
狐	wu4	
狒	fi6	
狗	kɐu2	
狠	ɐn6	
狡	kɔu2	
狨	joŋ4	
狩	ɕɐu2	
狳	jy4	
狴	pi6	
狷	kÿn3	
狸	li4	
狹	kᴇɐ̯p10	白讀
狹	ɔp10	文讀
狺	ŋɐn4	
狻	ɬÿn1	
狼	lɔŋ4	
狽	ɓui3	
猁	li6	
猄	keŋ1	黄～：赤麂
猊	ȵi4	
猓	kʷɵ2	
猖	tɕʰa1	
猗	ji1	美好盛大的樣子；語尾助詞
猗	ji2	加，超越；倚靠；束而採之
猙	tɕa1	
猛	mɐŋ5	～住：可勁儿地，拼命地
猛	ma5	
猜	tɕʰɔi1	
猝	ɗɐt7	
猞	ɕɛ1	
猢	wu4	
猥	wui2	
猩	ɬeŋ1	
猬	wɐi6	
猱	lɐu1	
猴	ɐu4	
猶	jɐu4	
猷	jɐu4	大～窩
猸	mi4	
猹	tɕɔ4	
猻	ɬÿn1	
猾	wɔt10	
猿	jÿn4	
獁	mɔ1	
獁	mɔ5	
獄	ȵok9	
獅	ɕi1	
獅	ɬɐi1	舞～頭|跳(diu4)～頭
獍	keŋ3	
獎	ɗa2	
獐	tɕa1	
獒	ŋɵ̜u4	
獗	kÿt7	
獠	liu4	
獠	lɵ̜u5	古時中原對西南諸少數民族的蔑稱
獨	tok9	
獪	kʷɐi3	
獫	jim2	
獬	ɔi5	
獯	wɐn1	
獰	neŋ4	
獲	wa6	
獵	lᴇɐ̯p10	
獷	kʷɔŋ2	
獸	ɕɐu3	
獺	tɕʰɔt8	
獻	jin3	
獼	mi4	
獾	wun1	
玀	lɵ4	
玄	jÿn4	
率	lɐt9	效～，百分～
率	ɕɐt7	～領
玉	ȵok9	
王	wɔŋ4	
玎	ɗeŋ1	
玖	kɐu2	異讀
玖	tɕɐu2	
玟	mɐn4	
玢	ɓɐn1	
玨	kɐk7	
玩	wun6	
玫	mui4	
玲	leŋ4	
玳	tɔi6	
玷	ɗim3	
玻	ɓɵ1	
珀	pʰa2	
珂	kʰɵ1	
珈	kɔ1	
珊	ɕɔn1	
珍	tɕɐn1	
珙	koŋ2	
珞	lɔk10	
珠	tɕy1	
珥	ȵi5	
珧	jiu4	
珩	a4	
班	ɓɔn1	
珮	ɓui3	
現	jin6	
球	tɕɐu4	
球	kɐu4	異讀
琅	lɔŋ4	
理	li5	
琇	ɬɐu3	
琉	lɐu4	
琊	jɛ4	
琚	ky1	
琛	tɕʰɐm1	
琢	ɗɔk8	
琥	wu2	
琦	ki4	
琨	kʷʰɐn1	
琪	ki4	
琬	jÿn2	
琮	toŋ4	
琰	jim5	
琳	lɐm4	
琴	tɕɐm4	
琴	kɐm4	異讀
琵	pi4	
琶	pɔ4	
琿	kʷʰɐi1	
瑁	mɵ̜u6	
瑉	mɐn4	
瑋	wɐi5	
瑕	ɔ4	
瑗	jÿn6	
瑙	nɵ̜u5	
瑚	wu4	
瑛	eŋ1	
瑜	jy4	
瑞	ɕui6	
瑟	ɕɐt7	
瑣	ɬœ2	
瑤	jiu4	
瑩	weŋ4	
瑪	mɔ5	
瑭	tɔŋ4	
瑯	lɔŋ4	
瑰	kʷɐi3	
瑾	kɐn6	
璀	tʰui1	見《玉林话研究》
璁	tʰoŋ1	
璃	li1	
璇	ɕÿn4	
璉	lin5	
璋	tɕa1	
璐	lu6	
璜	wɔŋ4	
璞	pʰɔk8	
璣	ki1	
璦	ɔi3	
璧	ɓek7	
璨	tʰɔn3	
璩	ky4	
環	wɔn4	
璺	mɐn6	
璽	ɬɐi2	
瓊	keŋ4	
瓏	loŋ4	
瓔	eŋ1	
瓚	ɗɔn3	
瓜	kʷɔ1	
瓞	tᴇɐ̯t10	
瓠	ku6	角～：瓠瓜
瓢	piu5	
瓣	pɔn6	
瓤	nɔŋ1	白讀
瓤	nɔŋ4	
瓦	ŋɔ5	白讀
瓦	wɔ5	文讀
瓮	oŋ3	
瓴	leŋ4	
瓶	peŋ4	
瓷	ti4	
瓿	pʰɐu2	
甄	tɕɐn1	
甌	ɐu1	古民族名，現存於鬱林地名中
甍	mɐŋ4	
甑	ɗɐŋ1	
甓	pek9	
甕	oŋ3	
甘	kɔm1	
甙	tɔi6	
甚	ɕɐm6	
甜	tim4	
生	ɕeŋ1	産（卵）～蛋；發（病）：～羊癲|～珠紅瘋（痄腮）
生	ɕa1	
產	ɕɔn2	
甥	ɕa1	
甦	ɬu1	
用	joŋ6	
甩	ɕɔi1	
甫	pʰu2	
甬	ȵoŋ2	
甯	neŋ6	
田	tin4	
由	jɐu4	
甲	kɔp8	
申	ɕɐn1	
男	nɔm4	
甸	tin6	
町	tʰeŋ1	
甾	tɕɔi1	
畀	ɓi2	
畈	fɔn3	
畋	tin4	
界	kɔi3	
畎	jÿn2	
畏	wɐi3	
畔	pun5	
留	lɐu4	
畚	ɓɔn2	
畛	tɕɐn2	
畜	tɕʰok7	
畝	mu2	
畝	mɐu5	
畢	ɓɐt7	
略	la6	
畦	kʷɐi4	
番	fɔn1	西洋的：～薯|～茄|～鬼
番	pʰun1	～禺：地名，在廣東
畫	wɔ6	文讀
畫	wɔt10	白讀
異	ji6	
當	ɗɔŋ1	
當	ɗɔŋ3	
畸	ki1	
畹	jÿn2	
畿	ki1	
疃	tʰÿn2	
疆	kʰa1	
疇	tɕɐu4	
疊	tᴇɐ̯p10	
疋	ɕu1	腳
疋	pʰɐt7	同「匹」
疋	ȵɔ5	同「雅」
疏	ɕɵ1	
疑	ȵi4	
疒	nek9	
疚	tɕɐu3	
疝	ɕɔn3	
疣	jɐu4	
疤	ɓɔ1	
疥	kɔi3	
疫	wek9	
疰	tɕy3	
疱	pʰɔu3	
疲	pi4	
疴	ɵ1	
疵	tʰi1	
疸	tʰɔn2	
疹	tɕʰɐn2	
疼	tɐŋ4	1959年字表讀陽去
疾	tɐt9	
疿	fi3	
痂	kɔ1	
痃	jin4	
痄	tɕɔ3	
病	peŋ6	
症	tɕeŋ3	
痊	tÿn4	
痍	ji4	
痕	ɐn4	
痘	tɐu6	
痛	tʰoŋ3	
痠	ɬÿn1	
痢	li6	
痣	tɕi3	
痤	tœ4	
痧	ɕɔ1	
痰	tɔm4	
痱	pi4	
痲	mɔ4	
痴	tɕʰi1	
痺	ɓi3	
痼	kʰu3	
痾	ɵ1	
痿	wɐi2	
瘀	jy1	
瘂	ɔt8	同「啞」
瘃	tɕok7	
瘊	ɐu4	
瘋	foŋ1	
瘌	lɔt8	
瘍	ja4	
瘓	wun6	
瘕	hɔ1	痰；㾤～：咳嗽；掹～：哮喘
瘖	ɐm2	
瘙	ɬɵ̜u3	
瘛	tɕʰɐi3	
瘠	tek9	
瘡	tɕʰɔŋ1	
瘢	ɓun1	
瘤	lɐu5	見《玉林話研究》
瘥	tɕʰɔi3	
瘥	tɵ4	
瘦	ɕɐu3	
瘧	ȵa6	
瘭	pʰiu1	
瘰	lœ5	
瘳	tɕʰɔu1	
瘵	tɕɔi3	
瘸	kʷɛ4	
瘻	lɐu6	
瘼	mɔk10	
癀	wɔŋ4	
療	liu4	
癃	loŋ4	
癆	lɵ̜u3	骨～
癆	lɵ̜u4	肺～
癇	ɔn4	
癉	ɗɔn3	由勞累造成的病；憎恨
癉	ɗɔn1	溼熱病
癉	ɗɔn2	同「疸」
癌	ȵɔm4	
癍	ɓɔn1	
癒	jy6	
癔	ek7	
癖	pʰek7	
癘	lɐi6	
癜	ɗin3	
癟	mᴇɐ̯t8	訓讀
癢	ja5	
癤	ɗit7	
癥	tɕeŋ3	
癧	lek9	
癩	lɔi3	
癬	ɬin2	
癭	eŋ1	
癮	jɐn5	
癱	tʰɔn1	
癲	ɗin1	
癸	kʷɐi4	
癹	put7	用腳踏除水稻田雜草
登	ɗɐŋ1	
發	fɔt8	
白	pa6	
百	ɓek7	又讀
百	ɓa2	
皂	tɵ̜u5	
的	ɗek7	
皆	kɔi1	
皇	wɔŋ4	
皈	kʷɐi1	
皎	kiu2	
皓	ɵ̜u6	
皖	wɔn5	
皙	ɬek7	
皚	ŋɔi4	
皤	pɵ4	
皮	pi4	
皰	pʰɔu3	
皴	tʰÿn1	
皸	kʷɐn1	
皺	tɕɐu3	文讀
皺	ȵɐu3	白讀
皿	meŋ5	
盂	jy4	
盃	ɓui1	
盆	pun4	
盈	eŋ4	文讀
盈	ŋeŋ4	白讀
益	ek7	
盍	ɔp10	
盎	ɔŋ3	
盒	ɔp10	
盔	wui1	
盔	kʷʰɐi1	新派讀音
盛	ɕeŋ6	
盜	tɵ̜u6	
盞	tɕɔn2	
盟	mɐŋ4	
盡	tɐn5	
監	kɔm1	～考|～督
監	kɔm3	太～|～獄
盤	pun4	
盥	kun3	
盧	lu4	
盪	tɔŋ6	玩
盪	tɔŋ4	空～～
目	mok9	
盯	ɗeŋ1	
盱	hy1	
盲	ma4	
直	tɕek9	
直	tɕøk9	白讀
相	ɬa1	～當|～應
相	ɬa3	～貌
盹	tɐn6	
盼	pʰɔn3	
盾	tɐn6	
省	ɬeŋ2	反～
省	ɕa2	廣東～|節～|～親
眄	min5	
眇	miu5	
眈	ɗɔm1	
眉	mi4	
看	hɔn1	～管
看	hɔn3	～見
眙	ji4	盱～
眙	tɕʰi3	直視
眚	ɕa2	
真	tɕɐn1	
眠	min4	
眢	jÿn1	
眥	ti6	
眦	ti6	
眨	jɔp10	訓讀
眨	tɕɔp8	
眩	jÿn6	
眭	kʷɐi4	
眭	ɬui1	姓
眵	tɕʰi1	眼～屎
眶	kʷʰɔŋ1	
眷	kÿn3	
眸	mɐu4	
眺	tʰiu3	
眼	ȵɔn5	
眾	tɕoŋ3	
着	tɕa6	～重|～火
着	tɕa2	衣～
睃	ɗɐn3	
睇	tʰɐi2	
睏	hɐn3	
睚	ŋɔi4	
睛	ɗeŋ1	
睜	tɕa1	
睞	lɔi6	
睡	ɕɔi6	
睢	ɬui1	水名；地名；姓
睢	wɐi1	
督	ɗok7	
睥	pʰɐi3	
睦	mok9	
睨	ŋɐi6	
睫	tᴇɐ̯p10	
睬	tʰɔi2	
睹	ɗu2	
睽	kʷɐi4	
睾	kɵ̜u1	
睿	jui6	
瞀	mɐu6	
瞄	miu4	
瞇	mɐi3	
瞋	tɕʰɐn1	
瞌	hɔp8	打～浪
瞍	ɬɐu2	
瞎	ɔt8	
瞑	meŋ4	
瞘	kʰɐu1	
瞞	mun1	
瞟	pʰiu2	
瞠	tɕʰa1	
瞢	moŋ4	
瞥	pʰit7	
瞧	ɗiu1	
瞪	ɗɐŋ1	
瞬	ɕɐn3	
瞭	lᴇɐ̯u3	～望
瞰	hɔm3	
瞵	lɐn4	
瞻	tɕim1	
瞼	kim2	
瞽	ku2	
瞿	ky6	
矇	moŋ4	
矍	ka2	
矗	tɕʰok7	
矚	tɕok7	
矛	mɔu4	
矛	mɐu4	又讀
矜	keŋ1	
矜	kɐn4	矛柄
矢	ɕi2	
矣	ji5	
知	tɕi1	
矧	ɕɐn2	
矩	ky2	
矬	tœ4	
短	ɗÿn2	
矮	ɔi2	
矯	kᴇɐ̯u2	
石	ɕek9	
矸	kɔn1	
矽	tek9	
礬	fɔn4	
砂	ɕɔ1	
砉	wa2	
砌	tʰɐi3	
砍	hɔm2	
砑	ȵɔ6	
砒	pʰɐi1	
研	nin1	文讀：科～
研	ŋᴇɐ̯n4	白讀：～米(研磨米)
研	ȵin4	
砘	tɐn6	
砝	fɔt8	
砟	tɔk10	塊狀物
砟	tɕɔ6	碑石
砣	tœ4	
砥	ɗɐi2	
砦	ɕɔi6	
砩	fɐt9	～石：又作「氟石」，即螢石
砩	fi3	以石遏水；堤壩
砬	lɐp9	
砭	ɓin1	
砰	pɐŋ4	
砲	pʰɔu3	
破	pʰɵ3	
砷	ɕɐn1	
砸	tɔt10	
砹	ŋɔi6	
砼	toŋ4	
硃	tɕy1	
硅	kʷɐi1	
硇	nɔu4	
硌	lɔk10	
硌	kɔk8	
硎	eŋ4	
硐	toŋ6	
硒	ɬɐi1	
硓	lɵ̜u5	
硝	ɬiu1	
硤	ɔp10	
硨	tɕʰɛ1	
硪	ŋɵ4	
硪	ŋɵ5	砐～：高大貌
硫	lɐu4	
硬	ŋa6	軟～
硬	ȵa6	～是：總是；～～：硬生生地，強行
硭	mɔŋ4	
硯	ȵim6	
硼	pɐŋ4	
碇	ɗeŋ3	
碌	lok9	
碎	ɬui3	
碑	ɓi1	
碓	ɗui3	
碗	wun2	
碘	ɗim2	
碚	pui5	
碟	tᴇɐ̯p10	
碡	tɕok9	
碣	kᴇɐ̯t10	
碣	ɔt8	～磍：猛獸盛怒貌
碥	ɓin2	
碧	ɓek7	
碩	ɕek9	
碭	tɔŋ6	
碰	pʰoŋ3	
碲	ɗɐi3	
碳	tʰɔn3	
碸	foŋ1	
確	kʰɔk8	
碼	mɔ5	
碾	lin2	訓讀
磁	ti4	
磅	pɔŋ6	
磉	ɬɔŋ2	
磋	tʰœ3	
磔	tɕa2	
磕	kʰɐt8	
磚	tɕÿn1	
磣	tɕʰɐm2	
磧	tʰek7	
磨	mɵ4	動詞
磨	mɵ6	名詞
磬	heŋ3	
磯	ki1	
磲	ky4	
磴	ɗɐŋ3	
磷	lɐn4	
磺	wɔŋ4	
磽	hɔu1	
礁	ɗiu1	
礅	ɗÿn1	門～：廳門兩側用於支撐門軸的方型石塊
礎	tɕʰu2	
礓	kʰa1	
礙	ŋɔi6	
礞	moŋ4	
礤	tʰɔt8	
礦	kʷʰɔŋ3	
礪	lɐi6	
礫	lek7	
礱	loŋ4	
礴	pɔk10	
示	ɕi6	
礻	ɕi6	
社	ɕɛ5	
祀	ti5	
祂	tʰɔ1	
祆	jin1	
祇	ki4	
祈	ki4	
祉	tɕi2	
祐	jɐu6	
祓	fɐt7	
祕	ɓi3	
祖	ɗu2	
祗	tɕi1	
祚	tɕɔ6	
祛	kʰy1	
祜	wu5	
祝	tɕok7	
神	ɕɐn4	
祟	ɬui3	
祠	ti4	
祥	ta4	
祧	tʰiu1	
票	pʰiu3	
祭	ɗɐi3	
祺	ki4	
祿	lok9	
禁	kɐm3	異讀
禁	kʰɐm1	耐用
禁	tɕɐm3	
禊	ɐi6	
禍	wɵ5	
禎	tɕeŋ1	
福	fok7	
禚	tɕa2	
禤	jÿn1	
禦	ȵy6	
禧	hi1	
禪	ɕim4	
禮	lɐi5	
禰	mi5	
禰	mi4	姓
禱	ɗɵ̜u2	
禳	ȵa4	
禹	jy5	
禺	ȵy4	
禽	tɕɐm4	
禽	kɐm4	異讀
禾	wɵ4	
禿	tʰok7	
秀	ɬɐu3	
私	ɬi1	
秉	ɓeŋ2	
秋	tʰɐu1	
科	wɵ1	
秒	miu5	
秕	ɓi2	
秘	ɓi3	
租	ɗu1	
秣	mɔt10	
秤	tɕʰøŋ3	又讀
秤	tɕʰøŋ1	又讀
秦	tɐn4	
秧	ja1	
秩	tɕɐt9	
秩	tᴇɐ̯t10	
秫	ɕɐt9	
秭	ɗi2	
移	ji4	
稀	hi1	
稂	lɔŋ4	
稃	fu1	
稅	ɕui3	
稈	kɔn2	
程	tɕeŋ4	
稍	ɕɔu2	
稔	ȵɐm5	
稗	pɔi6	
稚	tɕi5	
稜	leŋ4	
稞	wɵ1	
稟	ɓɐn2	
稠	tɕɐu4	
種	tɕoŋ2	名詞
種	tɕoŋ3	動詞
稱	tɕʰeŋ1	名詞
稱	tɕʰeŋ3	動詞
稱	tɕʰøŋ1	白讀，動詞
稱	tɕʰøŋ3	白讀，名詞
稷	ɗek7	
稹	tɕɐn2	
稻	tɵ̜u6	
稼	kɔ3	
稽	kʰɐi1	
稿	kɵ̜u2	
穀	kok7	
穆	mok9	
穌	ɬu1	
積	ɗek7	
穎	weŋ5	
穗	jui6	
穡	ɕek7	
穢	wɐi3	
穩	wɐn2	
穫	wɔk10	
穭	ly5	
穰	ȵa4	
穴	jøɐ̯t10	
究	kɐu3	異讀
究	tɕɐu3	
穸	tek9	
穹	koŋ4	
空	hoŋ1	天～|～曠
空	hoŋ3	～白|～格
穿	tɕʰÿn1	
窀	tɕÿn1	
突	tɐt9	
窄	tɕɔ3	
窆	ɓin3	
窇	pɐk9	「屎～」「灰～」都指茅坑
窈	jiu2	
窒	tɕɐt9	
窒	tɕɐt7	白讀。塞入
窕	tʰiu2	
窖	kɵ̜u3	
窗	tɕʰɔŋ1	
窘	kʷɐn5	
窟	kʷʰɐt7	
窠	wɵ1	
窣	tɕʰÿt7	
窨	jɐm3	
窩	wɵ1	
窪	wɔ1	
窬	jy4	
窮	koŋ4	
窯	jiu4	
窳	jy5	
窶	ky5	
窶	lɐu4	甌～
窸	ɬɐt7	
窺	kʷʰɐi1	
窿	loŋ1	孔，洞，窟窿
竄	tɕʰÿn3	
竅	kʰᴇɐ̯u3	
竇	ɗɐu3	白讀。牲畜的窩：雞～、狗～
竇	tɐu6	情～；姓
竈	ɗɵ̜u3	
竊	tʰip7	
立	lɐp9	
站	tɕɔm6	
竟	keŋ2	
章	tɕa1	
竣	ɗɐn3	
童	toŋ4	
竦	ɬoŋ2	
竭	kᴇɐ̯t10	
端	ɗÿn1	
競	keŋ6	
竹	tɕok7	
竺	tɕok7	
竽	jy4	
竿	kɔn1	
笄	kɐi1	
笆	ɓɔ1	
笈	tɕɐp9	
笊	tɕɔu3	
笑	ɬiu3	
笙	ɕa1	
笛	tek9	
笠	lɐp9	
符	fu4	
笨	pɐn6	
第	tɐi6	
笮	tɕɔu3	
筆	ɓɐt7	
等	ɗɐŋ2	
筋	tɕɐn1	
筍	ɬɐn2	
筏	fɔt10	
筐	kʷʰɔŋ1	
筑	tɕok7	貴陽市簡稱；樂器
筒	toŋ4	竹～
筒	tʰoŋ2	腳～骨
答	ɗɔp8	
策	tɕʰa2	
筴	tɕʰɐk7	
筵	jin5	
筷	wɔi2	
箋	ɗin1	
箍	kʰu1	
箏	tɕa1	
箔	pɔk10	
箕	ki1	
算	ɬÿn3	
管	kun2	
箬	ȵa6	
箭	ɗin3	
箱	ɬa1	
箸	tɕy3	
節	ɗit7	
範	fɔm3	規～|模～|師～
篇	pʰin1	
築	tɕʰok7	
篋	kᴇɐ̯p10	
篙	kɵ̜u1	
篛	ȵa6	
篝	kɐu1	
篡	tʰÿn3	
篤	ɗok7	
篦	pi6	
篩	ɕɐi1	
篷	poŋ4	～被
篾	mᴇɐ̯t10	
簇	tok9	見《玉林市志》
簍	lɵ̜u2	本字或爲「䇭」
簑	ɬœ1	
簟	tim5	
簡	kɔn2	
簧	wɔŋ4	
簫	ɬiu1	
簷	jim4	
簸	ɓɵ3	
簻	kʰœ1	量詞，表示一成塊的物体
簽	tʰim1	
簾	lim4	
簿	pu5	字～
籃	lɔm4	
籌	tɕɐu4	
籍	tek9	
籐	tɐŋ4	
籟	lɔi6	
籠	loŋ4	
籤	tʰim1	
籬	li4	
籮	lɵ4	
籲	jy6	
米	mɐi5	～飯
米	mɐi1	長度單位，公尺
籼	ɬin1	
籽	ɗi2	
粄	ɓɔn2	
粉	fɐn2	
粑	ɓɔ1	
粒	nɐp7	
粒	nᴇɐ̯p7	又讀，突出「少」，以其小穪調nem13常見。
粕	pʰɔk8	
粗	tʰu1	
粘	nim1	
粞	ɬɐi1	
粟	ɬok7	
粢	ɗi1	
粥	tɕok7	
粱	la4	
粲	tʰɔn3	
粳	ka1	
粵	jøɐ̯t10	
粹	ɬui3	
粼	lɐn4	
糉	ɗoŋ3	
精	ɗeŋ1	
粿	kʷɵ2	
糅	nɐu6	
糇	ɐu4	
糈	ɬy2	
糊	wu4	
糌	ɗɔm1	
糍	ti4	
糕	kɵ̜u1	
糖	tɔŋ4	
糗	tɕʰɐu2	
糙	tʰɵ̜u3	
糜	mi4	
糝	ɬɔm2	撒
糞	fɐn3	
糟	ɗɵ̜u1	甜～
糧	la4	
糨	ka6	
糬	tɕɵ6	
糯	nœ6	
糰	tÿn4	
糲	lɐi6	
糴	tek9	
糶	tʰiu3	
糸	mek9	
糹	mek9	
系	ɐi6	
糾	tɕɐu2	
紀	ki2	
紂	tɕɐu5	
約	ja2	
紅	oŋ4	
紆	jy1	
紇	ɐt9	
紇	kʷɐt7	
紈	jÿn4	
紉	ȵɐn5	見《玉林話研究》
紊	mɐn6	
紋	mɐn4	
納	nɔp10	
紐	nɐu5	
紓	ɕy1	
純	ɕɐn4	
紕	pʰi1	
紗	ɕɔ1	
紙	tɕi2	
級	kʰɐp7	異讀
級	tɕɐp7	
紛	fɐn1	
紜	wɐn4	
素	ɬu3	
紡	fɔŋ2	
索	ɬɔk8	
紫	ɗi2	
紮	tɕɔt8	
累	lui5	積～|連累
累	lui3	勞～
累	nui3	訓讀。表示「疲乏」，與壯語 naiq 同源。
細	ɬɐi3	
紱	fɐt7	
紲	ɬit7	
紳	ɕɐn1	
紹	ɕiu6	
紺	kɔm3	
紼	fɐt7	
紿	tɔi5	
絀	tɕɐt7	
終	tɕoŋ1	
絃	jin4	
組	tɕu2	
絆	pun5	
絎	a6	
結	kit7	
絕	tøɐ̯t10	
絛	tʰɵ̜u1	
絝	wu3	
絞	kɔu2	
絞	kᴇɐ̯u2	白讀
絞	kʰᴇɐ̯u2	
絡	lɔk8	跘倒
絡	lɔk10	屐～：木屐
絢	jÿn3	
給	tɕɐp7	
絨	joŋ4	
絮	ɬy3	
統	tʰoŋ2	
絲	ɬi1	
絳	kɐŋ3	
絹	kÿn3	
綁	ɓɐŋ2	白讀
綁	ɓɔŋ2	文讀
綃	ɬiu1	
綆	ka2	
綈	tɐi4	
綏	ɬui2	
綑	kʷʰɐn2	
經	keŋ1	
綜	ɗoŋ1	
綞	ɗœ2	
綠	lok9	
綢	tɕɐu4	
綣	kʰÿn2	
綦	ki4	
綬	ɕɐu6	
維	jui4	舊音
維	wɐi4	
綮	kʰɐi2	
綮	heŋ3	肯～
綰	wɔn5	
綱	kɔŋ1	
網	mɔŋ5	
綴	tɕui3	縫合；連接；著作；装飾
綴	tɕÿt7	拘束；牽制
綵	tʰɔi2	
綸	lɐn4	垂～
綸	kʷɔn1	～巾
綹	lɐu5	
綺	kʰi2	
綻	tɕin3	
綽	tɕʰɔk8	
綾	leŋ4	
綿	min4	
緄	kʷɐn2	
緇	ɗi1	
緊	kɐn2	
緋	fi1	
緖	tɕy5	
緔	ɕa6	
緗	ɬa1	
緘	kɔm1	
緙	kʰa2	
線	ɬin3	
緝	tʰɐp7	
緞	tÿn6	
締	ɗɐi3	
緡	mɐn4	
緣	jÿn4	
緦	ɬi1	
編	pʰin1	
緩	wun5	見《玉林市志》
緩	wun6	見1959年字表及《玉林话研究》
緬	min5	
緯	wɐi2	
緱	kɐu1	
緲	miu5	
練	lin6	
緶	pin4	用針縫合
緶	pin5	同「辮」
緹	tɐi4	
緻	tɕi6	
縈	weŋ4	
縉	ɗɐn3	
縊	ɐi3	
縋	tɕui6	
縎	kʷɐt7	
縎	kʷʰɐt7	
縐	ɗɐu3	
縑	kim1	
縛	fɔk10	
縝	tɕɐn2	
縞	kɔu2	
縟	ȵok9	
縣	jÿn6	
縫	foŋ4	動詞
