#漢字	音標	解釋
㖪	xɔʔ7	吵鬧
莧	xʲɛ̃6	
莫	maʔ8	
莽	mã3	
菇	kʋ1	
菊	tɕiɔʔ7	
菌	tɕyŋ1	
菜	tsʰɛ5	
菠	pʊ1	
菩	pʰʋ2	
華	xuɑ2	
華	xuɑ6	
菱	liŋ2	
菴	ʊ̃ᵘ̃1	
菸	ĩ1	
萄	tʰɔ2	
萌	mɔŋ2	
萍	pʰiŋ2	
萬	ʋʲɛ̃6	
萵	ʊ1	
落	laʔ8	
葉	iʔ8	
著	tʂʰaʔ8	
著	tʂaʔ7	
著	tʂʋ5	
葚	ʂəŋ6	
葛	kʊᵘʔ7	
葡	pʰʋ2	
董	tɔŋ3	
葩	pʰɑ1	
葫	xʋ2	
葬	tsã5	
葵	kʰuəɪ2	
葷	xuəŋ1	
蒐	səɪ1	
蒔	tsʰɿ6	～秧
蒙	mɔŋ2	
蒜	sʊ̃ᵘ̃5	
蒲	pʰʋ2	
蒸	tʂəŋ1	
蒼	tsʰã1	
蒿	xɔ1	
蓄	ɕiɔʔ7	
蓉	iɔŋ2	
蓋	kɛ5	
蓑	sʊ1	
蓬	pʰɔŋ2	
蓮	lĩ2	
蔓	mʊ̃ᵘ̃2	
蔓	mʊ̃ᵘ̃6	
蔔	pʰɔʔ8	
蔗	tʂɑ5	
蔘	səŋ1	
蔡	tsʰɛ5	
蔣	tɕiã3	
蔥	tsʰɔŋ1	
蔬	sʋ1	
蔽	pɨᶨ5	
蕁	tɕʰĩ2	
蕃	fʲɛ̃1	
蕈	tɕʰyĩ6	蘑菇
蕉	tɕiɔ1	
蕊	ɻuəɪ3	
蕎	tɕʰiɔ2	
蕩	tʰã6	
蕭	ɕiɔ1	
薄	pʰaʔ8	
薅	xɔ1	
薇	ʋəɪ2	
薑	tɕiã1	
薔	tɕʰiã2	
薛	ɕyiʔ7	
薦	tɕĩ5	
薩	sʲɛʔ7	
薪	ɕiŋ1	
薯	ʂʋ3	
薹	tʰɛ2	
薺	tʃʰɨᶨ2	
藉	tɕʰiʔ8	
藍	lʲɛ̃2	
藏	tsʰã2	躲～
藏	tsʰã6	地～王
藏	tsã5	西～
藕	ŋəɪ3	
藝	jɨᶨ6	
藤	tʰəŋ2	
藥	iaʔ8	
藹	ŋɛ3	
藻	tsɔ3	
藿	xuaʔ7	
蘆	lʋ2	
蘇	sʋ1	
蘊	yŋ5	
蘋	pʰiŋ2	
蘑	mʊ2	
蘘	ɻã2	～荷
蘣	tʰɔŋ5	可愛，疼愛
蘭	lʲɛ̃2	
蘸	tsʲɛ̃5	
蘿	lʊ2	
虎	xʋ3	
虐	niaʔ8	
處	tʂʰʋ3	
處	tʂʰʋ5	
虛	ɕyᶨ1	
虜	lʋ3	
號	xɔ2	
號	xɔ6	
虧	kʰuəɪ1	
虹	kã5	
虹	xɔŋ2	
蚊	ʋəŋ2	
蚌	pʰɔŋ6	
蚜	ŋɑ2	
蚣	kɔŋ1	
蚤	tsɔ3	
蚪	təɪ3	
蚯	tɕʰiʊ1	
蚶	xʊ̃ᵘ̃1	
蛀	tʂʋ5	
蛆	tɕʰyᶨ1	
蛇	jɨᶨ2	
蛇	ʂɑ2	
蛋	tʰʲɛ̃6	
蛐	tɕʰiɔʔ7	
蛔	xuəɪ2	
蛙	ʋɑ1	
蛛	tʂʋ1	
蛤	kʊᵘʔ7	
蛻	tʰuəɪ5	
蛻	tʰʊᵘʔ7	
蛾	ŋʊ2	
蜂	fɔŋ1	
蜂	fɔŋ2	又音
蜇	tʂiʔ7	
蜈	ʋ̩2	
蜍	tʂʰʋ2	
蜓	tʰiŋ2	
蜘	tʂʅ1	
蜜	miəʔ8	
蜞	tʃɨᶨ1	蟛～
蜢	mɔŋ3	
蜥	ɕiəʔ7	
蜻	tɕʰiŋ1	
蝌	kʰʊ1	
蝗	xuã2	
蝙	pĩ1	
蝟	ʋəɪ6	
蝠	fɔʔ7	
蝦	xɑ1	白讀
蝦	xɑ2	
蝦	ɕiɑ1	文讀
蝨	səʔ7	～子
蝮	fɔʔ7	
蝴	xʋ2	
蝶	tʰiʔ8	
蝸	ʊ1	文讀
蝸	ʋɑ3	
螂	lã2	
螃	pʰã2	
螄	sɿ1	
融	iɔŋ2	
螞	mɑ3	
螳	tʰã2	
螺	lʊ1	～兒
螺	lʊ2	～螄
蟀	ʂuəʔ7	
蟄	tʂəʔ7	
蟆	mɑ2	
蟋	ɕiəʔ7	
蟑	tʂã1	
蟒	mã3	
蟛	pʰɔŋ2	～蜞
蟬	tʂʰĩ2	
蟲	tʂʰɔŋ2	
蟶	tʂʰəŋ1	
蟹	xɛ3	
蟻	jɨᶨ3	
蟾	tʂʰĩ2	
蠅	iŋ2	
蠍	ɕiʔ7	
蠓	mɔŋ3	小飛蟲
蠔	xɔ2	
蠙	piŋ1	地名，～城
蠚	xaʔ7	緊靠
蠟	lʲɛʔ8	
蠢	tʂʰuəŋ3	
蠱	kʋ3	
蠶	tsʰʊ̃ᵘ̃2	
蠻	mʲɛ̃2	
血	ɕiʊʔ7	
衆	tʂɔŋ5	
行	xã2	
行	xəŋ6	
行	ɕiŋ2	
術	ʂuəʔ8	
街	kɛ1	
衙	iɑ2	
衛	ʋəɪ6	
衝	tʂʰɔŋ1	
衝	tʂʰɔŋ5	
衡	xəŋ2	
衣	jɨᶨ1	
表	piɔ3	
衩	tʂʰɑ5	
衫	sʲɛ̃1	
衰	tsʰuəɪ1	
衰	suɛ1	
衲	nʲɛʔ8	縫補
衲	nʊᵘʔ8	
衷	tʂɔŋ1	
袁	iʊ̃ᵘ̃2	
袈	kɑ1	白讀
袈	tɕiɑ1	文讀
袋	tʰɛ6	
袍	pʰɔ2	
袖	tɕʰiʊ6	
袢	pʰʲɛ̃5	
被	pʰɨᶨ6	
袱	fɔʔ8	
裁	tsʰɛ2	
裂	liʔ8	
裏	lɨᶨ3	
裔	jɨᶨ6	
裕	ɥyᶨ6	
裙	tɕʰyŋ2	
補	pʋ3	
裝	tʂuã1	
裟	ʂɑ1	
裡	lɨᶨ3	
裱	piɔ3	
裳	ʂã2	
裸	lʊ3	
裹	kʊ3	
製	tʂʅ5	
褂	kuɑ5	
複	fɔʔ7	
褐	xʊᵘʔ8	
褥	ɻɔʔ8	
褪	tʰəŋ5	
褲	kʰʋ5	
褶	tʂiʔ7	
襖	ŋɔ3	
襟	tɕiŋ1	
襠	tã1	
襪	ʋʲɛʔ8	
襯	tsʰəŋ5	～衫
襯	tsʰuəŋ5	動詞
襲	tɕʰiəʔ8	
襻	pʰʲɛ̃5	
西	ʃɨᶨ1	
要	iɔ1	
要	iɔ5	
覆	fɔʔ7	
見	tɕĩ5	
規	kuəɪ1	
覓	miəʔ8	
視	sɿ5	文讀
視	sɿ6	白讀
親	tɕʰiŋ1	
親	tɕʰiŋ5	
覺	kaʔ7	白讀
覺	kɔ5	
覺	tɕiaʔ7	文讀
覽	lʲɛ̃3	
觀	kʊ̃ᵘ̃1	
觀	kʊ̃ᵘ̃5	
角	kaʔ7	
解	kɛ3	
解	kɛ5	
解	tɕiɛ3	文讀
觸	tsʰɔʔ7	
言	ĩ2	
訂	tiŋ5	
計	tʃɨᶨ5	
訊	ɕiŋ5	
討	tʰɔ3	
訓	ɕyŋ5	
訕	sʲɛ̃5	
託	tʰaʔ7	
記	tʃɨᶨ5	
訛	ŋʊ2	
訝	iɑ6	
訟	sɔŋ6	
訢	ɕiŋ1	
訣	tɕiʊʔ7	
訪	fã3	
設	ʂiʔ7	
許	xɛ3	哪～
許	ɕyᶨ3	
訴	sʋ5	
診	tʂəŋ3	
註	tʂʋ5	
詐	tʂɑ5	
評	pʰiŋ2	
詞	tsʰɿ2	
詠	iɔŋ3	
詢	ɕyŋ2	
試	ʂʅ5	
詩	ʂʅ1	
詭	kuəɪ3	
詮	tɕʰyĩ2	
話	xuɑ6	
該	kɛ1	
詳	tɕʰiã2	
誇	kʰuɑ1	
誌	tʂʅ5	
認	ɻəŋ6	
誓	ʂʅ6	
語	ɥyᶨ3	
誠	tʂʰəŋ2	
誡	kɛ5	白讀
誤	ʋ̩6	
誦	sɔŋ6	
誨	xuəɪ5	
說	ʂʊᵘʔ7	
誰	ʂuəɪ2	
課	kʰʊ5	
誹	fəɪ3	
誼	jɨᶨ6	
調	tiɔ5	
調	tʰiɔ2	
調	tʰiɔ6	
談	tʰʲɛ̃2	
請	tɕʰiŋ3	
諒	liã6	
論	ləŋ6	
諧	xɛ2	白讀
諧	ɕiɛ2	文讀
諮	tsɿ1	
諱	xuəɪ5	
諷	fɔŋ3	
諸	tʂʋ1	
諺	ĩ5	
諾	naʔ8	
謀	məɪ2	
謂	ʋəɪ6	
謄	tʰəŋ2	
謅	tsəɪ1	
謇	tɕĩ3	張～
謊	xuã3	
謎	mɨᶨ2	
謐	miəʔ8	
謙	tɕʰĩ1	
講	kã3	白讀
講	tɕiã3	文讀
謝	tɕʰiɑ6	
謠	iɔ2	
謬	miʊ5	
謹	tɕiŋ3	
謾	mʲɛ̃6	
譆	ʃɨᶨ1	
證	tʂəŋ5	
譏	tʃɨᶨ1	
識	ʂəʔ7	
識	tʂʅ5	
譜	pʰʋ3	
警	tɕiŋ3	
譬	pʰɨᶨ5	
譯	iəʔ8	
議	jɨᶨ6	
護	xʋ6	
譽	ɥyᶨ6	
讀	tʰɔʔ8	
變	pĩ5	
讓	ɻã6	
讚	tsʲɛ̃5	
谷	kɔʔ7	
豁	xʲuɛʔ7	
豁	xʊᵘʔ7	
豆	tʰəɪ6	
豇	kã1	
豈	tʃʰɨᶨ3	
豉	ʂʅ6	
豌	ʊ̃ᵘ̃1	
豎	ʂʋ6	
豐	fɔŋ1	
豚	tʰəŋ2	
象	tɕʰiã6	
象	ɕiã5	文讀
豪	xɔ2	
豬	tʂʋ1	
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ6	
貓	mɔ2	
貝	pəɪ5	
貞	tʂəŋ1	
負	fʋ5	
財	tsʰɛ2	
貢	kɔŋ5	
貧	pʰiŋ2	
貨	xʊ5	
販	fʲɛ̃5	
貪	tʰʊ̃ᵘ̃1	
貫	kʊ̃ᵘ̃5	
貫	kʰʲuɛʔ8	借字，鈎住，牽住
責	tsəʔ7	
貳	ɚ6	
貴	kuəɪ5	
貶	pĩ3	
買	mɛ3	
貸	tʰɛ6	
費	fəɪ5	
貼	tʰiʔ7	
貿	mɔ6	
賀	xʊ6	
賂	lʋ6	
賄	xuəɪ5	
資	tsɿ1	
賈	kɑ3	白讀
賈	kʋ3	
賈	tɕiɑ3	文讀
賊	tsʰəʔ8	
賒	ʂɑ1	
賓	piŋ1	
賜	tsʰɿ5	
賞	ʂã3	
賠	pʰəɪ2	
賠	pʰɨᶨ2	白讀
賢	ɕĩ2	
賣	mɛ6	
賤	tɕʰĩ6	
賦	fʋ5	
質	tʂəʔ7	
質	tʂʅ5	
賬	tʂã5	
賭	tʋ3	
賴	lɛ6	
賺	tsʲuɛ̃5	
購	kəɪ5	
賽	sɛ5	
贅	tʂuəɪ5	
贊	tsʲɛ̃5	
贍	ʂĩ6	
贏	iŋ2	
贓	tsã1	
贖	ʂɔʔ8	
贗	ŋʲɛ̃6	
赤	tʂʰəʔ7	
赧	nʲɛ̃3	
走	tsəɪ3	
赴	fʋ5	
起	tʃʰɨᶨ3	
趁	tʂʰəŋ5	
趄	tɕʰiɑ5	
超	tʂʰɔ1	
越	iʊʔ8	
趕	kʊ̃ᵘ̃3	
趙	tʂʰɔ6	
趜	tɕiɔʔ7	待在某處，蜷縮
趟	tʰã5	
趣	tɕʰyᶨ5	
趨	tɕʰyᶨ1	
足	tsɔʔ7	
趴	pʰɑ1	
趾	tʂəʔ7	
趿	tʰɛ1	～板
跆	tʰɛ2	
跌	tiʔ7	
跑	pʰɔ2	
跛	pʊ3	
距	tɕʰyᶨ6	
跟	kəŋ1	
跡	tɕiəʔ7	
跤	kɔ1	白讀
跨	kʰuɑ5	
跩	tsuɛ3	
跪	kʰuəɪ6	
路	lʋ6	
跳	tʰiɔ5	
跺	tʊ5	
跼	tɕʰiɔʔ8	
踏	tʰʲɛʔ8	
踐	tɕʰĩ6	
踝	xuɛ2	
踢	tʰiəʔ7	
踩	tsʰɛ3	
踱	tʰaʔ8	
踹	tʂʰuɛ5	
蹄	tʃʰɨᶨ2	
蹊	tʃʰɨᶨ1	
蹋	tʰʲɛʔ8	
蹚	tʰã1	
蹟	tɕiəʔ7	
蹤	tsɔŋ1	
蹦	pɔŋ5	
蹩	piʔ7	
蹬	təŋ1	
蹭	tsʰəŋ5	
蹲	tsʰəŋ2	
蹺	tɕʰiɔ1	
躁	tsɔ5	
躥	tsʰʊ̃ᵘ̃1	
身	ʂəŋ1	
躬	kɔŋ1	
躲	tʊ3	
躺	tʰã3	
軀	tɕʰyᶨ1	
車	tʂʰɑ1	
軋	kʰʲɛʔ8	～花
軋	ŋʲɛʔ8	
軌	kuəɪ3	
軍	tɕyŋ1	
軒	ɕiʊ̃ᵘ̃1	
軟	ɻʊ̃ᵘ̃3	
軸	tʂʰɔʔ8	
較	kɔ5	白讀
較	tɕiɔ5	文讀
載	tsɛ3	
載	tsɛ5	
輔	pʰʋ3	
輕	tɕʰiŋ1	
輛	liã3	
輝	xuəɪ1	
輩	pəɪ5	
輪	ləŋ2	
輯	tɕʰiəʔ8	
輸	ʂʋ1	
輻	fɔʔ7	
輿	ɥyᶨ2	
轄	xʲɛʔ8	
轉	tʂʊ̃ᵘ̃3	
轉	tʂʊ̃ᵘ̃5	
轎	tɕʰiɔ2	～車
轎	tɕʰiɔ6	～子
轟	xɔŋ1	
辛	ɕiŋ1	
辜	kʋ1	
辟	pʰiəʔ7	
辣	lʲɛʔ8	
辦	pʲɛ̃5	文讀
辦	pʰʲɛ̃6	
辨	pʰĩ6	
辭	tsʰɿ2	
辮	pʰĩ6	
辯	pʰĩ6	
辰	tʂʰəŋ2	
辱	ɻɔʔ8	
農	nɔŋ2	
迅	ɕyŋ5	
迎	iŋ2	
近	tɕʰiŋ6	
返	fʲɛ̃3	
迪	tʰiəʔ8	
迫	pʰɔʔ7	
迭	tʰiʔ8	
述	ʂuəʔ8	
迴	xuəɪ2	
迷	mɨᶨ2	
迸	pɔŋ5	
追	tʂuəɪ1	
退	tʰuəɪ5	
送	sɔŋ5	
逃	tʰɔ2	
逆	niəʔ8	
透	tʰəɪ5	
逐	tʂʰɔʔ8	
途	tʰʋ2	
逕	tɕiŋ5	
逗	tʰəɪ6	
這	tʂɑ5	
這	tʂəʔ7	新文读
通	tʰɔŋ1	
逛	kuã5	
逝	ʂʅ6	
逞	tʂʰəŋ3	
速	sɔʔ7	
造	tsʰɔ5	
造	tsʰɔ6	～罪
逢	fɔŋ2	
連	lĩ2	
逮	tɛ3	捉
逮	tʰɛ6	
週	tʂəɪ1	
進	tɕiŋ5	
逵	kʰuəɪ2	
逼	piəʔ7	
逾	ɥyᶨ2	
遇	ɥyᶨ6	
遊	iʊ2	
運	yŋ6	
遍	pĩ5	文讀
遍	pʰĩ5	
過	kʊ1	
過	kʊ5	
遐	ɕiɑ2	
道	tʰɔ6	
達	tʰʲɛʔ8	
違	ʋəɪ2	
遥	iɔ2	
遜	suəŋ5	
遞	tʃʰɨᶨ6	
遠	iʊ̃ᵘ̃3	
遣	tɕʰĩ3	
適	ʂəʔ7	
遭	tsɔ1	
遮	tʂɑ1	
遲	tʂʰʅ2	
遵	tsuəŋ1	
遷	tɕʰĩ1	
選	ɕyĩ3	
遺	jɨᶨ2	
遼	liɔ2	
避	pʰɨᶨ6	
邀	iɔ1	
邁	mɛ6	
還	xɑ2	又音
還	xɛ2	
還	xʲuɛ̃2	
邊	pĩ1	
邋	lʲɛʔ8	
邏	lʊ2	
邢	ɕiŋ2	
那	lʊ5	白讀
那	nɑ1	
那	nɑ5	文讀
那	nʊ5	白讀
邦	pã1	
邪	tɕʰiɑ2	
邱	tɕʰiʊ1	
郁	iɔʔ7	
郊	tɕiɔ1	
郎	lã2	
部	pʰʋ6	
郭	kuaʔ7	
郵	iʊ2	
都	tʊ1	
都	tʋ1	
鄂	ŋaʔ8	
鄉	ɕiã1	
鄒	tsəɪ1	姓
鄙	pɨᶨ3	
鄧	tʰəŋ6	
鄭	tʂʰəŋ6	
鄰	liŋ2	
酉	iʊ3	
酋	tɕʰiʊ2	
配	pʰəɪ5	
酒	tɕiʊ3	
酥	sʋ1	
酪	laʔ8	
酬	tʂʰəɪ2	
酵	kɔ5	
酵	tɕiɔ5	文讀
酷	kʰɔʔ7	
酸	sʊ̃ᵘ̃1	
醉	tɕyᶨ5	白讀
醉	tsuəɪ5	
醋	tsʰʋ5	
醒	ɕiŋ3	
醜	tʂʰəɪ3	
醞	yŋ5	
醫	jɨᶨ1	
醬	tɕiã5	
釀	ȵiã6	
釁	ɕiŋ5	
采	tsʰɛ3	
釋	ʂəʔ7	
里	lɨᶨ3	
重	tʂʰɔŋ2	
重	tʂʰɔŋ6	
野	iɑ3	
量	liã2	
量	liã6	
釐	lɨᶨ2	
金	tɕiŋ1	
釘	tiŋ1	
釘	tiŋ5	
針	tʂəŋ1	
釣	tiɔ5	
鈍	tʰəŋ6	
鈑	pʲɛ̃3	
鈔	tsʰɔ1	
鈔	tsʰɔ5	铜～
鈣	kɛ5	
鈴	liŋ2	
鈸	pʰʊᵘʔ8	
鉗	tɕʰĩ2	
鉚	mɔ3	
鉛	kʰʲɛ̃1	
鉤	kəɪ1	
銀	iŋ2	
銅	tʰɔŋ2	
銘	miŋ2	
銜	xʲɛ̃2	
銬	kʰɔ5	
銳	ɻuəɪ6	
銷	ɕiɔ1	
銹	ɕəɪ5	
鋁	lyᶨ3	
鋅	ɕiŋ1	
鋒	fɔŋ1	
鋒	fɔŋ2	又音
鋤	tʂʰʋ2	
鋦	tɕiɔʔ7	修
鋪	pʰʋ1	
鋪	pʰʋ5	
鋸	tɕyᶨ5	
鋼	kã1	
錄	lɔʔ8	
錐	tʂuəɪ1	
錘	tʂʰuəɪ2	
錢	tɕʰĩ2	
錦	tɕiŋ3	
錨	mɔ2	
錫	ɕiəʔ7	
錯	tsʰaʔ7	又音
錯	tsʰʊ5	
錶	piɔ3	
鍁	ɕĩ1	一種工具
鍊	lĩ6	
鍋	kʊ1	
鍍	tʰʋ6	
鍘	tsʰʲɛʔ8	
鍛	tʊ̃ᵘ̃5	
鍬	tɕʰiɔ1	
鍵	tɕĩ5	
鍾	tʂɔŋ1	
鎊	pã5	
鎖	sʊ3	
鎬	kɔ3	
鎮	tʂəŋ1	
鎮	tʂəŋ5	
鏈	lĩ6	
鏖	ŋɔ1	～糟
鏟	tsʰʲɛ̃3	
鏡	tɕiŋ5	
鏢	piɔ1	
鏽	ɕəɪ5	
鐃	nɔ2	
鐅	pʰiʔ7	一種鍋
鐐	liɔ6	
鐘	tʂɔŋ1	
鐮	lĩ2	
鐲	tʂʰuaʔ8	
鐵	tʰiʔ7	
鐺	tã1	
鑄	tʂʋ5	
鑑	kʲɛ̃5	白讀
鑑	tɕiɛ̃5	
鑫	ɕiŋ1	
鑰	iaʔ8	
鑲	ɕiã1	
鑷	niʔ8	
鑼	lʊ2	
鑽	tsʊ̃ᵘ̃1	
鑽	tsʊ̃ᵘ̃5	
鑿	tsʰaʔ8	
長	tʂʰã2	
長	tʂã3	
門	məŋ2	
閂	sʲuɛ̃1	
閃	ʂĩ3	
閉	pɨᶨ5	
開	kʰɛ1	
閏	ɻuəŋ6	
閒	xʲɛ̃2	白讀
閒	ɕiɛ̃2	
間	kʲɛ̃1	
間	kʲɛ̃5	
間	tɕiɛ̃1	文讀
間	tɕiɛ̃5	文讀
閘	tsʰʲɛʔ8	
閡	xəʔ8	
閣	kaʔ7	
閤	kʊᵘʔ7	
閥	fʲɛʔ8	
閨	kuəɪ1	
閩	miŋ3	
閱	iʊʔ8	
閻	ĩ2	
閽	xuəŋ1	
闆	pʲɛ̃3	
闊	kʰʊᵘʔ7	
闕	tɕʰiʊʔ7	
闖	tʂʰuã3	
關	kʲuɛ̃1	
闡	tʂʰĩ3	
闢	pʰiəʔ7	
阪	pʲɛ̃3	
阬	kʰəŋ1	
防	fã2	
阻	tsʋ3	
阿	aʔ7	～姨
阿	ʊ1	
陀	tʰʊ2	
附	fʋ6	
附	pʰʋ3	
陋	ləɪ6	
陌	maʔ8	～生
陌	mɔʔ8	
降	kã5	白讀
降	tɕiã5	文讀
降	tɕʰiã2	又音
降	ɕiã2	
限	xʲɛ̃6	白讀
限	ɕiɛ̃6	文讀
陝	ʂĩ3	
陡	təɪ3	
院	iʊ̃ᵘ̃6	
陣	tʂʰəŋ6	
除	tʂʰʋ2	
陪	pʰəɪ2	
陪	pʰɨᶨ2	白讀
陰	iŋ1	
陳	tʂʰəŋ2	
陵	liŋ2	
陶	tʰɔ2	
陷	xʲɛ̃6	
陸	lɔʔ8	
陽	iã2	
隄	tʃʰɨᶨ2	
隆	lɔŋ2	
隊	tuəɪ5	
隍	xuã2	
階	kɛ1	白讀
階	tɕiɛ1	文讀
隑	kʰɛ5	倚靠
隔	kəʔ7	
隘	ŋɛ5	
隙	tɕʰiəʔ7	
際	tʃɨᶨ5	
障	tʂã5	
隨	tsʰuəɪ2	
隨	tɕʰyᶨ2	白讀
險	ɕĩ3	
隱	iŋ3	
隸	lɨᶨ6	
隻	tʂəʔ7	
雀	tɕiaʔ7	白讀
雀	tɕʰiaʔ7	
雁	ŋʲɛ̃6	
雄	iɔŋ2	白讀
雄	ɕiɔŋ2	
雅	iɑ3	
集	tɕʰiəʔ8	
雇	kʋ5	
雍	iɔŋ1	
雕	tiɔ1	
雖	suəɪ1	
雖	ɕyᶨ1	白讀
雙	ʂuã1	
雛	tsʰʋ2	
雜	tsʰʲɛʔ8	
雜	tsʲɛʔ7	
雞	tʃɨᶨ1	
離	lɨᶨ2	
難	nʲɛ̃2	
難	nʲɛ̃6	
雨	ɥyᶨ3	名詞
雪	ɕyiʔ7	
雲	yŋ2	
零	liŋ2	
雷	luəɪ2	
雹	pʰaʔ8	
電	tĩ5	
需	ɕyᶨ1	
震	tʂəŋ5	
霉	məɪ2	
霉	mɨᶨ2	白讀
霍	xuaʔ7	文讀
霍	ʋaʔ7	～閃
霍	ʋaʔ8	～動
霜	ʂuã1	
霞	xɑ2	白讀
霞	ɕiɑ2	文讀
霧	ʋ̩5	
露	lʋ6	
霸	pɑ5	
霾	mɛ2	
靈	liŋ2	
青	tɕʰiŋ1	
靖	tɕʰiŋ6	～海
靜	tɕʰiŋ6	
非	fəɪ1	
靠	kʰɔ5	
面	mĩ6	
革	kəʔ7	
靴	ɕyɑ1	
靶	pɑ3	
鞋	xɛ2	
鞏	kɔŋ3	
鞘	tɕʰiɔ5	
鞦	tɕʰiʊ1	
鞭	pĩ1	
韆	tɕʰĩ1	
韋	ʋəɪ2	
韌	ɻəŋ6	
韓	xʊ̃ᵘ̃2	
韭	tɕiʊ3	
音	iŋ1	
韶	ʂɔ2	
韻	yŋ6	
響	ɕiã3	
頁	iʔ8	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	xã6	白讀
項	ɕiã6	文讀
順	ʂuəŋ6	
須	ɕyᶨ1	
頌	sɔŋ6	
預	ɥyᶨ6	
頑	ʋʲɛ̃2	
頒	pʲɛ̃1	
頓	təŋ5	
領	liŋ3	
頭	tʰəɪ2	
頸	tɕiŋ3	
頻	pʰiŋ2	
頽	tʰuəɪ2	
顆	kʰʊ1	
題	tʃʰɨᶨ2	
額	ŋəʔ8	
顏	ŋʲɛ̃2	
願	iʊ̃ᵘ̃6	
顛	tĩ1	
類	luəɪ6	
顧	kʋ5	
顫	tʂĩ5	
顯	ɕĩ3	
顱	lʋ2	
風	fɔŋ1	
颱	tʰɛ2	
颳	kʲuɛʔ7	
颺	iã2	
飄	pʰiɔ1	
飛	fəɪ1	
食	ʂəʔ8	
飢	tʃɨᶨ1	
飩	tʰəŋ2	餛飩一詞中念輕聲
飯	fʲɛ̃6	
飲	iŋ3	
飼	tsʰɿ2	
飽	pɔ3	
飾	ʂəʔ7	
餃	tɕiɔ3	
餅	piŋ3	
養	iã3	
餌	ɚ3	
餐	tsʰʲɛ̃1	
餒	nuəɪ3	
餓	ŋʊ6	
餘	ɥyᶨ2	
餚	ɕiɔ2	
餛	xuəŋ2	
餡	xʲɛ̃6	
館	kʊ̃ᵘ̃3	
餵	ʋəɪ5	
餵	ɥyᶨ5	白讀
餿	səɪ1	
饅	mʊ̃ᵘ̃2	
饊	sʲɛ̃3	
饑	tʃɨᶨ1	
饒	ɻɔ2	
饞	tsʰʲɛ̃2	
饞	sʲɛ̃2	
首	ʂəɪ3	
馗	kʰuəɪ2	
香	ɕiã1	
馨	ɕiŋ1	
馬	mɑ3	
馮	fɔŋ2	
馱	tʰʊ2	
馳	tʂʰʅ2	
馴	ɕyŋ5	
駁	paʔ7	
駐	tʂʋ5	
駕	kɑ5	白讀
駕	tɕiɑ5	文讀
駛	sɿ3	
駝	tʰʊ2	
駡	mɑ6	
駭	xɛ6	
駱	laʔ8	
騎	tʃʰɨᶨ2	
騙	pʰĩ5	
騰	tʰəŋ2	
騷	sɔ1	
騸	ʂĩ5	
騾	lʊ2	
驅	tɕʰyᶨ1	
驍	ɕiɔ1	
驕	tɕiɔ1	
驗	ĩ6	
驚	tɕiŋ1	
驛	iəʔ7	～站
驟	tʂʰəɪ6	
驢	lyᶨ2	
骨	kuəʔ7	
骰	tʰəɪ2	
骼	kəʔ7	
髈	pʰã3	大腿
髒	tsã1	
髓	suəɪ3	
髓	ɕyŋ3	又音
體	tʃʰɨᶨ3	
高	kɔ1	
髦	mɔ2	
髮	fʲɛʔ7	
鬆	sɔŋ1	
鬍	xʋ2	
鬏	tɕiʊ1	頭髮盤成的結
鬚	ɕyᶨ1	
鬢	piŋ5	
鬥	təɪ5	
鬧	nɔ6	
鬼	kuəɪ3	
魁	kʰuəɪ2	
魂	xuəŋ2	
魄	pʰɔʔ7	
魔	mʊ2	
魚	ɥyᶨ2	
魛	tɔ1	
魯	lʋ3	
魷	iʊ2	
鮑	pʰɔ6	
鮭	kuəɪ1	
鮮	ɕĩ1	
鯉	lɨᶨ3	
鯊	ʂɑ1	
鯧	tʂʰã1	～鯿魚
鯨	tɕiŋ1	
鯽	tɕiəʔ7	
鯿	pĩ1	鯧～魚
鰍	tɕʰiʊ1	
鰓	sɛ1	
鰭	tʃʰɨᶨ2	
鰱	lĩ2	
鰲	ŋɔ2	
鰻	mʊ̃ᵘ̃2	
鰾	pʰiɔ5	
鱉	piʔ7	
鱔	ʂĩ6	
鱖	kuəɪ5	
鱗	liŋ2	
鱟	xəɪ5	彩虹
鱷	ŋaʔ8	
鱸	lʋ2	
鳥	ȵiɔ3	
鳩	tɕiʊ1	
鳳	fɔŋ6	
鳴	miŋ2	
鴉	ŋɑ1	
鴕	tʰʊ2	
鴛	iʊ̃ᵘ̃1	
鴦	iã1	
鴨	ŋʲɛʔ7	
鴻	xɔŋ2	
鴿	kʊᵘʔ7	
鵑	tɕiʊ̃ᵘ̃1	
鵝	ŋʊ2	
鵡	ʋ̩3	
鵪	ʊ̃ᵘ̃1	
鵬	pʰɔŋ2	
鵲	tɕʰiaʔ7	
鶴	xaʔ8	
鷂	iɔ6	～子
鷗	ŋəɪ1	
鷸	yəʔ8	勺嘴～
鷹	iŋ1	
鸚	iŋ1	
鹵	lʋ3	
鹹	xʲɛ̃2	
鹼	kʲɛ̃3	白讀
鹼	tɕiɛ̃3	文讀
鹽	ĩ2	
鹿	lɔʔ8	
麒	tʃʰɨᶨ2	
麗	lɨᶨ6	
麟	liŋ2	
麥	mɔʔ8	
麩	fʋ1	
麪	mĩ6	
麲	xʲɛ̃6	麥糏，米糏
