#漢字	音標	解釋
㐄	cʰᴀ2	跨
縛	b̥ɔ2	
縣	ɕiɛ̃4	
縮	sɔ2	
縷	l̃ɘu3	
縹	pʰiᴀɔ1	
績	tɕi2	
績	tɕʰi2	～麻
繁	fɐ̃2	
繆	mᵇʋ2	未雨绸～
繆	mᵇiᴀɔ4	姓氏
繆	nᵈiᴀɔ2	山川相～
繆	mᵇiɘu4	
織	tsɿᵊ2	
繚	nᵈiᴀɔ2	
繞	zᴀɔ3	
繞	zᴀɔ4	～路
繡	ɕiɘu4	
繪	çuɘi4	
繭	tɕiɛ̃3	
繰	tɕʰiᴀɔ1	
繳	tɕiᴀɔ3	
繼	tɕi4	
纈	ɕiɛ2	
續	sʋ2	手～
續	ɕi̹u2	
纏	tsʰɐ̃2	
纖	tɕʰiɛ̃1	
絝	cʰuᴀ4	
缶	fɘu3	
缺	tɕʰiɛ2	
罕	çɐ̃3	
罩	tsᴀɔ4	
罪	tsuɘi4	
置	tsɿᵊ2	位～
置	tsɿᵊ4	
罯	ɣɔ2	密封不透气
罰	fᴀ2	
罱	l̃ɐ̃3	
署	sʋ3	
罵	mᵇᴀ4	
罷	b̥ᴀ4	
羅	l̃ɔ2	
羈	tɕi1	
美	mᵇɘi3	
羔	ɟ̊ᴀɔ1	
羞	ɕiɘu1	
羨	ɕiɛ̃4	
義	nᵈi4	～气
義	jʱi4	
羯	tɕiɛ2	
羲	ɕi1	
羶	sɐ̃1	
羼	tsʰɐ̃4	
羽	jʱi3	
羿	jʱi4	
翅	tsɿᵊ4	～拐
翅	tsʰɿᵊ4	～膀
翊	jʱi2	
翌	jʱi2	
習	ɕi2	
翟	tsʰɛ2	姓氏
翟	d̥iɛ2	
翠	tsʰuɘi4	
翡	fɘi3	
翩	pʰiɛ̃1	
翰	çɐ̃4	
翹	tɕʰiᴀɔ1	～脚；死～～
翹	tɕʰiᴀɔ2	～的，形容笨手笨脚的样子；～起，形容扭曲不平
翹	tɕʰiᴀɔ4	
翻	fɐ̃1	
翼	jʱi2	羽～
翼	jʱi4	
耀	jʱᴀɔ4	
老	l̃ᴀɔ3	
考	cʰᴀɔ3	
耄	mᵇᴀɔ4	
者	tsɛ3	
耋	d̥iɛ2	
而	ɛ2	白读
而	ɛ˞2	文读
耍	suᴀ3	
耐	l̃ɐɛ4	
耒	l̃uɘi4	
耖	tsʰᴀɔ4	乱翻物品
耗	çᴀɔ4	
耙	b̥ᴀ4	
耦	ɲᶡiɘu3	
耳	ɛ3	白读；表示理睬
耳	ɛ4	折～根
耳	ɛ˞3	文读
耶	jʱɛ1	
耷	d̥ᴀ2	
耷	tʰᴀ3	～起眼皮，指闭眼不管事
耽	d̥ɐ̃1	
聊	nᵈiᴀɔ2	
聚	tɕi4	
聯	nᵈiɛ̃2	
聵	cʰuɘi4	
聶	nᵈiɛ2	
職	tsɿᵊ2	
聿	nᵈi2	
肄	jʱi4	
肆	sɿᵊ4	
肇	sᴀɔ4	
肉	zʋ2	
肌	tɕi1	
肏	zɿᵊ2	性交，粗语
肐	ɟ̊ɛ2	
肖	ɕiᴀɔ1	
肖	ɕiᴀɔ4	
肘	tsɘu3	
肘	tsɘu4	硬～
肚	d̥ʋ3	动物的胃
肚	d̥ʋ4	
肝	ɟ̊ɐ̃1	
肟	ɣɔ2	
股	ɟ̊ʋ3	
肢	tsɿᵊ1	
肢	tsʰɿᵊ1	夹～孔
肥	fɘi2	
肩	tɕiɛ̃1	
肬	jʱɘu2	
育	jʱu2	
肺	fɘi4	
脅	çɛ2	威～
胄	tsɘu4	
背	b̥ɘi1	
背	b̥ɘi4	
胎	tʰɐɛ1	
胚	pʰɘi1	
胞	b̥ᴀɔ1	
胡	fʋ2	
胥	ɕi1	
胥	ɕi3	姓氏
胩	cʰᴀ3	
胯	cʰᴀ4	白读
胯	cʰuᴀ4	文读
胳	ɟ̊ᴀ2	～肢窝
胳	ɟ̊ɛ2	
脂	tsɿᵊ1	
脅	ɕiɛ2	
脆	tsʰuɘi4	
脈	mᵇɛ2	
脊	tɕi2	
脖	pʰʋ2	～颈
脖	b̥ɔ2	
脞	tsʰɔ4	
脫	tʰɔ2	
脫	tʰɔ3	～肛
脬	pʰᴀ1	一～尿；一～屎
脬	pʰᴀɔ1	
脬	fɘu2	～肿
脯	pʰʋ3	
脲	nᵈiᴀɔ4	
脾	pʰi2	
腋	jʱi2	
腌	wʱɐɛ1	～臜
腐	fʋ3	
腑	fʋ3	
腡	l̃ɔ2	
腦	l̃ᴀɔ3	
腭	ɣɔ2	
腮	sɐɛ1	
腰	jʱᴀɔ1	
腱	tɕiɛ̃4	
腳	ɟ̊ɔ2	吊～楼
腳	tɕiɔ2	
腹	fʋ2	
腿	tʰɘi3	撒胯撒～，指穿着凌乱不注意形象
腿	tʰuɘi3	
膂	nᵈi3	
膈	ɟ̊ɛ2	
膊	b̥ɔ2	
膏	ɟ̊ᴀɔ1	
膘	b̥iᴀɔ1	
膚	fʋ1	
膜	mᵇɔ2	
膝	tɕi1	乞～脑壳
膝	tɕʰi2	
膝	ɕi1	乞～头
膠	tɕiᴀɔ1	
膢	l̃ʋ2	
膩	nᵈi4	
膫	nᵈiᴀɔ2	
膳	sɐ̃4	
膻	sɐ̃1	
膼	tsuᴀ2	用脚踢
膽	d̥ɐ̃3	
臂	b̥ɘi4	
臉	nᵈiɛ̃3	
臊	sᴀɔ1	尿～气
臊	sᴀɔ4	～子；～皮
臍	tɕi1	肚～眼
臍	tɕʰi2	
臕	b̥iᴀɔ1	
臘	l̃ᴀ2	
臢	tsuɐɛ1	腌～
臥	ɣɔ4	
自	tsɿᵊ4	
臭	tsʰɘu4	
至	tsɿᵊ4	
致	tsɿᵊ4	
臼	tɕiɘu4	
舀	jʱᴀɔ3	
舅	tɕiɘu4	
與	jʱi3	
舉	tɕi3	
舊	tɕiɘu4	
舌	sɛ2	
舍	sɛ4	
舒	sʋ1	
舔	tʰiɛ̃3	
舞	vʋ3	
舟	tsɘu1	
般	b̥ɔ2	～若
般	b̥ɐ̃1	
舵	d̥ɔ4	
舶	pʰɛ2	
艊	pʰɛ2	
艦	tɕiɛ̃4	
艱	ɟ̊ɐ̃1	～难
艱	tɕiɛ̃1	
色	sɛ1	笑
色	sɛ2	
艷	jʱɛ̃4	
艾	ɲᶡɐɛ4	
芊	tɕʰiɛ̃1	
芋	jʱi1	魔～豆腐
芋	jʱi4	
芍	sɔ2	
芍	tɕʰiɔ2	～陂
芘	pʰi2	花草名，锦葵；化学名
芘	pʰi4	庇护
芙	fʋ2	
芝	tsɿᵊ1	
芥	ɟ̊ɐɛ4	
芫	jʱɛ̃2	
芭	b̥ᴀ1	
芮	zuɘi4	
花	çuᴀ1	
芻	tsʰʋ1	
苒	zɐ̃3	
苔	tʰɐɛ2	
苕	sᴀɔ2	白读
苕	tʰiᴀɔ2	文读
苗	mᵇiᴀɔ2	
苛	cʰɔ1	
苞	b̥ᴀɔ1	
苟	ɟ̊iɘu3	
苟	ɟ̊iɘu4	姓氏
苤	pʰiɛ3	
若	zɔ2	
若	zɛ3	般～
苦	cʰʋ3	
苴	tɕi1	
苴	tsuᴀ1	
苶	nᵈiᴀ2	～皮；～落
苶	nᵈiᴀ3	～衣裳
苾	b̥ɘi4	
茁	tsɔ2	～壮
茁	tsuɛ2	
茁	tsuɐɛ2	～实
茂	mᵇʋ4	白读
茂	mᵇɘu4	文读
范	fɐ̃4	
茄	tɕiᴀ1	～克衫
茄	tɕʰiɛ2	
茅	mᵇᴀɔ2	
茆	mᵇᴀɔ2	
茉	mᵇɔ2	
茨	tsʰɿᵊ2	
茬	tsᴀ2	硬～，指厉害、强势
茬	tsʰᴀ2	
茭	tɕiᴀɔ1	
茲	tsɿᵊ1	
茴	çuɘi2	
茶	tsʰᴀ2	
草	tsʰᴀɔ3	
荔	nᵈi4	
荳	d̥ɘu4	
荷	çɔ2	
荷	çɔ4	
荸	pʰʋ2	
荽	ɕi1	
莎	sᴀ1	
莒	tɕi3	
莠	jʱɘu4	
莧	çɐ̃4	
莫	mᵇɔ2	
莰	cʰɐ̃3	
菉	l̃ʋ2	
菊	tɕi̹u2	
菜	tsʰɐɛ4	
菠	b̥ɔ1	
菢	b̥ᴀɔ4	孵育
菩	pʰʋ2	
華	çuᴀ2	
華	çuᴀ4	姓氏；～山
菲	fɘi1	
菲	fɘi3	
萃	tsʰuɘi4	
萄	tʰᴀɔ1	葡～
萄	tʰᴀɔ2	
萊	l̃ɐɛ2	
萘	l̃ɐɛ4	
落	l̃ɔ1	～巴，指最后一名
落	l̃ɔ2	
葆	b̥ᴀɔ3	
葉	sɛ2	～公好龙
葉	jʱɛ1	茶～
葉	jʱɛ2	
葎	nᵈi2	
著	tsʋ4	
著	tsɔ2	文读
著	d̥ᴀɔ3	白读
著	tsᴀɔ2	表示被动
葛	ɟ̊ɔ2	
葡	pʰʋ2	
葦	wʱɘi2	
葵	cʰuɘi2	
蒈	cʰɐɛ3	
蒐	sɘu1	
蒞	nᵈi4	
蒢	tsʰʋ2	
蒯	cʰuɐɛ3	
蒲	pʰʋ2	
蒿	çᴀɔ1	
蓄	ɕi̹u2	
蓋	ɟ̊ɐɛ4	
蓑	sɔ1	
蓓	b̥ɘi4	
蓖	b̥i4	
驀	mᵇʋ2	
蓮	nᵈiɛ̃2	
蓽	b̥i2	
蔊	çɐ̃4	
蔍	l̃ʋ2	
蔑	mᵇiɛ2	
蔓	mᵇɐ̃4	
蔔	b̥ʋ4	
蔗	tsɛ4	
蔗	tɕiɛ4	～杆
蔚	jʱi4	姓氏
蔚	wʱɘi4	
蔡	tsʰɐɛ4	
蔤	mᵇi2	
蔫	jʱɛ̃1	
蔬	sʋ1	
蔸	d̥ɘu1	
蔻	cʰiɘu4	
蔽	b̥ɘi4	
蕃	b̥ɔ1	吐～
蕃	fɐ̃4	
蕉	tɕiᴀɔ1	
蕊	zuɘi4	
蕌	tɕiᴀɔ4	～头
蕎	tɕʰiᴀɔ2	
蕗	l̃ʋ4	
蕨	tɕiɛ2	
蕾	l̃uɘi2	
薄	b̥ɔ2	
薄	b̥ɔ4	～荷
薅	çᴀ1	白读
薅	çᴀɔ1	文读
薇	wʱɘi2	
薛	ɕiɛ2	
薤	ɕiɐɛ4	～白，即蕌头
薦	tɕiɛ̃4	
薩	sᴀ1	
薯	sʋ2	蕃～，即红薯
薯	sʋ3	
薺	tɕi1	荸～
薺	tɕi4	
藉	tɕi2	
藍	l̃ɐ̃2	
藐	mᵇiᴀɔ3	
藕	ɲᶡiɘu3	
藝	nᵈi4	手～
藝	jʱi4	
藞	l̃ᴀ2	
藞	l̃ᴀ3	领子～
藥	jʱɔ2	
藩	fɐ̃2	
藹	ɲᶡɐɛ4	
藿	çɔ2	
蘆	l̃ʋ2	
蘇	sʋ1	
蘑	mᵇɔ2	
蘚	ɕiɛ̃3	
蘭	l̃ɐ̃2	
蘸	tsɐ̃4	
蘿	l̃ɔ2	
虂	l̃ʋ4	
虎	fʋ1	马马～～
虎	fʋ3	
虎	mᵇᴀɔ1	姓氏；大～
虐	nᵈiɔ2	
虓	ɕiᴀɔ1	
虔	tɕʰiɛ̃2	
處	tsʰʋ3	
處	tsʰʋ4	
虛	ɕi1	
虜	l̃ʋ3	
虞	jʱi2	
號	çᴀɔ2	
號	çᴀɔ4	
虢	ɟ̊uᴀ2	
虧	cʰuɘi1	
虱	sɛ2	
虼	ɟ̊ɛ2	
蠆	tsʰuɐɛ4	
蚜	jʱᴀ2	
蚝	çᴀɔ2	
蚤	tsᴀɔ3	
蚧	ɟ̊ɐɛ4	
蚯	tɕʰiɘu1	
蚱	tsuᴀ1	蚂～
蚱	tsuᴀ2	～蜢
蛆	tɕʰi1	
蛇	sɛ2	
蛋	d̥ɐ̃4	
蛐	tɕʰi1	灶～～，即蟋蟀
蛐	tɕʰi̹u2	～蟮，即蚯蚓
蛙	wʱᴀ1	
蛛	tsʋ1	
蛤	ɟ̊ɛ2	～螺，即陀螺；癞蛤宝，即癞蛤蟆
蛤	cʰɛ2	～蟆
蛾	ɣɔ2	
蜀	sʋ2	
蜇	tsɛ2	
蜘	tsɛ2	
蜜	mᵇi1	甜～～
蜜	mᵇi2	
蜥	ɕi2	
蜴	jʱi2	
蝃	tsɛ2	
蟈	ɟ̊uᴀ2	
蝎	ɕiɛ2	
蝔	ɟ̊ɐɛ1	
蝕	sɿᵊ2	
蝕	sɛ2	～财免灾
蝙	b̥iɛ̃3	
蝠	fʋ2	
蝦	ɕiᴀ1	
蝨	sɛ2	
蝶	d̥iɛ2	
蝶	tʰiɛ2	蝴～；蝴～肉，将猪头去骨后压成扁平状
螃	pʰɐ̃2	
螘	jʱi2	
螞	mᵇᴀ3	
螞	mᵇɛ2	～蚱
蟎	mᵇɐ̃3	
螮	d̥i4	
螺	l̃ɔ1	圆～～；～～转，指晕头转向；蛤～，即陀螺
螺	l̃ɔ2	
螻	l̃ɘu2	
蟀	sɔ2	
蟄	tsɿᵊ4	
蟆	mᵇᴀ1	蛤～
蟆	mᵇᴀ2	
蟋	ɕi2	
蟠	pʰɐ̃1	
蟬	sɐ̃2	
蟹	sɐɛ4	
蟹	çɐɛ3	螃～
蟻	nᵈi4	蚂～子
蟻	jʱi3	
蠔	çᴀɔ2	
蠕	zʋ3	
蠚	çɔ1	～人，指细小的针或毛发残留在皮肤上导致奇痒或刺痛；欺骗
蠚	çɔ2	～麻，即荨麻
蠛	mᵇɛ2	～～蚊
蠞	tɕiɛ2	
蠟	l̃ᴀ2	
蠱	ɟ̊ʋ3	
蠶	tsʰɐ̃2	
蠹	d̥ʋ4	
蠻	mᵇɐ̃2	
血	ɕiɛ2	
衊	mᵇiɛ2	
術	tsʋ2	白～
術	sʋ2	
街	ɟ̊ɐɛ1	
衙	jʱᴀ2	
衛	wʱɘi4	
衢	tɕʰi2	
衣	jʱi1	
表	b̥iᴀɔ3	
衩	tsʰᴀ3	
衩	tsʰᴀ4	開～
衫	sɐ̃1	
衰	suɐɛ1	
袁	jʱɛ̃2	
袋	d̥ɐɛ4	
袍	pʰᴀɔ2	
袐	b̥ɘi4	
袤	mᵇɘu4	
被	b̥i4	
被	b̥ɘi4	～窝
袴	cʰuᴀ4	
袺	tɕiɛ2	
裁	tsʰɐɛ2	
裂	nᵈiᴀ2	皴～
裂	nᵈiɛ2	
裊	nᵈiᴀɔ3	
裏	nᵈi3	
裔	jʱi1	
裕	jʱi4	
補	b̥ʋ3	
裡	nᵈi3	
裨	b̥ɘi3	
裱	b̥iᴀɔ3	
裴	pʰɘi2	
裸	l̃ɔ3	
裹	ɟ̊ɔ3	
製	tsɿᵊ4	
褂	ɟ̊uᴀ4	
複	fʋ2	
褊	b̥iɛ̃3	
褒	b̥ɘu1	
褚	tsʰʋ3	
褥	zʋ3	
褪	tʰuɘi4	
褲	cʰʋ4	
褶	tsɛ2	
褸	l̃ɘu3	
襖	ɲᶡᴀɔ3	
襪	wʱᴀ2	
襲	ɕi2	
襻	pʰɐ̃4	
西	ɕi1	
要	jʱᴀɔ1	～求
要	jʱᴀɔ4	
覃	tʰɐ̃2	
覅	b̥iᴀɔ4	“不要”的合音
覆	pʰʋ2	碗口朝下放置
覆	fʋ2	
見	tɕiɛ̃4	
規	ɟ̊uɘi1	
覓	mᵇi2	
覷	tɕʰi4	
覺	ɟ̊ɔ2	不警不～
覺	tɕiɔ2	～得；发～；～悟
覺	ɟ̊ᴀɔ4	搙～～
覽	l̃ɐ̃3	
角	ɟ̊ɔ2	㮟㮟～～；三～形；牛～；～逆
角	tɕiɔ2	一～钱、～色
解	sɐɛ4	姓氏；浑身～数
解	ɟ̊ɐɛ3	
解	ɟ̊ɐɛ4	～元；押～
觫	ɕi̹u2	
觳	fʋ2	
觸	tsʋ2	
言	jʱɛ̃2	
訃	pʰʋ2	
計	tɕi4	
討	tʰᴀɔ3	
訐	tɕiɛ2	㨃
訖	tɕʰi2	
託	tʰɔ2	
記	tɕi4	
訛	ɣɔ2	
訝	jʱᴀ3	
訣	tɕiɛ2	
設	sɛ2	
許	ɕi3	
許	çɛ3	～齐、～实，即使劲
許	çɐɛ1	～多、～扯，表示非常
訴	sʋ4	
註	tsʋ4	
詈	nᵈi4	
詐	tsᴀ4	
詔	tsᴀɔ4	
詛	tsʋ3	
詞	tsʰɿᵊ2	
詡	ɕi3	
詣	jʱi4	
試	sɿᵊ4	
詩	sɿᵊ1	
詫	tsʰᴀ4	
詭	ɟ̊uɘi3	
詰	tɕiɛ2	
話	çuᴀ4	
該	ɟ̊ɐɛ1	
誅	tsʋ1	
誇	cʰuᴀ1	
誓	sɿᵊ4	
誕	d̥ɐ̃4	
誘	jʱɘu4	
語	jʱi3	
誡	ɟ̊ɐɛ4	
誣	vʋ1	
誤	vʋ4	
說	sɔ2	
誰	suɘi2	
課	cʰɔ4	
誶	tɕi̹u2	
誶	suɘi4	嘴巴～，指话多藏不住事或脏话连篇
誼	nᵈi2	白读
誼	jʱi2	文读
調	d̥iᴀɔ4	
調	tʰiᴀɔ2	
調	tʰiᴀɔ4	～皮
談	d̥ɐ̃4	扯～
談	tʰɐ̃2	
談	tʰɐ̃4	～话
諕	çᴀɔ2	
諜	d̥iɛ2	
諝	ɕi1	
諞	pʰiɛ̃2	
諧	çɐɛ2	
諮	tsɿᵊ1	
諱	çuɘi4	
諳	ɲᶡɐ̃2	估计
諳	ɲᶡɐ̃3	～恰恰，指控制得刚刚好
諳	ɲᶡɐ̃4	
諸	tsʋ1	
諺	nᵈiɛ̃4	
諾	l̃ɔ2	～贝尔；～苏
諾	l̃ɔ4	
謀	mᵇʋ2	文读
謂	wʱɘi4	
謎	mᵇi4	
謔	ɕiɔ2	
謙	tɕʰiɛ̃1	
謝	ɕiɛ4	
謠	jʱᴀɔ2	
謬	mᵇiɘu4	
謱	l̃ɔ3	～謰，指说话啰嗦或做事裹搅
謳	ɲᶡiɘu1	
謼	fʋ1	
譎	tɕiɛ2	
譏	tɕi1	
識	sɿᵊ2	
譚	tʰɐ̃2	
譜	pʰʋ3	
譟	tsʰᴀɔ4	
譬	pʰi3	～如
譬	pʰɘi4	
譯	jʱi2	
議	nᵈi4	白读
議	jʱi4	文读
護	fʋ4	
譽	jʱi4	
讀	d̥ʋ2	
變	b̥iɛ̃4	
讚	tsɐ̃4	
誒	ɕi1	
誒	ɛ3	呼唤熟人
豁	çɔ2	
豆	d̥ɘu4	
豉	sɿᵊ4	
豎	sʋ4	
豖	tsʰʋ2	
豛	d̥ʋ2	杵
豪	çᴀɔ2	
豫	jʱi4	
豬	tsʋ1	
豸	tsɿᵊ4	
豹	b̥ᴀɔ4	
豺	tsʰɐɛ2	
貂	d̥iᴀɔ1	
貉	çɔ2	
貉	mᵇɛ2	
貊	mᵇɛ2	
貌	mᵇᴀɔ4	
貓	mᵇᴀ1	～～咪，指东西找不着了；蒙～～，指捉迷藏
貓	mᵇᴀɔ2	～尿，指眼泪，贬义；～～咪，“躲猫猫”游戏中计时结束的口语信号，模仿猫叫
貝	b̥ɘi4	
負	fʋ2	欺～
負	fʋ4	
財	tsʰɐɛ2	
貨	çɔ4	
販	fɐ̃4	
貪	tʰɐ̃1	
責	tsɛ2	
貮	ɛ˞4	
貳	ɛ˞4	
貴	ɟ̊uɘi4	
貶	b̥iɛ̃3	
買	mᵇɐɛ3	
貸	d̥ɐɛ4	
費	b̥ɘi4	姓氏
費	fɘi4	
貼	tʰiɛ2	
貽	jʱi2	
貿	mᵇʋ4	白读
貿	mᵇɘu4	文读
賀	çɔ4	
賂	l̃ʋ4	
賄	çuɘi4	
資	tsɿᵊ1	
賈	ɟ̊ʋ3	
賈	tɕiᴀ3	姓氏
賊	tsɛ2	文读
賊	tsuɘi2	白读
賒	sɛ1	
賜	tsʰɿᵊ4	
賠	pʰɘi2	
賢	ɕiɛ̃2	
賣	mᵇɐɛ4	
賤	tɕiɛ̃4	
賥	suɘi4	
賦	fʋ4	
質	tsɿᵊ2	
賭	d̥ʋ3	
賴	l̃ɐɛ4	
購	ɟ̊iɘu4	
賽	sɐɛ4	
贅	tsuɘi4	
贊	tsɐ̃4	
贍	sɐ̃4	
贖	ɕi̹u2	
赤	tsʰɿᵊ2	
赦	sɛ4	
赫	çɛ2	
走	tsɘu3	
赳	tɕiɘu1	
赴	pʰʋ2	前～后继；～汤蹈火
赴	fʋ4	
起	tɕʰi3	
趄	tsʰɛ4	～姑娘
趄	cʰɛ2	趔～
超	tsʰᴀɔ1	
越	jʱɛ2	
趔	ɲᶡɛ2	
趕	ɟ̊ɐ̃3	
趖	sɔ1	
趙	tsᴀɔ4	
趣	tɕʰi4	
趣	tsʋ2	用棒状物捅
趨	tɕʰi1	
趨	tsʰuɘi1	～使
足	tɕi̹u2	
趴	pʰᴀ2	文读
趴	pʰᴀ3	白读
趴	pʰiᴀ3	软～～，指性格懦弱或生病体虚
趺	fʋ1	
趼	tɕiɛ̃3	即“茧”
趾	tsɿᵊ3	
趿	sᴀ2	
跌	d̥ᴀ2	白读
跌	d̥iɛ2	文读
跌	tʰiɛ2	脑筋跶～
跍	ɟ̊ʋ1	即“跔”
跑	pʰᴀɔ3	
跒	tɕʰiᴀ3	
跔	ɟ̊ʋ1	蹲
跛	b̥ɐɛ1	
跜	nᵈi1	蠕动
距	tɕi4	
跡	tɕi2	
跤	ɟ̊ᴀɔ1	摔～子
跤	tɕiᴀɔ1	
跨	cʰuᴀ4	
跩	ɕiɔ3	白读
跩	tsuɐɛ3	文读
跪	ɟ̊uɘi4	
跪	cʰuɘi3	手肘反过来靠在桌缘
跬	cʰuɘi3	
路	l̃ʋ4	
跳	tʰiᴀɔ4	
跺	d̥ɔ4	
踀	tsʰɔ2	
踏	tʰᴀ2	
踐	tɕiɛ̃3	实～
踐	tɕiɛ̃4	
踔	tsʰɔ2	闲逛
踝	ɟ̊uɐɛ3	
踞	tɕi4	
踢	d̥i2	～脚扳手
踢	tʰi2	
踤	tsʋ2	～着脚，指磕到脚尖
踩	tsʰɐɛ3	
踹	tsʰuɐɛ3	
蹂	zɘu2	
蹄	tʰi2	
蹅	tsʰᴀ1	
蹈	d̥ᴀɔ4	
蹉	tsʰɔ1	
蹊	tɕʰi1	
蹋	tʰᴀ2	
蹙	tsʋ2	
蹩	pʰiᴀ2	～脚，指脚骨折
蹩	pʰiᴀ3	～～脚，跛脚
蹩	b̥iɛ2	
蹴	tsʋ2	
蹵	tsʋ2	
蹺	cʰᴀɔ1	～二郎腿
蹺	tɕʰiᴀɔ1	
蹺	tɕʰiᴀɔ3	蹊～
躁	tsᴀɔ4	烦～～
躁	tsʰᴀɔ4	
躂	d̥ᴀ2	跌
躅	tsʋ2	
躇	tsʰʋ2	
躉	d̥uɘi3	
躊	tsʰɘu2	
躍	jʱɔ2	文读
躍	jʱᴀɔ4	白读
躧	nᵈi1	踩着物品磨擦以粉碎破坏；利用路面积水或凸起蹭掉鞋底异物
躲	d̥ɔ3	
軀	tɕʰi1	
車	tɕi1	象棋用语
車	tsʰɛ1	
車	tɕʰiɛ1	小～～（儿语）；姓
軋	tsᴀ2	
軋	ɲᶡᴀ1	着车子～
軋	ɲᶡɛ1	～烂，故意反复碾压
軌	ɟ̊uɘi3	
軒	ɕiɛ̃1	
軛	ɲᶡɛ2	
軸	tsʋ2	
軻	cʰɔ1	
軾	sɿᵊ2	
較	tɕiᴀɔ4	
載	tsɐɛ4	
輒	tsɛ2	
輔	pʰʋ3	～导
輔	fʋ3	
輜	tsɿᵊ1	
輝	çuɘi1	
輟	tsuɛ2	
輩	b̥ɘi4	
輯	tɕi2	
輸	sʋ1	
輾	nᵈiɛ̃3	
轆	l̃ʋ2	
轉	tsuɐɛ3	～文
轉	suɐɛ4	敲壳～，系指将食指中指弯曲，用其关节敲打头部，是旧时长辈对晚辈常用的惩戒手段
轍	tsʰɛ2	
轎	tɕiᴀɔ4	
軲	ɟ̊ʋ1	
轄	ɕiᴀ2	
辜	ɟ̊ʋ1	
辟	pʰi2	
辣	l̃ᴀ2	
辦	b̥ɐ̃4	
辨	b̥iɛ̃4	
辭	tsʰɿᵊ2	
辮	b̥iɛ̃4	
辯	b̥iɛ̃4	
辱	zʋ2	
迀	ɟ̊ɐ̃1	
迂	jʱi1	
迄	tɕʰi2	
返	fɐ̃3	
迢	tʰiᴀɔ2	
迦	tɕiᴀ1	
迦	tɕʰiɛ2	～叶
迪	d̥i2	
迫	b̥ɛ2	～击炮
迫	pʰɛ2	
迭	d̥i2	～忙、～住，指赶忙、抓紧
迭	d̥iɛ2	
述	sʋ2	
迲	cʰi4	文读
迲	cʰɛ4	白读
迷	mᵇi2	
迷	mᵇi4	猫猫～，童谣音；一～头，表示一饮而尽
迷	mᵇɘi2	～信；低～
追	l̃uɘi1	白读
追	tsuɘi1	文读
退	tʰuɘi4	
逃	tʰᴀɔ2	
逅	ɟ̊iɘu4	
逆	nᵈi2	
逆	nᵈiɛ2	角～，指扯皮；忤～
透	tʰɘu4	
逐	tsʋ2	
途	tʰʋ2	
逗	d̥ɘu1	白读
逗	d̥ɘu4	文读
這	tsɿᵊ1	白读
這	tsɔ3	“这个”合音
這	lɛ4	～么，程度副词
這	tsɛ1	“这一”合音
這	tsɛ3	“这儿”合音
這	tsɛ4	文读
逝	sɿᵊ4	
速	ɕi̹u2	
造	tsᴀɔ4	～孽
造	tsʰᴀɔ4	
連	nᵈiɛ̃2	
逫	tsʋ2	
逮	d̥i4	文读
逮	d̥ɐɛ2	白读
逮	d̥ɐɛ3	拉扯
週	tsɘu1	
逵	cʰuɘi2	
逸	jʱi2	
逼	b̥i2	
逼	b̥iɛ1	～着，表示被逼
逾	jʱi2	
遂	suɘi4	
遇	jʱi4	
遍	b̥iɛ̃4	一～
遍	pʰiɛ̃4	～地
過	ɟ̊ɔ4	
遏	ɣɔ2	
道	d̥ᴀɔ3	知～
道	d̥ᴀɔ4	
達	d̥ᴀ2	
違	wʱɘi2	
違	wʱɘi3	～约
遛	nᵈiɘu1	
遞	d̥i4	
遠	jʱɛ̃3	
遡	sʋ4	
遣	tɕʰiɛ̃3	
適	sɿᵊ2	
適	sɿᵊ4	合～；惯～，指溺爱小孩
遭	tsᴀɔ1	
遮	tsɛ1	
遮	tɕiɛ1	甘菩～
遲	tsʰɿᵊ2	
遷	tɕʰiɛ̃1	
選	ɕiɛ̃3	
遺	jʱi2	
遺	wʱɘi3	～赠
遼	nᵈiᴀɔ2	
避	b̥i4	
避	b̥ɘi4	～开
邀	jʱᴀɔ1	
邁	mᵇɐɛ4	
邂	sɐɛ4	
邃	suɘi4	
還	çᴀ2	白读二
還	çɐɛ2	白读一
邊	b̥iɛ̃1	
邋	l̃ᴀ2	
邋	l̃ᴀ3	～糊；长～～
邑	jʱi2	
那	l̃ᴀ1	音译
那	l̃ᴀ4	文读
那	ᴀ4	白读
邪	ɕiɛ2	
邪	jʱɛ2	
邯	çɐ̃2	
邱	tɕʰiɘu1	
邳	pʰɘi1	
邵	sᴀɔ4	
郁	jʱu2	
郊	tɕiᴀɔ1	
郝	çɔ2	
部	b̥ʋ4	
郭	ɟ̊ɔ2	
郵	jʱɘu2	
都	d̥ʋ1	文读
都	d̥ɘu1	白读
鄂	ɣɔ2	
鄒	tsɘu1	
鄙	pʰi3	
鄨	b̥iɛ2	
鄱	pʰɔ2	
酉	nᵈiɘu3	～阳
酉	jʱɘu3	
酋	tɕʰiɘu2	
酌	tsɔ2	
配	pʰɘi4	
酒	tɕiɘu3	
酣	çɐɛ1	狼吞虎咽
酣	çɐ̃1	
酥	sʋ1	
酪	l̃ɔ2	
酬	tsʰɘu2	
酯	tsɿᵊ1	
酰	ɕiɛ̃1	
酵	ɟ̊ᴀɔ4	～水，水豆花的汁；稀泥烂～
酵	ɕiᴀɔ4	
酷	cʰʋ2	
