#漢字	音標	解釋
㐴	pʰɐ̞n1	
戳	tɔ7	白讀，表示戳
戴	tɐ̞ɪ̯5	
戶	fv̩5	
戹	ŋɐ̟7	
戼	mᵇɑʊ̯3	
戽	fv̩5	
房	fɑŋ2	
所	sɔ3	
扁	pi̯ɐ̟n3	
扁	pi̯ɑ3	白讀，一說本字為（癟）
扃	t͡ɕy̑in1	
扇	sɐ̞n5	
扈	fv̩5	
手	sɜ̟ʊ̯3	
才	t͡sʰɐ̞ɪ̯2	
扐	nɐ̟7	
扐	ni̯e7	
扒	pɑ7	
扒	pʰɑ7	扒手
打	tɑ3	
扔	zɛn1	
托	tʰɔ7	
扙	t͡sɑŋ5	
扚	ti̯e7	
扜	jy1	動詞，表示蜷縮或彎曲
扠	t͡sʰɑ3	～嘴，張開
扢	t͡ɕi̯e7	
扢	kwɛ7	
扣	kʰɜ̟ʊ̯2	1.表示將物品倒置，翻面。2.表示人貪婪，嗇色
扣	kʰɜ̟ʊ̯5	
扤	ɥɛ7	
扦	t͡ɕʰi̯ɐ̟n1	動詞，表示表衣服/鋪蓋等（掀起）理順，擺平，鋪開。如：～抻
扭	n̠ʲi̯ɜ̟ʊ̯3	
扮	pɐ̞n5	
扯	t͡sʰɛ̝ɪ̯3	
扯	t͡ɕʰi3	最老派白讀
扱	t͡sʰɑ7	
扳	pɐ̞n1	
扴	t͡ɕi̯ɑ7	
扶	fv̩2	
扸	pʰi̯ɐ̟n3	動詞，表示用斧頭削木頭皮
批	pʰɛ̝ɪ̯1	
扽	tɛn5	動詞，表示把物品放置在某處
找	t͡sɑʊ̯3	
承	sɛn2	白讀，表示支持之意。如：～不起
承	t͡sʰɛn2	
技	t͡ɕi5	
抄	t͡sʰɑʊ̯1	
抇	xwɛ7	
抈	ɥɛ7	
抉	ɥɛ7	
抉	t͡ɕy̑ɛ7	
把	pɑ3	
把	pɑŋ3	把這個拿跟我，把飯吃了…
抐	nwɛ7	
抑	je7	
抓	t͡swɑ1	
抓	t͡sɑʊ̯3	白讀又音，作動詞，表示把褲腿等往上提
抔	pʰɛ̝ɪ̯3	
投	tʰɜ̟ʊ̯2	
抖	tʰɜ̟ʊ̯3	白讀，作動詞
抖	tɜ̟ʊ̯3	
抗	kʰɑŋ5	
折	sɐ̟7	折本
折	t͡sɐ̟7	折耳根
抨	pʰɑŋ1	白讀，表示用手使勁擊打
抨	pʰɛn1	文讀
披	pʰɛ̝ɪ̯1	
抬	tʰɐ̞ɪ̯2	
抭	jɑʊ̯3	
抭	ɥɛ7	
抱	pɑʊ̯5	
抲	xɑ1	動詞，表示用手翻找
抴	je7	
抵	ti3	
抶	t͡sʰe7	
抹	mᵇɑ7	
抹	mᵇɔ3	
抻	t͡sʰɛn1	1.作動詞，表示把鋪蓋（衣服等）鋪平整，理好。引審出把衣著形象理順，使看起來得體。如：理～，扦～2.作形容詞，形容衣著或人的（形象）等大方得體有風度。如：～敨（㪗）
押	jɑ7	
抽	t͡sʰɜ̟ʊ̯1	
抾	t͡ɕʰi̯e7	
拂	fe7	
拆	t͡sʰɐ̟7	
拇	mᵇu3	可作動詞，依照，依原樣（作畫或寫字等）
拈	n̠ʲi̯ɐ̟n1	
拉	nɑ1	
拋	pʰɑʊ̯1	
拌	pɐ̞n5	
拌	pɛn5	白讀
拍	pʰɐ̟7	
拎	nin1	
拐	kwɐ̞ɪ̯3	
拒	t͡ɕy5	
拓	tʰɔ7	
拔	pʰɑ7	
拔	fɑ7	
拕	tʰɔ3	延續
拖	tʰɔ1	
拗	ŋɑʊ̯3	白讀1，如：～口
拗	ŋɑʊ̯5	
拘	t͡ɕy1	
拙	t͡sʰɔ7	
拚	pʰɐ̞n5	
招	t͡sɑʊ̯1	
拜	pɐ̞ɪ̯5	
拤	kʰɑ1	動詞，表示限制刁難等意
括	kʰwɛ7	文讀
括	kʰwɑ7	白讀1
括	kwɑ7	白讀2
拭	sɹe̠ᶦ5	
拮	t͡ɕi̯e7	
拯	t͡sɛn3	
拱	kɔŋ3	
拱	kɔŋ5	人頂進去
拲	t͡ɕy̑ɛ7	
拳	t͡ɕʰy̑ɐ̟n2	
拴	swɐ̞n1	
拶	t͡sɑ7	
拹	ɕi̯e7	
拺	sɐ̟7	
拺	t͡sʰɐ̟7	
拼	pʰin1	
拾	se7	
拿	nɑ2	
持	t͡sʰɹe̠ᶦ2	
挃	t͡se7	
指	t͡sɹe̠ᶦ3	
按	ŋɐ̞n5	
挌	kɐ̟7	
挑	ti̯ɑʊ̯1	白讀，作動詞
挑	tʰi̯ɑʊ̯1	
挒	ni̯e7	
挓	t͡sʰɑ5	～輪子：插隊
挕	t͡sɐ̟7	
挕	ti̯e7	
挖	wɑ1	
挨	ŋɐ̞ɪ̯1	
挨	ŋɐ̞ɪ̯2	
挩	tʰɔ7	
挩	tɔ7	動詞，表示用棍戳
挪	nɔ2	
挬	pɔ7	
挭	kɛn3	
振	t͡sɛn3	
挶	t͡ɕy̑ɛ7	
挶	t͡ɕy̑ɛ7	動詞，表示吮吸
挹	je7	
挺	tʰin3	
挽	wɐ̞n3	
挾	ɕi̯e7	
捅	tʰɔŋ3	
捅	tʰɔŋ1	最老派
捆	kʰwɛn3	
捇	t͡ɕʰi̯e7	
捉	t͡sɔ7	
捋	nɔ7	
捌	pɑ7	
捎	sɑʊ̯1	
捎	ɕi̯ɑʊ̯1	白讀表示翻，推
捏	n̠ʲi̯e7	
捐	t͡ɕy̑ɐ̟n1	
捔	t͡ɕi̯ɔ7	
捕	pʰu3	捕捉（白讀）
捕	pu3	
捧	pʰɔŋ3	
捨	sɛ̝ɪ̯3	
捨	ɕi3	最老派白讀
捩	ni̯ɑ7	白讀，作動詞，表示物體跌落，或作助動詞，表未能趕上xx
捩	ni̯e7	
捫	mᵇɛn1	
捭	pɐ̞ɪ̯3	
捱	ŋɐ̞ɪ̯2	動詞，表示拖延
捲	t͡ɕy̑ɐ̟n3	
捳	jɔ7	
捶	t͡sʰwɛ̝ɪ̯2	
捷	t͡ɕʰi̯e7	白讀，如：走捷路
捹	pɛn5	表示努力掙扎，擺脫束縛。如：～脫.同(𨁼)
捺	nɑ7	
捼	zwɑ2	動詞，表示揉
捽	t͡ɕʰy̑ɛ7	動詞，表示揉眼睛
捾	ɔ7	
掀	ɕi̯ɐ̟n1	
掂	ti̯ɐ̟n1	
掃	sɑʊ̯3	
掃	sɑʊ̯5	掃把
掇	tɔ7	動詞，表示用棍戳
掇	tɔ7	
掇	t͡swɛ7	
授	sɜ̟ʊ̯5	
掉	tʰi̯ɑʊ̯3	白讀，作動詞，表示調換，一說作（斢）
掉	ti̯ɑʊ̯5	
掌	t͡sɑŋ3	
掏	tʰɑʊ̯1	
掐	kʰɑ7	白讀，作動詞
掐	t͡ɕʰi̯ɑ7	
排	pʰɐ̞ɪ̯2	
掓	swɛ7	
掖	je7	
掘	t͡ɕy̑ɛ7	又音，如：～進隊
掘	t͡ɕy̑ɛ7	
掛	kwɑ5	
掝	xwɛ7	
掠	ni̯ɔ7	
採	t͡sʰɐ̞ɪ̯3	
探	tʰɐ̞n1	
掣	t͡sʰɐ̟7	
接	t͡ɕi̯e7	
控	kʰɔŋ5	
推	tʰwɛ̝ɪ̯1	
掩	jɐ̟n3	
措	t͡sʰu5	
掫	t͡sʰɜ̟ʊ̯1	動詞，表示推，又作（搊）（𫼝）
掬	t͡ɕy̑ɛ7	
掯	kʰɛn3	
掰	pɐ̞n1	1.作動詞，表示用手把東西分開或折斷2.表示與他人發生口角，進行（言語上的）爭論，或作（䛀）（𰵐）
掹	mᵇɔŋ3	
掿	nɔ7	
揀	t͡ɕi̯ɐ̟n3	
揄	jy2	
揆	kwɛ̝ɪ̯5	
揇	nɐ̞n3	
揉	zɜ̟ʊ̯2	
揍	t͡sɜ̟ʊ̯5	
描	mᵇi̯ɑʊ̯2	
提	tʰi2	
插	t͡sʰɑ7	
揖	je7	
揘	ɥin2	
揚	jɑŋ2	
換	xwɐ̞n5	
揠	jɑ7	
握	ɔ7	
揢	kʰɐ̟7	
揣	t͡sʰwɐ̞ɪ̯1	
揣	t͡sʰwɐ̞ɪ̯3	
揤	t͡ɕi̯e7	
揧	nɑ7	
揩	kʰɐ̞ɪ̯1	
揪	t͡ɕi̯ɜ̟ʊ̯1	
揪	t͡ɕi̯ɜ̟ʊ̯2	白讀
揬	tʰwɛ7	
揭	t͡ɕi̯e7	
揮	xwɛ̝ɪ̯1	
揱	sɔ7	
揲	ti̯e7	
揲	sɐ̟7	
揳	ɕi̯e7	
援	ɥɐ̟n2	
揸	t͡sɑ1	
揹	pɛ̝ɪ̯1	
揾	wɛ7	
搉	t͡ɕʰi̯ɔ7	
搊	t͡sʰɜ̟ʊ̯1	動詞，表示推，又作（掫）（𫼝）
搌	t͡sɐ̞n3	動詞，表示用手抬動或移動物品，同時也可作形容詞表示用力的樣子，如：～勁
損	sɛn3	
搏	pɔ7	
搓	t͡sʰɔ1	
搕	ɔ7	
搖	jɑʊ̯2	
搙	nɔ7	拭
搙	nɔ7	
搙	nwɛ7	捻
搚	nɑ7	
搜	sɜ̟ʊ̯1	
搞	kɑʊ̯3	
搡	sɑŋ3	
搣	mᵇi3	白讀，作動詞，表示用手掰彎
搣	pʰi3	白讀，又音，作動詞，表示用手掰彎
搣	mᵇi̯e7	
搤	ŋɐ̟7	
搦	nɔ7	
搦	nɐ̟7	
搧	sɐ̞n5	動詞
搩	t͡ɕi̯e7	
搬	pɐ̞n1	
搭	tɑ7	
搮	ni̯e7	
搯	tʰɑʊ̯1	
搰	xwɛ7	
搲	wɑ5	～憋憋：人生氣（或傷心時）發出的高亢而淒慘聲音的樣子
搶	t͡ɕʰi̯ɑŋ3	
搹	kɐ̟7	
搽	t͡sʰɑ2	搽臉，搽藥
摃	kʰɑŋ2	
摋	sɑ7	
摌	t͡sʰɐ̞n3	動詞，表示用手猛烈擊打。一說本字作（𫼪）或（𢱟）
摍	swɛ7	
摏	t͡sɔŋ1	動詞，表示用棍等物體向下捅
摑	kwɛ7	
摔	t͡swɐ̞ɪ̯1	白讀，動詞，表跌倒
摔	swɐ̞ɪ̯1	
摕	ti̯e7	
摘	t͡sɐ̟7	
摛	t͡sʰɹe̠ᶦ1	動詞表示伸手
摝	nwɛ7	
摞	nɔ5	動詞，表示重疊
摟	nɜ̟ʊ̯3	有搜刮意
摤	t͡ɕʰi̯ɑŋ3	
摩	mᵇɔ1	
摭	t͡se7	
摳	kʰɜ̟ʊ̯1	
摳	kʰɜ̟ʊ̯2	形容詞，表示人自私貪婪
摵	sɐ̟7	
摵	t͡ɕy̑ɛ7	
摸	mᵇɔ1	
摺	nɑ7	
摺	t͡sɐ̟7	
摻	t͡sʰɐ̞n1	
摽	pʰi̯ɑʊ̯1	打賭
撅	t͡ɕy̑ɛ7	
撆	pʰi̯e7	
撇	pʰi̯e7	
撈	nɑʊ̯1	文讀
撈	nɑʊ̯2	動詞
撋	zwɐ̞n2	
撏	ɕi̯ɐ̟n2	
撐	t͡sʰɛn1	
撒	sɑ7	白讀，表示水漏出
撒	sɑ3	噴撒
撓	nɑʊ̯2	
撕	sɹe̠ᶦ1	
撚	n̠ʲi̯ɐ̟n3	
撞	t͡sʰwɑŋ3	白讀1
撞	t͡swɑŋ5	白讀2
撞	t͡sʰwɑŋ5	
撠	t͡ɕi̯e7	
撢	tʰɐ̞n1	
撣	tɐ̞n3	
撤	t͡sʰɐ̟7	
撥	pɔ7	
撦	t͡sʰɛ̝ɪ̯3	
撦	t͡ɕʰi3	最老派白讀
撩	ni̯ɑʊ̯1	白讀作動詞
撩	ni̯ɑʊ̯2	
撫	fv̩3	
撬	t͡ɕʰi̯ɑʊ̯1	白讀，作動詞
撬	t͡ɕʰi̯ɑʊ̯5	
播	pɔ5	
撮	t͡sʰɔ7	一撮，少，頭髮一撮厘兒
撰	t͡swɐ̞n5	
撲	pʰe7	
撻	tʰɑ7	
撼	xɐ̞n5	
撾	t͡swɑ1	
撾	ɔ1	
擀	kɐ̞n3	
擁	jɔŋ3	
擂	nwɛ̝ɪ̯2	白讀，作動詞
擂	nwɛ̝ɪ̯5	
擅	sɐ̞n5	
擆	t͡sɔ7	
擇	t͡sʰɐ̟7	
擉	t͡sʰɔ7	
擊	t͡ɕi̯e7	
擋	tɑŋ2	白讀
擋	tɑŋ3	
擌	sɐ̟7	
操	t͡sʰɑʊ̯1	
操	t͡sʰɑʊ̯5	
擎	t͡ɕʰin2	
擒	t͡ɕʰin2	
擓	kʰwɐ̞ɪ̯1	
擔	tɐ̞n1	
擔	tɐ̞n5	
擖	xɑ7	動詞，表示撓癢
擗	pi̯e7	
擘	pɐ̟7	
據	t͡ɕy5	
擠	t͡ɕi1	白讀，動詞
擠	t͡ɕi3	
擢	t͡sɔ7	
擤	ɕin3	動詞，表示揩鼻涕
擦	t͡sʰɑ7	
擩	zu1	表示把東西塞進某處
擩	zu5	表示把東西塞進某處
擬	n̠ʲi3	
擭	xɔ7	
擱	kɔ7	文讀，如：～淺～置
擱	kʰɔ1	白讀1，做動詞
擱	kʰɔ5	白讀2，如：～板
擲	t͡se7	
擳	t͡se7	
擴	kʰwɛ7	
擷	ɕi̯e7	
擸	nɑ7	
擸	ni̯e7	
擺	pɐ̞ɪ̯3	
擻	sɜ̟ʊ̯3	
擽	ni̯ɔ7	
擾	zɑʊ̯3	
擿	t͡se7	
攀	pʰɐ̞n1	
攃	t͡sʰɑ7	
攆	n̠ʲi̯ɐ̟n3	
攉	xɔ7	
攊	ni̯e7	
攋	nɑ7	
攏	nɔŋ3	
攔	nɐ̞n2	
攔	nwɐ̞n2	白讀
攘	zɑŋ3	
攙	t͡sʰɐ̞n1	
攜	ɕi1	
攝	sɐ̟7	
攣	nwɐ̞n2	
攤	tʰɐ̞n1	
攤	tʰɑŋ1	白讀，表示遭遇了不好的事
攥	t͡sɔ7	動詞如～筆表示握筆～拳表示手捏緊作拳狀～著手教（某人）指手把人教授別人某項技能
攪	kɑʊ̯2	白讀
攪	t͡ɕi̯ɑʊ̯3	
攫	t͡ɕi̯ɔ7	
攬	nɐ̞n3	
支	t͡sɹe̠ᶦ1	
攴	pʰe7	
收	sɜ̟ʊ̯1	
攸	jɜ̟ʊ̯1	
改	kɐ̞ɪ̯3	
攻	kɔŋ1	
放	fɑŋ5	
政	t͡sɛn5	
敀	pɐ̟7	
敀	pʰɐ̟7	
敁	ti̯ɐ̟n1	
故	ku5	
效	ɕi̯ɑʊ̯5	
敊	t͡sʰwɛ7	
敏	mᵇin3	
敐	sɛn2	
救	t͡ɕi̯ɜ̟ʊ̯5	
敓	tɔ7	
敕	t͡sʰe7	
敖	ŋɑʊ̯2	
敗	pɐ̞ɪ̯5	
敘	ɕy5	
教	t͡ɕi̯ɑʊ̯1	
教	t͡ɕi̯ɑʊ̯5	
敜	n̠ʲi̯e7	
敝	pi5	
敝	pʰi5	表示東西破，爛
敟	ti̯ɐ̟n3	
敠	tɔ7	
敠	t͡ɕʰy̑ɛ7	
敢	kɐ̞n3	
散	sɐ̞n3	
散	sɐ̞n5	
敦	tɛn1	
敨	tʰɜ̟ʊ̯3	抻～，1.作動詞，表示把鋪蓋（衣服等）鋪平整，理好。引審出把衣著形象理順，使看起來得體。2.作形容詞，形容衣著或人的（形象）等大方得體有風度。又作（㪗）
敫	jɔ7	
敫	t͡ɕi̯e7	
敬	t͡ɕin5	
敮	ɕi̯ɑ7	
敲	kʰɑʊ̯1	
敲	t͡ɕʰi̯ɑʊ̯1	文讀
整	t͡sɛn3	
敵	ti̯e7	
敷	fv̩1	
數	su3	
數	su5	
敹	ni̯ɑʊ̯1	表示縫製
敻	ɕy̑in5	
斀	t͡sɔ7	
斁	je7	
斂	ni̯ɐ̟n3	
斃	pi5	
文	wɛn2	
斈	ɕi̯ɔ7	
斗	tɜ̟ʊ̯3	
料	ni̯ɑʊ̯5	
斛	xwɛ7	
斜	ɕi̯ɑ2	白讀
斜	ɕi2	文讀
斟	t͡sɛn1	
斠	t͡ɕi̯ɔ7	
斡	ɔ7	
斢	tʰi̯ɑʊ̯3	假借字，作動詞，表示調換，一說正字作（掉）白讀
斢	tʰɜ̟ʊ̯3	本音
斤	t͡ɕin1	
斥	t͡sʰe7	
斦	jin2	
斧	fv̩3	
斨	t͡ɕʰi̯ɑŋ1	
斫	t͡sɔ7	
斬	t͡sɐ̞n3	
斮	t͡sɔ7	
斯	sɹe̠ᶦ1	
新	ɕin1	
斲	t͡sɔ7	
斷	twɐ̞n5	
斸	t͡swɛ7	
方	fɑŋ1	
於	ji2	等於是，等於，屬於
施	sɹe̠ᶦ1	
斿	jɜ̟ʊ̯2	
旁	pʰɑŋ2	
旂	t͡ɕʰi2	
旄	mᵇɑʊ̯2	
旅	ny3	
旋	ɕy̑ɐ̟n2	
旋	ɕy̑ɐ̟n5	1.表示在某地來回轉圈。2.表示現場馬上完成某個動作
旌	t͡ɕin1	
旍	t͡ɕin1	
族	t͡ɕʰy̑ɛ7	
旗	t͡ɕʰi2	
既	t͡ɕi5	
日	ze7	
旦	tɐ̞n5	
旨	t͡sɹe̠ᶦ3	
早	t͡sɑʊ̯3	
旪	ɕi̯e7	
旬	ɕy̑in2	
旭	ɕy̑ɛ7	
旱	xɐ̞n5	
旺	wɑŋ1	～實:份量足
旺	wɑŋ5	
旻	mᵇin2	
旼	mᵇin2	
旽	tʰɛn5	互相拖，等別人先行動
昂	ŋɑŋ2	
昃	t͡sɐ̟7	
昅	t͡ɕi̯e7	
昆	kʰwɛn1	
昌	t͡sʰɑŋ1	
明	mᵇɛn2	白讀，如：～天，～朝，～年
明	mᵇin2	
昏	xwɛn1	昏君
昒	wɛ7	
易	ji5	
易	je7	交易，貿易。
昔	ɕi̯e7	
昕	ɕin1	
昞	pin3	
星	ɕin1	
映	jin5	
昢	pʰɔ7	
春	t͡sʰwɛn1	
昧	mᵇɛ̝ɪ̯5	
昨	t͡sɔ7	
昩	mᵇɔ7	
昫	ɕy5	
昭	t͡sɑʊ̯1	
是	se1	白讀
是	sɹe̠ᶦ5	
昱	ɥɛ7	
昳	ti̯e7	
昴	mᵇɑʊ̯3	
昵	n̠ʲi̯e7	
昺	pin3	
時	sɹe̠ᶦ2	
晃	xwɑŋ3	
晃	xwɑŋ5	
晉	t͡ɕin5	
晊	t͡se7	
晏	ŋɐ̞n5	
晐	kɐ̞ɪ̯1	
晚	wɐ̞n3	
晝	t͡sɜ̟ʊ̯5	
晢	t͡sɐ̟7	
晣	t͡sɐ̟7	
晦	xwɛ̝ɪ̯5	
晧	xɑʊ̯5	
晨	sɛn2	
晫	t͡sɔ7	
晫	t͡sʰɔ7	
普	pʰu3	
景	t͡ɕin3	
晳	ɕi̯e7	
晴	t͡ɕʰin2	
晶	t͡ɕin1	
晷	kwɛ̝ɪ̯3	
晹	se7	
智	t͡sɹe̠ᶦ5	
晾	ni̯ɑŋ5	
晾	nɑŋ5	白讀，如：～衣裳
暇	ɕi̯ɑ5	
暈	ɥin5	暈車
暍	je7	
暑	su3	
暖	nwɐ̞n3	
暗	ŋɐ̞n5	
暢	t͡sʰɑŋ5	
暫	t͡sɐ̞n5	
暮	mᵇɔ5	
暯	mᵇɔ7	
暱	n̠ʲi̯e7	
暴	pɑʊ̯5	
暹	ɕi̯ɐ̟n1	
暻	t͡ɕy̑in3	
暼	pʰi̯e7	
曄	je7	
曅	je7	
曆	ni̯e7	
曉	ɕi̯ɑʊ̯3	
曙	su3	
曝	pʰe7	
曠	kʰwɑŋ5	
曡	ti̯e7	
曩	nɑŋ3	
曬	sɐ̞ɪ̯5	
曰	ɥɛ7	
曲	t͡ɕʰy̑ɛ7	
更	kɛn1	打更
更	kɛn5	
曶	xwɛ7	
曷	xɔ7	
書	su1	
曹	t͡sʰɑʊ̯2	
曾	t͡sɛn1	
曾	t͡sʰɛn2	
替	tʰi5	
最	t͡swɛ̝ɪ̯5	
朂	ɕy̑ɛ7	
會	kwɐ̞ɪ̯5	會稽，會計
會	xwɛ̝ɪ̯5	
月	ɥɛ7	
有	jɜ̟ʊ̯3	
朋	pʰɔŋ2	
服	fe7	
朒	kɑ3	
朓	tʰi̯ɑʊ̯3	指下半身衹穿一條內褲（尤指男性）甚至不穿內褲裸露的樣子又作（䠷）
朔	sɔ7	
朕	t͡sɛn5	
朗	nɑŋ3	
望	wɑŋ5	上望
朝	t͡sɑʊ̯1	
朝	t͡sʰɑʊ̯2	
期	t͡ɕʰi1	
朦	mᵇɔŋ2	
木	mᵇe7	
未	mᵇɛ̝ɪ̯1	未得，未有
未	wɛ̝ɪ̯5	
末	mᵇɔ7	
本	pɛn3	
札	t͡sɑ7	
朱	t͡su1	
朳	pɑ7	
朵	tɔ1	耳朵
朵	tɔ3	
朵	tu3	一朵花，幾朵花
朷	mᵇe7	
朸	nɐ̟7	
朸	ni̯e7	
朽	ɕi̯ɜ̟ʊ̯3	
杈	t͡sʰɑ1	
杉	sɐ̞n1	
杌	wɛ7	
杍	t͡sɹe̠ᶦ3	
李	ni3	
杏	xɛn5	
材	t͡sʰɐ̞ɪ̯2	
村	t͡sʰɛn1	
杓	sɔ7	
杔	t͡sɐ̟7	
杖	t͡sɑŋ5	
杙	je7	
杜	tu5	
杞	t͡ɕi3	
杞	t͡ɕʰi3	文讀
束	t͡sʰwɛ7	結束
束	swɛ7	
杪	mᵇi̯ɑʊ̯3	
杭	xɑŋ2	
杯	pɛ̝ɪ̯1	
杰	t͡ɕi̯e7	
東	tɔŋ1	
杳	jɑʊ̯3	
杷	pɑ1	枇杷
杷	pʰɑ2	
板	pɐ̞n3	
枂	mᵇɔ7	
枂	ɥɛ7	
枉	wɑŋ3	
析	ɕi̯e7	
枕	t͡sɛn3	
枕	t͡sɛn5	地～
林	nin2	
枘	zwɛ̝ɪ̯5	
枚	mᵇɛ̝ɪ̯2	
果	kɔ3	
枝	t͡sɹe̠ᶦ1	
枯	kʰu1	
枵	ɕi̯ɑʊ̯1	
架	t͡ɕi̯ɑ5	
枼	je7	
枿	ŋɔ7	
柄	pin3	
柏	pɐ̟7	
某	mᵇɔŋ3	
柑	kɐ̞n1	
柒	t͡ɕʰi̯e7	
染	zɐ̞n3	
柔	zɜ̟ʊ̯2	
柙	ɕi̯ɑ7	
柚	jɜ̟ʊ̯5	
柞	t͡sɔ7	
柣	t͡sʰe7	
查	t͡sɑ1	
查	t͡sʰɑ2	
柩	t͡ɕi̯ɜ̟ʊ̯5	
柫	fe7	
柬	t͡ɕi̯ɐ̟n3	
柮	t͡sɔ7	又音
柮	twɛ7	
柱	t͡sʰu3	白讀動詞，表示用力向下戳
柱	t͡su5	
柲	pi̯e7	
柳	ni̯ɜ̟ʊ̯3	
柴	t͡sʰɐ̞ɪ̯2	
柵	t͡sɑ5	
柵	t͡sʰɐ̟7	
柷	t͡swɛ7	
栐	ɥin3	
栗	ni̯e7	
栜	sɐ̟7	
栝	kɔ7	
校	kɑʊ̯5	白讀，動詞。表示嘗試。或作（㩭）（𫽊）
校	t͡ɕi̯ɑʊ̯5	
校	ɕi̯ɑʊ̯5	
栢	pɐ̟7	
栩	ɕy3	
株	t͡su1	
栵	ni̯e7	
核	xɐ̟7	
根	kɛn1	
栻	t͡sʰe7	
格	kɐ̟7	
栽	t͡sɐ̞ɪ̯1	
栿	fe7	
桀	t͡ɕi̯e7	
桁	xɑŋ2	1.古代的一種刑具2.衣架
桁	xɛn2	屋梁或門窗上的橫木如～架
桂	kwɛ̝ɪ̯5	
桃	tʰɑʊ̯2	
桅	wɛ̝ɪ̯2	
框	t͡ɕʰi̯ɑŋ1	最老派白讀
框	kʰwɑŋ1	
案	ŋɐ̞n5	
桌	t͡sɔ7	
桎	t͡se7	
桐	tʰɔŋ2	
桑	sɑŋ1	
桓	xwɐ̞n2	
桔	t͡ɕi̯e7	
桲	pɔ7	
桴	fɜ̟ʊ̯2	
桵	zwɛ̝ɪ̯2	
桶	tʰɔŋ3	
桷	t͡ɕi̯ɔ7	
桼	t͡ɕʰi̯e7	
桿	kɐ̞n1	
梀	t͡sʰwɛ7	
梀	swɛ7	
梁	ni̯ɑŋ2	
梅	mᵇɛ̝ɪ̯2	
梆	pɑŋ1	
梏	kwɛ7	
梑	ti̯e7	
梓	t͡sɹe̠ᶦ3	
梔	t͡sɹe̠ᶦ1	
梗	kɛn3	
梜	t͡ɕi̯ɑ7	
條	tʰi̯ɑʊ̯2	
梢	sɑʊ̯1	
梧	v̩2	
梨	ni2	
梩	ni2	
梭	sɔ1	
梮	t͡ɕy̑ɛ7	
梯	tʰi1	
械	kɐ̞ɪ̯5	
梲	t͡swɛ7	
梳	su1	
梵	fɐ̞n2	梵士林，梵高
梵	fɐ̞n5	
梲	tʰɔ7	
棄	t͡ɕʰi5	
棉	mᵇi̯ɐ̟n2	
棋	t͡ɕʰi2	
棍	kwɛn5	
棎	sɐ̞n2	
棏	tʰɐ̟7	
棏	t͡sɐ̟7	蠶箔閣架上的橫木。
棒	pɑŋ5	
棕	t͡sɔŋ1	
棗	t͡sɑʊ̯3	
棘	t͡ɕi̯e7	
棚	pʰɔŋ2	
棛	ɥɛ7	
棟	tɔŋ5	
棢	wɑŋ3	
棤	ɕi̯e7	
棧	t͡sɐ̞n5	
棨	t͡ɕʰi3	事物的種類，如：這～=這種
棫	ɥɛ7	
森	sɛn1	
棱	nɛn2	
棲	ɕi1	
棴	fe7	
棵	kʰɔ3	
椁	kɔ7	
椄	t͡ɕi̯e7	
椅	ji3	
椈	t͡ɕy̑ɛ7	
椉	sɛn2	
椊	t͡swɛ7	
植	t͡se7	
椑	pi̯e7	親身棺
椒	t͡ɕi̯ɑʊ̯1	
椰	ji1	
椱	fe7	
椶	t͡sɔŋ1	
椹	t͡sɛn1	
椺	ɕi̯e7	
椽	t͡sʰwɐ̞n2	
椿	t͡sʰwɛn1	
楁	xɐ̟7	
楂	t͡sɑ1	
楃	ɔ7	
楅	fe7	
楉	zɔ7	
楊	jɑŋ2	
楋	nɑ7	
楔	ɕi̯e7	
楕	tʰɔ3	
楖	t͡se7	
楖	t͡ɕi̯e7	
楚	t͡sʰu3	
楞	nɛn2	
楠	nɐ̞n2	
楣	mᵇɛ̝ɪ̯2	
楦	ɕy̑ɐ̟n5	
楫	t͡ɕi̯e7	
楬	t͡ɕi̯e7	
業	n̠ʲi̯e7	
極	t͡ɕi̯e7	
楶	t͡ɕi̯e7	
楷	kʰɐ̞ɪ̯3	
楹	jin2	
概	kʰɐ̞ɪ̯5	
榅	wɛ7	
榆	jy2	
榋	t͡sʰu1	
榍	ɕi̯e7	
榓	mᵇi̯e7	
榖	kwɛ7	
榙	xɔ7	
榛	t͡sɛn1	
榜	pɑŋ3	
樧	sɑ7	
榤	t͡ɕi̯e7	
榥	xwɑŋ3	
榨	t͡sɑ5	
榮	ɥin2	
榰	t͡sɹe̠ᶦ1	
榴	ni̯ɜ̟ʊ̯2	石榴一詞在口語中後字會讀作陰平
榴	ni̯ɜ̟ʊ̯2	
榷	t͡ɕi̯ɔ7	
榻	tʰɑ7	
榼	kʰɔ7	
榾	kwɛ7	
槄	tʰɑʊ̯1	
槅	kɐ̟7	
槉	t͡ɕi̯e7	
槊	sɔ7	
構	kɜ̟ʊ̯5	
槌	t͡sʰwɛ̝ɪ̯2	
槍	t͡ɕʰi̯ɑŋ1	
槎	t͡sʰɑ2	
槎	t͡sɑ5	
槐	xwɐ̞ɪ̯2	
槓	kɑŋ5	
槖	tʰɔ7	
槢	ɕi̯e7	
槨	kɔ7	
槭	t͡ɕy̑ɛ7	
槲	xwɛ7	
槳	t͡ɕi̯ɑŋ5	白讀
槳	t͡ɕi̯ɑŋ3	
槷	n̠ʲi̯e7	
槽	t͡sʰɑʊ̯2	
樀	ti̯e7	
樁	t͡swɑŋ1	
樂	nɔ7	
