#漢字	音標	解釋
㝓	kʰap7	用器皿覆蓋、扣住
鵝	ŋɔ2	
鵡	mu5	
鵬	pʰaŋ2	
鵲	tsyœk7	
鶴	hɔk7	
鶴	hɔk8	
鷓	tsa5	
鷹	eŋ1	
鷺	lu6	
鸚	aŋ1	
鸚	eŋ1	
鹵	lu5	
鹹	ham2	
鹻	kam3	
鹽	jiɛm2	
鹿	lək7	
麋	mi2	
麋	mɛi2	
麗	lɛi6	
麝	sa6	
麥	mak8	
麴	kʰək7	
麻	ma2	
麼	mɔ1	
麾	hui1	
黃	wɔŋ2	
黍	sy3	
黎	lɛi2	
黏	niɛm2	
黑	hat7	
默	mat8	
點	tiɛm3	
黨	tɔŋ3	
鼎	teŋ3	
鼓	ku3	
鼠	si3	
鼠	sy3	
鼻	pʰi6	
鼾	hɔn2	
齈	nəŋ2	
齊	tsʰɛi2	
齋	tsai1	
齒	tsʰi3	
齦	ŋin2	
龍	ləŋ2	
龐	pʰaŋ2	
龐	pʰɔŋ2	
龔	kəŋ1	
龜	kui1	
𣎴	tun3	
𥅲	tsœ1	緊盯，指責
𦧲	lœ3	舔
