#漢字	音標	解釋
㲃	tɕiəu5	拧
袖	siəu5	老
袖	ɕiəu5	新
被	pəi5	
袱	fu2	
裁	tsʰai2	
裂	lie2	
裊	ȵiau3	
裔	ʑi5	
裕	ʑy5	
裘	tɕʰiəu2	
裙	tɕʰyn2	
補	pu3	
裝	tɕyaŋ1	
裝	tsaŋ1	
裟	sa1	
裡	ti1	白读
裡	li3	
裨	pʰi2	
裳	saŋ1	
裴	pʰəi2	
裸	lo3	
裹	ko3	
裼	se1	坦漏，裼衣
製	tsɿ5	
褂	kua5	
複	fu2	
褐	he2	
褒	pau1	
褓	pau3	
褙	pəi5	
褥	ɣəu3	白
褥	zəu3	文
褪	tʰəi5	
褲	kʰu5	
褸	li3	老
褸	ly3	新
襄	siaŋ1	老
襄	ɕiaŋ1	新
襖	ŋau2	
襟	tɕin1	
襠	tʰaŋ1	
襤	lan2	
襪	va2	
襯	tsʰən5	
襲	si2	老
襲	ɕi2	新
西	səi1	
西	ɕi1	
要	ʑau1	
要	ʑau5	
覆	fu5	颠覆
覆	pʰu2	白，覆牌
覆	pʰu2	白，覆转来
覈	he2	
見	tɕien5	
規	kuəi1	
覓	mi5	
視	sɿ5	
親	tsʰin1	老
親	tɕʰin1	新
覬	tɕi5	
覲	tɕin5	
覺	kau5	白
覺	ko2	
覺	tɕiau5	文
覽	lan3	
觀	kuan1	
觀	kuan5	
角	ko2	
解	kai3	
解	ɕie5	
觴	saŋ1	
觸	tsʰəu5	觸動
觸	tsəu2	接觸
言	ȵien2	老
言	ʑen2	新
訂	tin5	
訃	pu5	
計	tɕi5	
訊	sin5	老
訊	ɕin5	新
討	tʰau3	
訓	ɕyn5	
訕	san5	
訕	sən5	
訖	tɕʰi3	
託	tʰo2	
記	tɕi5	
訛	ɣo2	
訝	ʑia3	
訟	soŋ5	
訣	tɕye2	
訥	na2	
訪	faŋ3	
設	se2	
許	ɕi3	
許	ɕy3	
訴	soŋ5	
訴	səu5	
訶	ho1	
診	tsən3	
註	tɕy5	
証	tsən5	
詐	tsa5	
評	pʰin2	
詛	tsəu3	
詞	tsʰɿ2	
詠	ʑoŋ3	
詢	ɕyn2	
詣	ȵi5	老
詣	ʑi5	新
詤	faŋ3	
試	sɿ5	
詩	sɿ1	
詫	tsʰa5	
詬	kəu5	
詭	kuəi3	
話	fa5	
該	kai1	
詳	siaŋ2	老
詳	ɕiaŋ2	新
詹	tsan1	新
詹	tsen1	老
詼	fəi1	
誅	tɕy1	
誆	kʰuaŋ1	
誇	kʰua1	
誌	tsɿ5	
認	ɣən5	白
認	zən5	文
誑	kuaŋ5	
誓	sɿ5	
誕	tan5	
誘	ʑəu5	
語	ʑy3	
誠	tsʰən2	
誡	kai5	
誣	vu1	
誤	vu5	
誦	soŋ5	
誨	fəi3	
說	se1	白读
誰	səi2	
課	kʰo5	
誹	fəi3	
誻	ta2	
誼	ȵi2	老
誼	ʑi2	新
調	tiau5	
調	tʰiau2	
諄	tɕyn1	老
諄	tsən1	新
談	tʰan2	
請	tsʰin3	老
請	tɕʰin3	新
諒	liaŋ5	
論	nən2	
論	nən5	
諜	tie2	
諞	pʰien5	
諦	ti5	
諧	ɕie2	
諮	tsɿ1	
諱	fəi5	
諳	ŋan1	
諷	hoŋ3	
諸	tɕy1	
諺	ʑen5	
諾	no5	
謀	məu2	
謁	ʑe5	
謂	vəi5	
謄	tʰən2	
謅	tsʰəu1	
謊	faŋ3	
謎	mi2	
謎	mi5	谜子
謗	paŋ5	
謙	tɕʰien1	
講	kaŋ3	
講	tɕiaŋ3	
謝	sie5	老
謝	ɕie5	新
謠	ʑau2	
謨	mo2	
謬	miəu5	
謳	ŋəu1	
謹	tɕin3	
謾	man5	新
謾	muan5	老
譁	fa1	
譁	fa2	
證	tsən5	
譏	tɕi1	
識	sɿ2	
識	tsɿ5	
譚	tʰan2	
譜	pʰu3	
警	tɕin3	
譬	pʰi5	
譯	ʑi2	
議	ȵi5	老
議	ʑi5	新
譴	tɕʰien3	
護	fu5	
譽	ʑy5	
讀	təu2	
讀	təu5	
變	pien5	
讒	tsʰan2	新
讒	tsʰen2	老
讓	ɣaŋ5	
讕	lan2	
讚	tsan5	
谷	ku2	
谿	tɕʰi1	
豁	ho2	
豆	təu5	
豇	kaŋ1	
豈	tɕʰi3	
豌	van1	
豎	ɕy5	
豐	hoŋ1	
豔	ȵien5	老
豔	ʑen5	新
豕	sɿ3	
象	ɕiaŋ5	
豢	fan5	
豪	hau2	
豫	ʑy5	
豬	tɕy1	
豹	pau5	
豺	tsʰai2	
貂	tiau1	
貉	ho2	
貊	me2	
貌	mau5	
貍	li2	
貓	mau1	
貘	me2	
貝	pəi5	
貞	tsən1	
負	fu5	
財	tsʰai2	
貢	koŋ5	
貧	pʰin2	
貨	ho5	
販	fan5	
貪	tʰan1	
貫	kuan5	
責	tse2	
貯	tsʰəu3	
貯	tɕʰy3	
貳	ɣə5	
貴	kuəi5	
貶	pien3	
買	mai3	
貸	tai5	
費	fəi5	
貼	tʰie2	
貿	mau5	新
貿	məu5	老
賀	ho5	
賁	pən1	
賂	ləu5	
賃	lin5	
賄	fəi5	
資	tsɿ1	
賈	ka1	
賈	ku3	
賈	tɕia1	
賊	tse2	文读
賒	se1	
賓	pin1	
賚	lai5	
賜	tsʰɿ5	
賞	saŋ3	
賠	pʰəi2	
賢	ɕien2	
賣	mai5	
賤	tɕien5	新
賤	tsien5	老
賦	fu5	
質	tsɿ2	
賬	tsaŋ5	
賭	təu3	
賴	lai5	
賺	tɕyen5	老
賺	tsuan5	新
購	kəu3	
賽	sai5	
贅	tsəi5	
贈	tsən5	
贊	tsan5	
贍	san5	新
贍	sen5	老
贏	ʑin2	
贓	tsaŋ1	
贖	səu2	
贛	kan5	
赤	tsʰɿ5	
赦	se5	
赧	nan3	
赫	ho5	
走	tsəu3	
赳	tɕiəu1	
赴	fu5	文
赴	pʰu5	白
起	tɕʰi3	
趁	tsʰən5	
超	tsʰau1	
越	ʑye2	
趔	lie2	
趕	kan3	
趙	tsau5	
趟	tʰaŋ5	
趣	tɕʰy5	
趨	tɕʰi1	老
趨	tɕʰy1	新
足	tsəu2	
趴	pʰa1	
趵	pau5	
趺	fu1	
趾	tsɿ3	
跂	tɕʰi2	
跋	po2	
跌	ta2	白读，同“跶”
跌	tie2	
跐	tsʰɿ1	伸手脚
跑	pʰau3	
跚	san1	
跛	pʰo3	
距	tɕy5	
跟	kən1	
跡	tɕi5	新
跡	tsi5	老
跤	kau1	摔跤
跨	kʰua5	
跨	lia5	训读
跨	tɕʰia5	白读
跪	kue5	白
跪	kuəi5	文
跪	kʰue5	白
路	ləu5	
跳	tʰiau5	
躂	ta2	摔到
跺	to5	
跼	tɕy2	
踉	laŋ5	
踉	liaŋ5	
踏	ta2	
踐	tɕien5	新
踐	tsʰien5	老
踐	tsien5	老
踞	tɕy5	
踟	tsʰɿ2	
踢	tʰi2	
踩	tsʰai3	
踱	to2	
踴	ʑoŋ3	
蹂	ɣəu2	白
蹂	zəu2	文
蹄	tʰi2	
蹅	tsʰa1	踩
蹈	tʰau3	
蹉	tsʰo1	
蹋	tʰa2	
蹌	tsʰiaŋ5	
蹕	pi2	
蹟	tɕi5	新
蹟	tsi5	老
蹠	tɕya2	
蹠	tsa2	踹
蹣	pʰuan2	
蹤	tsoŋ1	
蹦	poŋ5	
蹬	tən5	
蹭	tsʰən5	
蹲	tən1	
蹶	tɕye2	
蹺	tɕʰiau1	
躁	tsʰau5	
躇	tsʰəu2	
躊	tsʰəu2	
躋	tɕi1	新
躋	tsi1	老
躍	ʑau5	白读
躍	ʑo2	文读
躡	ȵie5	
躪	lin5	
身	sən1	
躬	koŋ1	文读
躬	tɕioŋ1	白读，躬背
躲	to3	
躺	tʰaŋ1	
軀	tɕʰy1	
車	tsʰe1	
車	te1	白
車	tɕy1	文
軋	ʑia5	
軌	kuəi3	
軍	tɕyn1	
軒	ɕyen1	
軟	ʑyen3	
軸	tsəu2	
軻	kʰo1	
軾	sɿ5	
較	tɕiau5	
輅	ləu5	
載	tsai3	
載	tsai5	
輓	van3	
輔	fu3	
輕	tɕʰin1	
輛	liaŋ5	
輝	fəi1	
輥	kuən3	
輦	ȵien3	
輩	pəi5	
輪	nən2	
輯	tɕi2	新
輯	tsi2	老
輸	ɕy1	
輻	fu2	
輾	tsʰan3	新
輾	ȵien3	
輾	tsen3	老
輿	ʑi2	老
輿	ʑy2	新
轄	ɕia2	
轅	ʑyen2	
轆	ləu5	
轉	tɕyen3	老
轉	tɕyen5	老
轉	tsuan5	新
轍	tsʰe2	
轎	tɕiau5	
轔	lin2	
轟	hoŋ1	
轡	pi5	
辛	sin1	老
辛	ɕin1	新
辜	ku1	
辟	pʰi5	
辣	la2	
辦	pan5	
辦	pan5	新
辦	puan5	老
辨	pien5	
辭	tsʰɿ2	
辮	pien5	
辯	pien5	
辰	tsʰən2	新
辰	sən2	老
辱	ɣəu3	白
辱	zəu3	文
農	noŋ2	
迂	ʑy1	
迄	tɕʰi3	
迅	ɕin5	老
迅	ɕyn5	新
迎	ȵin2	
近	tɕin5	
返	fan3	
迢	tʰiau2	
迦	ka1	
迦	tɕia1	
迪	ti2	
迫	pʰe2	
迭	tie2	
述	səu5	
迴	fəi2	
迷	mi2	
迺	nai3	
追	tsəi1	
退	tʰəi5	
送	soŋ5	
逃	tʰau2	
逄	pʰaŋ2	
逅	həu5	
逆	ȵi5	
透	tʰəu5	
逐	tsəu2	
逑	tɕʰiəu2	
途	tʰəu2	
逕	tɕin5	
逗	təu5	
這	tse5	文读
這	tsɿ5	白读
通	tʰoŋ1	
逛	kuaŋ5	
逝	sɿ5	
逞	tsʰən3	
速	səu2	
造	tsʰau5	
逢	hoŋ2	
連	lien2	
逬	pin5	
逮	tai3	
週	tsəu1	
進	tɕin5	新
進	tsin5	老
逵	kʰuəi2	
逸	ʑi5	
逼	pi2	
逾	ʑy2	
遁	tən5	
遂	səi5	
遇	ʑy5	
遊	ʑəu2	
運	ʑyn5	
遍	pien5	文
遍	pʰien5	白
過	ko5	
遏	ɣe2	
道	tau5	
達	ta2	
違	vəi2	
遥	ʑau2	
遛	liəu1	
遜	ɕyn5	
遞	təi5	白读
遞	ti5	文读
遠	fan3	
遣	tɕʰien3	
遨	ŋau2	
適	sɿ5	
遭	tsau1	
遮	tse1	
遲	tsʰɿ2	
遴	lin2	
遴	lin5	
遵	tɕyn1	
遵	tsən1	
遷	tsʰien1	老
選	ɕyen3	
遺	vəi2	
遼	liau2	
避	pi5	
邀	ʑau1	
邁	mai5	
還	fan2	
邈	miau3	
邊	pien1	
邋	la1	
邏	lo2	
邑	ʑi5	
邢	ɕin2	
那	na5	
邦	paŋ1	
邪	sie2	老
邪	ɕie2	
邪	ɕie2	新
邯	han2	
邱	tɕʰiəu1	
邳	pʰəi1	
邳	pʰi1	
邵	sau5	
邶	pəi5	
邸	ti3	
郁	ʑy5	
郊	tɕiau1	
郎	laŋ2	
郝	ho5	
郟	ɕia2	
郡	tɕyn5	
部	pu5	
郫	pʰi2	
郭	ko1	
郵	ʑəu2	
都	təu1	
都	təu5	破音
鄂	ɣo5	
鄉	ɕiaŋ1	
鄒	tsəu1	
鄖	ɕyn1	
鄙	pi3	
鄧	tən5	
鄭	tsən5	
鄰	lin2	
鄱	pʰo2	
酉	ʑəu3	
酋	tɕʰiəu2	
酌	tso2	
配	pʰəi5	
酒	tɕiəu3	新
酒	tsiəu3	老
酗	ɕy5	
酚	fən1	
酣	han1	
酥	səu1	
酩	min2	
酪	lo5	
酬	tsʰəu2	
酮	tʰoŋ2	
酵	tɕiau5	
酶	məi2	
酷	kʰu5	
酸	suan1	
釅	ȵien5	浓
醃	ŋan5	白，腌制
醃	ʑen1	文
醅	pʰəi1	
醇	tsʰən2	
醇	tɕʰyn2	
醉	tsəi5	
醋	tsʰəu5	
醍	tʰi2	
醐	fu2	
醒	sin3	老
醒	ɕin3	新
醚	mi2	
醛	tɕʰyen2	
醜	tsʰəu3	
醞	ʑyn5	
醫	ʑi1	
醬	tɕiaŋ5	新
醬	tsiaŋ5	老
釀	ȵiaŋ5	
釁	ɕin5	
采	tsʰai3	
釉	ʑəu5	
釋	sɿ2	
里	li3	
重	tsʰoŋ2	
重	tsoŋ5	
野	ʑe3	
量	laŋ2	
量	liaŋ5	
釐	li2	
金	tɕin1	
釕	liau3	
釘	tin1	
釘	tin5	
釜	fu3	
針	tsən1	
釣	tiau5	
釦	kʰəu5	
釩	fan2	
釬	han5	
釵	tsʰa1	
鈀	pa1	
鈉	na2	
鈍	tən5	
鈑	pan3	
鈔	tsʰau1	
鈕	ȵiəu3	
鈞	tɕyn1	
鈣	kai5	
鈰	sɿ5	
鈴	lin2	
鈾	ʑəu2	
鈿	tʰien2	
鉀	tɕia2	
鉋	pau5	
鉍	pi5	
鉑	po2	
鉗	tɕʰien2	
鉚	mau3	
鉛	tɕʰien1	
鉤	kəu1	
鉸	tɕiau5	
鉻	lo5	
銀	ʑin2	
銅	tʰoŋ2	
銑	ɕien3	
銘	min2	
銜	han2	老
銜	ɕien2	新
銥	ʑi1	
銨	ŋan1	
銫	se2	
銬	kʰau5	
銲	han5	
銳	zəi5	
銷	siau1	老
銷	ɕiau1	新
銻	tʰi2	
銼	tsʰo5	
鋁	ləi3	
鋅	ɕin1	
鋇	pəi5	
鋒	hoŋ1	
鋤	tsʰəu2	
鋪	pu5	床铺
鋪	pʰu1	铺陈
鋰	li3	
鋸	ke5	白
鋸	tɕy5	文
鋼	kaŋ1	
錄	ləu2	
錐	tsəi1	
錕	kʰuən1	
錘	tsʰəi2	
錘	tɕʰy2	
錛	pən1	
錠	tin5	
錢	tsʰien2	老
錦	tɕin3	
錨	mau2	
錫	si2	老
錫	ɕi2	新
錯	tsʰo5	
錳	moŋ3	
錶	piau3	
錸	lai2	
鍁	ɕien1	
鍆	mən2	
鍊	lien5	
鍋	ko1	
鍍	təu5	
鍘	tsa2	
鍛	tuan5	
鍬	tsʰiau1	老
鍬	tɕʰiau1	新
鍵	tɕien5	
鍾	tsoŋ1	
鎂	məi3	
鎄	ŋai1	
鎊	pʰaŋ1	
鎏	liəu1	
鎔	ɣoŋ2	
鎔	ʑoŋ2	
鎖	so3	
鎢	vu1	
鎧	kʰai3	
鎩	sa5	
鎬	hau5	
鎮	tsən5	
鎳	ȵie5	
鎵	tɕia1	
鏈	lien2	
鏌	mo5	
鏖	ŋau2	
鏗	kʰən1	
鏘	tsʰiaŋ1	
鏡	tɕin5	
鏢	piau1	
鏤	ləu5	
鏽	siəu5	老
鏽	ɕiəu5	新
鐐	liau5	
鐒	lau2	
鐘	tsoŋ1	
鐮	lien2	
鐳	ləi2	
鐵	tʰie2	
鐸	to2	
鐺	tʰaŋ1	
鐾	pi5	
鑄	tɕy5	
鑊	ho5	
鑑	tɕien5	
鑒	tɕien5	
鑠	so5	
鑫	ɕin1	
鑰	ʑo2	
鑲	siaŋ1	老
鑲	ɕiaŋ1	新
鑷	ȵie5	
鑼	lo2	
鑽	tsuan1	
鑽	tsuan5	
鑾	luan2	
鑿	tsʰo5	
钁	tɕie2	
長	tsʰaŋ2	
長	tsaŋ3	
門	mən2	
閂	suan1	
閃	san3	新
閃	sen3	老
閉	pi5	
開	kʰai1	
閏	ɣən5	白
閏	sən5	文
閑	ɕien2	
閒	ɕien2	
間	kan1	
間	kan5	
間	tɕien1	
閘	tsa2	
閡	he2	
閣	ko2	
閤	ho2	
閥	fa2	
閨	kuəi1	
閩	min3	
閭	li3	
閱	ʑye2	
閹	ʑen1	
閻	ȵien2	老
閻	ʑen2	新
闆	pan3	
闊	kʰo5	
闌	lan2	
闔	ho2	
闖	tsʰaŋ3	
關	kuan1	
闡	tsʰan3	新
闡	tsʰen3	老
闢	pʰi5	
阜	pu5	
阡	tsʰen1	老
阡	tɕʰien1	新
阪	fan3	
阮	ʑyen3	
阱	tɕin3	新
阱	tsin3	老
防	faŋ2	
阻	tsəu3	
阿	ɣo1	
陀	tʰo2	
陂	pəi1	
陂	pʰi2	
陂	pʰo1	
附	fu5	
陋	ləu5	
陌	me2	
降	tɕiaŋ5	
降	ɕiaŋ2	
限	han5	
限	ɕien5	
陛	pi5	
陝	san3	新
陝	sen3	老
陡	təu3	
院	ʑyen5	
陣	tsən5	
除	tɕʰy2	
陪	pʰəi2	
陰	ʑin1	
陳	tsʰən2	
陴	pʰi2	
陵	lin2	
陶	tʰau2	
陷	han5	白
陷	ɕien5	文
陸	ləu2	
陽	ʑaŋ2	
隅	ʑy2	
隆	loŋ2	
隊	təi5	
隋	səi2	
隍	faŋ2	
階	kai1	
隔	ke2	
隕	ʑyn3	
隘	ŋai5	
隙	ɕi5	
際	tɕi5	新
際	tsi5	老
障	tsaŋ5	
隧	səi5	
隨	səi2	
險	ɕien3	
隱	ʑin3	
隴	loŋ3	
隸	li5	
隻	tsɿ2	
隼	sən3	
雀	tɕʰio2	
雁	ŋan5	
雄	ɕioŋ2	
雅	ŋa3	
雅	ʑia3	
集	tɕi2	新
集	tsi2	老
雇	ku5	
雋	tɕien5	
雌	tsʰɿ2	
雍	ʑoŋ1	
雎	tɕy1	
雕	tiau1	
雖	səi1	
雖	ɕyəi1	
雙	saŋ1	
雙	ɕyaŋ1	
雛	tsʰəu2	
雜	tsa2	
雞	tɕi1	
離	li2	
離	li5	离鍋
離	lia1	白
難	nan2	
難	nan5	
雨	ʑy3	
雪	sie2	老
雪	ɕie2	新
雰	fən1	
雲	ʑyn2	
零	lin2	
雷	ləi2	
雹	pʰau5	冰雹
電	tien5	
需	ɕi1	老
需	ɕy1	新
霄	siau1	老
霄	ɕiau1	新
震	tsən5	
霉	məi1	运气差
霉	məi2	
霍	ho5	
霎	sa2	
霑	tsan1	新
霑	tsen1	老
霓	ȵi2	
霖	lin2	
霜	saŋ1	
霜	ɕyaŋ1	
霞	ɕia2	
霧	vu5	
露	ləu5	
霸	pa5	
霹	pʰi1	
霾	mai2	
靂	li5	
靄	ŋai5	
靈	lin2	
青	tsʰin1	老
靖	tɕin5	新
靖	tsin5	老
靚	tɕin5	新
靚	tsin5	老
靛	tien5	
靜	tɕin5	新
靜	tsin5	老
非	fəi1	
靠	kʰau5	
靡	mi2	
面	mien5	
靦	tʰien3	
革	ke2	
靳	tɕʰi5	
靴	ɕye1	
靶	pa3	
鞋	hai2	
鞍	ŋan1	
鞏	koŋ3	
鞔	man2	新
鞔	muan2	老
鞘	tɕʰiau5	
鞠	tɕy1	
鞦	tsʰiəu1	老
鞦	tɕʰiəu1	新
鞭	pien1	
韁	tɕiaŋ1	
韃	ta2	
韆	tsʰien1	老
韋	vəi3	
韌	ɣən5	白
韌	zən5	文
韓	han2	
韜	tʰau1	
韝	pəi5	
韭	tɕiəu3	
音	ʑin1	
韶	sau2	
韻	ʑyn5	
響	ɕiaŋ3	
頁	ʑe2	
頂	tin3	
頃	tɕʰin1	
項	haŋ5	
順	sən5	
順	ɕyn5	
須	ɕi1	老
須	ɕy1	新
頌	soŋ5	
預	ʑy5	
頑	van2	
頒	pan1	
頓	tən5	
頗	pʰo1	
領	lin3	
頡	ʑe2	
頤	ʑi2	
頭	toŋ2	白，量词，侗
頭	tʰəu2	
頰	tɕia2	
頷	han5	
頸	tɕiaŋ3	白读，颈根
頸	tɕin3	文读
頹	tʰəi2	
頻	pʰin2	
顆	kʰo3	
題	tʰi2	
額	ŋe2	
顎	ɣo5	
顏	ȵien2	
願	ʑyen5	
顙	saŋ3	
顚	tʰien1	
顛	tʰien1	
類	ləi5	
顥	hau5	
顧	ku5	
顫	tsʰan5	
顫	tsan5	
顯	ɕien3	
顰	pʰin2	
顱	ləu2	
顴	tɕʰyen2	
風	hoŋ1	
颯	sa5	飒飒響
颱	tʰai2	
颶	tɕy5	
颺	ʑaŋ2	
飄	pʰiau1	
飛	fəi1	
食	sɿ2	
飢	tɕi1	
飩	tən5	
飪	ɣən5	白
飯	fan5	
飲	ʑin3	
飼	sɿ5	
飽	pau3	
飾	sɿ5	
餃	tɕiau3	
餅	pin3	
養	ʑaŋ3	
餌	ɣə3	
餐	tsʰan1	
餒	nəi3	
餓	ɣo5	
餘	ʑy2	
餛	fən2	文读
餛	kʰuən2	白读
餞	tɕien5	新
餞	tsien5	老
餡	ɕien5	
館	kuan3	
餩	ŋe5	
餵	vəi5	
餽	kʰuəi5	
餾	liəu1	
饃	mo2	
饅	man2	新
饅	muan2	老
饉	tɕin5	
饑	tɕi1	
饒	ɣau2	白
饒	zau2	文
饕	tʰau1	
饞	tsʰan2	新
饞	tsʰen2	老
首	səu3	
馗	kʰuəi2	
香	ɕiaŋ1	
馨	ɕin3	
馬	ma3	
馭	ʑy5	
馮	hoŋ2	
馮	pʰin2	
馱	tʰo2	
馳	tsʰɿ2	
馴	ɕyn5	
駁	po2	
駐	tɕy5	
駑	nəu2	
駒	tɕy1	
駕	ka5	
駕	tɕia5	
駙	fu5	
駛	sɿ3	
駝	tʰo2	
駟	sɿ5	
駢	pʰien2	
駭	hai5	
駱	lo5	
駿	tɕyn5	
騁	tsʰən3	
騎	tɕi5	
騎	tɕʰi2	
騙	pʰien5	
騫	tɕʰien1	
騰	tʰən2	
騷	sau1	
騾	lo2	
驀	mo5	
驁	ŋau2	
驁	ŋau5	
驅	tɕʰy1	
驕	tɕiau1	
驗	ȵien5	老
驗	ʑen5	新
驚	tɕin1	
驟	tsəu5	
驢	li2	
驢	ləu2	
驪	li2	
骨	ku2	
骯	ŋaŋ1	
骷	kʰu1	
骸	hai2	
骼	ke2	
髏	ləu2	
髒	tsaŋ1	
髓	səi2	
體	tʰi3	
髖	kʰuən1	
高	kau1	
髮	fa2	理发
髮	fa1	头发
鬃	tsoŋ1	
鬆	soŋ1	
鬍	fu2	
鬚	ɕi1	老
鬚	ɕy1	新
鬢	pin5	
鬥	təu5	
鬧	nau5	
鬨	hoŋ3	
鬭	təu5	
鬮	tɕiəu1	
鬱	ʑy5	
鬲	ke2	
鬼	kuəi3	
魁	kʰuəi2	
魂	fən2	
魃	pa2	
魄	pʰe2	
魅	məi5	
魎	liaŋ3	
魏	vəi5	
魑	tsʰɿ1	
魔	mo2	
魚	ʑy2	
魯	ləu3	
鮁	pa2	
鮑	pau5	
鮫	tɕiau1	
鮭	kuəi1	
鮮	sien1	老
鮮	sien3	老
鮮	ɕien1	新
鮮	ɕien3	新
鯉	li3	
鯊	sa1	
鯢	ȵi2	
鯤	kʰuən1	
鯧	tsʰaŋ1	
鯨	tɕin1	
鯪	lin2	
鯰	ȵien2	
鯽	tɕi2	新
鯽	tsi2	老
鰍	tsʰiəu1	老
鰍	tɕʰiəu1	新
鰓	sai1	
鰣	sɿ2	
鰭	tɕʰi2	
鰱	lien2	
鰳	le5	
鰻	man2	新
鰻	muan2	老
鰾	piau5	
鱉	pie1	
鱔	san5	新
鱔	sen5	老
鱖	kuəi5	
鱗	lin2	
鱷	ɣo5	
鱸	ləu2	
鳥	ȵiau3	
鳧	fu2	
鳩	tɕiəu1	
鳳	hoŋ5	
鳴	min2	
鴇	pau3	
鴉	ŋa1	
鴕	tʰo2	
鴛	ʑyen1	
鴣	ku1	
鴦	ʑaŋ1	
鴨	ŋa2	老
鴨	ʑia2	新
鴻	hoŋ2	
鴿	ko2	
鵑	tɕyen1	
鵝	ɣo2	
鵡	vu3	
鵪	ŋan1	
鵬	pʰoŋ2	
鵯	pəi1	
鵰	tiau1	
鵲	tɕʰio2	
鶉	tsʰən2	
鶉	tɕʰyn2	
鶯	ʑin1	
鶴	ho5	
鶿	tsʰɿ2	
鷗	ŋəu1	
鷥	sɿ1	
鷯	liau2	
鷲	tɕiəu5	新
鷲	tsiəu5	老
鷹	ʑin1	
鷺	ləu5	
鸕	ləu2	
鸚	ʑin1	
鸝	li2	
鸞	luan2	
鹵	ləu3	
鹹	han2	老
鹹	ɕien2	新
鹼	tɕien3	
鹽	ʑen2	
鹿	ləu5	
麒	tɕʰi2	
麓	ləu5	
麗	li2	
麗	li5	
麝	se5	
麟	lin2	
麥	me2	
麩	fu1	
麴	tɕʰy2	
麵	mien5	
麻	ma1	黑麻漆
麻	ma2	
麼	mo1	
黃	faŋ2	
黍	səu3	
黎	li2	
黏	ȵia1	白
黏	ȵien2	文
黑	he2	
黔	tɕʰien2	
默	me2	
黛	tai5	
黜	tɕʰy2	
點	tien3	
黥	tɕʰioŋ2	
黨	taŋ3	
黯	ŋan5	
黴	məi2	
黷	təu2	
鼇	ŋau2	
鼎	tin3	
鼐	nai5	
鼓	ku3	
鼕	toŋ1	
鼙	pʰi1	
鼠	tɕʰy3	
鼻	pi5	
鼾	han1	
齆	hoŋ1	
齊	tsʰəi2	
齋	tsai1	
齏	tɕi1	新
齏	tsi1	老
齒	tsʰɿ3	
齙	pau5	
齟	tɕy3	
齡	lin2	
齣	tɕʰy2	
齧	ȵie2	
齪	tsʰo5	
齲	tɕy3	
齶	ɣo5	
龍	loŋ2	
龐	pʰaŋ2	
龔	koŋ1	
龜	kuəi1	
龜	tɕiəu1	
𡎺	tsuəi2	塞
𢱟	tsʰan2	新
𢱟	tsʰen3	老，抽打
𣉿	tsau1	脆
𤢈	tən5	狗咬
譨	nəu2	话多
