#漢字	音標	解釋
悲	pai1	
情	zeŋ2	
驚	tɕiaŋ1	
惜	sei7	
惟	ɦy2	
惠	ɦy6	
慘	tsʰø3	
慣	kuɔ5	
惰	dəu4	
想	ɕiɛ3	
愁	zau2	
意	i5	
愚	ȵy6	
感	ke3	
憤	vaŋ4	
愧	tɕy3	惭～
愧	kʰai5	又读
願	ȵyø6	
慈	zɿ2	
慌	ho1	
慎	zaŋ6	
慕	mu6	
慢	mɔ6	
慧	ɦy6	
慨	kʰe5	慷～
慷	kʰo5	
憎	tsaŋ1	
憨	hø1	痴
懂	toŋ3	
懊	ˀɛ5	～悔
懶	lɔ4	
懵	moŋ4	～懂
戌	ɕyø7	
戎	zoŋ2	
戲	ɕi5	
成	zeŋ2	
我	ŋ4	
戒	ka5	
或	va8	
戰	tɕie5	
截	ɦie8	
戳	tɕʰyo7	
戴	ta5	白读，～帽
戴	te5	姓
戶	vu4	
房	vɔ2	
所	so3	
扁	pie3	
扁	tɕie7	
扇	ɕie5	
手	səu3	
才	ze2	
扎	tsɔ7	
扑	pʰuo7	
打	ta3	
托	tʰø7	
扣	kʰau5	
執	tsɛ7	
擴	kʰo5	
掃	sɛ5	
揚	ɦiɛ2	
扭	ȵiau1	
扮	pɔ5	
扳	pɔ1	
扶	vu6	
批	pʰei1	
找	tsɔ3	
承	zeŋ2	
技	dʑi6	
抄	tsʰɔ1	
把	puo3	
抑	i7	
抓	tsɔ1	
投	dau2	
抖	tau3	
抗	kʰo5	
折	tɕie7	
抛	pʰɔ1	
搶	tɕʰiɛ3	
護	vu6	
報	pɛ5	
披	pʰei1	
抬	de2	
抱	bɛ4	
抵	tei3	
抹	mø8	
押	ˀɔ7	
抽	tsʰəu1	
抿	meŋ4	
擔	tɔ1	负～
擔	tɔ5	～子
拆	tsʰa7	
拉	lɔ1	
拌	bø4	
拍	pʰa7	
拎	leŋ1	
拐	ka3	
拒	dʑy2	
拔	bɔ8	
拖	tʰa1	白读，鞋～
拖	tʰəu1	
拘	tɕy1	
拙	tɕyø7	
招	tɕyø1	
拜	pa5	
攏	loŋ4	
揀	kɔ3	
揀	tɕie3	文读
擁	ˀioŋ3	
攔	lɔ2	
撥	pø7	
擇	dzɛ8	
括	kuɔ7	
拳	dʑyø2	
拼	pʰeŋ1	又读
拼	pʰeŋ5	
拾	zɛ8	
拿	nɔ8	
挂	kuo5	
指	tsɿ3	
按	ˀø5	
挑	tʰuɔ1	
挑	tʰuɔ3	选
挖	ˀuɔ7	
挾	kɔ7	
撓	no4	
擋	to5	
擠	tɕi5	
揮	səy1	
