單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	韻母_定	聲調_定	聲母_IPA	韻母_IPA	聲調_IPA	備註					
墅	常	開	三	魚	上	章	遇	s	ui	6	s	ui	32						
垂	常	合	三	支A	平	章	止	s	ui	4	s	ui	22						
萃	從	合	三	脂A	去	精	止	s	ui	6	s	ui	32						
淬	清	合	一	灰	去	精	蟹	s	ui	6	s	ui	32						
悴	從	合	三	脂A	去	精	止	s	ui	6	s	ui	32						
粹	心	合	三	脂A	去	精	止	s	ui	6	s	ui	32						
瑞	常	合	三	支A	去	章	止	s	ui	6	s	ui	32						
墅	常	開	三	魚	上	章	遇	s	ui	6	s	ui	32						
衰	生	合	三	脂B	平	莊	止	s	ui	1	s	ui	23	衰仔					
帥	生	合	三	脂B	去	莊	止	s	ui	1	s	ui	23						
誰	常	合	三	脂A	平	章	止	s	ui	4	s	ui	22						
水	書	合	三	脂A	上	章	止	s	ui	2	s	ui	45						
稅	書	合	三	祭A	去	章	蟹	s	ui	1	s	ui	23						
睡	常	合	三	支A	去	章	止	s	ui	6	s	ui	32						
說	書	合	三	祭A	去	章	蟹	s	ui	1	s	ui	23						
雖	心	合	三	脂A	平	精	止	s	ui	1	s	ui	23						
髓	心	合	三	支A	上	精	止	s	ui	1	s	ui	23						
祟	心	合	三	脂A	去	精	止	s	ui	6	s	ui	32						
遂	邪	合	三	脂A	去	精	止	s	ui	6	s	ui	32						
碎	心	合	一	灰	去	精	蟹	s	ui	1	s	ui	23						
歲	心	合	三	祭A	去	精	蟹	s	ui	1	s	ui	23						
隧	邪	合	三	脂A	去	精	止	s	ui	6	s	ui	32						
穗	邪	合	三	脂A	去	精	止	s	ui	6	s	ui	32						
邃	心	合	三	脂A	去	精	止	s	ui	6	s	ui	32						
須	心	合	三	虞	平	精	遇	s	ui	1	s	ui	23						
需	心	合	三	虞	平	精	遇	s	ui	1	s	ui	23						
絮	心	開	三	魚	去	精	遇	s	ui	1	s	ui	23						
緒	邪	開	三	魚	上	精	遇	s	ui	1	s	ui	23						
叔	書	開	三	東	入	章	通	s	uk	2	s	ʊk	45						
倏	書	開	三	東	入	章	通	s	uk	2	s	ʊk	45						
淑	常	開	三	東	入	章	通	s	uk	6	s	ʊk	32						
孰	常	開	三	東	入	章	通	s	uk	6	s	ʊk	32						
塾	常	開	三	東	入	章	通	s	uk	6	s	ʊk	32						
熟	常	開	三	東	入	章	通	s	uk	6	s	ʊk	32						
贖	船	開	三	鍾	入	章	通	s	uk	6	s	ʊk	32						
蜀	常	開	三	鍾	入	章	通	s	uk	6	s	ʊk	32						
屬	常	開	三	鍾	入	章	通	s	uk	6	s	ʊk	32	屬於					
夙	心	開	三	東	入	精	通	s	uk	2	s	ʊk	45						
粟	心	開	三	鍾	入	精	通	s	uk	2	s	ʊk	45						
肅	心	開	三	東	入	精	通	s	uk	2	s	ʊk	45						
縮	生	開	三	東	入	莊	通	s	uk	2	s	ʊk	45						
宿	心	開	三	東	入	精	通	s	uk	2	s	ʊk	45	住宿					
純	常	合	三	真A	平	章	臻	s	un	4	s	un	22						
脣	船	合	三	真A	平	章	臻	s	un	4	s	un	22						
淳	常	合	三	真A	平	章	臻	s	un	4	s	un	22						
醇	常	合	三	真A	平	章	臻	s	un	4	s	un	22						
鶉	常	合	三	真A	平	章	臻	s	un	4	s	un	22	鶉衣					
順	船	合	三	真A	去	章	臻	s	un	6	s	un	32						
舜	書	合	三	真A	去	章	臻	s	un	1	s	un	23						
瞬	書	合	三	真A	去	章	臻	s	un	1	s	un	23						
筍	心	合	三	真A	上	精	臻	s	un	2	s	un	45						
詢	心	合	三	真A	平	精	臻	s	un	1	s	un	23						
殉	邪	合	三	真A	去	精	臻	s	un	1	s	un	23						
馴	邪	合	三	真A	平	精	臻	s	un	4	s	un	22						
遜	心	合	一	魂	去	精	臻	s	un	1	s	un	23						
孫	心	合	一	魂	平	精	臻	s	un	1	s	un	23						
飧	心	合	一	魂	平	精	臻	s	un	1	s	un	23						
損	心	合	一	魂	上	精	臻	s	un	2	s	un	45						
宣	心	合	三	仙A	平	精	山	s	un	1	s	un	23						
旋	邪	合	三	仙A	平	精	山	s	un	4	s	un	22						
漩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	un	4	s	un	22						
選	心	合	三	仙A	上	精	山	s	un	2	s	un	45						
渲	心	合	三	仙A	去	精	山	s	un	1	s	un	23						
崇	崇	開	三	東	平	莊	通	s	ung	4	s	ʊŋ	22						
從	清	開	三	鍾	平	精	通	s	ung	1	s	ʊŋ	23	從容					
忪								s	ung	1	s	ʊŋ	23	惺忪					
嵩	心	開	三	東	平	精	通	s	ung	1	s	ʊŋ	23						
鬆	心	合	一	冬	平	精	通	s	ung	1	s	ʊŋ	23						
悚	心	開	三	鍾	上	精	通	s	ung	2	s	ʊŋ	45						
慫	心	開	三	鍾	上	精	通	s	ung	2	s	ʊŋ	45						
聳	心	開	三	鍾	上	精	通	s	ung	2	s	ʊŋ	45						
宋	心	合	一	冬	去	精	通	s	ung	1	s	ʊŋ	23						
送	心	開	一	東	去	精	通	s	ung	1	s	ʊŋ	23						
傻	生	合	二	麻	上	莊	假	s	uo	4	s	uɔ	22						
梳	生	開	三	魚	平	莊	遇	s	uo	1	s	uɔ	23						
疏	生	開	三	魚	平	莊	遇	s	uo	1	s	uɔ	23	疏通					
疏	生	開	三	魚	去	莊	遇	s	uo	1	s	uɔ	23	註疏					
蔬	生	開	三	魚	平	莊	遇	s	uo	1	s	uɔ	23						
娑	心	開	一	歌	平	精	果	s	uo	1	s	uɔ	23						
梭	心	合	一	歌	平	精	果	s	uo	1	s	uɔ	23						
蓑	心	合	一	灰	平	精	蟹	s	uo	1	s	uɔ	23						
嗦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	uo	1	s	uɔ	23						
簑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	uo	1	s	uɔ	23						
所	生	開	三	魚	上	莊	遇	s	uo	2	s	uɔ	45						
瑣	心	合	一	歌	上	精	果	s	uo	2	s	uɔ	45						
鎖	心	合	一	歌	上	精	果	s	uo	2	s	uɔ	45						
塞	心	開	一	咍	去	精	蟹	s	uoi	1	s	uɔi	23	塞外					
賽	心	開	一	咍	去	精	蟹	s	uoi	1	s	uɔi	23						
篩	生	開	三	脂B	平	莊	止	s	uoi	1	s	uɔi	23						
使	生	開	三	之	上	莊	止	s	uoi	2	s	uɔi	45	使用，習讀音應爲韻母i對應的白讀音					
駛	生	開	三	之	上	莊	止	s	uoi	2	s	uɔi	45						
腮	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	uoi	1	s	uɔi	23						
鰓	心	開	一	咍	平	精	蟹	s	uoi	1	s	uɔi	23						
思								s	uoi	1	s	uɔi	23	于思					
衰	生	合	三	脂B	平	莊	止	s	uoi	1	s	uɔi	23	衰弱					
腎	常	開	三	真A	上	章	臻	s	un	5	s	un	21						
痠	心	合	一	寒	平	精	山	s	uon	1	s	uɔn	23						
酸	心	合	一	寒	平	精	山	s	uon	1	s	uɔn	23						
蒜	心	合	一	寒	去	精	山	s	uon	1	s	uɔn	23						
算	心	合	一	寒	上	精	山	s	uon	1	s	uɔn	23						
率	生	合	三	真B	入	莊	臻	s	ut	2	s	ut	45	率領					
朮	船	合	三	真A	入	章	臻	s	ut	6	s	ut	32						
述	船	合	三	真A	入	章	臻	s	ut	6	s	ut	32						
術	船	合	三	真A	入	章	臻	s	ut	6	s	ut	32						
摔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	ut	2	s	ut	45						
蟀	生	合	三	真B	入	莊	臻	s	ut	2	s	ut	45						
窣	心	合	一	魂	入	精	臻	s	ut	2	s	ut	45						
戌	心	合	三	真A	入	精	臻	s	ut	2	s	ut	45						
恤	心	合	三	真A	入	精	臻	s	ut	2	s	ut	45						
雪	心	合	三	仙A	入	精	山	s	ut	1	s	ut	23						
雪	心	合	三	仙A	入	精	山	s	ut	2	s	ut	45	白雪雪					
華	匣	合	二	麻	平	影	假	v	aa	4	ʋ	a	22	中華					
華	匣	合	二	麻	去	影	假	v	aa	6	ʋ	a	32	華山					
嘩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	1	ʋ	a	23						
嘩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	4	ʋ	a	22						
畫	匣	合	二	佳	去	影	蟹	v	aa	6	ʋ	a	32	圖畫，習讀音應爲變調導致					
話	匣	合	二	夬	去	影	蟹	v	aa	6	ʋ	a	32						
樺	匣	合	二	麻	平	影	假	v	aa	4	ʋ	a	22						
哇	影	開	二	佳	平	影	蟹	v	aa	1	ʋ	a	23						
蛙	影	合	二	佳	平	影	蟹	v	aa	1	ʋ	a	23						
窪	影	合	二	麻	平	影	假	v	aa	1	ʋ	a	23						
娃	影	開	二	佳	平	影	蟹	v	aa	1	ʋ	a	23						
譁	曉	合	二	麻	平	影	假	v	aa	1	ʋ	a	23						
淮	匣	合	二	皆	平	影	蟹	v	aai	4	ʋ	ai	22						
槐	匣	合	二	皆	平	影	蟹	v	aai	4	ʋ	ai	22						
踝	匣	合	二	麻	上	影	假	v	aai	4	ʋ	ai	22						
懷	匣	合	二	皆	平	影	蟹	v	aai	4	ʋ	ai	22						
壞	見	合	二	皆	去	見	蟹	v	aai	6	ʋ	ai	32						
歪	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aai	1	ʋ	ai	23						
划	匣	合	二	麻	平	影	假	v	aak	6	ʋ	ak	32						
畫	匣	合	二	耕	入	影	梗	v	aak	6	ʋ	ak	32	畫圖					
劃	匣	合	二	耕	入	影	梗	v	aak	6	ʋ	ak	32						
或	匣	合	一	登	入	影	曾	v	aak	6	ʋ	ak	32						
惑	匣	合	一	登	入	影	曾	v	aak	6	ʋ	ak	32						
還	匣	合	二	刪	平	影	山	v	aan	4	ʋ	an	22						
寰	匣	合	二	刪	平	影	山	v	aan	4	ʋ	an	22						
環	匣	合	二	刪	平	影	山	v	aan	4	ʋ	an	22						
鬟	匣	合	二	刪	平	影	山	v	aan	4	ʋ	an	22						
幻	匣	合	二	山	去	影	山	v	aan	6	ʋ	an	32						
患	匣	合	二	刪	去	影	山	v	aan	6	ʋ	an	32						
彎	影	合	二	刪	平	影	山	v	aan	1	ʋ	an	23						
灣	影	合	二	刪	平	影	山	v	aan	1	ʋ	an	23						
灣	影	合	二	刪	平	影	山	v	aan	4	ʋ	an	22	牛湾镇					
玩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aan	2	ʋ	an	45	去玩					
挽	明	合	三	元	上	幫	山	v	aan	5	ʋ	an	21						
輓	明	合	三	元	上	幫	山	v	aan	1	ʋ	an	23						
嬛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aan	4	ʋ	an	22	嫏嬛					
玩	疑	合	一	寒	去	見	山	v	aan	6	ʋ	an	32						
橫	見	合	一	唐	平	見	宕	v	aang	4	ʋ	aŋ	22						
猾	匣	合	二	山	入	影	山	v	aat	6	ʋ	at	32						
挖	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aat	1	ʋ	at	23						
役	以	合	三	清A	入	以	梗	v	ik	6	ʋ	ik	32						
疫	以	合	三	清A	入	以	梗	v	ik	6	ʋ	ik	32						
域	云	合	三	蒸	入	影	曾	v	ik	6	ʋ	ik	32						
榮	云	合	三	庚	平	影	梗	v	ing	4	ʋ	ɪŋ	22						
嶸	云	合	三	庚	平	影	梗	v	ing	4	ʋ	ɪŋ	22						
潁	以	合	三	清A	上	以	梗	v	ing	6	ʋ	ɪŋ	32						
穎	以	合	三	清A	上	以	梗	v	ing	6	ʋ	ɪŋ	32						
永	云	合	三	庚	上	影	梗	v	ing	5	ʋ	ɪŋ	21						
泳	云	合	三	庚	去	影	梗	v	ing	6	ʋ	ɪŋ	32						
詠	云	合	三	庚	去	影	梗	v	ing	6	ʋ	ɪŋ	32						
鍋	見	合	一	歌	平	見	果	v	o	1	ʋ	ɔ	23						
禾	匣	合	一	歌	平	影	果	v	o	4	ʋ	ɔ	22						
和	匣	合	一	歌	平	影	果	v	o	4	ʋ	ɔ	22	和諧					
和	匣	合	一	歌	去	影	果	v	o	6	ʋ	ɔ	32	唱和					
禍	匣	合	一	歌	上	影	果	v	o	6	ʋ	ɔ	32						
媧	見	合	二	佳	平	見	蟹	v	o	1	ʋ	ɔ	23						
渦	影	合	一	歌	平	影	果	v	o	1	ʋ	ɔ	23	漩渦					
喔	影	開	二	江	入	影	江	v	o	1	ʋ	ɔ	23	嘆詞					
窩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	o	1	ʋ	ɔ	23						
蝸	見	合	二	佳	平	見	蟹	v	o	1	ʋ	ɔ	23						
獲	匣	合	二	耕	入	影	梗	v	ok	6	ʋ	ɔk	32						
穫	匣	合	一	唐	入	影	宕	v	ok	6	ʋ	ɔk	32						
皇	匣	合	一	唐	平	影	宕	v	ong	4	ʋ	ɔŋ	22						
凰	匣	合	一	唐	平	影	宕	v	ong	4	ʋ	ɔŋ	22						
黃	匣	合	一	唐	平	影	宕	v	ong	4	ʋ	ɔŋ	22						
徨	匣	合	一	唐	平	影	宕	v	ong	4	ʋ	ɔŋ	22						
惶	匣	合	一	唐	平	影	宕	v	ong	4	ʋ	ɔŋ	22						
煌	匣	合	一	唐	平	影	宕	v	ong	4	ʋ	ɔŋ	22						
潢	匣	合	一	唐	平	影	宕	v	ong	4	ʋ	ɔŋ	22						
磺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ong	4	ʋ	ɔŋ	22						
簧	匣	合	一	唐	平	影	宕	v	ong	4	ʋ	ɔŋ	22						
汪	影	合	一	唐	平	影	宕	v	ong	1	ʋ	ɔŋ	23						
王	云	合	三	陽	平	影	宕	v	ong	4	ʋ	ɔŋ	22	國王					
王	云	合	三	陽	去	影	宕	v	ong	6	ʋ	ɔŋ	32	王天下					
枉	影	合	三	陽	上	影	宕	v	ong	2	ʋ	ɔŋ	45						
往	云	合	三	陽	上	影	宕	v	ong	5	ʋ	ɔŋ	21						
旺	云	合	三	陽	去	影	宕	v	ong	6	ʋ	ɔŋ	32						
惡	影	開	一	模	去	影	遇	v	u	1	ʋ	u	23	可惡					
惡	影	開	一	模	平	影	遇	v	u	1	ʋ	u	23	惡乎					
狐	匣	開	一	模	平	影	遇	v	u	4	ʋ	u	22						
弧	匣	開	一	模	平	影	遇	v	u	4	ʋ	u	22						
胡	匣	開	一	模	平	影	遇	v	u	4	ʋ	u	22						
壺	匣	開	一	模	平	影	遇	v	u	4	ʋ	u	22						
葫	匣	開	一	模	平	影	遇	v	u	4	ʋ	u	22						
湖	匣	開	一	模	平	影	遇	v	u	4	ʋ	u	22						
瑚	匣	開	一	模	平	影	遇	v	u	4	ʋ	u	22						
蝴	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	u	4	ʋ	u	22						
糊	匣	開	一	模	平	影	遇	v	u	4	ʋ	u	22						
鬍	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	u	4	ʋ	u	22						
滸	曉	開	一	模	上	影	遇	v	u	2	ʋ	u	45						
互	匣	開	一	模	去	影	遇	v	u	6	ʋ	u	32						
瓠	匣	開	一	模	平	影	遇	v	u	6	ʋ	u	32						
扈	匣	開	一	模	上	影	遇	v	u	6	ʋ	u	32						
滬	匣	開	一	模	上	影	遇	v	u	6	ʋ	u	32						
護	匣	開	一	模	去	影	遇	v	u	6	ʋ	u	32						
污	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	u	1	ʋ	u	23						
烏	影	開	一	模	平	影	遇	v	u	1	ʋ	u	23						
嗚	影	開	一	模	平	影	遇	v	u	1	ʋ	u	23						
摀	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	u	2	ʋ	u	45						
塢	影	開	一	模	上	影	遇	v	u	2	ʋ	u	45	山塢					
汙	云	合	三	虞	平	影	遇	v	u	1	ʋ	u	23						
芋	云	合	三	虞	平	影	遇	v	u	6	ʋ	u	32						
卉	曉	合	三	微	上	影	止	v	ui	2	ʋ	ui	45						
彗	邪	合	三	脂A	去	精	止	v	ui	6	ʋ	ui	32						
慧	匣	合	四	齊	去	影	蟹	v	ui	6	ʋ	ui	32						
蕙	匣	合	四	齊	去	影	蟹	v	ui	6	ʋ	ui	32						
諱	曉	合	三	微	去	影	止	v	ui	6	ʋ	ui	32						
穢	影	合	三	廢	去	影	蟹	v	ui	1	ʋ	ui	23						
喟	溪	合	三	脂B	去	見	止	v	ui	2	ʋ	ui	45						
威	影	合	三	微	平	影	止	v	ui	1	ʋ	ui	23						
逶	影	合	三	支B	平	影	止	v	ui	2	ʋ	ui	45						
韋	云	合	三	微	平	影	止	v	ui	4	ʋ	ui	22						
桅	疑	合	一	灰	平	見	蟹	v	ui	4	ʋ	ui	22						
唯	以	合	三	脂A	平	以	止	v	ui	4	ʋ	ui	22	唯一					
唯	以	合	三	脂A	上	以	止	v	ui	4	ʋ	ui	22	唯唯諾諾					
帷	云	合	三	脂B	平	影	止	v	ui	4	ʋ	ui	22						
惟	以	合	三	脂A	平	以	止	v	ui	4	ʋ	ui	22						
圍	云	合	三	微	平	影	止	v	ui	4	ʋ	ui	22						
爲	云	合	三	支B	平	影	止	v	ui	4	ʋ	ui	22	人爲					
爲	云	合	三	支B	去	影	止	v	ui	6	ʋ	ui	32	為何					
違	云	合	三	微	平	影	止	v	ui	4	ʋ	ui	22						
維	以	合	三	脂A	平	以	止	v	ui	4	ʋ	ui	22						
委	影	合	三	支B	平	影	止	v	ui	1	ʋ	ui	23	虛與委蛇，委委佗佗					
委	影	合	三	支B	上	影	止	v	ui	2	ʋ	ui	45	委託					
萎	影	合	三	支B	平	影	止	v	ui	2	ʋ	ui	45	枯萎					
偉	云	合	三	微	上	影	止	v	ui	5	ʋ	ui	21						
偉	云	合	三	微	上	影	止	v	ui	5	ʋ	ui	21						
葦	云	合	三	微	上	影	止	v	ui	2	ʋ	ui	45						
葦	云	合	三	微	上	影	止	v	ui	2	ʋ	ui	45						
瑋	云	合	三	微	上	影	止	v	ui	2	ʋ	ui	45						
瑋	云	合	三	微	上	影	止	v	ui	2	ʋ	ui	45						
煒	云	合	三	微	上	影	止	v	ui	2	ʋ	ui	45						
煒	云	合	三	微	上	影	止	v	ui	4	ʋ	ui	22						
緯	云	合	三	微	去	影	止	v	ui	4	ʋ	ui	22						
位	云	合	三	脂B	去	影	止	v	ui	6	ʋ	ui	32	尉遲					
畏	影	合	三	微	去	影	止	v	ui	1	ʋ	ui	23						
胃	云	合	三	微	去	影	止	v	ui	6	ʋ	ui	32						
尉	影	合	三	微	去	影	止	v	ui	1	ʋ	ui	23						
喂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ui	1	ʋ	ui	23						
渭	云	合	三	微	去	影	止	v	ui	6	ʋ	ui	32						
蔚	影	合	三	微	去	影	止	v	ui	1	ʋ	ui	23						
蝟	云	合	三	微	去	影	止	v	ui	6	ʋ	ui	32						
衛	云	合	三	祭B	去	影	蟹	v	ui	6	ʋ	ui	32						
慰	影	合	三	微	去	影	止	v	ui	1	ʋ	ui	23						
謂	云	合	三	微	去	影	止	v	ui	6	ʋ	ui	32	文字					
餵	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ui	1	ʋ	ui	23						
遺	以	合	三	脂A	平	以	止	v	ui	4	ʋ	ui	22	遺失					
遺	以	合	三	脂A	去	以	止	v	ui	6	ʋ	ui	32	贈遺					
徊	匣	合	一	灰	平	影	蟹	v	ui	4	ʋ	ui	22						
回	匣	合	一	灰	平	影	蟹	v	ui	4	ʋ	ui	22						
迴	匣	合	一	灰	平	影	蟹	v	ui	4	ʋ	ui	22						
洄	匣	合	一	灰	平	影	蟹	v	ui	4	ʋ	ui	22						
匯	溪	合	二	皆	平	見	蟹	v	ui	6	ʋ	ui	32						
會	匣	合	一	泰	去	影	蟹	v	ui	6	ʋ	ui	32	會面					
會	見	合	一	泰	去	見	蟹	v	ui	6	ʋ	ui	32	會計					
會	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ui	4	ʋ	ui	22	會游泳					
彙	云	合	三	微	去	影	止	v	ui	6	ʋ	ui	32						
偎	影	合	一	灰	平	影	蟹	v	ui	1	ʋ	ui	23						
混	匣	合	一	魂	上	影	臻	v	un	6	ʋ	un	32						
渾	匣	合	一	魂	平	影	臻	v	un	4	ʋ	un	22	渾人，雄渾，習讀音應爲官話影響導致					
渾	匣	合	一	魂	上	影	臻	v	un	6	ʋ	un	32	同“混”					
魂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	4	ʋ	un	22						
塭	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	1	ʋ	un	23						
溫	影	合	一	魂	平	影	臻	v	un	1	ʋ	un	23						
穩	影	合	一	魂	上	影	臻	v	un	2	ʋ	un	45						
尹	以	合	三	真A	上	以	臻	v	un	5	ʋ	un	21						
暈	云	合	三	文	去	影	臻	v	un	6	ʋ	un	32	日暈					
暈	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	4	ʋ	un	22	頭暈					
云	云	合	三	文	平	影	臻	v	un	4	ʋ	un	22						
勻	以	合	三	真A	平	以	臻	v	un	4	ʋ	un	22						
芸	云	合	三	文	平	影	臻	v	un	4	ʋ	un	22						
耘	云	合	三	文	平	影	臻	v	un	4	ʋ	un	22						
雲	云	合	三	文	平	影	臻	v	un	4	ʋ	un	22						
允	以	合	三	真A	上	以	臻	v	un	5	ʋ	un	21						
隕	云	合	三	真B	上	影	臻	v	un	5	ʋ	un	21						
隕	云	合	三	真B	上	影	臻	v	un	5	ʋ	un	21						
運	云	合	三	文	去	影	臻	v	un	6	ʋ	un	32						
醞	影	合	三	文	上	影	臻	v	un	1	ʋ	un	23						
蘊	影	合	三	文	上	影	臻	v	un	1	ʋ	un	23						
韻	云	合	三	文	去	影	臻	v	un	6	ʋ	un	32						
奐	曉	合	一	寒	去	影	山	v	un	6	ʋ	un	32						
浣	匣	合	一	寒	上	影	山	v	un	2	ʋ	un	45						
換	匣	合	一	寒	去	影	山	v	un	6	ʋ	un	32						
喚	曉	合	一	寒	去	影	山	v	un	6	ʋ	un	32						
渙	曉	合	一	泰	去	影	蟹	v	un	6	ʋ	un	32						
煥	曉	合	一	寒	去	影	山	v	un	6	ʋ	un	32						
瘓	透	合	一	寒	上	端	山	v	un	6	ʋ	un	32						
惋	影	合	一	寒	去	影	山	v	un	2	ʋ	un	45						
碗	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	2	ʋ	un	45						
腕	影	合	一	寒	去	影	山	v	un	2	ʋ	un	45						
垣	云	合	三	元	平	影	山	v	un	4	ʋ	un	22						
援	云	合	三	元	平	影	山	v	un	4	ʋ	un	22						
湲	匣	合	二	山	平	影	山	v	un	4	ʋ	un	22						
窟	溪	合	一	魂	入	見	臻	v	ut	2	ʋ	ut	45						
屈	見	合	三	文	入	見	臻	v	ut	2	ʋ	ut	45						
尉	影	合	三	文	入	影	臻	v	ut	2	ʋ	ut	45						
鷸	以	合	三	真A	入	以	臻	v	ut	6	ʋ	ut	32						
鬱	影	合	三	文	入	影	臻	v	ut	2	ʋ	ut	45						
熨	影	合	三	文	入	影	臻	v	ut	2	ʋ	ut	45	熨貼					
活	見	合	一	寒	入	見	山	v	ut	6	ʋ	ut	32						
查	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1	ʦ	a	23	姓查					
咱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1	ʦ	a	23						
吒	知	開	二	麻	去	知	假	z	aa	1	ʦ	a	23	哪吒					
喳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1	ʦ	a	23						
渣	莊	開	二	麻	平	莊	假	z	aa	1	ʦ	a	23						
乍	崇	開	二	麻	去	莊	假	z	aa	1	ʦ	a	23						
炸	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1	ʦ	a	23						
詐	莊	開	二	麻	去	莊	假	z	aa	1	ʦ	a	23						
榨	莊	開	二	麻	去	莊	假	z	aa	1	ʦ	a	23						
齋	莊	開	二	皆	平	莊	蟹	z	aai	1	ʦ	ai	23						
債	莊	開	二	佳	去	莊	蟹	z	aai	1	ʦ	ai	23						
寨	崇	開	二	夬	去	莊	蟹	z	aai	6	ʦ	ai	32						
掣	昌	開	三	祭A	去	章	蟹	z	aai	1	ʦ	ai	23						
擠	精	開	四	齊	平	精	蟹	z	aai	1	ʦ	ai	23						
祭	精	開	三	祭A	去	精	蟹	z	aai	1	ʦ	ai	23						
際	精	開	三	祭A	去	精	蟹	z	aai	1	ʦ	ai	23						
劑	精	合	三	支A	平	精	止	z	aai	1	ʦ	ai	23						
濟	精	開	四	齊	去	精	蟹	z	aai	1	ʦ	ai	23	救濟					
制	章	開	三	祭A	去	章	蟹	z	aai	1	ʦ	ai	23						
製	章	開	三	祭A	去	章	蟹	z	aai	1	ʦ	ai	23						
滯	澄	開	三	祭B	去	知	蟹	z	aai	6	ʦ	ai	32						
側	莊	開	三	蒸	入	莊	曾	z	aak	2	ʦ	ak	45						
則	精	開	一	登	入	精	曾	z	aak	2	ʦ	ak	45						
責	莊	開	二	耕	入	莊	梗	z	aak	2	ʦ	ak	45						
嘖	莊	開	二	庚	入	莊	梗	z	aak	2	ʦ	ak	45						
擇	澄	開	二	庚	入	知	梗	z	aak	6	ʦ	ak	32						
澤	澄	開	二	庚	入	知	梗	z	aak	6	ʦ	ak	32						
蚱	莊	開	二	庚	入	莊	梗	z	aak	1	ʦ	ak	23						
摘	知	開	二	耕	入	知	梗	z	aak	6	ʦ	ak	32						
宅	澄	開	二	庚	入	知	梗	z	aak	6	ʦ	ak	32						
窄	莊	開	二	庚	入	莊	梗	z	aak	1	ʦ	ak	23						
擲	澄	開	三	清B	入	知	梗	z	aak	6	ʦ	ak	32						
暫	從	開	一	談	去	精	咸	z	aam	6	ʦ	am	32						
眨	莊	開	二	咸	入	莊	咸	z	aam	2	ʦ	am	45						
斬	莊	開	二	咸	上	莊	咸	z	aam	2	ʦ	am	45						
嶄	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aam	2	ʦ	am	45						
站	知	開	二	咸	去	知	咸	z	aam	6	ʦ	am	32						
湛	澄	開	三	侵B	平	知	深	z	aam	1	ʦ	am	23						
贊	精	開	一	寒	去	精	山	z	aan	1	ʦ	an	23						
讚	精	開	一	寒	去	精	山	z	aan	1	ʦ	an	23						
盞	莊	開	二	山	上	莊	山	z	aan	2	ʦ	an	45						
棧	崇	開	二	山	上	莊	山	z	aan	6	ʦ	an	32						
綻	澄	開	二	山	去	知	山	z	aan	6	ʦ	an	32						
撰	崇	合	二	刪	上	莊	山	z	aan	6	ʦ	an	32						
賺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aan	6	ʦ	an	32						
箋	精	開	四	先	平	精	山	z	aan	1	ʦ	an	23						
曾	精	開	一	登	平	精	曾	z	aang	1	ʦ	aŋ	23	曾孫					
僧	心	開	一	登	平	精	曾	z	aang	1	ʦ	aŋ	23	習讀音應爲讀半邊“曾”導致					
增	精	開	一	登	平	精	曾	z	aang	1	ʦ	aŋ	23						
憎	精	開	一	登	平	精	曾	z	aang	1	ʦ	aŋ	23						
贈	從	開	一	登	去	精	曾	z	aang	6	ʦ	aŋ	32						
