澄海大新话字表，属于闽南区——潮汕片	
m	[4]末
#uaŋ	
t	[33]端[35]段篆[213]锻（锻炼）
tʰ	[55]团传（传达）
l	[35]乱[55]鸾[213]恋
ts	[33]专[35]状撞[53]转（转送）
tsʰ	[33]川[213]窜篡串闯
k	[33]观（参观）鳏（鳏寡）[35]倦[53]管[213]贯罐观（寺观）惯眷券
kʰ	[33]倾[55]权狂琼[213]旷况矿
∅	[33]弯冤汪（一汪水）[35]旺（火旺）[55]完丸（肉丸）椽员缘袁王[53]腕宛枉往[213]怨
h	[33]翻番（几番）谎（～人）风封[35]范（姓范；师～）犯宦[55]环烦繁皇妨（妨害）防[53]晃（晃眼）仿（仿效）仿（相似）访[213]泛焕幻贩
p	[35]扮叛
pʰ	[33]藩藩[213]判
b	[35]馒（馒头）漫忘望[11]万[55]亡
n	[53]暖
s	[33]闩（门～）宣喧[55]旋（转/头~）[53]选磉（柱下石）爽
ŋ	[35]愿[55]颜雁元原[53]玩（1古玩；2游玩）顽（顽皮）阮
z	[53]转（转螺丝）
#ek	
t	[4]蛰（惊蛰）特的（目的）笛敌鹿轴[2]德竹
tʰ	[2]秃畜（六～）
l	[4]肋绿
ts	[4]泽[2]则叔烛
tsʰ	[2]膝侧测戚粟
k	[4]极局[2]革戟菊
kʰ	[2]刻（时刻）击曲（1曲折；2歌曲）
ɡ	[4]玉（～林）狱
∅	[4]忆亿译浴
h	[4]乏[2]黑核（审核）
p	[2]逼迫碧
pʰ	[2]魄辟
n	[4]肉
s	[4]熟（煮熟）[2]悉息色识式适释析
m	[4]陌（陌生）
ŋ	[4]匿逆（逆风）
#ik	
t	[4]直
l	[4]立
ts	[4]集疾[2]执（拾取）浙鲫
tsʰ	[2]七
k	[4]及[2]急揭吉橘
kʰ	[2]级吸
∅	[4]逸[2]乙一
p	[4]毕弼[2]笔
pʰ	[2]匹（一匹布）
s	[4]习拾（拾起来）实植翼[2]湿失室
m	[4]灭密觅（讨求）
z	[4]入日（～子）
#uaʔ	
l	[4]辣
k	[2]割渴刮
kʰ	[2]阔
∅	[4]活
p	[2]钵
pʰ	[2]撇（1撇捺；2撇开）
b	[2]抹（抹布）抹（擦）
s	[2]杀宿
#iaʔ	
t	[2]摘
tʰ	[2]拆（开）
l	[4]掠
ts	[4]食[2]雀（麻雀）脊
tsʰ	[2]赤
k	[4]剧（剧烈）剧（戏剧）屐（木屐）
∅	[53]影[2]益
h	[4]额[2]歇
p	[2]鳖璧壁
s	[2]屑（木屑）削
#ɯŋ	
t	[33]当（当时）当（当作）[35]丈[11]传（传记）[55]长（长短）肠[213]断（决断）顿（~脚）
tʰ	[33]汤[55]糖塘
ts	[33]砖[55]全[213]钻（木工用具）葬
tsʰ	[33]穿村仓疮[55]床
