IPA	調值	字		
pʰau	51	跑		
pʰau	324	抱爆(~炸)暴菢泡(水~)雹		
mau	213	毛茅(用來引火的茅草)矛		
mau	51	卯		
mau	324	冒帽貌冇(無·沒)		
tau	55	刀叨		
tau	51	禱倒(打~)		
tau	33	到倒(~水)		
tʰau	55	滔掏濤		
tʰau	213	桃逃淘陶萄		
tʰau	51	討		
tʰau	33	套		
tʰau	324	道稻盜導		
nau	55	□(~緊:看著)		
nau	51	腦惱		
nau	324	鬧		
lau	55	撈1嘮1		
lau	213	勞撈2牢嘮2□(~蔔:蘿蔔)		
lau	51	老		
lau	324	澇		
tsau	55	遭糟□(曬~:曬乾)		
tsau	51	早棗蚤澡		
tsau	33	躁(發~:發脾氣)灶笊(~籮:笊籮)		
tsʰau	55	操抄鈔		
tsʰau	213	曹槽巢□(蔫:一般形容菜葉、樹葉失去水分的樣子)		
tsʰau	51	草炒吵		
tsʰau	33	糙		
tsʰau	324	皂造□(~雨:淋雨)		
sau	55	騷臊稍捎梢		
sau	51	嫂		
sau	33	掃潲		
kau	55	高膏篙羔糕交郊膠□(話~:話齊:說得很周全·略帶囉嗦)		
kau	51	稿絞狡攪搞□(玩耍)		
kau	33	告教鉸蛟酵窑覺(睏懶~:睡懶覺)□(撿~:撿便宜)□以物换物		
kʰau	55	蒿(茼~)敲		
kʰau	33	靠		
kʰau	51	考烤		
hau	213	豪壕亳		
hau	51	好(~壞)		
hau	33	耗好(喜~)		
hau	324	號浩孝效校□(眼睛看不見·摸著走)		
ŋau	55	坳□(~起腦殻:抬頭)		
ŋau	213	熬□(~嘴:歪嘴)		
ŋau	51	襖咬拗(~斷:折斷)□(用鹽醃)		
ŋau	33	奧懊		
ŋau	324	傲		
piau	55	標膘彪猋(起~起跳:跳躍)		
piau	33	俵(分給大家)		
piau	51	表裱		
pʰiau	55	飄漂(~流)		
pʰiau	213	瓢嫖薸(浮萍)		
pʰiau	33	漂(~亮)票		
pʰiau	324	鰾		
miau	55	猫		
miau	213	苗描渺謀		
miau	51	藐秒某牡畝		
miau	324	廟妙貿茂		
fiau	213	浮2		
fiau	51	否		
tiau	55	刁(聰明)貂雕		
tiau	51	鳥(交媾)		
tiau	33	釣吊		
tiau	24	□(~嘚:鳥)		
tʰiau	55	挑		
tʰiau	213	條調(~整)		
tʰiau	33	跳		
tʰiau	324	掉調(音~)糶(~米:賣米)□(~腦~鼻：搖頭)	~腦~鼻:搖頭	
niau	324	尿		
liau	213	燎聊遼撩寮		
liau	51	了(~結)		
liau	324	廖瞭料撂(丟、扔)		
ʨiau	55	焦蕉椒驕嬌澆		
ʨiau	51	剿矯繳僥		
ʨiau	33	叫(哭)		
ʨʰiau	55	鍬繰(~邊)悄		
ʨʰiau	213	喬橋僑蕎		
ʨʰiau	51	巧		
ʨʰiau	33	俏竅		
ʨʰiau	324	轎噍(咀嚼)		
ɕiau	55	淆消霄硝銷枵蕭簫		
ɕiau	51	小曉		
ɕiau	33	笑		
kiau	55	勾鉤溝		
kiau	51	狗苟		
kiau	33	夠構購		
kʰiau	55	摳		
kʰiau	33	叩扣寇		
hiau	213	侯喉䞀(渴望，想要得到)		
hiau	51	□		
hiau	324	後厚候		
