字	聲母	韻母	調類	解釋
訴	s	uᵝ	5	
愬	s	uᵝ	5	
溯	s	uᵝ	5	
塑	s	uᵝ	5	
捒	s	uᵝ	5	
鋤	z	uᵝ	2	
耡	z	uᵝ	2	
鉏	z	uᵝ	2	
矬	z	uᵝ	2	
痤	z	uᵝ	2	
銼	z	uᵝ	2	
坐	z	uᵝ	6	
座	z	uᵝ	6	
助	z	uᵝ	6	
耡	z	uᵝ	6	
哥	k	uᵝ	1	
歌	k	uᵝ	1	
鍋	k	uᵝ	1	
蝸	k	uᵝ	1	
戈	k	uᵝ	1	
孤	k	uᵝ	1	
菰	k	uᵝ	1	
箛	k	uᵝ	1	
姑	k	uᵝ	1	
菇	k	uᵝ	1	
咕	k	uᵝ	1	
沽	k	uᵝ	1	
蛄	k	uᵝ	1	
箍	k	uᵝ	1	
孤	k	uᵝ	1	
辜	k	uᵝ	1	
觚	k	uᵝ	1	
鴣	k	uᵝ	1	
呱	k	uᵝ	1	
果	k	uᵝ	3	
菓	k	uᵝ	3	
餜	k	uᵝ	3	
裹	k	uᵝ	3	
古	k	uᵝ	3	
估	k	uᵝ	3	
詁	k	uᵝ	3	
股	k	uᵝ	3	
鼓	k	uᵝ	3	
瞽	k	uᵝ	3	
罟	k	uᵝ	3	
賈	k	uᵝ	3	
蠱	k	uᵝ	3	
過	k	uᵝ	5	
故	k	uᵝ	5	
固	k	uᵝ	5	
個	k	uᵝ	5	
顧	k	uᵝ	5	
雇	k	uᵝ	5	
僱	k	uᵝ	5	
稒	k	uᵝ	5	
酤	k	uᵝ	5	
痼	k	uᵝ	5	
錮	k	uᵝ	5	
科	kʰ	uᵝ	1	
蝌	kʰ	uᵝ	1	
棵	kʰ	uᵝ	1	
稞	kʰ	uᵝ	1	
顆	kʰ	uᵝ	1	
窠	kʰ	uᵝ	1	
枯	kʰ	uᵝ	1	
刳	kʰ	uᵝ	1	
課	kʰ	uᵝ	5	
苦	kʰ	uᵝ	5	
庫	kʰ	uᵝ	5	
褲	kʰ	uᵝ	5	
絝	kʰ	uᵝ	5	
袴	kʰ	uᵝ	5	
梧	ŋ	uᵝ	2	
吾	ŋ	uᵝ	2	
鼯	ŋ	uᵝ	2	
蜈	ŋ	uᵝ	2	
訛	ŋ	uᵝ	2	
鵝	ŋ	uᵝ	2	
莪	ŋ	uᵝ	2	
哦	ŋ	uᵝ	2	
俄	ŋ	uᵝ	2	
蛾	ŋ	uᵝ	2	
峨	ŋ	uᵝ	2	
餓	ŋ	uᵝ	6	
臥	ŋ	uᵝ	6	
誤	ŋ	uᵝ	6	
悟	ŋ	uᵝ	6	
寤	ŋ	uᵝ	6	
忤	ŋ	uᵝ	6	
晤	ŋ	uᵝ	6	
阿	ʋ	uᵝ	1	
妸	ʋ	uᵝ	1	
窩	ʋ	uᵝ	1	
萵	ʋ	uᵝ	1	
倭	ʋ	uᵝ	1	
濄	ʋ	uᵝ	1	
渦	ʋ	uᵝ	1	
焐	ʋ	uᵝ	1	
捂	ʋ	uᵝ	1	
烏	ʋ	uᵝ	1	
嗚	ʋ	uᵝ	1	
鎢	ʋ	uᵝ	1	
鄔	ʋ	uᵝ	1	
洿	ʋ	uᵝ	1	
汙	ʋ	uᵝ	1	
污	ʋ	uᵝ	1	
五	ʋ	uᵝ	3	
伍	ʋ	uᵝ	3	
午	ʋ	uᵝ	3	
塢	ʋ	uᵝ	3	
仵	ʋ	uᵝ	3	
旿	ʋ	uᵝ	3	
趨	tsʰ	y	1	
趍	tsʰ	y	1	
取	tsʰ	y	5	
趣	tsʰ	y	5	
娶	tsʰ	y	5	
胥	s	y	1	
須	s	y	1	
需	s	y	1	
鬚	s	y	1	
絮	s	y	5	
居	tɕ	y	1	
据	tɕ	y	1	
裾	tɕ	y	1	
琚	tɕ	y	1	
拘	tɕ	y	1	
駒	tɕ	y	1	
岣	tɕ	y	1	
矩	tɕ	y	1	
龜	tɕ	y	1	
車	tɕ	y	1	
鱖	tɕ	y	1	
鬼	tɕ	y	3	
舉	tɕ	y	3	
櫸	tɕ	y	3	
莒	tɕ	y	3	
筥	tɕ	y	3	
據	tɕ	y	5	
句	tɕ	y	5	
鋸	tɕ	y	5	
倨	tɕ	y	5	
踞	tɕ	y	5	
區	tɕʰ	y	1	
驅	tɕʰ	y	1	
軀	tɕʰ	y	1	
嶇	tɕʰ	y	1	
去	tɕʰ	y	5	
虧	tɕʰ	y	5	
渠	dʑ	y	2	
瞿	dʑ	y	2	
衢	dʑ	y	2	
蠼	dʑ	y	2	
蠷	dʑ	y	2	
劬	dʑ	y	2	
巨	dʑ	y	6	
距	dʑ	y	6	
拒	dʑ	y	6	
炬	dʑ	y	6	
苣	dʑ	y	6	
鉅	dʑ	y	6	
跪	dʑ	y	6	
櫃	dʑ	y	6	
柜	dʑ	y	6	
具	dʑ	y	6	
懼	dʑ	y	6	
俱	dʑ	y	6	
颶	dʑ	y	6	
愚	ȵ	y	2	
禺	ȵ	y	2	
隅	ȵ	y	2	
虞	ȵ	y	2	
娛	ȵ	y	2	
語	ȵ	y	6	
御	ȵ	y	6	
禦	ȵ	y	6	
女	ȵ	y	6	
遇	ȵ	y	6	
寓	ȵ	y	6	
禺	ȵ	y	6	
馭	ȵ	y	6	
蕊	ȵ	y	6	
齬	ȵ	y	6	
圄	ȵ	y	6	
圉	ȵ	y	6	
虛	ɕ	y	1	
噓	ɕ	y	1	
歔	ɕ	y	1	
許	ɕ	y	3	
淤	∅	y	1	
迂	∅	y	1	
於	∅	y	1	
盂	∅	y	1	
雩	∅	y	1	
於	∅	y	1	
魚	ɦ	y	2	
漁	ɦ	y	2	
於	ɦ	y	2	
余	ɦ	y	2	
餘	ɦ	y	2	
俞	ɦ	y	2	
榆	ɦ	y	2	
圍	ɦ	y	2	
腴	ɦ	y	2	
諛	ɦ	y	2	
萸	ɦ	y	2	
逾	ɦ	y	2	
瑜	ɦ	y	2	
輿	ɦ	y	2	
歟	ɦ	y	2	
譽	ɦ	y	2	
妤	ɦ	y	2	
予	ɦ	y	2	
狳	ɦ	y	2	
