%	又音
？	存疑
niɛ̃2	囝（吳音俗字）囡（吳音俗字）男抩弇南𡴖（南）𡴟（南）𤱣楠枏柟䶲婪葻嵐燷燣啉惏儖藍懢濫（盧甘切）𩈵䆾襤籃𢉧（籃）䰐𪇖㩜蘫難𩁬（難）𩀙（難）𩁲（難）𩁩（難）𩀏（難）𩁤（難）𩁚𩁘𩁢𪇠𪇼𩁣𧆖斓闌攔蘭㘓幱瀾漣欄籣欗躝讕䪍𨷻㬮嘫𢛓𢿻斕潾
niɛ̃3	萳揇湳腩蝻䈒𦐃燣𠓭浨漤醂懍壈𨎹灠濫（魯敢切）顲罱擥覽攬欖爁𦊔𦌫淰臉醶兩㒳（兩）攤灡讕懶嬾𥻂𥽭赧㫱𩈶戁
niɛ̃5	妠㔋懢䆾纜嚂濫㜮爁𨣨𤃨顲僋諵難𩁢（難）𩁬（難）𩀙（難）𩁣（難）𩁲（難）𩁩（難）𩀏（難）𩁤（難）㬮𦍀𢅼𢆃攤灘潬（灘）闌瀾讕鑭𢒞爛爤糷灠
tɕiɛ̃1	監𧨭（監）𧩾（監）譼（監）奸姦𢙶（姦）艱𡆒（艱）囏閒𨳡（閒）𨳢（閒）
tɕiɛ̃3	減鹻鹼簡趼？𥀹？
tɕiɛ̃5	監𧨭（監）𧩾（監）譼（監）鑒鑑艦閒𨳡（閒）𨳢（閒）降（古巷切）夅（降 古巷切）
ɕiɛ̃2	咸（新）閒𨳡（閒）𨳢（閒）降（下江切）夅（降 下江切）
ɕiɛ̃5	限陷
iɛ̃1	㞄庵媕腤盦諳馣鵪韽䳺嬜菴葊（菴）陰霒（陰）侌（陰）𤽎（陰）𨽙（陰）𠊺（陰）瘖（陰）喑黯淊𤟟淹安侒䢿桉氨䀂鞍鞌㸶𦎣黫殷（幺閑切）+黰廨ㄢ然
iɛ̃2	𡪁䜙嵁癌+羬嵒㺂碞𧇱𧬌䫡麙黬𪙊+巖𡆑礹嚴𡅾（嚴）𡽜犴豻雃楌顏顔詽㗴𤡥虤雸玵鉗
iɛ̃3	㜝嵁顉㞄垵俺唵隌揞晻罯𤃷黤黭埯揜黯黤𪒠眼𥃩（眼）𪗙
iɛ̃5	儑闇暗顑韽揞厭淊𤟟𪒠犴岸婩豻𡹼𨲊䮗頇喭𧧑（喭）㷳䢿按荌洝胺案䅁晏㬫曣𤜵偐雁鳫鴈𩾦（鴈）贋贗䁙晏鴳騴鷃𤜵汗
luɛ̃2	𡰠
kuɛ̃1	𠴨𢇇𢇅関癏關菅擐瘝䤽鰥𩶊（鰥）矜綸
kuɛ̃5	串倌丱摜慣矔鰥𩶊（鰥）擐□（擲也）
kʰuɛ̃2	𡰝還㡲䭴𡍦圜𠟼澴寰環瑗鍰糫轘𦣴闤䴉𩙽鬟䍺𦏖鐶郇
xuɛ̃1	翾儇
xuɛ̃2	還湲
xuɛ̃5	環繯轘宦患𢤒（患）𢡙（患）豢㹖槵𢠶擐䍺幻㕕（幻）
tsuɛ̃1	跧恮䀬跧蟤
tsuɛ̃5	巽巺撰饌孨僎撰𩔊譔𩻝僝𦠆𠨎僎𤩄襈譔饌籑䉵賺（北音之新嵌者）
suɛ̃1	閂𣠯𣟴𢩠𣡬栓𨏉刪𠜂
suɛ̃3	選
suɛ̃5	孿㝈涮孿㝈𨏉柵
uɛ̃1	潫𩅦彎灣䘎關嬽萬㸘（萬）𤍚（萬）𢁭（萬）
uɛ̃2	𤸷頑□（戲也）
uɛ̃3	莞睅𪍺睆鯇+䴷皖綰㝃娩挽晚𣆛（晚）晩輓㿸脕
uɛ̃5	薍綰𩈬贃萬㸘（萬）𤍚（萬）𢁭（萬）
pæʔ7	法佱（法）𣳴（法）灋八丷扒玐朳㺴捌哵釟𩡩䤢捌㭭拔𥎱菝鈸
pʰæʔ7	叭汃𥐙趴𨋐𪗔
mæʔ7	䀣睰㑻礣䯦𪒜齂𥗥㩢帓帕墨蛨勿？
fæʔ7	法佱（法）𣳴（法）灋琺𥎰姂泛汎颰發𩑛髮𩑱（髮）𤕥（髮）𩠖冹㤄坺拔橃伐茷墢㘺垡栰筏䣹閥罰瞂藅𠲎䑔
liæʔ7	㩉㕇垃拉菈搚𤛊𣤊磖𦒆𪇹摺臈搚邋䗶𦅶臘𥀰蠟𦒦鑞𪇹𪙷䶘擸䋵𢈠㻋瓎剌喇𢃴㻝楋揧辢𥈙𢉨瘌辣蝲鬎䶛䓶攋癩糲轢厲癘藍捺𧗩
kæʔ7	砝蓋𤇁（蓋）䗘䫦𨜴𧪞鉀𪁍嗑閘𢂷鞈韐䀹裌筴夾郟䀫袷跲餄䩡鵊㿓䶢梜𨒇甲𠇚（甲）𡴌（甲）岬玾胛𥑐鉀𩌍𠩘押（古狎切）挾嘎𠜵圿扴恝戛揩㮖鴶秸鞂稭袺𪃈忦砎骱釓磍楔頡尜𪈟𩮁猰擖莢軋？
tsæʔ7	嘁唼帀匝迊𠯗沞咂魳䞙䍼噆𣤶遪㜗䟃䵽𥗭囃䣟𨅔韴磼雜䕹雥䪞𢶍劄𧉫𠍹𠗨喋鞢擖霅𤁳偛㞚䙄䀹眨𠰏𥀈䛽𥯦𨖷渫牐煠𧼰䮢𤁢𠛱拶㳨䰖𨀨㩵巀囐𡂐囋眣𥄺（眣）哳𠽻𠹗𢧖𧶇扎紮札箚㱜蚻𩿤耫㳐鍘𨰉卡（字彙補 從納切 守~）
tsʰæʔ7	𥃐扱𤜯臿插㛼鍤疀㷅笈喢攃擦（俗字）䌨礤䃰擦詧察𣘤䕓檫鑔𩴳𪙻𥉻刹䓭剎柵
sæʔ7	𠦄芔（𠦄）圾𣬬靸𩎕卅𠦃㚫馺颯𢕬趿鈒霅靸卅𠦃𠎷㪪𠿓𩐅𨆂𢶍萐喢歃喋箑䈉𧳛霎攝攃𨐖撒𢴻𠱡姍𢲳（𢴻之譌）摋𦼧薩𥻦䉈𥷭（䉈）躠帴脎殺𣪩𢁛（殺）𢽅（殺）𢿹（殺）𢽆（殺）𢼡（殺）𢿔（殺）𧤿（殺）蔱榝𣻑鎩煞摋榝扱啑㞚唼帹翜𧻵翣䬊𧲌
kʰæʔ7	甲𠇚（甲）𡴌（甲）䶢掐㓣帢恰𢂿𣁴㡊𠕣䁍狹可
xæʔ7	㾑欱𣣹㽺𣣹𩵢㽺㔠瞎𩮂𪗾𩪲䕸黠䦖砎𡑧𧷎𠢆𢮟𦵯舝𥰶縖轄嗐𤪍鎋𩝛𪗾鶷𧕱呷譀𣢗䛅欱䶎㰰敮䞩洽+浹給䨐陜𩂘（陜）珨峽狹𢈙烚祫陿硤𤲍𪘘匣押（轄甲切）狎𢘉柙㘡（柙）炠𧆥翈笚舺𦾏𠗉霅
tiæʔ7	耷𠞈㿴褡𩝣䪚㩉䓠𦵺（䓠）𢴄笚矺畣嗒褡搭撘𤝰㿯㾑答剳畗（答）溚㜓瘩㯚荅𨅞𠉤𦂀𩣯龖眔𥄳蹹沓㧺涾㭼䂿遝𧌏誻𦾽𣝋䜚譶䍇𦑲䈳蹋踏（蹋之俗）闒䳴𤒻躢𧮑譫噠𦬹呾怛妲炟笪胆𢛁靼𩍕（靼）䵣狚墶達薘鐽搨（手打也 或作㩉）
tʰiæʔ7	搭嗒鰈魼狧塌遢溻褟蹋𧪦塔溚𩥑鰨𦐇傝𦶑榻毾㯓𦧭鞳𦪙佮漯濕𦒣（濕）溻䓠𦵺（䓠）𢃕㹺㛥㭼䍝𦑇𦧟䈋𨌭踏（蹋之俗）嚃錔鞜濌𤄥䶀鞈（䶀）𪂌䵬𪘁羍達韃汏𡊌（汏）躂䲚獺𣥂𦍒㒓撻𨘈（撻）𢽞（撻）澾闥泰夳（泰）噧搨龘
liæʔ7	吶訥妠衲內納軜鈉㨥蒳䪏魶笝𩚛魶㗙𡤙㘝㑳捺䖧𤷈𤷈痆𧞍
tɕiæʔ7	甲𠇚（甲）𡴌（甲）牐（限 ~北 ，屬區）押（烏甲切）
ɕiæʔ7	峽挾俠
iæʔ7	儑𥋙儑䜙㾑砐䑥𡀾哈礘魥㬎𣊡礏䀹庵媕罯姶㛕（姶）㔩𨂁𤸱𩋊𩇠鞥佮搕罨唈盦廅𤸱鰪䀴凹𨂁圔浥押（烏甲切）庘䆘鴨鵪（鴨）𪁨（鴨）厭壓閘𡿖聐𩮝呾咀劜𡇼䦪𪆰嫼穵圠軋揠䰲猰窫䝟𥈔阿（阿葛切）阿（於何切又）𣡌𣎴歺歹𡰮（歹）𣦵屵𠱥㩵頇枿嶭蘖櫱䡾+𠲗靄胺咹遏𠥜頞餲齃堨𢉥閼嬒睕䩊𥄗𣁳捾焥䁊□（~）
kuæʔ7	𠯑𤯁䒷䯏鴰劊聒𠅪（聒）𣽅𦸈檜佸活𣴠𣸅𢬸括𪘢𪗽𣐸栝葀萿筈頢髺懖𦗾适𨓈銛刮劀鴰䄆趏颳劀𠟽鱊狹
kʰuæʔ7	䯇□（觸及）
xuæʔ7	𤃴豁眓奯𧯆濊𣁳泧𣽅姡佸䄆秳鬠䀨傄敌𠯑𤯁（𠯑）姡𦧠𤁪咶頢舌鶻猾滑磆螖𧽌䴳䱻
tsuæʔ7	鵽錣窡鵽綴聉娺窡𠿡䵵茁虴（陟格切）拙
tsʰuæʔ7	醛𤁫䫄
suæʔ7	刷唰刷㕞唰𠴪𠻜選
uæʔ7	㱚䎳䚴刖聉𦤙𦘍嗗婠穵挖䯉嗢𣁳㒝襪韈韤𥄎
puõ1	𠦒般𦨗（般）搬䈲𤳖籓
puõ3	瓪昄粄䉽䬳
puõ5	半𠯘姅㪵靽𩢔伴㚘拌伴秚畔𡞟
pʰuõ1	拌番𥸨（番）𥻫（番）㢖潘㽃𤺏姍
pʰuõ2	般𦨗（般）瘢䈲潘磻繁幋媻𤠍槃搫磐𥈼盤縏蹣蟠鎜鞶𣎤（鞶）䰉𪄀𪒀柈胖
pʰuõ3	坢𧺾
pʰuõ5	姅眫冸伴判沜泮片牉頖胖叛潘絆+
muõ2	顢悗㒼慲樠鞔瞞𦔔䊡䟂饅鬗䜱曼墁漫蔓𤡁槾謾鏝芇絻蹣
muõ3	𢟮滿𡈪（滿）蟎𥲈鏋懣
muõ5	𦔔墁幔獌漫㵘𢿜熳縵䝢謾鏝幕（莫半切）+半
tuõ1	剬偳𥠄端褍𧤗𦾸鍴𥵣耑竱
tuõ3	𢭃短𢷖斷𣂢（斷）𠜷（斷）𠝅（斷）𣃔
tuõ5	踹断瑖腶碫鍛斷𣂢（斷）𠜷（斷）𠝅（斷）𣃔緞𩋦𩏇斷𣂢（斷）𠜷（斷）𠝅（斷）籪段𠩻（段）椴毈
tʰuõ1	偳湍煓貒䵎𪏆
tʰuõ2	敦𢼪（敦）𠧈（敦）㪟摶團漙慱𧐕篿𩅂糰𥻁䊜鷒𪆃剸鄟
tʰuõ3	𩏇䠪瘓𤲫疃𢣎䜝
tʰuõ5	貒彖湪褖
luõ2	濡䜌𤔪（䜌）𧄶𢺈圝巒欒曫灓㱍羉𤼙臠圞灤鑾鸞堧繎𤲬㨎䙇擩撋瑌奻䜌𤔪（䜌）孿攣𤼙𤼣南𡴖（南）𡴟（南）
luõ3	渜湪（渜）㬉暖煗餪稬煖卵阮㞋𢘎蠕𤲬耎軟偄䓴愞瑌㮕需㼱𠬫（㼱）腝碝𠤦蝡緛輭䞂脟孌𡢛（孌）臠𡡗擥攬
luõ5	渜湪（渜）𪋐稬偄愞需灓𤔔𤔒（𤔔）𤔐（𤔔）亂𠧎（亂）𠧏（亂）𠮗（亂）𢿢𤲬奻䜌𤔪（䜌）孌𡢛（孌）灓糯
kuõ1	官𠕍（官）倌棺𣑄（棺）觀𥍊（觀）𥸑（觀）𥷯（觀）莞毌冠涫貫悹
kuõ3	筦痯䘾䗆管輨錧䩪悹盥灌琯斡脘逭（古緩切）館（古玩切）舘（古玩切）
kuõ5	棺𣑄（棺）觀𥍊（觀）𥸑（觀）𥷯（觀）莞痯䘾錧毌冠涫悺婠貫悹果祼𥚌（祼）𨝑遦樌盥雚䗰鏆灌瓘爟矔𤼐罐鑵鸛鱹懽㷄𥆗巏綰
kʰuõ1	寬完（寬）髖
kʰuõ3	棵梡欵款歀窾䥗䲌
kʰuõ5	䥗䲌款？
xuõ1	犿𠂄鴅𡚊酄獾懽歡𧆒（歡）貛讙驩𪈩貆蚶
xuõ5	嚾灌奐喚渙煥烉（煥）𥈉𡅽喛肒䀓𤴯逭（胡玩切）𨙕（逭）換漶䯘𩁧垸
ʔuõ1	婠剜帵蜿豌眢
ʔuõ2	刓抏岏䬧（吾官切）𠒢䯈忨园蚖羱黿䎠莞雚𢘆㿪荁峘狟洹桓萈萑寏絙貆綄𦼉䴟豲𦏊瓛梡丸芄汍完紈捖烷𩾞院垸
ʔuõ3	盌椀碗䝹𦞿腕䛷
ʔuõ5	捥睕惋琬玩貦忨翫妧𧶲澣綄㬊䈠緩𦅻（緩）𦇻𧡩浣魭莧嵈鰀棵梡晥䁔
tsuõ1	劗𣀶欑䡽𩎈𩎑鑚鑽攢撮𡰝湍摶篿鷒𩠹叀專𠧡（專）𠧢（專）𡵏（專）剸鄟嫥瑼甎膞磚諯顓鱄
tsuõ3	儧儹鄼繤𦆈纂𥎞纉䂎籫纘𣓧轉剬剸膞鱄孨𡇰𦓝竱𨷱
tsuõ5	𥎞欑䂎鑚鑽攅沌摶䧘堟瑑𦁆篆傳𦁆剸傳轉囀
tsʰuõ1	剶猭川巛氚釧穿灥
tsʰuõ2	㠝櫕𥣚𥣪巑攢欑鄼酇穳襸菆劗𩍴躦𩎈鄹椽傳遄𨒎（遄）圌篅輲歂椯輇諯舩船
tsʰuõ3	㪜舛荈喘㦃𥽽
tsʰuõ5	躥鑹殩奧竄𥨒（竄）爨𤑖（爨）𥎞䂎猭鶨穿串（穿之乖）賗𠢏釧玔竁諯篡
suõ1	狻痠酸𨢽（酸）䝜𩆑
suõ3	匴算篹選
suõ5	祘笇蒜筭算踹歂腨𦺲𡭐鄟膞𢮛叀𢮨團
poʔ7	茇鮁癶盋袚缽鉢發撥𩯌驋鱍䢌䳊襏筏𦪑帗㤄犮坺拔茇𢇷妭胈炦癹𧺡菝𧺺軷跋魃颰䮂鼥䟛鈸䯋馛䳊𩃶䚨䣮百（限 ~葉）
pʰoʔ7	鱍𥄱𢯸㧊𧘟䍨𦫔𠷑𣸍潑𨡩鏺䣪𨂩𣎵
moʔ7	䀛韎𣝖（韎）瀎𨣱𩱷抹末𠇱𡊉茉沫𢗿妺昩眜秣𦫕𥬎粖䬴𩑷靺𩿣䴲䱅𥽘苜袜
tuoʔ7	祋剟掇敠裰鵽？腏兌敓敚痥𡙜奪𡙸（奪）𡜎（奪）鮵挩莌端啜
tʰuoʔ7	挩侻莌脫棁梲說
luoʔ7	蛶㭩㸹𠜖捋呐㕯㨎蚋蜹焫𤑔爇擩妠𤬷袦肭豽貀㕯衲納□（~tuoʔ7）
tsuoʔ7	撮𩯳攥繓𫏎柮惙輟𨌸（輟）剟掇腏畷綴醊餟𧖀叕罬䟾𩋁䖦準拙炪䂐𠭴蝃䪼䫎梲𨢬朮？𦬸炢茁𦦖𠭴咄
tsʰuoʔ7	撮襊𤿫啜歠吷㔍䵵出
suoʔ7	說𠞩率（所律切）卛（率 所律切）摔+帥𠌭䢦𧍓𧜠蟀𧗿𧗵（𧗿）咰潏朮述沭術袕噊𧑐驈鱊
uoʔ7	□（~suoʔ）
piɪ̃1	砭𥑁箯編鞭𠓠（鞭）鯾鯿揙萹猵牑煸蝙？編邊𦍇（邊）𠑟𤄺䟍籩𥣰甂蹁𨇱
piɪ̃3	𦥘貶褊㦚鴘䁵辡覸覵萹編扁𡲜（扁）匾惼碥糄藊𥣰𥤓緶𦄒
piɪ̃5	砭窆變𢒟（變）𢒪（變）𢒦（變）扁𡲜（扁）𢣑遍楩諞𧦪（䛒之譌）辡辨辯䛒（辯之俗）𧦬（䛒之譌）諞卞弁抃苄汳汴忭䒪㺹𡭪昪閞䪻匥笲㺕拚便徧㲢艑𩩯𪉱𤻶辮緶扁（薄泫切 姓也）𡲜（扁）
pʰiɪ̃1	萹扁𡲜（扁）偏媥犏㾫篇翩
pʰiɪ̃2	箯便緶㛹楩楄𧍲諞平𤔁（平）𠀭（平）跰腁胼䠋楄賆㼐骿騈駢蹁玭琕蠙軿
pʰiɪ̃3	鴘
pʰiɪ̃5	偏騙騗諞片䏒㸤遍徧
miɪ̃2	宀謾芇𣏜𧉄棉㮌綿蝒臱緜𢣔櫋矊矏𩕰䫵𣡠眠𥺠（眠）䏃㝰𥌂矏䰓瞑𥾃𥽔眉
miɪ̃3	厸𡕢汅沔勔偭𢃮湎愐緬𩋠黽免俛勉㝃娩冕絻鮸㨠芇丏眄挽
miɪ̃5	偭面緬𡧍眄㴐麫麪𥻩𩈹麵（俗麪字）瞑賣（本字未定 燒~）
tiɪ̃1	䀡敁掂𦕒𩬑詀佔㡇𧚊厧傎滇？槙瘨𧽍蹎顛顚𩥄㒹𠑘巔巓癲齻驒槇
tʰiɪ̃2	𢙖恬菾甛甜𦳇湉
tiɪ̃3	𦒻䍄踮㸃點㓠玷𣐸栝𣕊忝䄼悿舔餂銛典婰敟碘𥮏蕇𩒝䵤琠錪
tiɪ̃5	䀡𦒻坫店惦點墊㝪𩅀埝唸痁沾煔忝𨸱掭㮇𣐸𣕊栝舚扂𠂼簟㶘驔橝㼭磹殿𠿍癜唸跈殄𣦺（殄）𠂈（殄）蜓蜒𧽍佃甸淀奠電𩃿（電）鈿殿㞟靛澱壂𪑩畋填塡𥧑（塡）窴闐涏𡱂鎮鎭𨦸（鎭）
tʰiɪ̃1	天𠕹（天）𠀡（天）𦴞（天）兲𠀘䒶𦧝吞詽𣸸添黇舚沾
tʰiɪ̃2	嗔滇佃鈿貚𦧴田沺畋䟧填搷塡𨌈䡘磌窴𥧑闐鷏鷆畇
tʰiɪ̃3	蚕町淟㥏琠晪腆䐌（腆）𤲖痶賟䠄靦錪𨆁圢䵺（圢）塡㐁𠀬（㐁）
tʰiɪ̃5	滇顛顚瑱睼㐁𠀬（㐁）
niɪ̃2	䬯黏粘搛帘㡘廉磏（廉）槏（廉）𢋯（廉）𢉧（廉）覝奩匳薕臁𣀃𥖝𩄡䆂鎌蠊簾鬑𨎷鐮籢籨襝蘞薟獫拈䬯鮎鯰溓熑薕濂濓燫鬑趁𠬝㞋𥑊𨋚碾連漣㦁䃛褳聮翴聯𤣆㺦㶌鰱𪚀𪚁槤鏈令（力延切）年𠫺（年）秊姩𨛲研硏怜蓮苓（蓮）嗹憐㥕（憐）縺𪍴𨏩零𡈍（零）
niɪ̃3	撿溓䭑㯬嬚斂㰈羷䌞蘞澰瀲薟獫淰㜤姌𨸱溓𤬓稴蓮苓（蓮）槤璉鄻𤑿𪍦𤒤僆摙膦輦𨍻（輦）攆跈撚蹨嫨涊齞
niɪ̃5	𩅼爁斂殮𧸘瀲獫念𦁇𦁤稴碾輾漣摙𤹨㲽㜣晛㬗揀浰堜萰僆湅楝㪝𤗛煉㼑練𣿊鍊𣞰鰊戀𤕈（戀）𥽸廿姩
tɕiɪ̃1	遮沾霑𪏉尖㦰䇝𩃔𩃢熸𡄑㡨瀸櫼纖𣨦（殲）𩅼虃鑯漸鋟蟾厃詹噡瞻占點兼𥡝（兼）蒹𦋰縑鶼鰜𥻧鱣邅𧾍驙𩼼葏湔煎鬋𩜾栴旃氈𩔣旜饘𢐹餰飦䊕𩛻𥼷鸇𪄃（鸇）靬軒（居言切）㓺犍𢳚𣘖䭈𩎀腱鞬騝𩱡𩱤甄薽籈牋椾（牋）𢃬湔𨕨箋𣚙𣝕韉帴碊籛𣽖濺瀳淺㮍轃幵趼肩菺堅猏豣豜𧱚𪊑麉䌑鵳䶬鰹鋻鑒鳽𢮂㡉井（又 天~）
tɕiɪ̃3	𩟗颭檢瞼臉儉𠈏（儉）芡孂襢展㠭搌㜊𧎰輾皽㞡紾揃帴剪（翦俗字）㨵（俗揃字）戩𦺍齊翦𦑳（翦）𥳟鬋籛譾俴𥰸媊錢燀樿饘𠟉䎒醆㔊嫸橏𥊳𦗢䁴䆄皽䡀𨭖𩕊㔓湕𥍹蹇揵囝𢵈𦂇藆蹇謇𠐻𡾰𩽜搴𢷘䙭挸𡘸梘𢆞筧絸趼𥀹繭𦇂𢹕蠒𢺃襺垷
tɕiɪ̃5	𡄑𥕌嚵蔪漸（慈冉切 子豓切）𦾶螹䟅䤔槧鏨潛占劍劒劔僭䁮兼𥡝（兼）搛趝䱤襢𧝑𩥇湔煎鬋籛葥榗湔箭𥳭濺𣽖俴㣤淺𤷃𧗸踐諓餞賤𧶤（賤）諓餞顫戰建旔揭𢶆訐羯𧼨鍻𠐻楗寋鍵𡾰件鍵鑳健腱踺䇟牮薦𧲛洊荐栫袸臶瀳𨷓梘見鋻𤜵贍
tɕʰiɪ̃1	沾𡝫覘䑎㡨殲鹼臉僉𠑲（僉）𠠃簽籤槧憸譣纖（息廉切 將廉切）孅韱襳㚲㾆𢃔裧幨襜䪜𤴿𤵷妗𤎥緂𢛈厱㪁𢜩𨦄䌠謙𥡝（謙）㢟梴鏈脠㿊扦𨝍遷𨔰（遷）𨙞（遷）拪（遷）𢰕（遷）𢫥（遷）𠨧櫏䉦𨙙韆騫䇂㗔愆𠐨（愆）𠎝諐褰𧽐攐䙭䞿攑千仟阡芊迁圱汘杄谸釺𪊑岍汧開𨴂（開 ）𨵑（開）蚈牽摼（牽）𢴡（牽）雃掔縴郉
tɕʰiɪ̃2	㶣誗𪏂螹漸（慈鹽切）朁𥮒潛䁮灊鬵𩱠（鬵）𤎢燂𢅮䕭𢸧㰊𤍙燅𤏝燖𦢨閻爓棎蟾撏𢁮拑鈐𨥩（鈐）鉗鉆箝𥮠羬黔𦌣（黔）黚雂鳹鍼廛厘（廛之俗）緾鄽㙻瀍𧔊繵纏躔𨷭𧾍碊錢𧔢㳄涎赶𥴤犍揵鍵虔掮乾漧（乾）𠄋（乾）𠢅𨜻墘筋榩騝鰬湔前𣦃（前）歬𥮒𥮓騚鍼鋋儃嬋澶禪蟬單撣僤
tɕʰiɪ̃3	䤘憸脥嵰𩑳憯慊歉嗛膁㢟𣃘𧈪蕆𨩪䩶囅搌淺𧥛𠳋㹂遣𨺫𥳐𩝡繾䭤豤蜸𥧬䵖
tɕʰiɪ̃5	塹槧壍？嬱裧幨襜䪜㙴䠨韂䦲欦䇜𩒥𤬯欠𣣓（欠）㐸㪁傔邅纏邅䛹䍎芊茜𦴛𢂺倩棈蒨𧚫䑶輤篟綪汧牽摼（牽）𢴡（牽）㯠䵖菣蜆俔涀歉擅？晵遣繾譴䪈
ɕiɪ̃1	綅𦃌彡𢘁銛暹憸䯹枮襳𡝫苫𦺭痁蘞忺杴𣞘（杴）𥟕㿌𩏩䌠妗欦㽐㾾䵌馦硟仙奾氙苮㲔僊鮮廯㒨𠑗躚䉳鱻埏脠䘰搧煽鯅羶顫扇挻䡣䞿掀鍁鶱軒（虛言切）蓒昕仚屳嘕𦒜嫣先𥑻酰姍蹮躚祆訮詽祅身（~毒）？
ɕiɪ̃2	臤賢贒礥㘋稴嫌
ɕiɪ̃3	㚒陝閃𧴭𧵏𡟨睒㴸覢㛍憸譣險嶮獫玁𩏩鮮䉳𥙮尠尟獮燹𤐨蘚𤣔𤣗𧕇癬㜣㒄䁴攇幰䘆䜢憲（呼典切 許建切）軒（許偃切）洒洗銑姺冼𦭶㭠毨筅跣箲𩶤燹蜆㬎𣊡韅顯抮
ɕiɪ̃5	剡擔？贍苫閃煔掞姭脅䆎䃸㺌鼸惗鮮腺綫線𦆀絤𦇫羡羨䢭單善𦎍（善）𠾄（善）𧮟（善）僐鄯墠墡磰蟮蟺譱𪍶鱓鱔禪䄠單僐鄯？擅膳嬗𤮜𦉕繕饍煽扇傓𦶋𧎥𥰢謆騸瀗獻𧾨𩆵先㪇洒䨘𢊰𥰳霰𩂪（霰）軐汛韅𩎌嫢詪䵤顈蜆俔垷哯峴晛睍鋧㦓臔𨘇見涀現莧（形甸切）縣顯軒（許建切）
tɕʰiɪ̃1	燀
tɕʰiɪ̃3	諂讇𨼒幝燀繟𦆀闡䵐灛嘽
tɕʰiɪ̃5	覘䀡硟
ʔiɪ̃1	崦醃閹䣍菴葊（菴）㤿䅧懨𨣻猒厭嬮懕饜腌醃蔫焉蔫焉鄢嫣閼橪咽胭烟菸湮𡨾煙𠖜（煙）𡍯（煙）𤎟𥷀燕驠閼
ʔiɪ̃2	嚴𡅾（嚴）䉷𪙊炎阽閆塩閻爓檐壛簷𪂈㶄櫩䦲鹽𣡞𤅸𣡶㿕㾆𧦦冄呥𠯍枏柟袡蚺舑髯𩓾䶲冉蛅言𢍗（言）𢍬（言）訁䓂琂䇾甗焉漹䗡鋋埏䘰延郔莚狿䀽𨕐蜒筵綖䢭肰𦛦（肰）𦛡（肰）𦝸（肰）然𤡮㜣燃𥳚繎䕼𤓉沿㳂趼俓鳽妍㿼研姸硏揅𥓋緣寅𦦚（寅）𡓵（寅）㝙（寅）𢁐（寅）𡩪（寅）㳄涎
ʔiɪ̃3	广𠆲𢇘㢂儼𡅝（儼）曮礹广嬐嶮隒噞顩䲓媕晻𡹮閹奄弇𢍔（弇）𥦦（弇）䣍𣃰掩揜㭺𤗎渰罨𣄉裺𩃗埯𣃧酓檿𥜒厴𧞣魘黶厭擪淡淊夵剡琰棪扊䎦𨁹閻䌪燄枏柟冉苒姌染𡜉䎃𥬕䣸𩃵屵𧥜𪗛巘嵃遃甗巘𤫣齴讞䟍嫣㫃鄢㫃匽郾偃褗蝘鶠鰋鼴堰䞁𧍢衍𧊔𠻤演戭縯蔩熯戁㒄橪蹨𥈔蝘躽宴嬿
ʔiɪ̃5	噞𣄝驗𪙊釅俺淹㤿裺覎㛪𦑎䛳俺𢜰猒𢜰厭嬮饜懕𢴵鹽𤅸炎燄焰焱豓𤅿灩艶（俗豓字）閻爓艷（俗豓字）灧（俗𤅿字）豔灩弇擔髯染甗彥彦牪婩唁囐（唁）喭𧧑（喭）諺𠷗（諺）這鬳𤬝鄢傿漹嫣匽郾褗躽堰椻㰽𡙷䞁涎羡羨延莚狿衍𠻤䢭趼硏研𤜵豜硯𨁍溎咽𥉛宴但燕酀嚥嬿㬫？鷰醼讌驠𤜵
tɕyɪ̃1	勬娟姢捐𦮌㳙𦮻涓䅌鞙䳌鵑蠲睊焆
tɕyɪ̃3	卷𠨟𨹵捲菤𦶘（菤）錈埢韏詃埍罥羂𡿨汱𤰝畎甽（畎）蕊
tɕyɪ̃5	雋𦼱𤺻隽吮𥸭勬𠨟𢍊（𠨟俗字）卷捲帣弮𢍏桊眷䖭絭𨤑𥆞+睠𧯦飬犈觠狷鄄絹𣚓䚈㯞絭卛卷𧯦菌圈蔨圈萒蜎倦淃𣜨韏襈圈懁瓹䣺狷睊罥㢾䡓獧𦌾讂毽券（去願切）劵（渠卷切）旋
tɕʰyɪ̃1	𠛮峑恮悛梭駩鐉佺荃硂痊筌絟輇詮𠥙團銓縓拴謜繏譔弮圈棬㒽鬈𨟠𥆞
tɕʰyɪ̃2	㒰全𠓴（全）泉洤（泉）牷䀬葲𧍭醛仝卷捲𥁠拳𢮙（拳）㩲（拳）婘𥆗犈𤷄觠蜷踡鬈𢑆孉權䑏獾貛齤蠸䟒䠰顴𪈻狋
tɕʰyɪ̃3	裷䅚䊎綣𪐂虇
tɕʰyɪ̃5	縓𥆊諯絭綣虇韏勸絭飬𥛁䠣圈？
