	符號說明：-白，=文
k	[1]斤巾筋=莖鯨京荊經{～緯}[3]緊勁-境景警敬競竟
kʰ	[3]慶
ŋ	[2]人
h	[1]興{～旺}[2]暈形型刑邢[3]興{高～}
∅	[1]因姻-殷鷹鸚{～鵡}櫻英嬰纓罌[2]仁蠅鶯盈瑩螢滎{～陽}[3]引印應{～當，～對}[6]認孕穎
#en	
p	[1]崩冰
pʰ	[1]烹[2]朋瓶憑
m	[1]皿[2]憫盟萌銘名=[6]孟
f	[2]宏[6]弘
t	[1]登燈瞪丁釘{鐵～，～住}疔訂{～閱}[3]凳頂鼎
tʰ	[1]聽{～見，～任}廳汀[3]挺{腆肚}[6]鄧
n	[1]奶{奶子}[2]能寧{安～，～可}
l	[1]冷[2]零鈴玲伶拎翎苓泠[6]另
ts	[1]曾{姓}憎僧爭箏睜[6]增蹭{磨～}贈
tsʰ	[2]曾{～經}層[6]襯
s	[1]生牲笙甥星腥惺猩
tʃ	[1]氈顫[3]戰
tʃʰ	[2]纏
ʃ	[1]羶搧[3]扇[6]善膳禪{～讓}
k	[1]跟根筋-[3]更{～換，～加}埂梗
kʰ	[1]傾[3]懇墾肯頃
ŋ	[2]銀凝{凍}
h	[1]痕很亨[2]恒[6]狠杏行{品～}幸
∅	[1]恩
#ian	
p	[1]鞭邊辮遍{一～，～地}[3]變蝙扁匾[6]貶辨辯
pʰ	[1]編篇偏[3]騙{欺～}片[6]便{～宜，方～}汴
m	[1]免勉敏[2]綿棉[3]緬[6]面麵
t	[1]顛[3]典腆{～肚子}[6]奠
tʰ	[1]天[2]田填[6]電殿佃臀
n	[2]年[3]願
l	[2]連聯蓮[3]臉[6]練輦煉楝{苦～}戀
ts	[1]煎箋[2]全-[3]剪箭濺餞[6]踐
tsʰ	[1]千遷纖[2]全=錢前[3]淺[6]賤
s	[1]仙鮮{新～，～少}先宣喧萱[2]旋璿[3]癬線羨選[6]□{（粥）稀}
tʃ	[3]展
k	[1]間{空～}奸肩堅牽捐[3]簡間{～斷}襇諫柬=揀澗犍見絹勸券[6]建
kʰ	[1]圈{圓～，豬～}[2]乾{～坤}虔掮拳權[3]遣捲卷倦眷䘆{蚯蚓}[6]件健鍵腱
ŋ	[2]顏言元{公～}[3]硯癮[6]雁諺願
h	[1]軒掀[2]賢弦玄眩懸[3]憲獻顯[6]現
∅	[1]煙冤淵姻=援{～救}[2]袁涎然燃焉轅延筵緣燃沿鉛元{一～錢}原源圓員園芫沅[3]燕{～子，～京}嚥宴兗遠怨[6]演院縣
#uan	
k	[1]官棺觀{參～，寺～}冠{衣～，～軍}鰥{～夫}關[3]管館貫灌罐慣顴{～骨}鸛
kʰ	[1]寬[3]款
ŋ	[2]頑{～皮}[3]玩{古～}[6]阮
#un	
p	[3]本笨噴{～香}
pʰ	[1]奔□{有厚度}[2]盆墳㖹{吹}[3]噴{～水}
m	[1]蚊[2]門[3]問[6]悶
f	[1]昏婚分{～開}芬紛葷[2]魂餛{～飩}渾{～濁}焚[3]粉奮[6]混{相～}份
v	[1]溫瘟[2]文紋聞[3]穩
t	[1]敦墩飩{餛～}噸[6]囤沌盾{矛～}頓扽
tʰ	[1]吞[2]屯豚[6]鈍遁
n	[3]□{吐出}[6]嫩
l	[2]倫淪輪崙[6]論{～語，～議}
ts	[1]尊遵樽{瓶子}
tsʰ	[1]村[2]存蹲[3]寸
s	[1]孫[2]旬循巡殉純醇[3]損筍荀榫[6]遜
tʃ	[3]準准圳
tʃʰ	[1]春椿[3]蠢
ʃ	[2]唇□{邊緣}[6]順舜
k	[3]滾棍
kʰ	[1]昆坤崑[3]困細捆菌
#uen	
k	[3]耿
#on	
pʰ	[6]飯-
t	[1]端[3]短斷{～絕，決～}
tʰ	[2]團[6]鍛段緞
l	[6]亂
ts	[3]鑽{動詞，用具}轉{～送}[6]傳{～記}
tsʰ	[1]餐閂栓拴[2]傳{～達}椽[3]篡竄篆[6]篡{編～}攢{積～}撰
s	[1]酸[3]算蒜
tʃ	[1]專磚
tʃʰ	[1]川穿[3]喘串
ʃ	[2]船
k	[1]乾{～濕}肝竿[3]杆稈抨趕幹{主～}
kʰ	[3]看{～守，～見}
h	[1]旱[2]韓寒[3]鼾漢[6]罕汗焊銲翰
∅	[1]安[3]鞍按案[6]晏
#ion	
n	[6]刃韌
l	[1]□{捅、戳}
k	[3]瑾謹槿饉僅
kʰ	[2]芹勤[6]近
ŋ	[1]忍
h	[1]欣
∅	[1]軟[3]隱
#iun	
k	[1]均鈞君軍[2]裙群[3]郡
kʰ	[3]窘
h	[1]熏薰勳[3]訓
∅	[1]尹冗{～長}[2]勻允云雲[6]潤閏韻運
#aŋ	
p	[1]邦胖掹{拖、拉}
pʰ	[2]龐彭膨棚[3]冇{空心}
m	[1]猛莽蟒[2]盲虻{牛～}
v	[2]簧{鎖～}橫{～直，豎～}
ts	[1]㬹{肘}踭{腳跟}
tʃ	[1]正
tʃʰ	[2]呈
k	[1]更{五～}庚羹耕[3]徑哽{骨～在喉}勁{～頭}
kʰ	[1]坑空{～缺}
ŋ	[6]硬
h	[2]行{～列，～為}
#iaŋ	
p	[3]丙-柄餅[6]呯{打耳光}
pʰ	[2]平-坪[6]病
m	[2]名[6]命{白，生～}
tʰ	[3]艇
l	[1]領嶺
ts	[3]井[6]靚
tsʰ	[1]青-[2]晴[3]請醒[6]淨
s	[3]姓
ʃ	[1]聲[2]成城
k	[1]驚猄[3]鏡頸
kʰ	[1]輕{～重，年～}[3]鏗{能幹}
ŋ	[2]迎
∅	[2]營贏[3]影
#ioŋ	
m	[3]網罔惘輞{車～}魍䰣
n	[2]娘輛[3]亮釀[6]量{數～}
l	[1]兩{斤～}[2]良涼量{～長}糧梁粱籠[3]兩{～個}
ts	[1]將{～來}漿[3]蔣獎槳象醬將{大～}
tsʰ	[1]槍[2]牆[3]搶
s	[1]相{互～}箱廂湘鑲襄驤[2]詳祥翔[3]像橡相{～貌}象[6]想匠
tʃ	[3]賬帳脹
