	本誌	趙氏	手冊	省誌	概況	資料
dʐʊ2	纏傳（~遞)					
dʐʊ4	纏？（幹仗 鬭爭）					
dʐʊ6	傳（~記)					
ʂʊ1	扇煽閂栓					
ʂʊ3	閃					
ʂʊ5	扇苫					
ʐʊ2	嬋禪蟬蟾船椽					
ʐʊ4	善鱔					
ʐʊ6	擅染（文）					
kʊ1	甘泔柑疳干乾杆肝竿					
kʊ3	敢趕感杆稈					
kʊ5	幹					
kʰʊ1	看（~守）龕勘					
kʰʊ3	坎砍					
kʰʊ5	刊看（~見）					
ɡʊ3	撼					
ŋʊ6	岸					
hʊ1	頇蚶酣					
hʊ3	罕					
hʊ5	漢熯					
ɦʊ2	邯含函涵寒韓桓丸紈					
ɦʊ6	旱悍焊汗憾翰瀚頷					
ʔʊ1	安鞍庵					
ʔʊ3	按					
ʔʊ5	暗黯案					
kʊ1	官倌棺冠（~軍)					
kʊ3	管					
kʊ5	館貫灌罐鸛盥觀					
kʰʊ1	堪寬					
kʰʊ3	侃款					
kʰʊ5	刊（又)					
hʊ1	歡獾					
hʊ5	喚煥					
ɦʊ2	完玩(又)頑(又)丸(又)紈(又)					
ɦʊ6	換					
ʔʊ1	蜿豌剜					
ʔʊ3	緩宛惋婉碗腕皖					
tɕyʊ1	涓娟捐鵑					
tɕyʊ3	卷（~起來)					
tɕyʊ5	絹狷卷（試~）眷					
tɕʰyʊ1	圈（圓~)					
tɕʰyʊ3	犬					
tɕʰyʊ5	券勸					
dʑyʊ2	拳權卷鬈蜷顴					
dʑyʊ6	圈（豬~）倦					
ȵyʊ2	玄元原源					
ȵyʊ4	軟耎					
ȵyʊ6	願					
ɕyʊ1	喧暄煊萱靴					
ɕyʊ5	揎					
jyʊ2	丸（~藥)玄（又）懸猿園緣援淵元（~角分）員圓袁					
jyʊ4	遠					
jyʊ6	縣炫眩院苑					
ʔyʊ1	冤鳶鴛					
ʔyʊ5	怨					
piɪ1	邊煸蝙鯿編鞭					
piɪ3	扁匾褊					
piɪ5	貶變遍					
pʰiɪ1	偏翩					
pʰiɪ5	篇片騙					
biɪ2	便(~宜)駢					
biɪ4	辨辯					
biɪ6	卞汴便(~利)辮					
miɪ1	勉					
miɪ2	棉綿眠					
miɪ4	免娩冕					
miɪ6	湎緬麪面					
tiɪ1	踮掂顛巔癲					
tiɪ3	點典碘					
tiɪ5	店玷					
tʰiɪ1	天添					
tʰiɪ3	忝舔					
tʰiɪ5	掭					
diɪ2	田鈿恬甜					
diɪ4	填					
diɪ6	澱靛甸佃奠電墊簟殿					
liɪ2	連蓮漣褳鰱聯廉簾鐮憐簾					
liɪ4	臉					
liɪ6	斂練鏈煉戀殮					
tsiɪ1	尖煎箋餞					
tsiɪ3	前翦					
tsiɪ5	箭薦濺（文）					
tsʰiɪ1	籤殲千遷阡釺簽倩					
tsʰiɪ3	淺					
siɪ1	先仙纖鮮暹宣					
siɪ3	洗（姓)選癬銑					
siɪ5	線腺					
ziɪ2	全痊泉挦					
ziɪ4	前錢					
ziɪ6	踐賤漸潛羨旋（~渦)璿					
tɕiɪ1	蒹兼搛肩堅監（文）艱（文）奸（文）姦（文）間（文,房~)諫					
tɕiɪ3	繭柬揀（文）簡（文）減（文）鹻（文）檢					
tɕiɪ5	建毽見劍鑒間（~斷)					
tɕʰiɪ1	謙牽謇騫					
tɕʰiɪ3	□（苟延殘喘 ~命）					
tɕʰiɪ5	艦（文）遣譴欠芡歉縴					
dʑiɪ2	乾（~坤）虔鉗鈐黔掮					
dʑiɪ6	儉件健腱鍵					
ɕiɪ1	苫（名詞）掀軒					
ɕiɪ3	險					
ɕiɪ5	顯莧憲獻					
ȵiɪ1	拈黏研妍					
ȵiɪ2	年鯰嚴巖（文）閻					
ȵiɪ4	撚碾染儼					
ȵiɪ6	廿念硯驗彥諺釅					
jiɪ2	賢嫌閒（文）咸鹹弦舷顏（文）延筵蜒炎言沿鹽					
jiɪ6	現限（文）陷（文）衍眼（文）豔焰					
ʔiɪ1	煙咽胭閹醃焉嫣蔫					
ʔiɪ3	掩魘					
ʔiɪ5	淹（文）演燕（~國）嚥晏宴堰雁（文）厭					
pəɯ1	波玻菠					
pəɯ3	播譜補					
pəɯ5	跛簸（~箕）布佈怖					
pʰəɯ1	頗鋪					
pʰəɯ3	普浦埔圃					
pʰəɯ5	破鋪坡					
bəɯ2	婆蒲葡脯(胷~)□（撫也 ~面）					
bəɯ4						
bəɯ6	薄（~荷)哺捕部埠步簿伏					
məɯ1	母					
məɯ2	磨（~刀）蘑摩摹魔模（~具)					
məɯ4	磨					
məɯ6	磨（~子)募幕慕墓暮					
təɯ1	多哆都					
