来源：	郭贞彦 2010《山西文水裴会村话语音研究》；原作者提供字表数据，Hynuza 整理
f	［1］分芬纷焚风疯枫封峰锋缝逢［3］粉讽［5］粪奋愤忿凤奉俸缝
t	［1］登灯疼［3］等［5］凳瞪澄邓
tʰ	［1］吞腾謄藤熥［3］□{傻}
n	［1］能［5］嫩
l	［1］棱［3］冷=［5］楞
k	［1］跟根耕=更庚［3］耿［5］更
kʰ	［1］坑［3］恳垦肯
ŋ	［1］恩［5］摁
x	［1］痕恒横=亨衡［3］很=［5］恨
ʐ	［1］任人仁仍［3］纫忍［5］刃认
ts	［1］沉-针斟珍榛臻真曾增憎层-征蒸=争筝贞侦征睁=［3］诊疹拯整［5］枕镇阵振震赠症证郑正=政
tsʰ	［1］沉=参岑陈尘辰晨=臣层=曾澄橙称乘承丞呈程成城诚撑盛-［3］惩逞［5］趁衬蹭称
s	［1］森参深神身申伸娠晨僧升声=牲生=绳=晨-［3］沈审婶省甥=［5］甚渗肾慎胜圣盛剩=
#uəŋ	
t	［1］蹲东冬敦墩［3］懂董［5］盾顿盾钝遁冻动洞
tʰ	［1］通同铜桐童［3］捅桶筒统［5］痛
n	［1］农侬脓浓
l	［1］伦沦轮聋隆龙仑［3］笼拢陇垅［5］弄论
k	［1］公蚣工功攻弓宫躬恭供［3］滚汞拱［5］棍贡共
kʰ	［1］昆坤空［3］啃捆孔恐［5］困控
x	［1］昏婚魂浑弘烘红洪鸿虹轰宏［3］哄［5］混份
tʂ	［1］尊遵鬃棕宗中忠终钟踪［3］准总肿［5］中仲众重种纵
tʂʰ	［1］村存皴椿春纯醇聪葱匆丛崇充重冲舂从［3］忖蠢宠［5］寸
ʂ	［1］孙唇松嵩［3］损笋［5］顺舜送宋诵讼颂
ʐ	［1］茸戎绒［3］冗［5］润闰
Ø	［1］温瘟文蚊纹翁［3］稳吻［5］问甕
#ʌʔ	
p	［7］八剥［8］拔
pʰ	［7］胖
m	［7］抹
t	［7］答搭［8］达
tʰ	［7］踏沓塔溻托特
n	［8］纳捺
l	［8］腊蜡镴辣落洛乐肋勒
ŋ	［7］压-鸭
x	［7］瞎哪［8］盒
ʐ	［7］热
ts	［7］趾扎眨扎则摘责［8］杂闸炸泽择
