来源：	史秀菊 张丽 2014《山西兴县方言同音字汇》；山佳木 整理录入
ŋ	［1］欧瓯［3］呕藕偶嫗熰［5］构购沤怄
x	［3］吼［2］侯喉{咽～子：所指范围小,指喉结}瘊猴［5］厚后候
#iou	
t	［1］丢屌{～子：男性生殖器}［3］扭纽［2］牛油{～房沟：地名}
l	［3］柳［2］硫流留瘤榴琉刘［5］溜{向下滑}六碌{～碡：一种农具}
tɕ	［1］究咎纠揪鸠鬏{缯的个不～～：扎了个鬏儿}［3］灸久韭酒臼九［5］舅旧救
tɕʰ	［1］邱丘囚秋蚯□{～上：把物体放在背上,前面用手拽住}仇{姓}［2］求球
ɕ	［1］修休羞朽{～腐；～咧：萎缩了}［5］嗅宿{星～}袖秀绣
ø	［1］悠优幽［3］莠鼬有友［2］犹尤游邮油由［5］又右幼佑诱柚釉
#ɯu	
tʂ	［1］召昭招朝{今～}着{～急}［3］沼［5］赵兆照诏
tʂʰ	［1］超［2］潮朝{～代}
ʂ	［1］烧韶{～山}［3］少{多～}［5］绍邵少{～年}
ʐ	［3］扰绕{围～}［2］饶［5］绕{～圈}
k	［1］高糕膏羔［3］稿［5］告
kʰ	［5］靠铐犒
ŋ	［3］祆［2］熬［5］傲奥澳鍪拗
#iɯu	
p	［1］标膘镖彪飙{～车}［3］表裱婊
pʰ	［1］剽瞟飘嫖［2］瓢［5］票漂
m	［3］秒渺藐［2］描苗瞄［5］谬庙妙
t	［1］刁叼雕貂碉［5］藋{灰～：一种野草}掉吊调{音～}钓
tʰ	［1］挑［3］挑［2］条笤调{～和}□{～踩：踩}［5］跳
n	［5］尿
l	［3］燎{火～眉毛了}潦［2］燎{～泡}撩{～逗}獠{～牙}聊辽疗［5］尥{～后子：尥蹶子}瞭镣料撂
tɕ	［1］浇椒焦蕉娇骄［3］侥绞饺茭矫［2］嚼［5］叫轿噍
tɕʰ	［1］锹劁{～猪：阉猪}悄缲{～边边}雀{～子：麻雀}［2］跷荞瞧樵桥乔侨［5］俏鞘
ɕ	［1］消销肖萧箫宵硝嚣［3］小晓［2］□{～起来：稍微悬起来}［5］笑
ø	［1］妖邀腰吆要{～求}［3］舀［2］摇遥谣尧窑肴姚［5］要{重～}靿耀鹞{～子}
#an	
p	［1］癍斑扳班［3］版扁板［5］扮瓣办
pʰ	［1］攀［5］盼
m	［2］蛮［5］慢
