#符号说明：-白=文/书*俗?待考	
#调值	[1]⁵³⁴[2]³³[3]²¹³[4]⁴²²[6]⁵²[7]²⁴[0]⁰
#ɿ	
f	[1]昏婚分芬纷焚荤风枫疯丰讽封峰蜂锋[2]坟宏冯逢缝{动词}[3]粉愤奋[4]忿放1轰俸[6]份风奉缝{名词}
t	[1]敦墩驐{~鸡：阉过的公鸡}蹲登灯东{方位}冬[3]盾顿等董懂栋[4]凳邓澄瞪冻
tʰ	[1]吞通[2]潭屯豚饨囤沌腾誊藤同铜桐简童瞳[3]捅统[4]桶动痛[6]钝遁洞
l	[1]容2[2]论{~语}仑伦沦轮能聋农隆戎绒雄{~猪}融浓龙笼砻陇垄茸雍容1蓉庸拥[4]暖笼拢弄{~堂}脓[6]嫩论{议~}弄{捉~}甬勇涌用
ts	[1]簪尊遵曾{姓}增曾{~经}筝睁棕宗中{~国}忠终踪纵{~横}鐘锺盅[3]总种{名词}肿[4]憎鬃粽综中{~风}仲众冢种{动词}
tsʰ	[1]村聪匆葱充从{~容}从{~来}冲共{同}□{火~：烘篮}[2]存虫穷重{~复}[3]忖宠[4]寸铳纵{放~}重{轻~}
s	[1]孙僧兄1鬆嵩胸凶{吉~；~恶}[2]蚕崇熊雄{英~}松{~树}㞞{精液}廛{~子：浮厝的建筑物}[3]损[4]錾赠送宋[6]逊丛诵颂讼
k	[1]蚣跟根羹2公蚣工功攻弓躬宫恭巩[4]粳更{~加}耿贡汞
kʰ	[1]墈磁空{~话}[3]恳垦啃肯孔恐□{吼叫}[4]控空{有~}[6]供{~销社；上~}共{~产党}
x	[1]烘哄[2]痕恒亨衡鸿□{不~：未}[3]很狠1[6]狠2恨

#uən	
k	[3]滚棍[4]昆
kʰ	[1]坤[3]捆困{~难}[4]睏{睡}
Ø	[1]温瘟[2]魂馄浑文纹闻[3]稳吻刎[4]混□{淹}[6]问

#om	
p	[1]帮[3]榜谤绑
pʰ	[4]棒胖
m	[1]蒙[2]忙朦[4]芒{~种}茫莽蟒芒{麦~}网懵[6]梦望
t	[1]当{~时}挡[4]当{上~}档
tʰ	[1]汤[2]堂唐糖塘[4]荡{涮洗}烫
l	[2]狼[6]浪2□{~热：热闹}
ts	[1]赃庄装章1樟桩[4]葬壮
tsʰ	[1]仓苍疮菖囱[6]闯状撞
s	[1]桑霜孀双[2]肠2床[3]丧{出~}磉嗓搡爽
k	[1]钢缸光江扛豇[3]岗讲[4]杠降虹
kʰ	[1]康{~熙}糠[4]囥{藏放}矿
x	[1]荒慌方[2]行{银~}航杭房1弘[4]项巷[6]笐
Ø	[1]汪[2]黄皇[4]瓮

#m̩	
Ø	[2]无{~没：没有}姆{~妈：妈妈}[4]亩母{舅~}拇{大~指}

#n̩	
Ø	[1]庵音阴恩因姻殷鹰鹦樱英婴缨翁[2]儿{~女}壬任{姓}淫饮人仁银寅凝莺营赢形营1茔萤红洪[3]隐尹影颖塕[4]五午耳{~朵}引印仍扔映□{给}[6]任{责~}纫忍刃认1应{~当；答~}迎孕□{~娘：奶奶} 
