#符号说明：-白=文/书*俗?待考	
#调值	[1]²² [2]⁵⁵ [3]³⁵ [5]²¹² [7]⁴² [0]⁰
#ɿ	
Ø	[1]淹阉腌蔫焉烟燕{~京}[2]炎盐阎檐颜涎延筵[3]掩魇俨演兖[5]厌艳焰堰燕{~子}咽宴雁{文}□{瘪~：秕子}

#yɛ᷉	
tɕ	[1]专砖绢捐[3]转{~眼}卷{~起}捲[5]撰篆传{~记}圈{猪~}眷倦卷{~子}券赚转{~圈}□{头发~：发旋}
tɕʰ	[1]川穿圈{圆~}桊[2]传椽船拳权颧[3]犬□{kᴀ²²~：蚯蚓}[5]串劝
ʃ	[1]闩拴喧[2]眩玄悬弦[5]楦
Ø	[1]冤渊[2]圆员缘元原源袁辕园援[3]软阮远[5]院愿怨

#uɔ᷉	
t	[1]端{文}[3]短[5]断{文}乱{文}段缎椴
tʰ	[2]团
n	[3]暖卵
ts	[1]钻{文；~山洞}[5]钻{木工用具}
tsʰ	[1]汆
s	[1]酸[5]算蒜

#ən	
p	[1]奔锛[3]本[5]笨
pʰ	[1]烹[2]盆彭膨[5]喷
m	[1]□{~裆裤：死裆裤}[2]门[5]闷纹{裂~}□{密}
f	[1]浑{~浊}分纷芬荤横昏婚[2]焚坟宏[3]粉[5]馄愤忿粪奋份
t	[1]敦墩澄{~清}登灯蹲[3]等戥[5]囤沌盾顿钝遁饨凳镫邓瞪扽
tʰ	[1]吞[2]屯豚腾誊藤
n	[1]拎[2]论{~语}仑伦沦轮能囵[3]冷[5]嫩论{议~}楞
ts	[1]针斟珍臻榛真尊撙遵曾{姓}增憎征惩蒸争筝睁贞侦正{~月}[3]整枕诊疹拯[5]镇阵振震贈证症郑正{~好}政
tsʰ	[1]村称{~呼}皴撑[2]呈程逞成诚城承丞乘澄{~清}沉葚陈尘臣存曾{~经}层橙[3]忖[5]趁寸衬蹭称{相~}秤牚
s	[1]森参{人~}深身申伸娠孙僧升生牲笙甥声[2]绳塍{田~}神辰晨[3]沈审婶损榫笋省[5]剩盛{~大，~满}圣胜{~任}甚渗肾慎逊
z	[2]任{姓}人仁壬[3]忍[5]赁{租~}任责{~刃}认韧扔纴
k	[1]根跟更{~换}庚羹耕[3]哽埂梗耿粳[5]更{~加}
kʰ	[1]坑[3]肯啃恳垦
ŋ	[1]恩[5]硬
x	[1]亨[2]恒痕衡[3]很[5]恨

#in	
p	[1]彬宾槟冰兵浜[3]禀丙秉饼[5]殡鬓柄病并
pʰ	[1]姘拼[2]凭贫频平坪瓶屏萍[3]品[5]评聘
m	[2]民鸣明名铭[3]抿敏悯闽皿[5]命
t	[1]丁钉{~子}疔靪[3]顶鼎[5]澄{~一~}锭钉{~住}订定绽
tʰ	[1]厅汀[2]亭停庭廷蜓[3]艇挺[5]听□{鼻~：鼻涕}
l	[2]林淋临邻鳞磷陵凌菱宁零灵铃伶翎[3]领岭[5]吝令另
