#符号说明：-白=文/书*俗?待考		连读降调	[1b]⁵³
#调值		连读升调	[3b]²⁴
#ɿ	[1]⁵³[2]³³[3]²¹⁴[5]⁴⁴[7a]⁵⁵[7b]⁵[8]¹²[0]⁰	连读高调	[5b]⁴⁴
Ø	[7b]鸦2{乌老~}鸭恶握屋□{溺死义}[8]活2猾还{~有}物获划或惑核{桃~}		

#yəʔ			
tɕ	[7b]决觉竹筑祝粥菊烛桔[8]镯轴局族		
tɕʰ	[7b]缺出确畜麴曲屈		
ȵ	[8]穴肉玉褥		
ɕ	[7b]缩叔蓄速刷恤蟀[8]熟续属术{白~}術{技~}		
Ø	[8]越疫役育浴		

#ɤaˀ			
p	[7a]八		
f	[7a]发{头~；~财}髮發		
