来源：	邢红文 2019《古县（尧店）方言音系及其与周边方言声调的比较研究》；Hynuza, Skanda 整理录入
ɕ	［1］荀熏勋薰［2］旬循巡殉寻=［3］损［5］迅训
Ø	［1］晕［2］匀云［3］允孕韵运［5］熨
#aŋ
p	［1］帮邦梆［3］榜绑棒蚌膀{～子：肩膀}
pʰ	［2］旁滂螃膀{～胱}庞［5］胖
m	［2］忙芒茫盲［3］蟒莽
f	［1］方坊芳肪妨［2］防房=［3］仿{相似}纺=［5］放=
v	［1］汪［2］王亡芒［3］网往枉旺妄望忘=
t	［1］当{～时}裆［3］党荡挡［5］当{典～}档
tʰ	［1］汤=蹚［2］堂棠螳唐糖塘溏膛［3］躺［5］烫趟
n	［1］齈{多鼻涕状}儾{～包}［2］囊［3］攮{捅}
l	［2］郎廊螂狼=［3］朗浪
ts	［1］脏{不干净}［3］藏{西～}［5］葬脏{肝～}
tsʰ	［1］仓苍［2］藏={～起来}
s	［1］丧{婚～}桑=［3］搡嗓［5］丧{～失}
