音标	调类	字汇							
fən	2	焚							
fən	3	粉							
fən	5	奋分份喷							
uən	1	温瘟							
uən	2	文蚊							
uən	3	稳							
uən	5	问							
tsuən	1	尊遵							
tsuən	3	准							
tsʰuən	1	村春							
tsʰuən	2	存							
tsʰuən	3	蠢							
tsʰuən	5	寸							
suən	1	孙							
suən	2	绳纯唇							
suən	3	省损瞬							
suən	5	顺							
zuən	5	闰孕							
kuən	3	滚							
kuən	5	棍							
kʰuən	1	昆							
kʰuən	2	浑（白，表示一整个）							
kʰuən	3	捆							
kʰuən	5	困							
xuən	1	浑（水∽）昏							
xuən	2	魂横浑（∽身）							
xuən	5	混							
nuən	2	轮							
nuən	5	论							
in	1	因烟英音樱							
in	2	银言盐沿（新）							
in	3	影演眼							
in	5	应印厌艳燕							
pin	1	冰边鞭兵宾滨							
pin	3	饼乒							
pin	5	病并便辩变							
pʰin	1	拼篇							
pʰin	2	平苹贫屏频便（便∽）							
pʰin	3	片							
pʰin	5	遍（普∽，走∽）片							
min	2	民明棉眠							
min	3	缅敏免							
min	5	命面							
tin	1	丁尖（豌豆尖儿，椿尖儿，一般儿化）颠巅							
tin	3	顶							
tin	5	订电店							
tʰin	1	天厅							
tʰin	2	停田填甜							
tʰin	3	㖭							
tʰin	5	听							
nin	1	研拈							
nin	2	宁凝零年连莲严吟黏（文）阎（∽王）链（项∽儿，一般儿化）							
nin	3	拧							
nin	5	念另验凝链							
tɕin	1	今金京精津禁（∽不住，受不了）肩兼间（文读）尖坚							
tɕin	3	井紧警捡检剪颈（文）尽（让，∽他耍）境（环∽）							
tɕin	5	进净静敬晋禁见建健剑箭尽贱							
tɕʰin	1	青清亲千阡歼铅							
tɕʰin	2	秦情前钱勤芹							
tɕʰin	3	请浅							
tɕʰin	5	庆侵（∽略）欠芡							
ɕin	1	心星新欣先鲜（白，新∽）							
ɕin	2	行嫌闲贤咸（文）							
ɕin	3	醒显							
ɕin	5	幸信性姓现县陷线							
yn	1	冤渊							
yn	2	云原园圆员袁援盐沿荣（疑似存在）							
yn	3	永（文）远							
yn	5	运泳愿晕（∽车）							
tɕyn	1	军捐娟坚（∽决）							
tɕyn	3	卷（花∽）							
tɕyn	5	卷（∽子）券圈（羊∽）							
ɕyn	1	宣鲜							
ɕyn	2	寻悬							
ɕyn	3	选藓							
ɕyn	5	迅							
tɕʰyn	1	圈倾							
tɕʰyn	2	群全权泉							
tɕʰyn	3	犬							
tɕʰyn	5	劝							
toŋ	1	冬东							
toŋ	3	董懂斗（∽蓬）							
toŋ	5	动冻							
tʰoŋ	1	通捅（口语）							
tʰoŋ	2	铜同童							
tʰoŋ	3	桶							
tʰoŋ	5	痛							
noŋ	1	聋弄（白）							
noŋ	2	龙农隆							
noŋ	3	拢							
noŋ	5	弄							
tsoŋ	1	中宗							
tsoŋ	3	总							
tsoŋ	5	众棕							
tsʰoŋ	1	冲舂							
tsʰoŋ	2	从虫							
tsʰoŋ	3	宠							
tsʰoŋ	5	冲（∽鼻子）							
soŋ	1	松（放∽）							
soŋ	2	怂							
soŋ	3	耸							
soŋ	5	送宋							
zoŋ	2	茸绒							
zoŋ	3	冗							
koŋ	1	公工供							
koŋ	2	□（“各人”合音）							
koŋ	3	拱							
koŋ	5	共拱（人顶进去）							
kʰoŋ	1	空							
kʰoŋ	3	孔							
kʰoŋ	5	空							
xoŋ	1	轰							
xoŋ	2	红							
xoŋ	3	哄							
xoŋ	5	讧							
oŋ	1	翁（可能会带前喉塞）							
oŋ	5	瓮（会带前喉塞）							
ŋoŋ	5	瓮							
poŋ	1	绷							
poŋ	3	乓							
poŋ	5	蹦							
pʰoŋ	2	棚朋蓬鹏							
pʰoŋ	3	捧							
pʰoŋ	5	碰喷（∽∽香）							
moŋ	1	蒙							
