"id","hanzi","note","ipa","audio","ntd","dl","databse","py"
126,"胁",,"ɕɪʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xig7.wav",7,"阴入","zg","xig7"
127,"舌",,"ɕɪʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xig8.wav",8,"阳入","zg","xig8"
128,"虾","文读","ɕɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xo1.wav",1,"阴平","zg","xo1"
129,"暇",,"ɕɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xo2.wav",2,"阳平","zg","xo2"
130,"瑕",,"ɕɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xo2.wav",2,"阳平","zg","xo2"
131,"遐",,"ɕɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xo2.wav",2,"阳平","zg","xo2"
132,"霞",,"ɕɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xo2.wav",2,"阳平","zg","xo2"
133,"卸",,"ɕɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xo5.wav",5,"阴去","zg","xo5"
134,"泻",,"ɕɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xo5.wav",5,"阴去","zg","xo5"
135,"峡",,"ɕɔʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xog7.wav",7,"阴入","zg","xog7"
136,"学","文读","ɕɔʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xog8.wav",8,"阳入","zg","xog8"
137,"些",,"ɕe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xei1.wav",1,"阴平","zg","xei1"
138,"乡",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen1.wav",1,"阴平","zg","xen1"
139,"厢",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen1.wav",1,"阴平","zg","xen1"
140,"湘",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen1.wav",1,"阴平","zg","xen1"
141,"相","(互相)","ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen1.wav",1,"阴平","zg","xen1"
142,"箱",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen1.wav",1,"阴平","zg","xen1"
143,"襄",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen1.wav",1,"阴平","zg","xen1"
144,"镶",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen1.wav",1,"阴平","zg","xen1"
145,"香",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen1.wav",1,"阴平","zg","xen1"
146,"闲",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen2.wav",2,"阳平","zg","xen2"
147,"享",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen3.wav",3,"阴上","zg","xen3"
148,"想",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen3.wav",3,"阴上","zg","xen3"
149,"舍","(宿舍)","ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen3.wav",3,"阴上","zg","xen3"
150,"飨",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen3.wav",3,"阴上","zg","xen3"
151,"饷",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen3.wav",3,"阴上","zg","xen3"
152,"鲞",,"ɕẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xen3.wav",3,"阴上","zg","xen3"
153,"酵",,"ɕə","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xe5.wav",5,"阴去","zg","xe5"
154,"社",,"ɕe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xei6.wav",6,"阳去","zg","xei6"
155,"衔","(头衔)","ɕɛ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xan2.wav",2,"阳平","zg","xan2"
