繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
陳	陈	z	ang	5	zang	zang5	tsɐŋ²⁴			
晨	晨	s	ang	2	sang	sang2	sɐŋ²¹			
塵	尘	c	ang	2	cang	cang2	tsʰɐŋ²¹			
趁	趁	c	ang	5	cang	cang5	tsʰɐŋ²⁴			
襯	衬	c	ang	5	cang	cang5	tsʰɐŋ²⁴			
稱	称	c	eng	1	ceng	ceng1	tsʰeŋ³⁵	~呼。		
稱	称	c	eng	1h	ceng	ceng1h	tsʰeŋ⁵⁵	~呼。		
稱	称	c	eng	5	ceng	ceng5	tsʰeŋ²⁴	相~。		
成	成	s	eng	2	seng	seng2	seŋ²¹			
丞	丞	s	eng	2	seng	seng2	seŋ²¹			
呈	呈	c	eng	2	ceng	ceng2	tsʰeŋ²¹			
承	承	s	eng	2	seng	seng2	seŋ²¹			
城	城	s	eng	2	seng	seng2	seŋ²¹			
乘	乘	s	eng	2	seng	seng2	seŋ²¹			
程	程	c	eng	2	ceng	ceng2	tsʰeŋ²¹			
塍	塍	s	eng	2	seng	seng2	seŋ²¹	田塍。		
誠	诚	s	eng	2	seng	seng2	seŋ²¹			
澄	澄	c	eng	2	ceng	ceng2	tsʰeŋ²¹			
澄	澄	z	eng	2	zeng	zeng2	tseŋ²¹			
橙	橙	c	aang	1h	caang	caang1h	tsʰaŋ⁵⁵			
懲	惩	c	eng	2	ceng	ceng2	tsʰeŋ²¹			
逞	逞	c	eng	3	ceng	ceng3	tsʰeŋ¹¹			
秤	秤	c	e	5	ce	ce5	tsʰe²⁴			
牚	牚	c	aeng	1	caeng	caeng1	tsʰæŋ³⁵	椅子~。		
喫	吃	h	iaa	1	hiaa	hiaa1	hia³⁵			
眵	眵	c	i	2	ci	ci2	tsʰi²¹	眼~。		
嗤	嗤	c	i	1h	ci	ci1h	tsʰi⁵⁵			
痴	痴	z	i	2	zi	zi2	tsi²¹			
癡	痴	z	i	2	zi	zi2	tsi²¹			
池	池	c	i	2	ci	ci2	tsʰi²¹			
持	持	c	i	2	ci	ci2	tsʰi²¹			
馳	驰	c	i	2	ci	ci2	tsʰi²¹			
趍	趍	c	ui	1h	cui	cui1h	tsʰui⁵⁵			
遲	迟	c	i	2	ci	ci2	tsʰi²¹			
尺	尺	c	iaa	1	ciaa	ciaa1	tsʰia³⁵			
侈	侈	c	i	3	ci	ci3	tsʰi¹¹			
恥	耻	c	i	3	ci	ci3	tsʰi¹¹			
豉	豉	s	i	6	si	si6	si³²			
齒	齿	c	i	3	ci	ci3	tsʰi¹¹			
斥	斥	c	eq	7	ceq	ceq7	tsʰeʔ⁵⁵			
赤	赤	c	eq	7	ceq	ceq7	tsʰeʔ⁵⁵	文读。		
赤	赤	c	iaa	1	ciaa	ciaa1	tsʰia³⁵	白读。		
翅	翅	c	i	5	ci	ci5	tsʰi²⁴			
飭	饬	z	ek	7	zek	zek7	tsek⁵⁵	早种禾。		
充	充	c	ung	1h	cung	cung1h	tsʰʊŋ⁵⁵			
舂	舂	z	ung	1h	zung	zung1h	tsʊŋ⁵⁵			
衝	冲	c	ung	1h	cung	cung1h	tsʰʊŋ⁵⁵			
崇	崇	s	ung	2	sung	sung2	sʊŋ²¹			
蟲	虫	c	ung	2	cung	cung2	tsʰʊŋ²¹			
寵	宠	c	ung	3	cung	cung3	tsʰʊŋ¹¹			
銃	铳	c	ung	6	cung	cung6	tsʰʊŋ³²			
抽	抽	c	au	1	cau	cau1	tsʰɐu³⁵			
抽	抽	c	au	1h	cau	cau1h	tsʰɐu⁵⁵			
搊	搊	c	au	1h	cau	cau1h	tsʰɐu⁵⁵	~起来。		
仇	仇	s	au	2	sau	sau2	sɐu²¹			
酬	酬	c	au	2	cau	cau2	tsʰɐu²¹			
稠	稠	c	au	2	cau	cau2	tsʰɐu²¹			
愁	愁	s	au	2	sau	sau2	sɐu²¹			
綢	绸	c	au	2	cau	cau2	tsʰɐu²¹			
籌	筹	c	au	2	cau	cau2	tsʰɐu²¹			
醻	酬	c	au	2	cau	cau2	tsʰɐu²¹			
讎	雠	s	au	2	sau	sau2	sɐu²¹			
丑	丑	c	au	3	cau	cau3	tsʰɐu¹¹			
醜	丑	c	au	3	cau	cau3	tsʰɐu¹¹			
臭	臭	c	au	5	cau	cau5	tsʰɐu²⁴			
出	出	c	aq	7	caq	caq7	tsʰɐʔ⁵⁵			
初	初	c	o	1h	co	co1h	tsʰɔ⁵⁵			
除	除	c	ui	2	cui	cui2	tsʰui²¹			
鋤	锄	c	o	2	co	co2	tsʰɔ²¹			
廚	厨	c	yu	2	cyu	cyu2	tsʰy²¹			
雛	雏	c	o	1h	co	co1h	tsʰɔ⁵⁵			
鶵	鶵	c	o	1h	co	co1h	tsʰɔ⁵⁵			
杵	杵	c	yu	3	cyu	cyu3	tsʰy¹¹			
楚	楚	c	o	3	co	co3	tsʰɔ¹¹			
褚	褚	z	i	3	zi	zi3	tsi¹¹			
儲	储	c	yu	2	cyu	cyu2	tsʰy²¹			
礎	础	c	o	3	co	co3	tsʰɔ¹¹			
畜	畜	c	uq	7	cuq	cuq7	tsʰʊʔ⁵⁵			
處	处	c	yu	5	cyu	cyu5	tsʰy²⁴	~所。		
處	处	c	yu	5	cyu	cyu5	tsʰy²⁴	相~。		
觸	触	c	uq	7	cuq	cuq7	tsʰʊʔ⁵⁵			
揣	揣	c	ui	3	cui	cui3	tsʰui¹¹			
𢶀	𢶀	z	ui	6	zui	zui6	tsui³²	拉。		
川	川	c	iong	1h	ciong	ciong1h	tsʰiɔŋ⁵⁵			
