#声调	1阴平24 2阳平21 3阴上阳去31 5阴去52 7阴入32 8阳入5
#注释	*训=文-白
#资料来源	《永定县志》，语保永定，《福建省永定凰城客家话研究》
#a	
tɕ	[1]焦蕉椒骄娇矫浇樵=瞧饺[2]嚼{吃}樵-{柴}[3]剿缴饺[5]叫
tɕʰ	[1]锹悄[2]樵乔侨桥荞[3]撬轿噍{～饭：咀嚼}[5]俏翘
ɕ	[1]消宵霄硝销器号箫萧肖[2]姣{女人花俏}漦{精液}[3]小[5]笑鞘
ɲ	[2]饶尧[3]绕
0	[1]腰邀妖要{～求}吆稀*[2]摇谣窑[3]舀{～水}耀杳鹞{～婆：老鹰}[5]要{重～}
#iu	
t	[1]丢
l	[1]溜[2]留流刘榴琉馏[3]柳[5]溜{～水}
n	[3]扭-纽=
ɲ	[1]扭*{扭绞}
tɕ	[1]周舟州洲纠[3]酒肘扭*九[5]昼咒皱-
tɕʰ	[1]丘秋抽舅臼鳅聚-{合~：闭嘴}[2]求囚泅绸稠筹球仇[3]旧就袖丑[5]臭兽
ɕ	[1]休修羞收[3]守手首朽佑[5]秀绣锈寿
0	[1]有[2]忧优悠幽油尤游犹[3]右又枯柚佑[5]诱幼友
#iuʔ	
l	[7]六[8]绿陆
tɕʰ	[7]菊曲刺*[8]局
ɕ	[7]粟宿畜
ɲ	[7]肉[8]玉
0	[7]育[8]浴{洗~：洗澡}褥
#aŋ	
p	[1]㧍{拉长}[5]泛-{讲~：撒谎，松}
pʰ	[1]膨*{吹：～气球}[2]棚彭膨[3]澎*{陷阱，如：野猪～}
m	[2]盲*{暂不，如：～得闲}[3]猛蜢
v	[2]横[3]横*{倒：～倒}
tʰ	[2]谈-{～下子，谈谈}弹-{～琴}
n	[5]挣{用力排便之类}
l	[2]晾{晾衫}
ts	[1]争-正{～月}㬹{脚跟}[5]正-{放～来}
tsʰ	[2]锃{～光，反光}橙{柚子}[3]郑[5]撑
s	[1]生-{～熟}牲{头~：牲畜}声[2]成-{事情做～哩！}城[3]省{节～}
k	[1]更{五～}庚羹耕[3]哽鲠[5]径{绊；矮凳子会～脚}降
kʰ	[1]坑-
ŋ	[3]硬
x	[1]夯{打～}[2]行-桁{檩条}茎{一~：一条}
0	[1]罂-{大陶瓮}
#iaŋ	
p	[3]饼丙[5]柄摒{躲}
pʰ	[1]坪*{一大片}[2]坪平-[3]病
m	[1]幎{蒙住}[2]名明{～年}[3]命-
l	[1]领岭
ɲ	[2]迎[3]䁐{~牛：放牛}萤{火~虫：萤火虫}
tɕ	[1]惊{害怕}精{~肉：瘦肉}精{美}[3]井颈[5]降=剑镜净*{水清}
tɕʰ	[1]青轻槛*[2]晴[3]净醒-儆{~嘴：忌口}[5]呛
