	参考资料	《枞阳方言研究》，整理于东乡日常。									
	#调值	[1]³² [2]⁵⁵ [3]⁵² [5]³¹ [7]入声韵分aʔ ㄹ oʔ ㅂ ɪʔ ㄷ əʔ ㄱ ，根据韵不同调值不同，关于nl不分，整理得大部分n+细音，洪音+l.									
	pʰ 뻔	[1]滂[2]旁庞防(白，预防)									
	p 번	[1]帮邦浜[2]谤傍蚌{河~}棒[3]榜绑									
	m 먼	[2]忙芒茫盲									
	f~pʰ 펀	[1]方芳[2]防房妨[3]仿访[5]放									
	t 떤	[1]当[3]党堂（白，弄堂)[5]当{~铺}宕荡凼									
	tʰ 던	[1]汤[2]堂（文）糖唐[3]躺[5]趟									
	l 런	[1]*（奶油油腻）[2]馕囊郎廊狼螂[3]朗*（-个，老人家）[5]浪㫰{晾}									
	ts 쩐	[1]张章樟赃脏{~衣}[3]长涨掌[5]丈杖仗帐藏{西~}葬脏{心~}									
	tsʰ 썬	[1]仓苍昌[2]长肠常尝偿[3]场厂[5]唱畅怅倡									
	s 선	[1]桑丧商伤裳[2][3]嗓赏[5]丧（丧失）上尚									
