#备注：《如皋方言研究》 吴凤山			
#调值	[6]21 [2]35 [3]213 [5]44 [7]44 [8]35 [0]44/21		
#符号说明：-白=文			
#ɿ			
n	[6]闹1孬喏4{应答声，下河音}[2]挠铙[3]恼脑		
l	[6]唠{~叨}捞1{偷~私分}□{~tsʰɔ²¹}闹2{寒~~：略觉冷}嫪{姑~}□{1.笨傻：~气；2.詈词：贼~}[2]牢劳捞2{打~}涝撩{另读。~衣袖}[3]了{一~儿：原来}老佬		
ts	[6]召苕{~子}昭诏招朝=1{~气}遭{~遇}糟槽{另读。八斗小麦~里滚}[3]爪2{手~儿}笊早枣找沼蚤澡[5]灶罩兆照燥1{急~}氉{毷~}躁		
tsʰ	[6]皂造2{~桥、~谣}吵2{大叫}抄昭{鸣}□{帽舌前曲}赵超操劁{阉}□{lɔ²¹~}耖肏遭{另读。~罪}棹[2]□{饥饿感：疮口腐烂加深，俗写(疒禾)}啁{~哳}曹槽巢朝=2{~代}潮[3]草炒吵1{争~}[5]造1{制~}糙□{天早，下种后种儿干吖~掉啊，不出芽；擦：脚~脚}		
s	[6]捎梢稍鞘{鞭~}□{老藕段}邵烧骚□{坐卧时交叉踢脚}臊[2]绍1{介~}韶□{短，乡村常见音}[3]少1{多~}扫1{~地}嫂[5]扫2{~帚}少2{~年}肖2{~属}哨咸{本字䴛}䴛{咸}燥2{风~天}□{放~火：元宵节俗，晚，点燃田间、沟岸宿草}𢜶{快}快{本字𢜶}□{风~子，风吹后出现的小丘疹}□{短，乡村常见音}		
ʐ	[6]绕1{~线}[2]饶桡[3]扰绕2{围~}[5]绕3{迂回：~过去}		
k	[6]叫{~他来}高膏1{油~子}篙羔糕教-1{~书}胶-{~黏：状黏稠匀和}[3]杲{俗写搞或杲，本字疑为搅或䀊，~子：东西，指事物}稿搞藳搅-绞-绞{另读。扭曲、戾}□{腹绞痛}□{打闹}高{~兴（老派口语音）}[5]叫-{~花子：乞丐}告窖觉-1{睡~}膏2{1.~油；2.量词}酵-教-2{即校。大~场}较-{商议计~}□{调试}		
kʰ	[6]□{1.戾：~事；2.缝：~边}敲-[3]考烤拷犒[5]靠铐□{受限：奶~子；耗缩：奶奶的牙腀子~上去呀}腿{腿部的，疑本字为骹。~弄，跨部}骹{疑本字为骹。~弄，跨部}[0]巧{细~}		
ŋ	[6]拗1窅{深目：眼睛~啊肚的}爊{~巴(另读)肉：摊售熟猪头肉}□{横击}嚣1{称赞}鏖{~糟：喻愤懑}[2]敖{姓}敖{首昂}熬{煎}熬{忍、拖延}嗷螯1[3]咬-袄[5]奥懊□{~閟：幽深难寻}擙{牵磨~磨}傲奡{首昂}坳拗2聱{~ロ}鏖{另读。~糟：喻愤懑}		
x	[6]号1{~码}蒿□{食物变质之气味}毫2{秤纽：头~儿}薅[2]号3{~丧}毫1{羊~}豪壕[3]好[5]好浩耗		
