					调值 [1]211 [2]24 [3]213 [5]53 [7]5
命	m	iɘn	53		
镜	tɕ	iɘn	53		
庆	tɕʰ	iɘn	53		
迎	Ǿ	iɘn	213		
影	Ǿ	iɘn	213		
剧	tɕ	yᶽ	53		
饼	p	iɘn	213		
名	m	iɘn	24		
领	l	iɘn	213		
井	tɕ	iɘn	213		
清	tɕʰ	iɘn	211		
静	tɕ	iɘn	24	白	
静	tɕ	iɘn	53	文	
姓	tɕʰ	iɘn	53		
贞	ts	ɘn	211		
程	tsʰ	ɘn	24		
整	ts	ɘn	213		
正	ts	ɘn	53		
声	s	ɘn	211		
城	tsʰ	ɘn	24		
轻	tɕʰ	ɘn	211		
赢	Ǿ	yɘn	24		
积	tɕ	ieʔ	5		
惜	ɕ	ieʔ	5		
席	ɕ	ieʔ	5		
尺	tsʰ	ɤʔ	5		
石	s	ɤʔ	5		
益	Ǿ	ieʔ	5		
瓶	pʰ	iɘn	24		
钉	t	iɘn	211		
顶	t	iɘn	213		
厅	tʰ	iɘn	211		
听	tʰ	iɘn	211		
停	tʰ	iɘn	24		
挺	tʰ	iɘn	213		
定	t	iɘn	24	白	
定	t	iɘn	53	文	
零	l	iɘn	24		
青	tɕ	iɘn	211		
星	ɕ	iɘn	211		
经	tɕ	iɘn	211		
形	ɕ	iɘn	24		
壁	p	ieʔ	5		
劈	pʰ	ieʔ	5		
踢	tʰ	ieʔ	5		
笛	t	ieʔ	5		
历	l	ieʔ	5		
锡	ɕ	ieʔ	5		
击	tɕ	ieʔ	5		
吃	tɕʰ	ieʔ	5		
横	x	uɘn	24		
划	x	ua	53		
兄	ɕ	yɘn	211		
荣	Ǿ	yɘn	24		
永	Ǿ	yɘn	213		
营	Ǿ	iɘn	24		
蓬	pʰ	ɘn	24		
东	t	ɘn	211		
懂	t	ɘn	213		
