	註釋：-白讀，=文讀												
t	[1]癲顛[3]鈿典佃纏{盤～}碘[5]纏{～連：糾纏不休}田{姓}[6]墊纏{～練：纏繞}甸奠電[8]佃{又音}												
tʰ	[1]天添[3]筅{洗鍋帚}撢□{蟲魚產卵}□{雪米}												
n	[1]粘{～貼}黏{～土}[3]染[5]年[6]念[8]撚												
l	[3]憐臉廉[5]鐮簾連聯={～合}臁{脛骨}璉[6]練殮鍊												
k	[1]堅鏗兼今{～年}[3]檢乾{～隆}儉撿[5]劍見[6]件[8]兼{又音，～職}												
kʰ	[1]謙兼{大～小：大的搭配小的}[3]譴遣[5]縴芡鉗欠												
ŋ	[3]儼閻{姓}嚴[5]閻{～羅王}[6]驗彥諺硯={筆～}												
x	[3]賢顯險嫌[5]還-{～錢}[6]現												
ts	[1]詹煎氈尖{筆～}沾[3]踐潛[5]佔占薦箭瞻戰錢顫[6]漸賤[8]餞{又音}尖賤{下～}												
tsʰ	[1]殲簽纖遷籤箋[3]淺[5]前[6]□{頭朝下栽下去}												
