繁体	简体	聲韻	聲調	注釋
鎮	镇	teŋ	35|陰去	
頓	顿	toŋ	35|陰去	異讀[t][ɔŋ/oŋ][35]
頓	顿	tɔŋ	35|陰去	異讀[t][ɔŋ/oŋ][35]
鬥	斗	tɛu	35|陰去	鬥爭
凳	凳	teŋ	35|陰去	
到	到	tɔ	35|陰去	
吊	吊	tɛu	35|陰去	
囤	囤	toŋ	35|陰去	
塊	块	tɔi	35|陰去	
妬	妬	tou	35|陰去	
對	对	tɔi	35|陰去	
帝	帝	tɛ	35|陰去	
帳	帐	tyŋ	35|陰去	
帶	带	tai	35|陰去	
店	店	tɛm	35|陰去	
戴	戴	tai	35|陰去	戴帽
旦	旦	taŋ	35|陰去	
晝	昼	tau	35|陰去	異讀[t][au/iu][35]
晝	昼	tiu	35|陰去	異讀[t][au/iu][35]
智	智	tei	35|陰去	
棟	栋	toŋ	35|陰去	異讀[t][œŋ/oŋ][35]棟梁，白讀
棟	栋	tœŋ	35|陰去	異讀[t][œŋ/oŋ][35]棟梁，白讀
碓	碓	tai	35|陰去	
罩	罩	tau	35|陰去	
置	置	tei	35|陰去	
脹	胀	tyŋ	35|陰去	
致	致	tei	35|陰去	
釣	钓	tiu	35|陰去	
鎮	镇	teŋ	35|陰去	
頓	顿	toŋ	35|陰去	異讀[t][ɔŋ/oŋ][35]
頓	顿	tɔŋ	35|陰去	異讀[t][ɔŋ/oŋ][35]
鬥	斗	tɛu	35|陰去	鬥爭
兔	兔	tʰou	35|陰去	
剃	剃	tʰi	35|陰去	
套	套	tʰɔ	35|陰去	
態	态	tʰai	35|陰去	
替	替	tʰɛ	35|陰去	
歎	叹	tʰaŋ	35|陰去	
泰	泰	tʰai	35|陰去	
炭	炭	tʰaŋ	35|陰去	
痛	痛	tʰoŋ	35|陰去	
篆	篆	tʰuŋ	35|陰去	
趁	趁	tʰeŋ	35|陰去	異讀[tʰ/tsʰ][eŋ/iɛŋ][35]單字讀，賺
退	退	tʰɔi	35|陰去	
丐	丐	kai	35|陰去	
介	介	kai	35|陰去	
供	供	køŋ	35|陰去	
個	个	kɔ	35|陰去	
倨	倨	køy	35|陰去	
價	价	ka	35|陰去	
冀	冀	kei	35|陰去	
券	券	kuŋ	35|陰去	
劍	剑	kim	35|陰去	
劒	剑	kim	35|陰去	
劔	劔	kim	35|陰去	
勁	劲	keŋ	35|陰去	
卦	卦	kuo	35|陰去	
叫	叫	kiu	35|陰去	
告	告	kɔ	35|陰去	
固	固	kou	35|陰去	
媾	媾	kɛu	35|陰去	
季	季	ki	35|陰去	
寄	寄	kie	35|陰去	
屆	届	kai	35|陰去	
干	干	kaŋ	35|陰去	
彀	彀	kau	35|陰去	
徑	径	keŋ	35|陰去	
慣	惯	kuoŋ	35|陰去	
戒	戒	kai	35|陰去	
掛	挂	kuo	35|陰去	
據	据	køy	35|陰去	
故	故	kou	35|陰去	
救	救	keu	35|陰去	
教	教	kau	35|陰去	異讀[k][a/au][35]
教	教	ka	35|陰去	異讀[k][a/au][35]
敬	敬	keŋ	35|陰去	
既	既	kei	35|陰去	
旣	旣	kei	35|陰去	
架	架	ka	35|陰去	
校	校	kau	35|陰去	校對
桂	桂	ki	35|陰去	
構	构	kɛu	35|陰去	
汞	汞	koŋ	35|陰去	
灌	灌	kuoŋ	35|陰去	
界	界	kai	35|陰去	
疥	疥	kɛ	35|陰去	
監	监	kam	35|陰去	太監
眷	眷	kuŋ	35|陰去	
禁	禁	kem	35|陰去	
稼	稼	ka	35|陰去	
究	究	keu	35|陰去	
繪	绘	kui	35|陰去	
繼	继	ki	35|陰去	
罐	罐	kuoŋ	35|陰去	
芥	芥	kai	35|陰去	異讀[k][uo/ai][35]
芥	芥	kuo	35|陰去	異讀[k][uo/ai][35]
蓋	盖	kai	35|陰去	
見	见	kiŋ	35|陰去	
計	计	ki	35|陰去	
記	记	kei	35|陰去	
誥	诰	kɔ	35|陰去	
諫	谏	kaŋ	35|陰去	
貢	贡	koŋ	35|陰去	
貴	贵	koi	35|陰去	
購	购	kɛu	35|陰去	
踞	踞	køy	35|陰去	
過	过	ku	35|陰去	
遘	遘	kau	35|陰去	到
酵	酵	ka	35|陰去	異讀[k/x][a/au][35]文讀，酵母
鋸	锯	køy	35|陰去	
鑵	鑵	kuoŋ	35|陰去	
閑	闲	kaŋ	35|陰去	間斷
降	降	kɔŋ	35|陰去	下降
顧	顾	kou	35|陰去	
駕	驾	ka	35|陰去	
髻	髻	kui	35|陰去	
鱖	鳜	koi	35|陰去	
勸	劝	kʰuŋ	35|陰去	
叩	叩	kʰɛu	35|陰去	
器	器	kʰei	35|陰去	
墤	墤	kʰuoi	35|陰去	
契	契	kʰi	35|陰去	
寇	寇	kʰɛu	35|陰去	
庫	库	kʰou	35|陰去	
快	快	kʰuoi	35|陰去	異讀[kʰ][ɛ/uoi][35]單字讀，快活
快	快	kʰɛ	35|陰去	異讀[kʰ][ɛ/uoi][35]單字讀，快活
愧	愧	kʰoi	35|陰去	
慨	慨	kʰai	35|陰去	
慶	庆	kʰeŋ	35|陰去	
曠	旷	kʰoŋ	35|陰去	
棄	弃	kʰei	35|陰去	
概	概	kʰai	35|陰去	
槩	槩	kʰai	35|陰去	
欠	欠	kʰim	35|陰去	
看	看	kʰaŋ	35|陰去	
磬	磬	kʰeŋ	35|陰去	鐘磬
竅	窍	kʰiu	35|陰去	
袴	袴	kʰou	35|陰去	
蹺	跷	kʰiu	35|陰去	
靠	靠	kʰɔ	35|陰去	
乍	乍	tsa	35|陰去	
俊	俊	tsoŋ	35|陰去	
債	债	tsai	35|陰去	
再	再	tsai	35|陰去	
制	制	tsi	35|陰去	
呪	呪	tsiu	35|陰去	
壯	壮	tsɔŋ	35|陰去	
奏	奏	tsɛu	35|陰去	
將	将	tsyŋ	35|陰去	大將
志	志	tsei	35|陰去	雜誌
志	志	tsei	35|陰去	
戰	战	tsiŋ	35|陰去	
政	政	tseŋ	35|陰去	
晉	晋	tseŋ	35|陰去	
晬	晬	tsɔi	35|陰去	周歲
最	最	tsɔi	35|陰去	
榨	榨	tsa	35|陰去	
正	正	tseŋ	35|陰去	異讀[ts][iɛŋ/eŋ][35]
正	正	tsiɛŋ	35|陰去	異讀[ts][iɛŋ/eŋ][35]
注	注	tsøy	35|陰去	
浸	浸	tsem	35|陰去	
漬	渍	tsøy	35|陰去	
照	照	tsiu	35|陰去	
痣	痣	tsei	35|陰去	
瘴	瘴	tsyŋ	35|陰去	
皺	皱	tsɛu	35|陰去	
眾	众	tsøŋ	35|陰去	
祭	祭	tsie	35|陰去	異讀[ts][ie/i][35]
祭	祭	tsi	35|陰去	異讀[ts][ie/i][35]
竈	灶	tsau	35|陰去	
竣	竣	tsoŋ	35|陰去	
箭	箭	tsiŋ	35|陰去	
粽	粽	tsœŋ	35|陰去	
縐	绉	tsɛu	35|陰去	
至	至	tsei	35|陰去	
葬	葬	tsɔŋ	35|陰去	
蔗	蔗	tsie	35|陰去	
薦	荐	tsiŋ	35|陰去	
蛀	蛀	tseu	35|陰去	
衆	众	tsøŋ	35|陰去	
詐	诈	tsa	35|陰去	
證	证	tseŋ	35|陰去	
賛	赞	tsaŋ	35|陰去	
贊	赞	tsaŋ	35|陰去	
造	造	tsɔ	35|陰去	
進	进	tseŋ	35|陰去	
醉	醉	tsoi	35|陰去	
醬	酱	tsyŋ	35|陰去	
鑽	钻	tsɔŋ	35|陰去	異讀[ts][ɔŋ][42/35]鑽孔，金剛鑽，鑽石
際	际	tsi	35|陰去	
障	障	tsyŋ	35|陰去	
顫	颤	tsiŋ	35|陰去	
凊	凊	tsʰeŋ	35|陰去	冷
刺	刺	tsʰi	35|陰去	異讀[tsʰ][i/ou][35]
刺	刺	tsʰou	35|陰去	異讀[tsʰ][i/ou][35]
唱	唱	tsʰyŋ	35|陰去	
喘	喘	tsʰuaŋ	35|陰去	
喙	喙	tsʰoi	35|陰去	
寸	寸	tsʰɔŋ	35|陰去	
悵	怅	tsʰyŋ	35|陰去	
懺	忏	tsʰam	35|陰去	
戍	戍	tsʰu	35|陰去	原書作「厝」
挫	挫	tsʰœ	35|陰去	
暢	畅	tsʰyŋ	35|陰去	
次	次	tsʰou	35|陰去	
湊	凑	tsʰɛu	35|陰去	
燦	灿	tsʰaŋ	35|陰去	
砌	砌	tsʰi	35|陰去	
碎	碎	tsʰɔi	35|陰去	
笑	笑	tsʰiu	35|陰去	
篡	篡	tsʰuoŋ	35|陰去	
糙	糙	tsʰɔ	35|陰去	
絮	絮	tsʰœ	35|陰去	異讀[s/tsʰ][øy/œ][35]文讀，絲瓜
纂	纂	tsʰuoŋ	35|陰去	
翅	翅	tsʰi	35|陰去	
翠	翠	tsʰoi	35|陰去	
脆	脆	tsʰui	35|陰去	
臭	臭	tsʰau	35|陰去	異讀[tsʰ][au/eu][35]
臭	臭	tsʰeu	35|陰去	異讀[tsʰ][au/eu][35]
菜	菜	tsʰai	35|陰去	
蔡	蔡	tsʰai	35|陰去	
襯	衬	tsʰiɛŋ	35|陰去	
趁	趁	tsʰiɛŋ	35|陰去	異讀[tʰ/tsʰ][eŋ/iɛŋ][35]單字讀，賺
躁	躁	tsʰɔ	35|陰去	異讀[s/tsʰ][ɔ][35]
遂	遂	tsʰøy	35|陰去	異讀[s/tsʰ][oi/øy][332/35]文讀，尋找
釧	钏	tsʰuoŋ	35|陰去	
銃	铳	tsʰøŋ	35|陰去	
飼	饲	tsʰei	35|陰去	異讀[s/tsʰ][ou/ei][22/35]
世	世	si	35|陰去	
丗	丗	si	35|陰去	
信	信	seŋ	35|陰去	
勢	势	si	35|陰去	
卸	卸	sie	35|陰去	
喪	丧	sɔŋ	35|陰去	喪失
嗜	嗜	si	35|陰去	
四	四	sei	35|陰去	
壻	壻	sai	35|陰去	異讀[s][ai/ɛ][35]單字讀，夫婿
壻	壻	sɛ	35|陰去	異讀[s][ai/ɛ][35]單字讀，夫婿
姓	姓	saŋ	35|陰去	異讀[s][aŋ/eŋ][35]
姓	姓	seŋ	35|陰去	異讀[s][aŋ/eŋ][35]
宋	宋	sœŋ	35|陰去	
帥	帅	sɔi	35|陰去	
性	性	saŋ	35|陰去	異讀[s][aŋ/eŋ][35]
性	性	seŋ	35|陰去	異讀[s][aŋ/eŋ][35]
恕	恕	søy	35|陰去	
扇	扇	siŋ	35|陰去	
散	散	saŋ	35|陰去	
歲	岁	sui	35|陰去	異讀[s/x][ui][35]
涮	涮	sɔŋ	35|陰去	
滲	渗	sim	35|陰去	
燥	燥	sɔ	35|陰去	
獸	兽	seu	35|陰去	
瘦	瘦	sɛu	35|陰去	異讀[s][iɐu/ɛu][42/35]
瞬	瞬	soŋ	35|陰去	
秀	秀	seu	35|陰去	
稅	税	sui	35|陰去	
穗	穗	søy	35|陰去	
筭	筭	sɔŋ	35|陰去	
素	素	sou	35|陰去	
細	细	sɛ	35|陰去	
絮	絮	søy	35|陰去	異讀[s/tsʰ][øy/œ][35]文讀，絲瓜
繡	绣	seu	35|陰去	
聖	圣	seŋ	35|陰去	異讀[s][iɛŋ/eŋ][35]
聖	圣	siɛŋ	35|陰去	異讀[s][iɛŋ/eŋ][35]
肆	肆	sei	35|陰去	
舍	舍	sie	35|陰去	異讀[s][a/ie][42/35]
舜	舜	soŋ	35|陰去	
蒜	蒜	sɔŋ	35|陰去	
訊	讯	seŋ	35|陰去	
訴	诉	sou	35|陰去	
試	试	sei	35|陰去	
說	说	sui	35|陰去	異讀[s][ui/uk][35/2]單字讀，遊說
賜	赐	sou	35|陰去	
賽	赛	sɔi	35|陰去	
赦	赦	sie	35|陰去	
躁	躁	sɔ	35|陰去	異讀[s/tsʰ][ɔ][35]
送	送	sœŋ	35|陰去	
遜	逊	sɔŋ	35|陰去	
霰	霰	siɛŋ	35|陰去	
付	付	xou	35|陰去	
傅	傅	xou	35|陰去	
化	化	xuo	35|陰去	
吠	吠	xi	35|陰去	異讀[p/x][ui/i][332/35]
吼	吼	xau	35|陰去	
喚	唤	xuoŋ	35|陰去	
奮	奋	xoŋ	35|陰去	
孝	孝	xau	35|陰去	異讀[x][a/au][35]
孝	孝	xa	35|陰去	異讀[x][a/au][35]
富	富	xou	35|陰去	異讀[p/x][ou][35]
尉	尉	xoi	35|陰去	
巷	巷	xœŋ	35|陰去	
廢	废	xi	35|陰去	
悔	悔	xui	35|陰去	
慰	慰	xoi	35|陰去	
憲	宪	xyŋ	35|陰去	
戲	戏	xi	35|陰去	
放	放	xoŋ	35|陰去	異讀[p/x][oŋ][35]
晦	晦	xui	35|陰去	
歲	岁	xui	35|陰去	異讀[s/x][ui][35]
況	况	xoŋ	35|陰去	
渙	涣	xuoŋ	35|陰去	
漢	汉	xaŋ	35|陰去	
煥	焕	xuoŋ	35|陰去	
煦	煦	xøy	35|陰去	
獻	献	xyŋ	35|陰去	
肺	肺	xi	35|陰去	
莧	苋	xɛŋ	35|陰去	莧菜
蔚	蔚	xoi	35|陰去	
訃	讣	xou	35|陰去	
訓	训	xoŋ	35|陰去	
諱	讳	xui	35|陰去	
貨	货	xu	35|陰去	
販	贩	xuoŋ	35|陰去	異讀[x][ɛŋ/uoŋ][35]
販	贩	xɛŋ	35|陰去	異讀[x][ɛŋ/uoŋ][35]
賦	赋	xou	35|陰去	
赴	赴	xou	35|陰去	
酵	酵	xau	35|陰去	異讀[k/x][a/au][35]文讀，酵母
釁	衅	xøŋ	35|陰去	
餉	饷	xyŋ	35|陰去	
鱟	鲎	xau	35|陰去	
齅	齅	xeu	35|陰去	
問	问	muŋ	35|陰去	異讀[0/m][oŋ/uŋ][332/35]
墓	墓	mu	35|陰去	
妹	妹	mui	35|陰去	
面	面	meŋ	35|陰去	異讀[m][eŋ/iŋ][35/332]
奈	奈	nai	35|陰去	
耐	耐	nai	35|陰去	
讓	让	nyŋ	35|陰去	異讀[0/n][yŋ][332/35]
餌	饵	nei	35|陰去	
硯	砚	ŋiŋ	35|陰去	
艾	艾	ŋai	35|陰去	異讀[ŋ][ie/ai][35]
艾	艾	ŋie	35|陰去	異讀[ŋ][ie/ai][35]
隘	隘	ŋai	35|陰去	
利	利	lei	35|陰去	異讀[l][ei][332/35]勝利，刀利
溜	溜	leu	35|陰去	
裂	裂	li	35|陰去	異讀[l][i/ɛk][35/5]單字讀，裂紙
鑢	鑢	lœ	35|陰去	銼刀
露	露	lou	35|陰去	
亞	亚	a	35|陰去	
億	亿	ei	35|陰去	
印	印	eŋ	35|陰去	
塢	坞	ou	35|陰去	
奧	奥	ɔ	35|陰去	
幼	幼	eu	35|陰去	
恙	恙	yŋ	35|陰去	
意	意	ei	35|陰去	
愛	爱	ai	35|陰去	
憶	忆	ei	35|陰去	
懿	懿	ei	35|陰去	
拗	拗	au	35|陰去	異讀[0][a/au][42/35]拗脾氣，折斷
按	按	aŋ	35|陰去	
映	映	øŋ	35|陰去	
暗	暗	am	35|陰去	異讀[0][aŋ/am][35]
暗	暗	aŋ	35|陰去	異讀[0][aŋ/am][35]
案	案	aŋ	35|陰去	
湧	涌	øŋ	35|陰去	
溢	溢	i	35|陰去	
燕	燕	iŋ	35|陰去	
甕	瓮	œŋ	35|陰去	
畏	畏	ui	35|陰去	
穢	秽	ui	35|陰去	
耀	耀	iu	35|陰去	
蔭	荫	em	35|陰去	異讀[0][im/em][44/35]
便	便	piŋ	22|陽平	便宜
傍	傍	pɔŋ	22|陽平	
匏	匏	pou	22|陽平	原書作「瓠」
坪	坪	paŋ	22|陽平	
培	培	pui	22|陽平	
婆	婆	pɔ	22|陽平	
屏	屏	peŋ	22|陽平	
平	平	paŋ	22|陽平	異讀[p][aŋ/eŋ][22]
平	平	peŋ	22|陽平	異讀[p][aŋ/eŋ][22]
憑	凭	peŋ	22|陽平	
房	房	poŋ	22|陽平	
排	排	pɛ	22|陽平	
旁	旁	pɔŋ	22|陽平	
朋	朋	pɛŋ	22|陽平	
杷	杷	pa	22|陽平	
板	板	pɛŋ	22|陽平	異讀[p][ɛŋ/aŋ][22/42]
枇	枇	pi	22|陽平	
滂	滂	pɔŋ	22|陽平	滂沱
爬	爬	pa	22|陽平	
版	版	pɛŋ	22|陽平	異讀[p][ɛŋ/aŋ][22/42]
牌	牌	pɛ	22|陽平	
琵	琵	pi	22|陽平	
琶	琶	pa	22|陽平	
瓶	瓶	peŋ	22|陽平	
盆	盆	poŋ	22|陽平	
肥	肥	poi	22|陽平	異讀[p/pʰ][oi/ei][22]
脾	脾	pei	22|陽平	
莆	莆	pu	22|陽平	
萍	萍	peŋ	22|陽平	
蘋	苹	peŋ	22|陽平	
袍	袍	pɔ	22|陽平	
貧	贫	peŋ	22|陽平	
陪	陪	pui	22|陽平	
頻	频	peŋ	22|陽平	
宏	宏	pʰɛŋ	22|陽平	聲母表現不合規則
帆	帆	pʰoŋ	22|陽平	
弘	弘	pʰɛŋ	22|陽平	聲母音讀不合規則
彭	彭	pʰaŋ	22|陽平	
浮	浮	pʰou	22|陽平	異讀[pʰ][ou/ɛu][22]
浮	浮	pʰɛu	22|陽平	異讀[pʰ][ou/ɛu][22]
瓢	瓢	pʰiu	22|陽平	
疲	疲	pʰei	22|陽平	
皮	皮	pʰei	22|陽平	異讀[pʰ][ui/ei][22]
皮	皮	pʰui	22|陽平	異讀[pʰ][ui/ei][22]
篷	篷	pʰoŋ	22|陽平	
縫	缝	pʰoŋ	22|陽平	縫紉
肥	肥	pʰei	22|陽平	異讀[p/pʰ][oi/ei][22]
蓬	蓬	pʰoŋ	22|陽平	
薸	薸	pʰiu	22|陽平	浮萍
跑	跑	pʰau	22|陽平	
逢	逢	pʰoŋ	22|陽平	
亭	亭	teŋ	22|陽平	
停	停	teŋ	22|陽平	
同	同	toŋ	22|陽平	異讀[t][œŋ/oŋ][22]
同	同	tœŋ	22|陽平	異讀[t][œŋ/oŋ][22]
唐	唐	tɔŋ	22|陽平	
啼	啼	tɛ	22|陽平	異讀[t/tʰ][ɛ/i][22]
圖	图	tou	22|陽平	
堂	堂	tɔŋ	22|陽平	
場	场	tyŋ	22|陽平	
塗	涂	tou	22|陽平	
塘	塘	tɔŋ	22|陽平	
填	填	tɛŋ	22|陽平	
塵	尘	teŋ	22|陽平	
壇	坛	taŋ	22|陽平	
庭	庭	teŋ	22|陽平	
廚	厨	tu	22|陽平	
廷	廷	teŋ	22|陽平	
徒	徒	tou	22|陽平	
愁	愁	tɛu	22|陽平	異讀[t/tsʰ][ɛu][22]
投	投	tau	22|陽平	
擔	担	taŋ	22|陽平	
桐	桐	toŋ	22|陽平	異讀[t][œŋ/oŋ][22]文讀，白讀，桐油
桐	桐	tœŋ	22|陽平	異讀[t][œŋ/oŋ][22]文讀，白讀，桐油
條	条	tɛu	22|陽平	
池	池	ti	22|陽平	
潮	潮	tiu	22|陽平	
澄	澄	tɛŋ	22|陽平	
田	田	tiŋ	22|陽平	
當	当	taŋ	22|陽平	異讀[t][aŋ/ɔŋ][22]文讀，現在
當	当	tɔŋ	22|陽平	異讀[t][aŋ/ɔŋ][22]文讀，現在
痰	痰	tam	22|陽平	
童	童	toŋ	22|陽平	
綢	绸	teu	22|陽平	
纏	缠	tiŋ	22|陽平	
腸	肠	tɔŋ	22|陽平	
臺	台	tai	22|陽平	
茶	茶	ta	22|陽平	
萄	萄	tɔ	22|陽平	
螳	螳	tɔŋ	22|陽平	
調	调	teu	22|陽平	異讀[t][eu/iu][22]調和，調養
調	调	tiu	22|陽平	異讀[t][eu/iu][22]調和，調養
談	谈	tam	22|陽平	
謄	誊	tɛŋ	22|陽平	
蹄	蹄	tɛ	22|陽平	
躇	躇	tøy	22|陽平	
逃	逃	tɔ	22|陽平	
途	途	tou	22|陽平	
遲	迟	tei	22|陽平	
銅	铜	toŋ	22|陽平	異讀[t][œŋ/oŋ][22]
銅	铜	tœŋ	22|陽平	異讀[t][œŋ/oŋ][22]
長	长	tyŋ	22|陽平	異讀[t][ɔŋ/yŋ][22]
長	长	tɔŋ	22|陽平	異讀[t][ɔŋ/yŋ][22]
除	除	tøy	22|陽平	
陳	陈	teŋ	22|陽平	
陶	陶	tɔ	22|陽平	
頹	颓	toi	22|陽平	
題	题	tɛ	22|陽平	
馱	驮	tɔ	22|陽平	
駝	驼	tɔ	22|陽平	
騰	腾	tɛŋ	22|陽平	
含	含	kam	22|陽平	異讀[k/x][am][22]
喬	乔	kiu	22|陽平	
奇	奇	kei	22|陽平	
寒	寒	kaŋ	22|陽平	異讀[k/x][aŋ][22]
岐	岐	kie	22|陽平	
帬	帬	koŋ	22|陽平	
干	干	kiŋ	22|陽平	乾坤
強	强	kyŋ	22|陽平	
拱	拱	kyŋ	22|陽平	
拳	拳	kuŋ	22|陽平	
旗	旗	kei	22|陽平	
期	期	kei	22|陽平	
橋	桥	kiu	22|陽平	異讀[k][y/iu][22]
橋	桥	ky	22|陽平	異讀[k][y/iu][22]
櫀	櫀	kei	22|陽平	
權	权	kuŋ	22|陽平	
求	求	keu	22|陽平	
渠	渠	køy	22|陽平	
狂	狂	kuŋ	22|陽平	
猴	猴	kau	22|陽平	
球	球	keu	22|陽平	
祁	祁	kei	22|陽平	
祈	祈	kei	22|陽平	
窮	穷	køŋ	22|陽平	
糊	糊	kou	22|陽平	異讀[k/x][ou][22]糊塗，米糊
羣	羣	koŋ	22|陽平	
舷	舷	kiŋ	22|陽平	邊
葵	葵	kei	22|陽平	
蕎	荞	kiu	22|陽平	
虔	虔	kiŋ	22|陽平	
蜝	蜝	kei	22|陽平	
蜞	蜞	kei	22|陽平	
裙	裙	koŋ	22|陽平	
裠	裠	koŋ	22|陽平	
逵	逵	koi	22|陽平	
鉗	钳	kiɛm	22|陽平	異讀[k/kʰ][iɛm/em][22]鐵鉗，鉗囝
銜	衔	kam	22|陽平	異讀[k/x][am][22]
鰭	鳍	kei	22|陽平	
鹹	咸	kɛm	22|陽平	
勤	勤	kʰøŋ	22|陽平	
擒	擒	kʰem	22|陽平	
棬	桊	kʰuoŋ	22|陽平	
琴	琴	kʰem	22|陽平	
環	环	kʰuoŋ	22|陽平	
瘸	瘸	kʰu	22|陽平	
禽	禽	kʰem	22|陽平	
芹	芹	kʰøŋ	22|陽平	
虯	虬	kʰiu	22|陽平	捲曲
鉗	钳	kʰem	22|陽平	異讀[k/kʰ][iɛm/em][22]鐵鉗，鉗囝
騎	骑	kʰei	22|陽平	異讀[kʰ][i/ei][22]文讀，騎馬
騎	骑	kʰi	22|陽平	異讀[kʰ][i/ei][22]文讀，騎馬
儕	侪	tsɛ	22|陽平	
全	全	tsuŋ	22|陽平	
前	前	tsiŋ	22|陽平	異讀[s/ts][ɛŋ/iŋ][22]
剿	剿	tsau	22|陽平	
存	存	tsɔŋ	22|陽平	
層	层	tsɛŋ	22|陽平	
崇	崇	tsoŋ	22|陽平	
巢	巢	tsau	22|陽平	
床	床	tsɔŋ	22|陽平	異讀[ts/tsʰ][ɔŋ][22]單字讀，蒸籠
從	从	tsoŋ	22|陽平	
情	情	tseŋ	22|陽平	
慈	慈	tsou	22|陽平	
慚	惭	tsaŋ	22|陽平	
慫	怂	tsøŋ	22|陽平	
才	才	tsai	22|陽平	異讀[ts][oi/ai][22]文讀，秀才
才	才	tsoi	22|陽平	異讀[ts][oi/ai][22]文讀，秀才
曹	曹	tsɔ	22|陽平	
材	材	tsai	22|陽平	
槽	槽	tsɔ	22|陽平	異讀[s/ts][ɔ][44/22]
殘	残	tsaŋ	22|陽平	
泉	泉	tsuŋ	22|陽平	
潛	潜	tsiŋ	22|陽平	
潺	潺	tsaŋ	22|陽平	
瓷	瓷	tsou	22|陽平	
甑	甑	tsɛŋ	22|陽平	
痊	痊	tsuŋ	22|陽平	
磁	磁	tsou	22|陽平	
礠	礠	tsou	22|陽平	
秦	秦	tseŋ	22|陽平	
臍	脐	tsai	22|陽平	異讀[ts][ai/ɛ][22]
臍	脐	tsɛ	22|陽平	異讀[ts][ai/ɛ][22]
藏	藏	tsɔŋ	22|陽平	
裁	裁	tsai	22|陽平	
豺	豺	tsai	22|陽平	
財	财	tsai	22|陽平	
遭	遭	tsɔ	22|陽平	異讀[ts][ɔ][22/44]遭殃，遭遇
饞	馋	tsaŋ	22|陽平	
齊	齐	tsɛ	22|陽平	
塍	塍	tsʰɛŋ	22|陽平	田
尋	寻	tsʰim	22|陽平	量詞
床	床	tsʰɔŋ	22|陽平	異讀[ts/tsʰ][ɔŋ][22]單字讀，蒸籠
忖	忖	tsʰɔŋ	22|陽平	
愁	愁	tsʰɛu	22|陽平	異讀[t/tsʰ][ɛu][22]
樵	樵	tsʰa	22|陽平	柴
牆	墙	tsʰyŋ	22|陽平	
蠶	蚕	tsʰɛŋ	22|陽平	
丞	丞	seŋ	22|陽平	
乗	乗	seŋ	22|陽平	
乘	乘	seŋ	22|陽平	
前	前	sɛŋ	22|陽平	異讀[s/ts][ɛŋ/iŋ][22]
匙	匙	si	22|陽平	
售	售	seu	22|陽平	
嗣	嗣	sou	22|陽平	
嘗	尝	syŋ	22|陽平	
垂	垂	soi	22|陽平	
城	城	siɛŋ	22|陽平	
巡	巡	soŋ	22|陽平	
常	常	syŋ	22|陽平	
徐	徐	søy	22|陽平	
循	循	soŋ	22|陽平	
成	成	seŋ	22|陽平	異讀[s][iɛŋ/eŋ][22]
成	成	siɛŋ	22|陽平	異讀[s][iɛŋ/eŋ][22]
承	承	seŋ	22|陽平	
斜	斜	sie	22|陽平	
旋	旋	soŋ	22|陽平	
旬	旬	soŋ	22|陽平	
時	时	sei	22|陽平	
晨	晨	seŋ	22|陽平	
晴	晴	saŋ	22|陽平	
暹	暹	siŋ	22|陽平	
松	松	søŋ	22|陽平	異讀[s][øŋ/uŋ][22/44]松果，單字讀
榛	榛	sɛŋ	22|陽平	異讀[s/ts][ɛŋ][22/44]榛油，單字讀
殊	殊	søy	22|陽平	
泅	泅	seu	22|陽平	
盛	盛	seŋ	22|陽平	盛滿了
神	神	seŋ	22|陽平	
祠	祠	sou	22|陽平	
祥	祥	syŋ	22|陽平	
簷	檐	siŋ	22|陽平	
純	纯	soŋ	22|陽平	
紹	绍	siu	22|陽平	
繩	绳	seŋ	22|陽平	
脣	唇	soŋ	22|陽平	
臣	臣	seŋ	22|陽平	
船	船	soŋ	22|陽平	
茹	茹	søy	22|陽平	
蠅	蝇	seŋ	22|陽平	
裳	裳	syŋ	22|陽平	
詞	词	sou	22|陽平	
詢	询	soŋ	22|陽平	
詳	详	syŋ	22|陽平	
誠	诚	seŋ	22|陽平	
誰	谁	soi	22|陽平	
讎	雠	seu	22|陽平	
辭	辞	sou	22|陽平	
辰	辰	seŋ	22|陽平	
邵	邵	siu	22|陽平	
醇	醇	soŋ	22|陽平	
隨	随	soi	22|陽平	
韶	韶	siu	22|陽平	
飼	饲	sou	22|陽平	異讀[s/tsʰ][ou/ei][22/35]
餈	餈	sei	22|陽平	原書作「糍」
鹽	盐	sim	22|陽平	
侯	侯	xɛu	22|陽平	
偕	偕	xai	22|陽平	
兮	兮	xi	22|陽平	
函	函	xam	22|陽平	
刑	刑	xeŋ	22|陽平	
含	含	xam	22|陽平	異讀[k/x][am][22]
喉	喉	xœ	22|陽平	異讀[x][œ/ɛu][22]
喉	喉	xɛu	22|陽平	異讀[x][œ/ɛu][22]
回	回	xui	22|陽平	
園	园	xuŋ	22|陽平	
型	型	xeŋ	22|陽平	
壺	壶	xou	22|陽平	
奚	奚	xi	22|陽平	
妨	妨	xuŋ	22|陽平	妨害
嫌	嫌	xim	22|陽平	
寒	寒	xaŋ	22|陽平	異讀[k/x][aŋ][22]
弦	弦	xiŋ	22|陽平	
形	形	xeŋ	22|陽平	
恒	恒	xuoŋ	22|陽平	異讀[x][uoŋ/ɛŋ][22]
恒	恒	xɛŋ	22|陽平	異讀[x][uoŋ/ɛŋ][22]
懷	怀	xuoi	22|陽平	
