#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平34 2阳平32 3阴上21ʔ 5阴去23 6阳去阴入455 8阳上阳入53ʔ
放	paŋ5	
蜂	pʰaŋ1	
帆	pʰaŋ2	
冯	pʰoŋ2	
纺	pʰaŋʔ3	
缝	pʰaŋ6	
幎	moŋ1	覆盖
朦	maŋ2	~露：雾
咀	maŋʔ3	训，没牙的人咀嚼东西
梦	maŋ5	
冬	taŋ1	
东	taŋ1	
铜	taŋ2	
童	taŋ2	
筒	taŋ2	
同	taŋ2	
动	taŋʔ8	
重	taŋʔ8	
冻	taŋ5	
崠	taŋ5	山顶
洞	taŋ6	
通	tʰaŋ1	
虫	tʰaŋ2	
桶	tʰaŋʔ3	
脓	naŋʔ8	
聋	laŋ1	
窿	laŋ1	走廊，洞
笼	laŋ2	
砻	laŋ2	
窿	laŋ2	山凹陷的部分，用于地名
笼	laŋʔ3	
笼	laŋ3	训，差的
弄	laŋ6	交合
棕	tsaŋ1	
鬃	tsaŋ1	
丛	tsaŋ2	
总	tsaŋʔ3	训，知~：知道
总	tsoŋʔ3	拢总
粽	tsaŋ5	
葱	tsʰaŋ1	
聪	tsʰaŋ1	
双	saŋ1	
松	saŋ1	
送	saŋ5	
宋	saŋ5	
舂	tʃaŋ1	
宗	tsaŋ1	训，停车，搁浅
钟	tʃaŋ1	
重	tʃaŋ2	
种	tʃaŋʔ3	
肿	tʃaŋʔ3	
种	tʃaŋ5	芒种
颂	tʃaŋ6	训，穿衣服
冲	tʃʰaŋ1	
涌	tʃʰaŋʔ3	~气：喘气
铳	tʃʰaŋ5	
铳	tʃʰaŋ5	冒气
雄	ʃaŋ2	壮
熊	ʃaŋ2	
壅	aŋ1	撒肥料
牛	aŋ2	
梧	aŋ2	~宅：地名
五	aŋʔ3	
午	aŋʔ3	
□	aŋʔ3	弟媳
无	aŋ6	否定
公	kaŋ1	
供	kaŋ1	养，生小孩
工	kaŋ1	一工：一天
含	kaŋ2	
穷	kaŋ2	
孔	kaŋʔ3	秧苗之间的空隙
盖	kaŋʔ3	
感	kaŋʔ3	感冒
拱	kaŋ5	弯曲，驼背
共	kaŋ6	
空	kʰaŋ1	鼻空：鼻，洞穴
空	kʰaŋ1	泼
孔	kʰaŋʔ3	一~店
孔	kʰaŋʔ3	开盖子
胸	haŋ1	
红	haŋ2	
件	haŋʔ8	训，一~事
巷	haŋ5	
风	haŋ1	风，风领，风炉
封	haŋ1	
峰	haŋ1	
幎	miaŋ1	用布盖
砧	tiaŋ1	
□	tiaŋ1	踩到尖锐的石头伤到脚
沾	tiaŋ5	训，快速地用手指沾水
窗	tʰiaŋ1	
诵	liaŋ1	训，背诵，大声朗读
龙	liaŋ2	
松	tsiaŋ2	松树
錾	tsʰiaŋʔ3	用刀刺
□	siaŋʔ3	疲劳
榕	iaŋ2	松洋传统说liaŋ2
用	iaŋ6	
兼	kiaŋ1	同时做
咸	kiaŋ2	
盖	kiaŋ2	训，捉鸡用的圆锥形篮子
减	kiaŋʔ3	
欠	kʰiaŋ5	
酽	ɲiaŋ2	茶浓
蘞	hiaŋ1	刺鼻
租	tsɨ1	
荠	tsɨ2	
糍	tsɨ2	
脐	tsɨ2	
祖	tsɨʔ3	
子	tsɨʔ3	
紫	tsɨʔ3	
姊	tsɨʔ3	
只	tsɨʔ3	
字	tsɨ6	
自	tsɨ6	
巳	tsɨ6	
牸	tsɨ6	小母猪
初	tsʰɨ1	
粗	tsʰɨ1	
滁	tsʰɨ1	肥料
醋	tsʰɨ5	
刺	tsʰɨ5	
丝	sɨ1	
蓑	sɨ1	
师	sɨ1	
鹚	sɨ1	
畲	sɨ2	地名，意义不明
死	sɨʔ3	
所	sɨʔ3	~在
四	sɨ5	
数	sɨ5	记~：账本
事	sɨ6	
士	sɨ6	棋子
腟	tʃɨ1	女阴
指	tʃɨʔ3	
洷	tʃɨ5	墨水在纸上散开
至	tʃɨ5	节气
治	tʃʰɨ2	杀
市	tʃʰɨʔ8	
尸	ʃɨ1	
时	ʃɨ2	
匙	ʃɨ2	
屎	ʃɨʔ3	
世	ʃɨ5	世界
豉	ʃɨ6	
般	pəŋ1	
盘	pəŋ2	
盘	pəŋ2	训，跳，摔倒
粄	pəŋʔ3	
坂	pəŋʔ3	用于地名
拌	pəŋʔ8	打米
半	pəŋ5	
饭	pəŋ6	
跘	pʰəŋ2	跳过
盘	pʰəŋʔ3	胎盘
闽	meŋ2	~江
鳗	məŋ2	
晚	məŋʔ3	最小的女儿
满	məŋʔ3	
蔓	məŋ6	依靠
㿸	məŋ6	
单	təŋ1	
