單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	韻母_定	聲調_定	備註									
陝	書	開	三	鹽A	上	章	咸	s	im	2										
閃	書	開	三	鹽A	上	章	咸	s	im	2										
簷	以	開	三	鹽A	平	以	咸	s	im	4										
臣	常	開	三	真A	平	章	臻	s	in	4										
辰	常	開	三	真A	平	章	臻	s	in	4										
宸	常	開	三	真A	平	章	臻	s	in	4										
晨	常	開	三	真A	平	章	臻	s	in	4										
申	書	開	三	真A	平	章	臻	s	in	1										
伸	書	開	三	真A	平	章	臻	s	in	1										
身	書	開	三	真A	平	章	臻	s	in	1										
呻	書	開	三	真A	平	章	臻	s	in	1										
紳	書	開	三	真A	平	章	臻	s	in	1										
神	船	開	三	真A	平	章	臻	s	in	4										
慎	常	開	三	真A	去	章	臻	s	in	6										
禪	常	開	三	仙A	去	章	山	s	in	6	禪讓									
雋	從	合	三	仙A	上	精	山	s	in	1										
倩	清	開	四	先	去	精	山	s	in	6										
仙	心	開	三	仙A	平	精	山	s	in	1										
先	心	開	四	先	平	精	山	s	in	1										
鮮	心	開	三	仙A	平	精	山	s	in	1	鮮美									
鮮	心	開	三	仙A	上	精	山	s	in	2	鮮有									
蘚	心	開	三	仙A	上	精	山	s	in	2										
腺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	in	1										
羨	以	開	三	脂A	平	以	止	s	in	6										
線	心	開	三	仙A	去	精	山	s	in	1										
成	常	開	三	清A	平	章	梗	s	ing	4										
丞	常	開	三	蒸	平	章	曾	s	ing	4										
承	常	開	三	蒸	平	章	曾	s	ing	4										
城	常	開	三	清A	平	章	梗	s	ing	4										
城	常	開	四	清A	平	章	梗	s	ing	4	城区									
乘	船	開	三	蒸	平	章	曾	s	ing	4	乘車									
乘	船	開	三	蒸	去	章	曾	s	ing	6	萬乘之國									
誠	常	開	三	清A	平	章	梗	s	ing	4										
升	書	開	三	蒸	平	章	曾	s	ing	1										
昇	書	開	三	蒸	平	章	曾	s	ing	1										
聲	書	開	三	清A	平	章	梗	s	ing	1	聲樂									
繩	船	開	三	蒸	平	章	曾	s	ing	4										
省	心	開	三	清A	上	精	梗	s	ing	2	反省									
盛	常	開	三	清A	去	章	梗	s	ing	6	旺盛									
盛	常	開	三	清A	平	章	梗	s	ing	4	盛湯									
剩	船	開	三	蒸	去	章	曾	s	ing	6										
勝	書	開	三	蒸	平	章	曾	s	ing	1	勝任									
勝	書	開	三	蒸	去	章	曾	s	ing	1	勝利									
聖	書	開	三	清A	去	章	梗	s	ing	1										
星	心	開	四	青	平	精	梗	s	ing	1										
猩	生	開	二	庚	平	莊	梗	s	ing	1										
惺	心	開	四	青	平	精	梗	s	ing	1										
腥	心	開	四	青	平	精	梗	s	ing	1										
醒	心	開	四	青	平	精	梗	s	ing	2										
性	心	開	三	清A	去	精	梗	s	ing	1										
姓	心	開	三	清A	去	精	梗	s	ing	1										
溼	書	開	三	侵A	入	章	深	s	ip	2										
濕	書	開	三	侵A	入	章	深	s	ip	2										
十	常	開	三	侵A	入	章	深	s	ip	6										
拾	常	開	三	侵A	入	章	深	s	ip	6										
涉	常	開	三	鹽A	入	章	咸	s	ip	1										
攝	書	開	三	鹽A	入	章	咸	s	ip	1										
懾	章	開	三	鹽A	入	章	咸	s	ip	1										
設	書	開	三	仙A	入	章	山	s	it	1										
失	書	開	三	真A	入	章	臻	s	it	2										
蝨	生	開	三	臻	入	莊	臻	s	it	2										
實	船	開	三	真A	入	章	臻	s	it	6										
室	書	開	三	真A	入	章	臻	s	it	2										
契	溪	開	四	先	入	見	山	s	it	1	殷商的始祖									
竊	清	開	四	先	入	精	山	s	it	1										
楔	見	開	二	山	入	見	山	s	it	1										
泄	以	開	三	祭A	去	以	蟹	s	it	1										
洩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	it	1	排洩									
屑	心	合	一	魂	入	精	臻	s	it	1										
薛	心	開	三	仙A	入	精	山	s	it	1										
肖	心	開	三	宵A	去	精	效	s	iu	1	姓氏									
收	書	開	三	尤	平	章	流	s	iu	1										
手	書	開	三	尤	上	章	流	s	iu	2										
守	書	開	三	尤	上	章	流	s	iu	2										
守	書	開	三	尤	去	章	流	s	iu	2										
首	書	開	三	尤	上	章	流	s	iu	2										
受	常	開	三	尤	上	章	流	s	iu	6										
狩	書	開	三	尤	去	章	流	s	iu	1										
授	常	開	三	尤	去	章	流	s	iu	6										
售	常	開	三	尤	去	章	流	s	iu	6										
壽	常	開	三	尤	上	章	流	s	iu	6										
嗖	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	iu	1										
繡	心	開	三	尤	去	精	流	s	iu	1										
鏽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	iu	1										
韶	常	開	三	宵A	平	章	效	s	iu	4										
邵	常	開	三	宵A	去	章	效	s	iu	6										
劭	常	開	三	宵A	去	章	效	s	iu	6										
紹	常	開	三	宵A	上	章	效	s	iu	6										
迢	定	開	四	蕭	平	端	效	s	iu	4										
逍	心	開	三	宵A	平	精	效	s	iu	1										
消	心	開	三	宵A	平	精	效	s	iu	1										
宵	心	開	三	宵A	平	精	效	s	iu	1										
硝	心	開	三	宵A	平	精	效	s	iu	1										
霄	心	開	三	宵A	平	精	效	s	iu	1										
銷	心	開	三	宵A	平	精	效	s	iu	1										
蕭	心	開	四	蕭	平	精	效	s	iu	1										
簫	心	開	四	蕭	平	精	效	s	iu	1										
瀟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	iu	1										
小	心	開	三	宵A	上	精	效	s	iu	2										
笑	心	開	三	宵A	去	精	效	s	iu	1										
嘯	心	開	四	蕭	去	精	效	s	iu	1										
召	常	開	三	宵A	去	章	效	s	iu	6	召南									
肇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	iu	6										
數	生	開	二	江	入	莊	江	s	ok	1	數見不鮮									
朔	生	開	二	江	入	莊	江	s	ok	1										
塑	心	開	一	模	去	精	遇	s	ok	1	塑料									
索	心	開	一	唐	入	精	宕	s	ok	1										
索	心	開	一	唐	入	精	宕	s	ok	2										
賞	書	開	三	陽	上	章	宕	s	ong	2	又音									
裳	常	開	三	陽	平	章	宕	s	ong	1										
霜	生	開	三	陽	平	莊	宕	s	ong	1										
霜	生	開	三	陽	平	莊	宕	s	ong	1	又音									
雙	生	開	二	江	平	莊	江	s	ong	1										
雙	生	開	二	江	平	莊	江	s	ong	1	又音									
桑	心	開	一	唐	平	精	宕	s	ong	1										
喪	心	開	一	唐	平	精	宕	s	ong	1	喪事									
喪	心	開	一	唐	去	精	宕	s	ong	1	喪失									
嗓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	ong	2										
爽	生	開	三	陽	上	莊	宕	s	ong	2										
擻	心	開	一	侯	上	精	流	s	ou	2	抖擻									
擻								s	ou	1	擻火									
塑	心	開	一	模	去	精	遇	s	ou	1	塑料									
搔	心	開	一	豪	平	精	效	s	ou	1										
騷	心	開	一	豪	平	精	效	s	ou	1										
掃	心	開	一	豪	上	精	效	s	ou	1										
嫂	心	開	一	豪	上	精	效	s	ou	2										
數	生	合	三	虞	上	莊	遇	s	u	2	數一下									
數	生	合	三	虞	去	莊	遇	s	u	1	數字									
甦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	u	1										
酥	心	開	一	模	平	精	遇	s	u	1										
穌	心	開	一	模	平	精	遇	s	u	1										
蘇	心	開	一	模	平	精	遇	s	u	1										
素	心	開	一	模	去	精	遇	s	u	1										
訴	心	開	一	模	去	精	遇	s	u	1										
塑	心	開	一	模	去	精	遇	s	u	1	塑造									
溯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	u	1										
鬚	心	合	三	虞	平	精	遇	s	u	1										
墅	常	開	三	魚	上	章	遇	s	ui	6										
垂	常	合	三	支A	平	章	止	s	ui	4										
萃	從	合	三	脂A	去	精	止	s	ui	6										
淬	清	合	一	灰	去	精	蟹	s	ui	6										
悴	從	合	三	脂A	去	精	止	s	ui	6										
粹	心	合	三	脂A	去	精	止	s	ui	6										
瑞	常	合	三	支A	去	章	止	s	ui	6										
墅	常	開	三	魚	上	章	遇	s	ui	6										
衰	生	合	三	脂B	平	莊	止	s	ui	1	衰仔									
帥	生	合	三	脂B	去	莊	止	s	ui	1										
誰	常	合	三	脂A	平	章	止	s	ui	4										
水	書	合	三	脂A	上	章	止	s	ui	2										
稅	書	合	三	祭A	去	章	蟹	s	ui	1										
睡	常	合	三	支A	去	章	止	s	ui	6										
說	書	合	三	祭A	去	章	蟹	s	ui	1										
雖	心	合	三	脂A	平	精	止	s	ui	1										
髓	心	合	三	支A	上	精	止	s	ui	1										
祟	心	合	三	脂A	去	精	止	s	ui	6										
遂	邪	合	三	脂A	去	精	止	s	ui	6										
碎	心	合	一	灰	去	精	蟹	s	ui	1										
歲	心	合	三	祭A	去	精	蟹	s	ui	1										
隧	邪	合	三	脂A	去	精	止	s	ui	6										
穗	邪	合	三	脂A	去	精	止	s	ui	6										
邃	心	合	三	脂A	去	精	止	s	ui	6										
須	心	合	三	虞	平	精	遇	s	ui	1										
需	心	合	三	虞	平	精	遇	s	ui	1										
絮	心	開	三	魚	去	精	遇	s	ui	1										
緒	邪	開	三	魚	上	精	遇	s	ui	1										
叔	書	開	三	東	入	章	通	s	uk	2										
倏	書	開	三	東	入	章	通	s	uk	2										
淑	常	開	三	東	入	章	通	s	uk	6										
孰	常	開	三	東	入	章	通	s	uk	6										
塾	常	開	三	東	入	章	通	s	uk	6										
熟	常	開	三	東	入	章	通	s	uk	6										
贖	船	開	三	鍾	入	章	通	s	uk	6										
蜀	常	開	三	鍾	入	章	通	s	uk	6										
屬	常	開	三	鍾	入	章	通	s	uk	6	屬於									
夙	心	開	三	東	入	精	通	s	uk	2										
粟	心	開	三	鍾	入	精	通	s	uk	2										
肅	心	開	三	東	入	精	通	s	uk	2										
縮	生	開	三	東	入	莊	通	s	uk	2										
宿	心	開	三	東	入	精	通	s	uk	2	住宿									
純	常	合	三	真A	平	章	臻	s	un	4										
脣	船	合	三	真A	平	章	臻	s	un	4										
淳	常	合	三	真A	平	章	臻	s	un	4										
醇	常	合	三	真A	平	章	臻	s	un	4										
鶉	常	合	三	真A	平	章	臻	s	un	4	鶉衣									
順	船	合	三	真A	去	章	臻	s	un	6										
舜	書	合	三	真A	去	章	臻	s	un	1										
瞬	書	合	三	真A	去	章	臻	s	un	1										
筍	心	合	三	真A	上	精	臻	s	un	2										
詢	心	合	三	真A	平	精	臻	s	un	1										
殉	邪	合	三	真A	去	精	臻	s	un	1										
馴	邪	合	三	真A	平	精	臻	s	un	4										
遜	心	合	一	魂	去	精	臻	s	un	1										
孫	心	合	一	魂	平	精	臻	s	un	1										
飧	心	合	一	魂	平	精	臻	s	un	1										
損	心	合	一	魂	上	精	臻	s	un	2										
宣	心	合	三	仙A	平	精	山	s	un	1										
旋	邪	合	三	仙A	平	精	山	s	un	4										
漩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	un	4										
選	心	合	三	仙A	上	精	山	s	un	2										
渲	心	合	三	仙A	去	精	山	s	un	1										
崇	崇	開	三	東	平	莊	通	s	ung	4										
從	清	開	三	鍾	平	精	通	s	ung	1	從容									
忪								s	ung	1	惺忪									
嵩	心	開	三	東	平	精	通	s	ung	1										
鬆	心	合	一	冬	平	精	通	s	ung	1										
悚	心	開	三	鍾	上	精	通	s	ung	2										
慫	心	開	三	鍾	上	精	通	s	ung	2										
聳	心	開	三	鍾	上	精	通	s	ung	2										
宋	心	合	一	冬	去	精	通	s	ung	1										
送	心	開	一	東	去	精	通	s	ung	1										
傻	生	合	二	麻	上	莊	假	s	uo	4										
梳	生	開	三	魚	平	莊	遇	s	uo	1										
疏	生	開	三	魚	平	莊	遇	s	uo	1	疏通									
疏	生	開	三	魚	去	莊	遇	s	uo	1	註疏									
蔬	生	開	三	魚	平	莊	遇	s	uo	1										
娑	心	開	一	歌	平	精	果	s	uo	1										
梭	心	合	一	歌	平	精	果	s	uo	1										
蓑	心	合	一	灰	平	精	蟹	s	uo	1										
嗦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	uo	1										
簑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	uo	1										
所	生	開	三	魚	上	莊	遇	s	uo	2										
瑣	心	合	一	歌	上	精	果	s	uo	2										
鎖	心	合	一	歌	上	精	果	s	uo	2										
塞	心	開	一	咍	去	精	蟹	s	uoi	1	塞外									
賽	心	開	一	咍	去	精	蟹	s	uoi	1										
篩	生	開	三	脂B	平	莊	止	s	uoi	1										
使	生	開	三	之	上	莊	止	s	uoi	2	使用，習讀音應爲韻母i對應的白讀音									
駛	生	開	三	之	上	莊	止	s	uoi	2										
腮	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	uoi	1										
鰓	心	開	一	咍	平	精	蟹	s	uoi	1										
思								s	uoi	1	于思									
衰	生	合	三	脂B	平	莊	止	s	uoi	1	衰弱									
腎	常	開	三	真A	上	章	臻	s	uon	5										
痠	心	合	一	寒	平	精	山	s	uon	1										
酸	心	合	一	寒	平	精	山	s	uon	1										
蒜	心	合	一	寒	去	精	山	s	uon	1										
算	心	合	一	寒	上	精	山	s	uon	1										
率	生	合	三	真B	入	莊	臻	s	ut	2	率領									
朮	船	合	三	真A	入	章	臻	s	ut	6										
述	船	合	三	真A	入	章	臻	s	ut	6										
術	船	合	三	真A	入	章	臻	s	ut	6										
摔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	ut	2										
蟀	生	合	三	真B	入	莊	臻	s	ut	2										
窣	心	合	一	魂	入	精	臻	s	ut	2										
戌	心	合	三	真A	入	精	臻	s	ut	2										
恤	心	合	三	真A	入	精	臻	s	ut	2										
雪	心	合	三	仙A	入	精	山	s	ut	1										
雪	心	合	三	仙A	入	精	山	s	ut	2	白雪雪									
華	匣	合	二	麻	平	影	假	v	aa	4	中華									
華	匣	合	二	麻	去	影	假	v	aa	6	華山									
嘩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	1										
嘩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	4										
畫	匣	合	二	佳	去	影	蟹	v	aa	6	圖畫，習讀音應爲變調導致									
話	匣	合	二	夬	去	影	蟹	v	aa	6										
樺	匣	合	二	麻	平	影	假	v	aa	4										
哇	影	開	二	佳	平	影	蟹	v	aa	1										
蛙	影	合	二	佳	平	影	蟹	v	aa	1										
窪	影	合	二	麻	平	影	假	v	aa	1										
娃	影	開	二	佳	平	影	蟹	v	aa	1										
譁	曉	合	二	麻	平	影	假	v	aa	1										
淮	匣	合	二	皆	平	影	蟹	v	aai	4										
槐	匣	合	二	皆	平	影	蟹	v	aai	4										
踝	匣	合	二	麻	上	影	假	v	aai	4										
懷	匣	合	二	皆	平	影	蟹	v	aai	4										
壞	見	合	二	皆	去	見	蟹	v	aai	6										
歪	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aai	1										
划	匣	合	二	麻	平	影	假	v	aak	6										
畫	匣	合	二	耕	入	影	梗	v	aak	6	畫圖									
劃	匣	合	二	耕	入	影	梗	v	aak	6										
或	匣	合	一	登	入	影	曾	v	aak	6										
惑	匣	合	一	登	入	影	曾	v	aak	6										
還	匣	合	二	刪	平	影	山	v	aan	4										
寰	匣	合	二	刪	平	影	山	v	aan	4										
環	匣	合	二	刪	平	影	山	v	aan	4										
鬟	匣	合	二	刪	平	影	山	v	aan	4										
幻	匣	合	二	山	去	影	山	v	aan	6										
患	匣	合	二	刪	去	影	山	v	aan	6										
彎	影	合	二	刪	平	影	山	v	aan	1										
灣	影	合	二	刪	平	影	山	v	aan	1										
灣	影	合	二	刪	平	影	山	v	aan	4	牛湾镇									
玩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aan	2	去玩									
挽	明	合	三	元	上	幫	山	v	aan	5										
輓	明	合	三	元	上	幫	山	v	aan	1										
嬛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aan	4	嫏嬛									
玩	疑	合	一	寒	去	見	山	v	aan	6										
橫	見	合	一	唐	平	見	宕	v	aang	4										
猾	匣	合	二	山	入	影	山	v	aat	6										
挖	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aat	1										
役	以	合	三	清A	入	以	梗	v	ik	6										
疫	以	合	三	清A	入	以	梗	v	ik	6										
域	云	合	三	蒸	入	影	曾	v	ik	6										
榮	云	合	三	庚	平	影	梗	v	ing	4										
嶸	云	合	三	庚	平	影	梗	v	ing	4										
潁	以	合	三	清A	上	以	梗	v	ing	6										
穎	以	合	三	清A	上	以	梗	v	ing	6										
永	云	合	三	庚	上	影	梗	v	ing	5										
泳	云	合	三	庚	去	影	梗	v	ing	6										
詠	云	合	三	庚	去	影	梗	v	ing	6										
鍋	見	合	一	歌	平	見	果	v	o	1										
禾	匣	合	一	歌	平	影	果	v	o	4										
和	匣	合	一	歌	平	影	果	v	o	4	和諧									
和	匣	合	一	歌	去	影	果	v	o	6	唱和									
禍	匣	合	一	歌	上	影	果	v	o	6										
媧	見	合	二	佳	平	見	蟹	v	o	1										
渦	影	合	一	歌	平	影	果	v	o	1	漩渦									
喔	影	開	二	江	入	影	江	v	o	1	嘆詞									
窩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	o	1										
蝸	見	合	二	佳	平	見	蟹	v	o	1										
獲	匣	合	二	耕	入	影	梗	v	ok	6										
穫	匣	合	一	唐	入	影	宕	v	ok	6										
皇	匣	合	一	唐	平	影	宕	v	ong	4										
凰	匣	合	一	唐	平	影	宕	v	ong	4										
黃	匣	合	一	唐	平	影	宕	v	ong	4										
徨	匣	合	一	唐	平	影	宕	v	ong	4										
惶	匣	合	一	唐	平	影	宕	v	ong	4										
煌	匣	合	一	唐	平	影	宕	v	ong	4										
潢	匣	合	一	唐	平	影	宕	v	ong	4										
磺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ong	4										
簧	匣	合	一	唐	平	影	宕	v	ong	4										
汪	影	合	一	唐	平	影	宕	v	ong	1										
王	云	合	三	陽	平	影	宕	v	ong	4	國王									
王	云	合	三	陽	去	影	宕	v	ong	6	王天下									
枉	影	合	三	陽	上	影	宕	v	ong	2										
往	云	合	三	陽	上	影	宕	v	ong	5										
旺	云	合	三	陽	去	影	宕	v	ong	6										
惡	影	開	一	模	去	影	遇	v	u	1	可惡									
惡	影	開	一	模	平	影	遇	v	u	1	惡乎									
狐	匣	開	一	模	平	影	遇	v	u	4										
弧	匣	開	一	模	平	影	遇	v	u	4										
胡	匣	開	一	模	平	影	遇	v	u	4										
壺	匣	開	一	模	平	影	遇	v	u	4										
葫	匣	開	一	模	平	影	遇	v	u	4										
湖	匣	開	一	模	平	影	遇	v	u	4										
瑚	匣	開	一	模	平	影	遇	v	u	4										
蝴	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	u	4										
糊	匣	開	一	模	平	影	遇	v	u	4										
鬍	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	u	4										
滸	曉	開	一	模	上	影	遇	v	u	2										
互	匣	開	一	模	去	影	遇	v	u	6										
瓠	匣	開	一	模	平	影	遇	v	u	6										
扈	匣	開	一	模	上	影	遇	v	u	6										
滬	匣	開	一	模	上	影	遇	v	u	6										
護	匣	開	一	模	去	影	遇	v	u	6										
污	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	u	1										
烏	影	開	一	模	平	影	遇	v	u	1										
嗚	影	開	一	模	平	影	遇	v	u	1										
摀	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	u	2										
塢	影	開	一	模	上	影	遇	v	u	2	山塢									
汙	云	合	三	虞	平	影	遇	v	u	1										
芋	云	合	三	虞	平	影	遇	v	u	6										
卉	曉	合	三	微	上	影	止	v	ui	2										
彗	邪	合	三	脂A	去	精	止	v	ui	6										
慧	匣	合	四	齊	去	影	蟹	v	ui	6										
蕙	匣	合	四	齊	去	影	蟹	v	ui	6										
諱	曉	合	三	微	去	影	止	v	ui	6										
穢	影	合	三	廢	去	影	蟹	v	ui	1										
喟	溪	合	三	脂B	去	見	止	v	ui	2										
威	影	合	三	微	平	影	止	v	ui	1										
逶	影	合	三	支B	平	影	止	v	ui	2										
韋	云	合	三	微	平	影	止	v	ui	4										
桅	疑	合	一	灰	平	見	蟹	v	ui	4										
唯	以	合	三	脂A	平	以	止	v	ui	4	唯一									
唯	以	合	三	脂A	上	以	止	v	ui	4	唯唯諾諾									
帷	云	合	三	脂B	平	影	止	v	ui	4										
惟	以	合	三	脂A	平	以	止	v	ui	4										
圍	云	合	三	微	平	影	止	v	ui	4										
爲	云	合	三	支B	平	影	止	v	ui	4	人爲									
爲	云	合	三	支B	去	影	止	v	ui	6	為何									
違	云	合	三	微	平	影	止	v	ui	4										
維	以	合	三	脂A	平	以	止	v	ui	4										
委	影	合	三	支B	平	影	止	v	ui	1	虛與委蛇，委委佗佗									
委	影	合	三	支B	上	影	止	v	ui	2	委託									
萎	影	合	三	支B	平	影	止	v	ui	2	枯萎									
偉	云	合	三	微	上	影	止	v	ui	5										
偉	云	合	三	微	上	影	止	v	ui	5										
葦	云	合	三	微	上	影	止	v	ui	2										
葦	云	合	三	微	上	影	止	v	ui	2										
瑋	云	合	三	微	上	影	止	v	ui	2										
瑋	云	合	三	微	上	影	止	v	ui	2										
煒	云	合	三	微	上	影	止	v	ui	2										
煒	云	合	三	微	上	影	止	v	ui	4										
緯	云	合	三	微	去	影	止	v	ui	4										
位	云	合	三	脂B	去	影	止	v	ui	6	尉遲									
畏	影	合	三	微	去	影	止	v	ui	1										
胃	云	合	三	微	去	影	止	v	ui	6										
尉	影	合	三	微	去	影	止	v	ui	1										
喂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ui	1										
渭	云	合	三	微	去	影	止	v	ui	6										
蔚	影	合	三	微	去	影	止	v	ui	1										
蝟	云	合	三	微	去	影	止	v	ui	6										
衛	云	合	三	祭B	去	影	蟹	v	ui	6										
慰	影	合	三	微	去	影	止	v	ui	1										
謂	云	合	三	微	去	影	止	v	ui	6	文字									
餵	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ui	1										
遺	以	合	三	脂A	平	以	止	v	ui	4	遺失									
遺	以	合	三	脂A	去	以	止	v	ui	6	贈遺									
徊	匣	合	一	灰	平	影	蟹	v	ui	4										
回	匣	合	一	灰	平	影	蟹	v	ui	4										
迴	匣	合	一	灰	平	影	蟹	v	ui	4										
洄	匣	合	一	灰	平	影	蟹	v	ui	4										
匯	溪	合	二	皆	平	見	蟹	v	ui	6										
會	匣	合	一	泰	去	影	蟹	v	ui	6	會面									
會	見	合	一	泰	去	見	蟹	v	ui	6	會計									
會	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ui	4	會游泳									
彙	云	合	三	微	去	影	止	v	ui	6										
偎	影	合	一	灰	平	影	蟹	v	ui	1										
混	匣	合	一	魂	上	影	臻	v	un	6										
渾	匣	合	一	魂	平	影	臻	v	un	4	渾人，雄渾，習讀音應爲官話影響導致									
渾	匣	合	一	魂	上	影	臻	v	un	6	同“混”									
魂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	4										
塭	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	1										
溫	影	合	一	魂	平	影	臻	v	un	1										
穩	影	合	一	魂	上	影	臻	v	un	2										
尹	以	合	三	真A	上	以	臻	v	un	5										
暈	云	合	三	文	去	影	臻	v	un	6	日暈									
暈	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	4	頭暈									
云	云	合	三	文	平	影	臻	v	un	4										
勻	以	合	三	真A	平	以	臻	v	un	4										
芸	云	合	三	文	平	影	臻	v	un	4										
耘	云	合	三	文	平	影	臻	v	un	4										
雲	云	合	三	文	平	影	臻	v	un	4										
允	以	合	三	真A	上	以	臻	v	un	5										
隕	云	合	三	真B	上	影	臻	v	un	5										
隕	云	合	三	真B	上	影	臻	v	un	5										
運	云	合	三	文	去	影	臻	v	un	6										
醞	影	合	三	文	上	影	臻	v	un	1										
蘊	影	合	三	文	上	影	臻	v	un	1										
韻	云	合	三	文	去	影	臻	v	un	6										
奐	曉	合	一	寒	去	影	山	v	un	6										
浣	匣	合	一	寒	上	影	山	v	un	2										
換	匣	合	一	寒	去	影	山	v	un	6										
喚	曉	合	一	寒	去	影	山	v	un	6										
渙	曉	合	一	泰	去	影	蟹	v	un	6										
煥	曉	合	一	寒	去	影	山	v	un	6										
瘓	透	合	一	寒	上	端	山	v	un	6										
惋	影	合	一	寒	去	影	山	v	un	2										
碗	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	2										
腕	影	合	一	寒	去	影	山	v	un	2										
垣	云	合	三	元	平	影	山	v	un	4										
援	云	合	三	元	平	影	山	v	un	4										
湲	匣	合	二	山	平	影	山	v	un	4										
窟	溪	合	一	魂	入	見	臻	v	ut	2										
屈	見	合	三	文	入	見	臻	v	ut	2										
尉	影	合	三	文	入	影	臻	v	ut	2										
鷸	以	合	三	真A	入	以	臻	v	ut	6										
鬱	影	合	三	文	入	影	臻	v	ut	2										
熨	影	合	三	文	入	影	臻	v	ut	2	熨貼									
活	見	合	一	寒	入	見	山	v	ut	6										
查	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1	姓查									
咱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1										
吒	知	開	二	麻	去	知	假	z	aa	1	哪吒									
喳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1										
渣	莊	開	二	麻	平	莊	假	z	aa	1										
乍	崇	開	二	麻	去	莊	假	z	aa	1										
炸	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1										
詐	莊	開	二	麻	去	莊	假	z	aa	1										
榨	莊	開	二	麻	去	莊	假	z	aa	1										
齋	莊	開	二	皆	平	莊	蟹	z	aai	1										
債	莊	開	二	佳	去	莊	蟹	z	aai	1										
寨	崇	開	二	夬	去	莊	蟹	z	aai	6										
掣	昌	開	三	祭A	去	章	蟹	z	aai	1										
擠	精	開	四	齊	平	精	蟹	z	aai	1										
祭	精	開	三	祭A	去	精	蟹	z	aai	1										
際	精	開	三	祭A	去	精	蟹	z	aai	1										
劑	精	合	三	支A	平	精	止	z	aai	1										
濟	精	開	四	齊	去	精	蟹	z	aai	1	救濟									
制	章	開	三	祭A	去	章	蟹	z	aai	1										
製	章	開	三	祭A	去	章	蟹	z	aai	1										
滯	澄	開	三	祭B	去	知	蟹	z	aai	6										
側	莊	開	三	蒸	入	莊	曾	z	aak	2										
則	精	開	一	登	入	精	曾	z	aak	2										
責	莊	開	二	耕	入	莊	梗	z	aak	2										
嘖	莊	開	二	庚	入	莊	梗	z	aak	2										
擇	澄	開	二	庚	入	知	梗	z	aak	6										
澤	澄	開	二	庚	入	知	梗	z	aak	6										
蚱	莊	開	二	庚	入	莊	梗	z	aak	1										
摘	知	開	二	耕	入	知	梗	z	aak	6										
宅	澄	開	二	庚	入	知	梗	z	aak	6										
窄	莊	開	二	庚	入	莊	梗	z	aak	1										
擲	澄	開	三	清B	入	知	梗	z	aak	6										
暫	從	開	一	談	去	精	咸	z	aam	6										
眨	莊	開	二	咸	入	莊	咸	z	aam	2										
斬	莊	開	二	咸	上	莊	咸	z	aam	2										
