#<字彙音,/前爲字彙音，/後爲縣志音
#拼音	漢字
geh7	嗝圪垎塥挌格槅滆疙肐膈虼諽隔革骼鬲麧㗆䬣胳+軛{牛～頭}𤜸{～猪}䞘{单脚跳}𢓜𣏙
keh7	克刻剋咳喀娔客尅欬犵肐可{～汗}𡞢
heh7	劾唬{嚇}嚇核{～實}紇纥覈諕{嚇}赫黑嘿齕{咬：～骨頭}㱄𢡀
eh7	厄呃{打～}呝屼戹扼搤軛阨額𣢛𩚚𩚬
bieh7/bih7	佖偪壁弼必怭愊泌湢滗滭潷煏熚珌璧畢皕碧笔筆篳苾襞觱躃辟逼鞸鼻=㘠㳼㻶䇷𣴡𣴨𤁭𤂀𤅳𧰆
pieh7/pih7	鼻-僻劈匹擗澼疋癖闢霹枇
mieh7/mih7	塓宓宻密幂幎樒汨沕淧滵漞濗蜜覓覔謐㫘㵥䎵䤉𥦀𧱻
dieh7/dih7	啇嘀嚁嫡廸扚{拔}敵旳樀滴狄玓的滌=笛糴苖荻菂覿鏑靮㢩𡆣𡒱𤁷𤂂𤾠𨗹
tieh7/tih7	俶倜剔惕掦摘滌-趯踢逖𢞫𢱦
nieh7/nih7	匿惄暱氼溺逆鶂㥾㲻
lieh7/lih7	傈凓力厯律率{效～}慄曆栗栛櫟櫪歷溧瀝瓅癧礫立笠粒繂繘苙荔+躒轣酈靂鷸㯤䋖𡗓𢊆𢟳𢯰𣲒𥖪𨇗𨣷
jieh7/jih7	給{～你、供～}丮亼伋佶劇勣卽及吉吸喞圾+塉墼姞嫉寂屐岌彶忣急愱戟拮撽擊敫桔棘楫極极{極}檄檝殛汲洁漃激濈獥疾瘠禝稷積笈籍級績聻脊芨蒺蝍覡跡踖蹟輯迹集頡魙鯽鶺㔕㗊㘍㞃㡮㤂㥛㦸㧀㮨㲸㲺㴔㻷䳭𠈶𠋻𠴫𡁶𢙅𢞱𣖷𣘐𣳬𤠎𤷉𥡂𥡯𥤽𪵫
qieh7/qih7	刺咠噄墄忔戚慼慽桼泣湆湇湒漆犵緝葺詰迄㣬㭍㯃𢔆𢔠𢜱𣲔𣸡𣾰𥖫
xieh7/xih7	吸咭坹夕媳席息悉惁惜昔晰析椔檄歙汐汔汽淅潝潟熄皙磶穴穸綌習翕肸腊{乾肉}膝舄蓆蜥蟋裼褶襲覡賉錫隙隰鬩㝜㭊㱤䈪𢂲𢘻𢙆𢙍𣊣𣚔𣶁𣺁𦡀𧀬𧈅𩊿
ieh7/ih7	屹一乙亦佚佾俋億嗌嚥埸墿壹奕妷帟弋悒憶懌抑掖揖斁易{姓～、～經}晹曳杙檍歝汽泆洂浥浳液溢縊澺益繹翊翌翼腋臆芅蜴譯逸邑鎰靨驛鳦黓㳑㴁㴒𡖋𡗜𢡃
qieh7	吃喫訖乞七柒戚+
lueh7	入=
zueh7	卒朮{白～}柮
cueh7	出怵捽絀詘{同黜}踤黜㑁㤕𠰕𣮈𥏘
sueh7	摔沭率{～領}秫蟀術{算～}述㾁𤗪
gueh7	愲搰榾汩淈虢骨
kueh7	圣圪堀掘搰撅矻窟胐㩿㵠𡑥𡼿𦜇
hueh7	囫寣忽惚搰核{杏～}𣝗{果核}糊{～涂、～東西}葫{～芦}榾欻歘淴笏㳷䀛䀜䬍𠥰𢗘𪆸
ueh7	兀勿扤杌{～子：凳子}殟沕物腽芴豗𩑦{～死：溺死}
jyeh7/jiuh7	倅卒憰橘桔{橘}獝矞聿譎趉倔崛蹫鵙鶌㹟𡲗𡲬𢩪𣨛𥎐𧽸
qyeh7/qiuh7	倔屈崛掘窋絀詘㤕𡲬𧌑
xyeh7/xiuh7	侐恤戌血㖅㤜㳚䎉䘏䬄噱{～頭}𥚋𧻗
yeh7/iuh7	坄域役棫欎淢疫閾鬱郁{鬱}𢺴{捥}捥{～腰：向后弯腰}㚜𡌳𡨿𡿿𢈿𢗎
boh7	伯佰北卜擘柏栢檗{黃～}檘湐濮白=百舶蔔蘖鮊𣱶
poh7	僕仆{～人、～倒}圤墣幞拍撲啪扑敀曝瀑珀帕+璞白-蔔迫魄𡕠𢶉𣾴𤖼
moh7	万墨帞木沐洦牧目眽睦穆脈脉苜貊貘陌驀麥默㡔㵹㹮𢄏𥄈𩢷
foh7	伏匐垘幅復服栿洑澓畐福腹茯菔蝠袱複覆輹輻馥㙏㚆𡕨𢕒𢫯𥨍
doh7	凟匵嬻櫝殰毒瀆牘犢獨瓄督碡篤厾纛裻讀讟谾贕髑黷㒔䈞䫳𠉩𡴛𢃶𣰬𤞞𥓍
toh7	涋湥痜禿鵚𣒇
noh7	朒肭衂衄
loh7	僇六剹勠塶彔氯戮摝{撈}樚淕淥溽漉濼琭甪盝碌磟祿稑簏籙綠肉-膔菉蓐蓼蔍褥轆辱逯鄏醪錄陸騄鯥鹿麓㖨㫽𢑕𢛚𣯋𥂖𥉶𥚊𥜅
zoh7	劚{～耙：釘耙}哫喌嘱囑矚妯屬属斸柷燭祝竹{掃～}竺筑築粥舳足卒{生～、小～}躅軸=逐𠱙𢺡𥘱𨄃
coh7	亍促俶傗嬲慉戳搐斶族柷歜潚畜{～生}猝矗簇觕觸諔踧蹙蹴蹵鏃閦㩆㵀軸-𡻬𤠕𧢻𧣈
soh7	俗俶倐叔塾夙孰宿尗属屬憟束樕淑漃潚熟璛簌粟縮續肅菽蓿蜀觫謖贖速遬餗驌㑉㑛㒔㜚㳤㴼䔩𠅩𡖊𡖯𡬧𢞣𣶘
goh7	唂嘓囻國梏濲穀糓聝虢蟈谷轂馘鵠𥆘𥝻𥵠
koh7	俈哭嚳酷
hoh7	劃划{笔～}嚄{～子（脾气暴躁動輒喊叫的人）}惑或擭斛焀獲畫画穫窢繣觳鱯㩇㪶䈸𣁳𣂽
oh7	屋沃𣵽
jioh7	侷局挶焗掬梮淗菊諊趜跼踘鋦鞠鞫麴㥌㩴𡨅𥮗
qioh7	曲筁蛐麯
xioh7	勗慉旭旮滀畜{～牧}稸蓄頊
ioh7	儥喅堉彧惐慾昱欲毓浴淯澳煜獄玉-稢育郁鈺隩鬻鵒㤢㥔𡈭𢌻𣋉𣫺𣴲
m3	母{舅～、丈～娘、親家～}姆{～媽}
n	嗯
ng3	我-
