漢字	拼音方案		IPA	注釋	説明：兩種拼音方案的聲調，都遵循以下對應規則，即：陰平1，陰上2，陰去3，陰入4，陽平5，陽上6，陽去7，陽入8									
藍	nam5	nam5	nam˥˥											
籃	nann5	nan5	na ̃˥˥											
欖	nann2	nan2	na ̃˥˨											
攬	nam2	nam2	nam˥˨											
覽	nam2	nam2	nam˥˨											
纜	nam2	nam2	nam˥˨											
濫	nam6	nam6	nam˧˥											
慚	tsham5	cam5	tsʰam˥˥											
暫	tsiam6	ziam6	tɕiam˧˥											
三	sann1	san1	sa ̃˧˧											
三	sam1	sam1	sam˧˧	文										
柑	kann1	gan1	ka ̃˧˧											
泔	kam1	gam1	kam˧˧											
甘	kam1	gam1	kam˧˧											
敢	kann2	gan2	ka ̃˥˨											
橄	kann1	gan1	ka ̃˧˧											
橄	kann2	gan2	ka ̃˥˨											
瞰	kham2	kam2	kʰam˥˨											
蚶	ham1	ham1	ham˧˧											
喊	ham3	ham3	ham˨˩˨											
邯	ham1	ham1	ham˧˧											
酣	ham1	ham1	ham˧˧											
站	tsam6	zam6	tsam˧˥											
賺	thang3	tang3	tʰaŋ˨˩˨	訓“趁”										
賺	tsuang3	zuang3	tsuaŋ˨˩˨	文										
斬	tsam2	zam2	tsam˥˨											
蘸	tsam3	zam3	tsam˨˩˨											
讒	tsham5	cam5	tsʰam˥˥											
饞	tsham5	cam5	tsʰam˥˥											
杉	sam1	sam1	sam˧˧											
尷	kam1	gam1	kam˧˧											
減	kiam2	giam2	kiam˥˨											
鹻	kiam2	giam2	kiam˥˨											
鹹	kiam5	giam5	kiam˥˥											
咸	ham5	ham5	ham˥˥											
陷	ham7	ham7	ham˧˩											
攙	tsham1	cam1	tsʰam˧˧											
攙	tsham5	cam5	tsʰam˥˥	又										
懺	tshiam1	ciam1	tɕʰiam˧˧	俗										
懺	tsham3	cam3	tsʰam˨˩˨											
監	kam1	gam1	kam˧˧											
監	kam3	gam3	kam˨˩˨											
鑒	kam3	gam3	kam˨˩˨											
嵌	kham2	kam2	kʰam˥˨											
巖	ngam5	ngam5	ŋam˥˥											
銜	kann5	gan5	ka ̃˥˥	白										
銜	ham5	ham5	ham˥˥											
艦	nam2	nam2	nam˥˨											
貶	piang2	biang2	piaŋ˥˨											
黏	niam1	niam1	niam˧˧											
黏	niam5	niam5	niam˥˥	又										
廉	niam5	niam5	niam˥˥											
鐮	niam5	niam5	niam˥˥											
簾	niam5	niam5	niam˥˥											
奩	niam5	niam5	niam˥˥											
斂	niam2	niam2	niam˥˨											
殮	niam2	niam2	niam˥˨											
尖	tsiam1	ziam1	tɕiam˧˧											
殲	tshiam1	ciam1	tɕʰiam˧˧											
殲	tshiam5	ciam5	tɕʰiam˥˥	又										
簽	tshiam1	ciam1	tɕʰiam˧˧											
籤	tshiam1	ciam1	tɕʰiam˧˧											
僉	tshiam1	ciam1	tɕʰiam˧˧											
潛	tshiam5	ciam5	tɕʰiam˥˥											
漸	tsiam6	ziam6	tɕiam˧˥											
暹	siam5	siam5	ɕiam˥˥											
纖	tshiam5	ciam5	tɕʰiam˥˥											
沾	tiam1	diam1	tiam˧˧											
粘	niam1	niam1	niam˧˧											
瞻	tsiam1	ziam1	tɕiam˧˧											
占	tsiam1	ziam1	tɕiam˧˧											
占	tsiam3	ziam3	tɕiam˨˩˨											
陝	siam2	siam2	ɕiam˥˨											
閃	siam2	siam2	ɕiam˥˨											
贍	tsiam1	ziam1	tɕiam˧˧											
染	ni2	ni2	ni˥˨	白										
染	dziam2	riam2	dʑiam˥˨											
冉	dziam2	riam2	dʑiam˥˨											
檢	kiam2	giam2	kiam˥˨											
臉	liang2	liang2	liaŋ˥˨											
鉗	khiam5	kiam5	kʰiam˥˥											
儉	khiam6	kiam6	kʰiam˧˥											
驗	ngiam7	ngiam7	ŋiam˧˩											
險	hiam2	hiam2	hiam˥˨											
淹	im1	im1	im˧˧											
閹	iam1	iam1	iam˧˧											
掩	iam2	iam2	iam˥˨											
厭	iam3	iam3	iam˨˩˨											
炎	iam7	iam7	iam˧˩											
炎	iam6	iam6	iam˧˥	又										
鹽	iam5	iam5	iam˥˥											
閻	ngiam5	ngiam5	ŋiam˥˥											
簷	tsinn5	zin5	tɕi ̃˥˥	白										
簷	siam5	siam5	ɕiam˥˥											
艷	iam7	iam7	iam˧˩											
焰	iam7	iam7	iam˧˩											
劍	kiam3	giam3	kiam˨˩˨											
欠	khiam3	kiam3	kʰiam˨˩˨											
嚴	ngiam5	ngiam5	ŋiam˥˥											
儼	ngiam2	ngiam2	ŋiam˥˨											
釅	ngiam5	ngiam5	ŋiam˥˥											
鍁	hurng1	heng1	hɯŋ˧˧											
鍁	hiang1	hiang1	hiaŋ˧˧	又										
崦	iam1	iam1	iam˧˧											
掂	tiam1	diam1	tiam˧˧											
點	tiam2	diam2	tiam˥˨											
墊	tiang6	diang6	tiaŋ˧˥											
店	tiam3	diam3	tiam˨˩˨											
添	thinn1	tin1	tʰi ̃˧˧	白										
添	thiam1	tiam1	tʰiam˧˧											
忝	thiam2	tiam2	tʰiam˥˨											
舔	thiam2	tiam2	tʰiam˥˨											
甜	tiam5	diam5	tiam˥˥											
拈	ninn1	nin1	ni ̃˧˧											
拈	niam1	niam1	niam˧˧											
鮎	niam5	niam5	niam˥˥											
念	niam6	niam6	niam˧˥	又										
念	niam7	niam7	niam˧˩											
僭	tshiam3	ciam3	tɕʰiam˨˩˨											
蒹	kiam1	giam1	kiam˧˧											
謙	khiam1	kiam1	kʰiam˧˧											
歉	khiam2	kiam2	kʰiam˥˨											
嫌	hiam5	hiam5	hiam˥˥											
泛	huang3	huang3	huaŋ˨˩˨											
凡	huang5	huang5	huaŋ˥˥											
帆	phang5	pang5	pʰaŋ˥˥											
範	huang6	huang6	huaŋ˧˥											
犯	huang6	huang6	huaŋ˧˥											
梵	huang6	huang6	huaŋ˧˥											
答	tap4	dab4	tap˨											
搭	tah4	dah4	taʔ˨											
踏	tah8	dah8	taʔ˥˦											
納	nap8	nab8	nap˥˦											
拉	la1	la1	la˧˧											
雜	tsap8	zab8	tsap˥˦											
蛤	kap4	gab4	kap˨											
鴿	kap4	gab4	kap˨											
喝	huah4	huah4	huaʔ˨											
喝	uah4	uah4	uaʔ˨	又										
喝	tuah4	duah4	tuaʔ˨	俗										
喝	hak4	hag4	hak˨	文，~彩										
合	hah8	hah8	haʔ˥˦											
合	hap8	hab8	hap˥˦	文										
盒	ap8	ab8	ap˥˦											
榻	thap4	tab4	tʰap˨											
塔	thah4	tah4	tʰaʔ˨											
塌	thap8	tab8	tʰap˥˦											
臘	lah8	lah8	laʔ˥˦											
蠟	lah8	lah8	laʔ˥˦											
鑞	lah8	lah8	laʔ˥˦											
卅	sap4	sab4	sap˨											
磕	khap4	kab4	kʰap˨											
盍	khap4	kab4	kʰap˨											
盍	hap4	hab4	hap˨											
劄	tsap4	zab4	tsap˨											
眨	tsap4	zab4	tsap˨											
插	tshah4	cah4	tsʰaʔ˨											
插	tshap4	cab4	tsʰap˨	又										
閘	tsah8	zah8	tsaʔ˥˦											
煠	sah8	sah8	saʔ˥˦											
霎	siap4	siab4	ɕiap˨											
夾	koih4	goih4	koiʔ˨											
夾	koih8	goih8	koiʔ˥˦	又										
夾	kiap8	giab8	kiap˥˦	文										
袷	koih4	goih4	koiʔ˨											
恰	khap4	kab4	kʰap˨											
掐	khap4	kab4	kʰap˨											
狹	oih8	oih8	oiʔ˥˦											
狹	hiap8	hiab8	hiap˥˦	文										
峽	kiap4	giab4	kiap˨											
峽	kiap8	giab8	kiap˥˦	又										
峽	hap8	hab8	hap˥˦	又，潮南~山										
洽	tsiap8	ziab8	tɕiap˥˦											
甲	kah4	gah4	kaʔ˨											
匣	ap8	ab8	ap˥˦											
狎	ap4	ab4	ap˨											
鴨	ah4	ah4	aʔ˨											
押	ah4	ah4	aʔ˨											
壓	iap4	iab4	iap˨											
聶	niap4	niab4	niap˨											
鑷	niap4	niab4	niap˨											
獵	lah8	lah8	laʔ˥˦											
接	tsih4	zih4	tɕiʔ˨											
接	tsiap4	ziab4	tɕiap˨	文										
妾	tshiap4	ciab4	tɕʰiap˨											
捷	tsiap8	ziab8	tɕiap˥˦											
輒	tiak4	diag4	tiak˨											
摺	tsih4	zih4	tɕiʔ˨											
摺	dzih4	rih4	dʑiʔ˨	又										
攝	niap4	niab4	niap˨											
涉	siap8	siab8	ɕiap˥˦											
靨	iap4	iab4	iap˨											
葉	hioh8	hioh8	hioʔ˥˦											
葉	iap8	iab8	iap˥˦	又，姓氏										
葉	hiap8	hiab8	hiap˥˦	文										
燁	iak4	iag4	iak˨											
劫	kiap8	giab8	kiap˥˦											
怯	khiap4	kiab4	kʰiap˨											
業	ngiap8	ngiab8	ŋiap˥˦											
脅	hiap8	hiab8	hiap˥˦											
貼	thiap4	tiab4	tʰiap˨											
帖	thiap4	tiab4	tʰiap˨											
疊	thah8	tah8	tʰaʔ˥˦											
疊	thiap8	tiab8	tʰiap˥˦	文										
牒	tiap8	diab8	tiap˥˦											
蝶	tiap8	diab8	tiap˥˦											
諜	tiap8	diab8	tiap˥˦											
協	hiap8	hiab8	hiap˥˦											
俠	hiap8	hiab8	hiap˥˦											
挾	hiap8	hiab8	hiap˥˦											
法	huak4	huag4	huak˨											
乏	huak8	huag8	huak˥˦											
乏	hek8	hêg8	hek˥˦	又										
乏	hak8	hag8	hak˥˦	又										
稟	ping2	bing2	piŋ˥˨											
品	ping2	bing2	piŋ˥˨											
賃	dzim2	rim2	dʑim˥˨											
賃	dzim6	rim6	dʑim˧˥	又										
林	lim5	lim5	lim˥˥											
淋	nam5	nam5	nam˥˥	白										
淋	lim5	lim5	lim˥˥											
臨	lim5	lim5	lim˥˥											
凜	lim2	lim2	lim˥˨											
廩	lim2	lim2	lim˥˨											
浸	tsim3	zim3	tɕim˨˩˨											
侵	tshim5	cim5	tɕʰim˥˥											
寢	tshim2	cim2	tɕʰim˥˨											
寢	tsim2	zim2	tɕim˥˨	又										
蕈	tshim5	cim5	tɕʰim˥˥											
蕈	tshim6	cim6	tɕʰim˧˥	又										
心	sim1	sim1	ɕim˧˧											
尋	tshim5	cim5	tɕʰim˥˥											
琛	tim1	dim1	tim˧˧											
沉	tim5	dim5	tim˥˥											
沉	thim7	tim7	tʰim˧˩	又，動詞										
朕	tim6	dim6	tim˧˥											
簪	tsam1	zam1	tsam˧˧											
岑	ngim5	ngim5	ŋim˥˥											
岑	tsham5	cam5	tsʰam˥˥											
森	siam1	siam1	ɕiam˧˧											
森	sim1	sim1	ɕim˧˧	又										
參	siam1	siam1	ɕiam˧˧											
參	sim1	sim1	ɕim˧˧	又										
滲	tsham1	cam1	tsʰam˧˧											
針	tsam1	zam1	tsam˧˧											
斟	tsim1	zim1	tɕim˧˧											
枕	tsim2	zim2	tɕim˥˨											
葚	sim6	sim6	ɕim˧˥											
深	tshim1	cim1	tɕʰim˧˧											
瀋	sim2	sim2	ɕim˥˨											
審	sim2	sim2	ɕim˥˨											
嬸	sim2	sim2	ɕim˥˨											
甚	sim2	sim2	ɕim˥˨											
壬	dzim6	rim6	dʑim˧˥											
任	dzim6	rim6	dʑim˧˥											
妊	dzim6	rim6	dʑim˧˥											
今	kim1	gim1	kim˧˧											
金	kim1	gim1	kim˧˧											
襟	kim1	gim1	kim˧˧											
禁	kim1	gim1	kim˧˧											
錦	kim2	gim2	kim˥˨											
禁	kim3	gim3	kim˨˩˨											
欽	khim1	kim1	kʰim˧˧											
琴	khim5	kim5	kʰim˥˥											
禽	khim5	kim5	kʰim˥˥											
擒	khim5	kim5	kʰim˥˥											
吟	ngim5	ngim5	ŋim˥˥											
音	im1	im1	im˧˧											
陰	im1	im1	im˧˧											
飲	am2	am2	am˥˨	白，糜~										
飲	im2	im2	im˥˨											
蔭	im1	im1	im˧˧											
窨	im3	im3	im˨˩˨											
淫	im5	im5	im˥˥											
立	lip8	lib8	lip˥˦											
粒	liap8	liab8	liap˥˦											
緝	tsip4	zib4	tɕip˨											
集	tsip8	zib8	tɕip˥˦											
輯	tsip4	zib4	tɕip˨											
習	sip8	sib8	ɕip˥˦											
襲	sip8	sib8	ɕip˥˦											
蟄	tek8	dêg8	tek˥˦											
澀	siap4	siab4	ɕiap˨											
汁	tsap4	zab4	tsap˨											
執	tsip4	zib4	tɕip˨											
濕	tsap4	zab4	tsap˨											
濕	sip4	sib4	ɕip˨											
十	tsap8	zab8	tsap˥˦											
什	tsap8	zab8	tsap˥˦	白										
什	sip8	sib8	ɕip˥˦											
什	sim5	sim5	ɕim˥˥	又										
拾	sip8	sib8	ɕip˥˦											
入	dzip8	rib8	dʑip˥˦											
急	kip4	gib4	kip˨											
級	khip4	kib4	kʰip˨											
汲	khip4	kib4	kʰip˨											
給	kip4	gib4	kip˨											
泣	khip4	kib4	kʰip˨											
及	kip8	gib8	kip˥˦											
吸	khip4	kib4	kʰip˨											
邑	ip4	ib4	ip˨											
揖	ip4	ib4	ip˨											
丹	tuann1	duan1	tua ̃˧˧	白，牡~										
丹	tang1	dang1	taŋ˧˧											
單	tuann1	duan1	tua ̃˧˧											
單	siang5	siang5	ɕiaŋ˥˥	又										
單	siang6	siang6	ɕiaŋ˧˥	又										
旦	tuann3	duan3	tua ̃˨˩˨	白，花~										
旦	tang3	dang3	taŋ˨˩˨											
灘	thuann1	tuan1	tʰua ̃˧˧											
攤	thuann1	tuan1	tʰua ̃˧˧											
坦	thang2	tang2	tʰaŋ˥˨											
歎	thang3	tang3	tʰaŋ˨˩˨											
炭	thuann3	tuan3	tʰua ̃˨˩˨											
檀	thang5	tang5	tʰaŋ˥˥											
壇	tuann5	duan5	tua ̃˥˥											
壇	tham5	tam5	tʰam˥˥	文										
彈	thang5	tang5	tʰaŋ˥˥											
誕	tang3	dang3	taŋ˨˩˨											
但	tang6	dang6	taŋ˧˥											
彈	tuann7	duan7	tua ̃˧˩	白，~掉										
蛋	tuann1	duan1	tua ̃˧˧	白										
蛋	nng6	neng6	nŋ˧˥	俗，訓“卵”										
蛋	tang3	dang3	taŋ˨˩˨											
憚	tang6	dang6	taŋ˧˥											
難	lang5/nang5	lang5/nang5	laŋ˥˥/naŋ˥˥											
難	lang7/nang7	lang7/nang7	laŋ˧˩/naŋ˧˩	又										
蘭	lang5	lang5	laŋ˥˥											
攔	lang5	lang5	laŋ˥˥											
欄	lang5	lang5	laŋ˥˥											
懶	lang2	lang2	laŋ˥˨											
爛	nua7	nua7	nua˧˩											
爛	nua3	nua3	nua˨˩˨	又										
爛	lang6	lang6	laŋ˧˥	文										
贊	tsang3	zang3	tsaŋ˨˩˨											
餐	tshang1	cang1	tsʰaŋ˧˧											
燦	tshang3	cang3	tsʰaŋ˨˩˨											
殘	tshagn5	caghn5	tsʰaᵑɡn˥˥											
珊	sang1	sang1	saŋ˧˧											
散	suann2	suan2	sua ̃˥˨											
傘	suann3	suan3	sua ̃˨˩˨											
散	suann3	suan3	sua ̃˨˩˨											
肝	kuann1	guan1	kua ̃˧˧											
竿	ko1	go1	ko˧˧	訓										
竿	kuann1	guan1	kua ̃˧˧											
竿	kang1	gang1	kaŋ˧˧	文										
乾	kuann1	guan1	kua ̃˧˧											
乾	kang1	gang1	kaŋ˧˧	文										
杆	kuann1	guan1	kua ̃˧˧											
杆	kang1	gang1	kaŋ˧˧	文										
稈	kuann1	guan1	kua ̃˧˧											
稈	kang2	gang2	kaŋ˥˨	文										
擀	kang2	gang2	kaŋ˥˨											
趕	kuann2	guan2	kua ̃˥˨											
幹	kang3	gang3	kaŋ˨˩˨											
看	khuann3	kuan3	kʰua ̃˨˩˨											
看	thoinn2	toin2	tʰoi ̃˥˨	又，訓“睇”										
刊	khang1	kang1	kʰaŋ˧˧											
侃	khang2	kang2	kʰaŋ˥˨											
看	khang1	kang1	kʰaŋ˧˧											
岸	ngai6	ngai6	ŋai˧˥											
岸	huann7	huan7	hua ̃˧˩	又										
鼾	huann5	huan5	hua ̃˥˥											
鼾	hang1	hang1	haŋ˧˧	文										
罕	hang2	hang2	haŋ˥˨											
漢	hang3	hang3	haŋ˨˩˨											
寒	kuann5	guan5	kua ̃˥˥											
寒	hang5	hang5	haŋ˥˥	文										
韓	hang5	hang5	haŋ˥˥											
旱	uann6	uan6	ua ̃˧˥											
汗	kuann7	guan7	kua ̃˧˩											
汗	hang2	hang2	haŋ˥˨	文										
汗	hang5	hang5	haŋ˥˥	又										
翰	hang5	hang5	haŋ˥˥											
安	uann1	uan1	ua ̃˧˧											
安	ang1	ang1	aŋ˧˧	文										
鞍	uann1	uan1	ua ̃˧˧											
按	ang3	ang3	aŋ˨˩˨											
案	uann3	uan3	ua ̃˨˩˨											
案	ang3	ang3	aŋ˨˩˨											
扮	puang3	buang3	puaŋ˨˩˨											
扮	pang3	bang3	paŋ˨˩˨	又										
盼	phang3	pang3	pʰaŋ˨˩˨											
瓣	phiang3	piang3	pʰiaŋ˨˩˨											
瓣	hah4	hah4	haʔ˨	俗										
辦	phoinn7	poin7	pʰoi ̃˧˩											
辦	pang7	bang7	paŋ˧˩	文										
綻	teng6	dêng6	teŋ˧˥											
盞	tsuann2	zuan2	tsua ̃˥˨											
鏟	tshang2	cang2	tsʰaŋ˥˨											
潺	tshang5	cang5	tsʰaŋ˥˥											
山	suann1	suan1	sua ̃˧˧											
產	suann2	suan2	sua ̃˥˨											
艱	kang1	gang1	kaŋ˧˧											
間	koinn1	goin1	koi ̃˧˧											
間	kang1	gang1	kaŋ˧˧	文										
簡	kang2	gang2	kaŋ˥˨											
揀	koinn2	goin2	koi ̃˥˨											
柬	kang2	gang2	kaŋ˥˨											
間	koinn3	goin3	koi ̃˨˩˨											
眼	oinn2/ainn2	oin2/ain2	oi ̃˥˨/ai ̃˥˨	白，龍~										
眼	ngang2	ngang2	ŋaŋ˥˨											
閑	oinn5	oin5	oi ̃˥˥											
限	hang6	hang6	haŋ˧˥											
莧	hoinn7	hoin7	hoi ̃˧˩											
班	pang1	bang1	paŋ˧˧											
頒	pang1	bang1	paŋ˧˧											
板	poinn2	boin2	poi ̃˥˨	白										
板	pang2	bang2	paŋ˥˨											
版	pang2	bang2	paŋ˥˨											
攀	phang1	pang1	pʰaŋ˧˧											
扳	pang2	bang2	paŋ˥˨											
襻	phang3	pang3	pʰaŋ˨˩˨											
蠻	mang5	mang5	maŋ˥˥											
慢	mang7	mang7	maŋ˧˩											
棧	tsang3	zang3	tsaŋ˨˩˨											
刪	sang1	sang1	saŋ˧˧											
訕	sang3	sang3	saŋ˨˩˨											
疝	sang3	sang3	saŋ˨˩˨											
奸	kang1	gang1	kaŋ˧˧											
姦	kang2	gang2	kaŋ˥˨											
諫	kang3	gang3	kaŋ˨˩˨											
顏	nguang5	nguang5	ŋuaŋ˥˥											
顏	ngang5	ngang5	ŋaŋ˥˥	又										
顏	hiann5	hian5	hia ̃˥˥	又										
雁	ngang6	ngang6	ŋaŋ˧˥											
晏	uann3	uan3	ua ̃˨˩˨	白										
晏	ang3	ang3	aŋ˨˩˨											
編	phiang1	piang1	pʰiaŋ˧˧											
鞭	piang1	biang1	piaŋ˧˧											
變	pinn3	bin3	pi ̃˨˩˨	白										
變	piang3	biang3	piaŋ˨˩˨											
篇	phiang1	piang1	pʰiaŋ˧˧											
偏	phiang1	piang1	pʰiaŋ˧˧											
騙	phiang3	piang3	pʰiaŋ˨˩˨											
便	phinn1	pin1	pʰi ̃˧˧											
便	phiang1	piang1	pʰiaŋ˧˧	又										
辨	piang6	biang6	piaŋ˧˥											
辯	piang6	biang6	piaŋ˧˥											
便	ping7/piang7	bing7/biang7	piŋ˧˩/piaŋ˧˩	白，~~										
便	piang6	biang6	piaŋ˧˥											
汴	piang6	biang6	piaŋ˧˥											
綿	miang5	miang5	miaŋ˥˥											
免	miang2	miang2	miaŋ˥˨											
勉	miang3	miang3	miaŋ˨˩˨											
娩	miang4	miang4	miaŋ˨											
緬	miang5	miang5	miaŋ˥˥											
面	ming7	ming7	miŋ˧˩											
麵	minn7	min7	mi ̃˧˩											
碾	tiang2	diang2	tiaŋ˥˨											
連	liang5	liang5	liaŋ˥˥											
聯	liang5	liang5	liaŋ˥˥											
輦	ling2	ling2	liŋ˥˨											
煎	tsiang1	ziang1	tɕiaŋ˧˧											
剪	tsiang2	ziang2	tɕiaŋ˥˨											
箭	tsinn3	zin3	tɕi ̃˨˩˨											
濺	tsiang1	ziang1	tɕiaŋ˧˧											
濺	tsiang2	ziang2	tɕiaŋ˥˨											
遷	tshiang1	ciang1	tɕʰiaŋ˧˧											
遷	tshiam1	ciam1	tɕʰiam˧˧	又										
淺	tshiang2	ciang2	tɕʰiaŋ˥˨											
錢	tsinn5	zin5	tɕi ̃˥˥											
踐	tsiang2	ziang2	tɕiaŋ˥˨											
賤	tsuann7	zuan7	tsua ̃˧˩											
仙	siang1	siang1	ɕiaŋ˧˧											
鮮	tshinn1	cin1	tɕʰi ̃˧˧											
鮮	siang2	siang2	ɕiaŋ˥˨											
癬	siang2	siang2	ɕiaŋ˥˨											
線	suann3	suan3	sua ̃˨˩˨											
涎	nuann6	nuan6	nua ̃˧˥	俗										
涎	iang6	iang6	iaŋ˧˥											
羨	iang6	iang6	iaŋ˧˥											
展	tiang2	diang2	tiaŋ˥˨											
纏	tinn5	din5	ti ̃˥˥											
氈	tsinn1	zin1	tɕi ̃˧˧											
戰	tsiang3	ziang3	tɕiaŋ˨˩˨											
顫	tsiang3	ziang3	tɕiaŋ˨˩˨											
膻	tsiang1	ziang1	tɕiaŋ˧˧	俗										
膻	sang1	sang1	saŋ˧˧											
扇	sinn3	sin3	ɕi ̃˨˩˨											
扇	siang3	siang3	ɕiaŋ˨˩˨	文										
蟬	siam5	siam5	ɕiam˥˥											
蟬	sung5	sung5	suŋ˥˥	俗										
禪	siam5	siam5	ɕiam˥˥											
禪	siang5	siang5	ɕiaŋ˥˥	又										
善	siang6	siang6	ɕiaŋ˧˥											
膳	siang6	siang6	ɕiaŋ˧˥											
擅	siang6	siang6	ɕiaŋ˧˥											
禪	siang6	siang6	ɕiaŋ˧˥											
然	ninn1	nin1	ni ̃˧˧	白，宽~										
然	dziang5	riang5	dʑiaŋ˥˥											
燃	hiann5	hian5	hia ̃˥˥	白										
燃	dziang5	riang5	dʑiaŋ˥˥											
遣	tshiang2	ciang2	tɕʰiaŋ˥˨											
乾	khiang5	kiang5	kʰiaŋ˥˥											
虔	khiang5	kiang5	kʰiaŋ˥˥											
件	kiann6	gian6	kia ̃˧˥											
諺	ngang6	ngang6	ŋaŋ˧˥											
焉	iang1	iang1	iaŋ˧˧											
延	iang6	iang6	iaŋ˧˥											
筵	iang6	iang6	iaŋ˧˥											
演	ing5	ing5	iŋ˥˥											
建	kiang6	giang6	kiaŋ˧˥											
建	kiang3	giang3	kiaŋ˨˩˨	又，福~										
鍵	kiang6	giang6	kiaŋ˧˥											
健	kiann7	gian7	kia ̃˧˩	白，輕~，肥壯大~										
健	kiang6	giang6	kiaŋ˧˥											
腱	kiang6	giang6	kiaŋ˧˥											
言	ngang5	ngang5	ŋaŋ˥˥											
軒	hurng1	heng1	hɯŋ˧˧											
掀	hurng1	heng1	hɯŋ˧˧											
掀	hiang1	hiang1	hiaŋ˧˧	文										
憲	hiang3	hiang3	hiaŋ˨˩˨											
獻	hiang3	hiang3	hiaŋ˨˩˨											
蔫	iang1	iang1	iaŋ˧˧											
堰	iam1	iam1	iam˧˧	又										
堰	iang1	iang1	iaŋ˧˧	又										
堰	iam2	iam2	iam˥˨	又										
堰	iang2	iang2	iaŋ˥˨											
邊	pinn1	bin1	pi ̃˧˧	白										
邊	piang1	biang1	piaŋ˧˧											
蝙	phiang1	piang1	pʰiaŋ˧˧											
蝙	piang2	biang2	piaŋ˥˨	又										
扁	pinn2	bin2	pi ̃˥˨											
扁	piang2	biang2	piaŋ˥˨	文										
扁	phiang1	piang1	pʰiaŋ˧˧	又										
匾	piang2	biang2	piaŋ˥˨											
遍	phiang3	piang3	pʰiaŋ˨˩˨											
遍	piang3	biang3	piaŋ˨˩˨	又										
片	phinn3	pin3	pʰi ̃˨˩˨	白，一~門										
片	phiang3	piang3	pʰiaŋ˨˩˨											
駢	peng6	bêng6	peŋ˧˥											
辮	pinn1	bin1	pi ̃˧˧											
眠	ming5	ming5	miŋ˥˥											
面	ming7	ming7	miŋ˧˩											
顛	ting1	ding1	tiŋ˧˧	白，~倒										
顛	tiang1	diang1	tiaŋ˧˧											
典	tiang2	diang2	tiaŋ˥˨											
典	tiam2	diam2	tiam˥˨	又										
天	thinn1	tin1	tʰi ̃˧˧											
天	thiang1	tiang1	tʰiaŋ˧˧	文										
田	thiang5	tiang5	tʰiaŋ˥˥											
田	tshang5	cang5	tsʰaŋ˥˥	俗										
填	thiang5	tiang5	tʰiaŋ˥˥											
電	tiang6	diang6	tiaŋ˧˥											
殿	toinn7	doin7	toi ̃˧˩											
殿	tiang6	diang6	tiaŋ˧˥	文										
奠	tiang6	diang6	tiaŋ˧˥											
佃	toinn6	doin6	toi ̃˧˥											
佃	thiang5	tiang5	tʰiaŋ˥˥	文										
年	ninn5	nin5	ni ̃˥˥											
攆	leng2	lêng2	leŋ˥˨											
撚	liang2	liang2	liaŋ˥˨											
撚	niam3	niam3	niam˨˩˨	又										
憐	liang5	liang5	liaŋ˥˥											
蓮	noinn5	noin5	noi ̃˥˥											
蓮	liang5	liang5	liaŋ˥˥	文										
練	liang7	liang7	liaŋ˧˩											
煉	liang7	liang7	liaŋ˧˩											
箋	tsiang1	ziang1	tɕiaŋ˧˧											
薦	tsing3	zing3	tɕiŋ˨˩˨											
千	tshoinn1	coin1	tsʰoi ̃˧˧											
前	tsoinn5	zoin5	tsoi ̃˥˥											
先	soinn1	soin1	soi ̃˧˧											
先	sing1	sing1	ɕiŋ˧˧	文，~生										
肩	koinn1	goin1	koi ̃˧˧											
堅	kiang1	giang1	kiaŋ˧˧											
繭	koinn2	goin2	koi ̃˥˨											
見	kinn3	gin3	ki ̃˨˩˨	白										
見	kiang3	giang3	kiaŋ˨˩˨											
牽	khang1	kang1	kʰaŋ˧˧											
研	ngoinn2/ngainn2	ngoin2/ngain2	ŋoi ̃˥˨/ŋai ̃˥˨	白										
研	ngiang2	ngiang2	ŋiaŋ˥˨											
硯	nginn7	ngin7	ŋi ̃˧˩											
顯	hiang2	hiang2	hiaŋ˥˨											
賢	hiang5	hiang5	hiaŋ˥˥											
弦	hinn5	hin5	hi ̃˥˥											
現	hing7/heng7/hiang7	hing7/hêng7/hiang7	hiŋ˧˩/heŋ˧˩/hiaŋ˧˩											
煙	ing1/eng1	ing1/êng1	iŋ˧˧/eŋ˧˧											
燕	inn3	in3	i ̃˨˩˨											
燕	iang3	iang3	iaŋ˨˩˨	文，~窩										
咽	ing1	ing1	iŋ˧˧											
咽	iang3	iang3	iaŋ˨˩˨	又										
咽	iak4	iag4	iak˨	又										
宴	ang3	ang3	aŋ˨˩˨											
獺	thuah4	tuah4	tʰuaʔ˨											
達	tak4	dag4	tak˨											
捺	nap8	nab8	nap˥˦											
辣	luah8	luah8	luaʔ˥˦											
辣	luah4	luah4	luaʔ˨	又										
辣	lah8	lah8	laʔ˥˦	又										
癩	thai2	tai2	tʰai˥˨	俗										
癩	nai6	nai6	nai˧˥											
擦	tshak4	cag4	tsʰak˨											
撒	suah4	suah4	suaʔ˨											
撒	sak4	sag4	sak˨	文										
薩	sak4	sag4	sak˨											
割	kuah4	guah4	kuaʔ˨											
葛	kuah4	guah4	kuaʔ˨											
渴	kuah4	guah4	kuaʔ˨											
喝	huah4	huah4	huaʔ˨											
曷	hak4	hag4	hak˨											
八	poih4	boih4	poiʔ˨											
八	pah4	bah4	paʔ˨	文										
拔	poih8	boih8	poiʔ˥˦											
劄	tsak4	zag4	tsak˨											
