繁体字	简体字	国际音标	吴语拼音	备注	调类	调值					
噦	哕	ioʔ5	ioq7		7	5			ioq		ioʔ
叽	叽	tɕi53	ci1		1	53		c	i	tɕ	i
哩	哩	li53	li1		1	53		l	i	l	i
咕	咕	ku53	ku1		1	53		k	u	k	u
噜	噜	lɯ53	lou1		1	53		l	ou	l	ɯ
咪	咪	mi53	mi1		1	53		m	i	m	i
嘛	嘛	mɑ53	ma1		1	53		m	a	m	ɑ
啦	啦	lɑ53	la1		1	53		l	a	l	ɑ
蟛	蟛	bã24	ban2		2	24		b	an	b	ã
蛸	蛸	sɔ53	sau1		1	53		s	au	s	ɔ
蜞	蜞	dʑi24	ji2		2	24		j	i	dʑ	i
蕾	蕾	lᴇ24	lei2		2	24		l	ei	l	ᴇ
闵	闵	miŋ31	min4		4	31		m	in	m	iŋ
悯	悯	miŋ31	min4		4	31		m	in	m	iŋ
皿	皿	miŋ31	min4		4	31		m	in	m	iŋ
旷	旷	kʰuɒ̃423	khuaon5		5	423		kh	uaon	kʰ	uɒ̃
隴	陇	loŋ31	lon4		4	31		l	on	l	oŋ
垄	垄	loŋ31	lon4		4	31		l	on	l	oŋ
垡	垡	vaʔ23	vaeq8		8	23		v	aeq	v	aʔ
貸	贷	dæ213	dae6		6	213		d	ae	d	æ
瘴	瘴	tsɒ̃423	tsaon5		5	423		ts	aon	ts	ɒ̃
疼	疼	dᴇ̃24	den2		2	24		d	en	d	ᴇ̃
咳	咳	kʰᴇʔ5	kheq7		7	5		kh	eq	kʰ	ᴇʔ
痰	痰	dæ24	dae2		2	24		d	ae	d	æ
銃	铳	tsʰoŋ423	tshon5		5	423		tsh	on	tsʰ	oŋ
訶	诃	kʰɯ53	khou1		1	53		kh	ou	kʰ	ɯ
呵	呵	hɯ53	hou1	~斥；一气~成。	1	53		h	ou	h	ɯ
呵	呵	hɑ53	ha1	~气。	1	53		h	a	h	ɑ
呵	呵	hu53	hu1	~欠。	1	53		h	u	h	u
嗬	嗬	hɯ53	hou1		1	53		h	ou	h	ɯ
喆	喆	tsᴇʔ5	tseq7		7	5		ts	eq	ts	ᴇʔ
珈	珈	kɑ53	ka1		1	53		k	a	k	ɑ
淑	淑	zoʔ23	zoq8		8	23		z	oq	z	oʔ
廈	厦	ɦu31	wu4		4	31		w	u	ɦ	u
囊	囊	nɒ̃24	naon2		2	24		n	aon	n	ɒ̃
饢	馕	nɒ̃24	naon2		2	24		n	aon	n	ɒ̃
壤	壤	ȵiã31	gnian4	【白读】	4	31		gn	ian	ȵ	iã
壤	壤	zã31	zan4	【文读】	4	31		z	an	z	ã
攘	攘	ȵiã31	gnian4	【白读】	4	31		gn	ian	ȵ	iã
攘	攘	zã31	zan4	【文读】	4	31		z	an	z	ã
拄	拄	tsɿ44	tsy3		3	44		ts	y	ts	ɿ
躊	踌	dzɯ24	dzou2		2	24		dz	ou	dz	ɯ
躇	躇	dzɿ24	dzy2		2	24		dz	y	dz	ɿ
蹭	蹭	tsʰᴇ̃423	tshen5		5	423		tsh	en	tsʰ	ᴇ̃
襄	襄	ɕiã53	shian1		1	53		sh	ian	ɕ	iã
鑲	镶	ɕiã53	shian1		1	53		sh	ian	ɕ	iã
衷	衷	tsoŋ53	tson1		1	53		ts	on	ts	oŋ
癰	痈	ioŋ53	ion1		1	53			ion		ioŋ
剌	剌	laʔ23	laeq8		8	23		l	aeq	l	aʔ
闌	阑	læ24	lae2		2	24		l	ae	l	æ
妨	妨	fɒ̃53	faon1		1	53		f	aon	f	ɒ̃
虱	虱	sᴇʔ5	seq7		7	5		s	eq	s	ᴇʔ
螄	蛳	sɿ53	sy1		1	53		s	y	s	ɿ
肆	肆	sɿ423	sy5		5	423		s	y	s	ɿ
矢	矢	sɿ44	sy3		3	44		s	y	s	ɿ
匙	匙	zɿ24	zy2		2	24		z	y	z	ɿ
豉	豉	zɿ213	zy6		6	213		z	y	z	ɿ
劾	劾	ɦᴇʔ23	gheq8		8	23		gh	eq	ɦ	ᴇʔ
軾	轼	sᴇʔ5	seq7		7	5		s	eq	s	ᴇʔ
拭	拭	sᴇʔ5	seq7		7	5		s	eq	s	ᴇʔ
弑	弑	sɿ423	sy5		5	423		s	y	s	ɿ
琵	琵	bi24	bi2		2	24		b	i	b	i
琶	琶	bu24	bu2		2	24		b	u	b	u
滗	滗	piɪʔ5	piq7		7	5		p	iq	p	iɪʔ
蒂	蒂	ti423	ti5		5	423		t	i	t	i
渧	渧	ti423	ti5		5	423		t	i	t	i
諦	谛	ti423	ti5		5	423		t	i	t	i
浠	浠	ɕi53	shi1		1	53		sh	i	ɕ	i
烯	烯	ɕi53	shi1		1	53		sh	i	ɕ	i
熙	熙	ɕi53	shi1		1	53		sh	i	ɕ	i
羲	羲	ɕi53	shi1		1	53		sh	i	ɕ	i
曦	曦	ɕi53	shi1		1	53		sh	i	ɕ	i
禧	禧	ɕi53	shi1		1	53		sh	i	ɕ	i
囍	囍	ɕi44	shi3		3	44		sh	i	ɕ	i
兮	兮	ɦi24	yi2		2	24		y	i	ɦ	i
貳	贰	ȵi213	gni6	【白读】	6	213		gn	i	ȵ	i
貳	贰	əl213	er6	【文读】	6	213			er		əl
呢	呢	ȵi24	gni2		2	24		gn	i	ȵ	i
妮	妮	ȵi24	gni2		2	24		gn	i	ȵ	i
毅	毅	ȵi213	gni6		6	213		gn	i	ȵ	i
羿	羿	ȵi213	gni6		6	213		gn	i	ȵ	i
裔	裔	ɦi213	yi6		6	213		y	i	ɦ	i
肄	肄	ɦi213	yi6		6	213		y	i	ɦ	i
懿	懿	i423	i5		5	423			i		i
瞖	瞖	i423	i5		5	423			i		i
萁	萁	dʑi24	ji2		2	24		j	i	dʑ	i
琪	琪	dʑi24	ji2		2	24		j	i	dʑ	i
淇	淇	dʑi24	ji2		2	24		j	i	dʑ	i
祺	祺	dʑi24	ji2		2	24		j	i	dʑ	i
麒	麒	dʑi24	ji2		2	24		j	i	dʑ	i
祈	祈	dʑi24	ji2		2	24		j	i	dʑ	i
圻	圻	dʑi24	ji2		2	24		j	i	dʑ	i
箕	箕	tɕi53	ci1		1	53		c	i	tɕ	i
薺	荠	zi24	zi2	荸~。	2	24		z	i	z	i
薺	荠	ziɑ31	zia4	~菜。	4	31		z	ia	z	iɑ
霽	霁	tsi423	tsi5		5	423		ts	i	ts	i
既	既	tɕi423	ci5		5	423		c	i	tɕ	i
肌	肌	tɕi53	ci1		1	53		c	i	tɕ	i
冀	冀	tɕi423	ci5		5	423		c	i	tɕ	i
靡	靡	mi31	mi4		4	31		m	i	m	i
凄	凄	tsʰi53	tshi1		1	53		tsh	i	tsʰ	i
淒	淒	tsʰi53	tshi1		1	53		tsh	i	tsʰ	i
悽	悽	tsʰi53	tshi1		1	53		tsh	i	tsʰ	i
萋	萋	tsʰi53	tshi1		1	53		tsh	i	tsʰ	i
砌	砌	tsʰi423	tshi5		5	423		tsh	i	tsʰ	i
莉	莉	li213	li6		6	213		l	i	l	i
勵	励	li213	li6		6	213		l	i	l	i
藜	藜	li24	li2		2	24		l	i	l	i
厘	厘	li24	li2		2	24		l	i	l	i
勩	勚	ɦi213	yi6		6	213		y	i	ɦ	i
霏	霏	fi53	fi1		1	53		f	i	f	i
跛	跛	pu44	pu3		3	44		p	u	p	u
簸	簸	pu44	pu3	颠~。	3	44		p	u	p	u
簸	簸	pu423	pu5	~箕。	5	423		p	u	p	u
茉	茉	moʔ23	moq8		8	23		m	oq	m	oʔ
唾	唾	tʰɯ423	thou5		5	423		th	ou	tʰ	ɯ
椭	椭	tʰɯ44	thou3		3	44		th	ou	tʰ	ɯ
簰	簰	bɑ24	ba2		2	24		b	a	b	ɑ
簇	簇	tsʰoʔ5	tshoq7		7	5		tsh	oq	tsʰ	oʔ
訇	訇	hoŋ53	hon1		1	53		h	on	h	oŋ
骰	骰	dᴇ24	dei2		2	24		d	ei	d	ᴇ
耦	耦	ŋᴇ31	ngei4		4	31		ng	ei	ŋ	ᴇ
禺	禺	ȵi24	gni2		2	24		gn	i	ȵ	i
隅	隅	ȵi24	gni2		2	24		gn	i	ȵ	i
番	番	pʰɤ53	phoe1	~禺（广东地名）。	1	53		ph	oe	pʰ	ɤ
鄱	鄱	bu24	bu2		2	24		b	u	b	u
莜	莜	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
揪	揪	tsiɯ53	tsiou1		1	53		ts	iou	ts	iɯ
臼	臼	dʑiɯ31	jiou4		4	31		j	iou	dʑ	iɯ
鳩	鸠	tɕiɯ53	ciou1		1	53		c	iou	tɕ	iɯ
廄	厩	tɕiɯ423	ciou5		5	423		c	iou	tɕ	iɯ
咎	咎	dʑiɯ31	jiou4		4	31		j	iou	dʑ	iɯ
灸	灸	tɕiɯ44	ciou3		3	44		c	iou	tɕ	iɯ
玖	玖	tɕiɯ44	ciou3		3	44		c	iou	tɕ	iɯ
啾	啾	tsiɯ53	tsiou1		1	53		ts	iou	ts	iɯ
柩	柩	dʑiɯ213	jiou6		6	213		j	iou	dʑ	iɯ
疚	疚	tɕiɯ423	ciou5		5	423		c	iou	tɕ	iɯ
鷲	鹫	dziɯ213	dziou6		6	213		dz	iou	dz	iɯ
鬮	阄	tɕiɯ53	ciou1		1	53		c	iou	tɕ	iɯ
酋	酋	dziɯ24	dziou2		2	24		dz	iou	dz	iɯ
湫	湫	tsʰiɯ53	tshiou1		1	53		tsh	iou	tsʰ	iɯ
恘	恘	tɕʰiɯ53	chiou1	坏。	1	53		ch	iou	tɕʰ	iɯ
坵	坵	tɕʰiɯ53	chiou1		1	53		ch	iou	tɕʰ	iɯ
邱	邱	tɕʰiɯ53	chiou1		1	53		ch	iou	tɕʰ	iɯ
裘	裘	dʑiɯ24	jiou2		2	24		j	iou	dʑ	iɯ
俅	俅	dʑiɯ24	jiou2		2	24		j	iou	dʑ	iɯ
逑	逑	dʑiɯ24	jiou2		2	24		j	iou	dʑ	iɯ
鰍	鳅	tsʰiɯ53	tshiou1		1	53		tsh	iou	tsʰ	iɯ
虬	虬	dʑiɯ24	jiou2		2	24		j	iou	dʑ	iɯ
糗	糗	tɕʰiɯ44	chiou3		3	44		ch	iou	tɕʰ	iɯ
蚯	蚯	tɕʰiɯ53	chiou1		1	53		ch	iou	tɕʰ	iɯ
蚓	蚓	ɦiŋ31	yin4		4	31		y	in	ɦ	iŋ
荀	荀	dziŋ24	dzin2		2	24		dz	in	dz	iŋ
殉	殉	dziŋ213	dzin6		6	213		dz	in	dz	iŋ
詢	询	siŋ53	sin1		1	53		s	in	s	iŋ
峋	峋	siŋ53	sin1		1	53		s	in	s	iŋ
洵	洵	siŋ53	sin1		1	53		s	in	s	iŋ
郇	郇	siŋ53	sin1		1	53		s	in	s	iŋ
郡	郡	dʑioŋ213	jion6		6	213		j	ion	dʑ	ioŋ
駒	驹	tɕi53	ci1		1	53		c	i	tɕ	i
莒	莒	tɕi44	ci3		3	44		c	i	tɕ	i
菅	菅	tɕie53	cie1		1	53		c	ie	tɕ	ie
鑷	镊	ȵiɪʔ23	gniq8		8	23		gn	iq	ȵ	iɪʔ
躡	蹑	ȵiɪʔ23	gniq8		8	23		gn	iq	ȵ	iɪʔ
焗	焗	dʑioʔ23	jioq8		8	23		j	ioq	dʑ	ioʔ
桔	桔	tɕiɪʔ5	ciq7	~梗。	7	5		c	iq	tɕ	iɪʔ
岫	岫	ziɯ213	ziou6		6	213		z	iou	z	iɯ
佑	佑	iɯ423	iou5		5	423			iou		iɯ
誘	诱	ɦiɯ213	you6		6	213		y	ou	ɦ	iɯ
呦	呦	iɯ53	iou1		1	53			iou		iɯ
喲	哟	iɯ53	iou1		1	53			iou		iɯ
柚	柚	ɦiɯ213	you6		6	213		y	ou	ɦ	iɯ
魷	鱿	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
酉	酉	ɦiɯ31	you4		4	31		y	ou	ɦ	iɯ
侑	侑	ɦiɯ213	you6		6	213		y	ou	ɦ	iɯ
宥	宥	ɦiɯ213	you6		6	213		y	ou	ɦ	iɯ
攸	攸	iɯ53	iou1		1	53			iou		iɯ
鼬	鼬	ɦiɯ213	you6		6	213		y	ou	ɦ	iɯ
銪	铕	ɦiɯ31	you4		4	31		y	ou	ɦ	iɯ
鈾	铀	ɦiɯ24	you2		2	24		y	ou	ɦ	iɯ
莠	莠	ɦiɯ31	you4		4	31		y	ou	ɦ	iɯ
熘	熘	liɯ53	liou1		1	53		l	iou	l	iɯ
蔞	蒌	lᴇ24	lei2		2	24		l	ei	l	ᴇ
萎	萎	uᴇ44	uei3		3	44			uei		uᴇ
崴	崴	uæ44	uae3		3	44			uae		uæ
崴	崴	uᴇ53	uei1		1	53			uei		uᴇ
硅	硅	kuᴇ53	kuei1		1	53		k	uei	k	uᴇ
琿	珲	ɦuᴇ̃24	wen2	~春（吉林地名）。	2	24		w	en	ɦ	uᴇ̃
琿	珲	huᴇ53	huei1	瑷~（黑龙江地名）。	1	53		h	uei	h	uᴇ
嚀	咛	ȵiŋ24	gnin2		2	24		gn	in	ȵ	iŋ
檸	柠	ȵiŋ24	gnin2		2	24		gn	in	ȵ	iŋ
檬	檬	moŋ24	mon2		2	24		m	on	m	oŋ
咚	咚	toŋ53	ton1		1	53		t	on	t	oŋ
彤	彤	doŋ24	don2		2	24		d	on	d	oŋ
瞳	瞳	doŋ24	don2		2	24		d	on	d	oŋ
曈	曈	doŋ24	don2		2	24		d	on	d	oŋ
疃	疃	tʰɤ44	thoe3		3	44		th	oe	tʰ	ɤ
穌	稣	sɯ53	sou1		1	53		s	ou	s	ɯ
蠕	蠕	zɿ24	zy2		2	24		z	y	z	ɿ
邰	邰	tʰæ53	thae1		1	53		th	ae	tʰ	æ
萊	莱	læ24	lae2		2	24		l	ae	l	æ
淶	涞	læ24	lae2		2	24		l	ae	l	æ
睞	睐	læ213	lae6		6	213		l	ae	l	æ
踩	踩	tsʰæ44	tshae3		3	44		tsh	ae	tsʰ	æ
鈣	钙	kæ423	kae5		5	423		k	ae	k	æ
噯	嗳	æ44	ae3		3	44			ae		æ
曖	暧	æ423	ae5		5	423			ae		æ
璦	瑷	æ423	ae5		5	423			ae		æ
藹	蔼	æ423	ae5		5	423			ae		æ
哎	哎	æ53	ae1		1	53			ae		æ
哎	哎	æ423	ae5		5	423			ae		æ
砹	砹	ŋæ213	ngae6		6	213		ng	ae	ŋ	æ
駭	骇	ɦæ31	ghae4		4	31		gh	ae	ɦ	æ
籟	籁	lɑ213	la6	【白读】	6	213		l	a	l	ɑ
籟	籁	læ213	lae6	【文读】	6	213		l	ae	l	æ
棣	棣	di213	di6		6	213		d	i	d	i
犒	犒	kʰɔ423	khau5		5	423		kh	au	kʰ	ɔ
鰻	鳗	mɤ24	moe2		2	24		m	oe	m	ɤ
饅	馒	mɤ24	moe2		2	24		m	oe	m	ɤ
惋	惋	uɤ44	uoe3		3	44			uoe		uɤ
諳	谙	ᴇ̃53	en1		1	53			en		ᴇ̃
黯	黯	ᴇ̃423	en5		5	423			en		ᴇ̃
桿	杆	kɤ44	koe3	秤~。	3	44		k	oe	k	ɤ
潁	颍	ɦiŋ31	yin4		4	31		y	in	ɦ	iŋ
穎	颖	ɦiŋ31	yin4		4	31		y	in	ɦ	iŋ
甾	甾	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
淄	淄	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
錙	锱	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
熠	熠	ɦiɪʔ23	yiq8		8	23		y	iq	ɦ	iɪʔ
哇	哇	uɑ53	ua1		1	53			ua		uɑ
哇	哇	uɔ	uau						uau		uɔ
尉	尉	uᴇ423	uei5		5	423			uei		uᴇ
尉	尉	ioʔ5	ioq7	~迟（复姓）。	7	5			ioq		ioʔ
蔚	蔚	uᴇ423	uei5		5	423			uei		uᴇ
蔚	蔚	i423	i5	~县（河北地名）。	5	423			i		i
睿	睿	dzᴇ213	dzei6		6	213		dz	ei	dz	ᴇ
璇	璇	dzie24	dzie2		2	24		dz	ie	dz	ie
漩	漩	dzie24	dzie2		2	24		dz	ie	dz	ie
漩	漩	dzie213	dzie6		6	213		dz	ie	dz	ie
碘	碘	tie44	tie3		3	44		t	ie	t	ie
郝	郝	hᴇʔ5	heq7		7	5		h	eq	h	ᴇʔ
歙	歙	sᴇʔ5	seq7	~县（安徽地名）。	7	5		s	eq	s	ᴇʔ
歙	歙	ɕiɪʔ5	shiq7		7	5		sh	iq	ɕ	iɪʔ
忻	忻	ɕiŋ53	shin1		1	53		sh	in	ɕ	iŋ
淅	淅	siɪʔ5	siq7		7	5		s	iq	s	iɪʔ
宁	宁	dzɿ31	dzy4		4	31		dz	y	dz	ɿ
佇	伫	dzɿ31	dzy4		4	31		dz	y	dz	ɿ
貯	贮	dzɿ31	dzy4		4	31		dz	y	dz	ɿ
鶩	鹜	vu213	vu6		6	213		v	u	v	u
婺	婺	vu213	vu6		6	213		v	u	v	u
騖	骛	vu213	vu6		6	213		v	u	v	u
焱	焱	ɦie213	ye6		6	213		y	e	ɦ	ie
淼	淼	miɔ31	miau4		4	31		m	iau	m	iɔ
鑫	鑫	ɕiŋ53	shin1		1	53		sh	in	ɕ	iŋ
叒	叒	zɑʔ23	zaq8		8	23		z	aq	z	ɑʔ
叕	叕	tsᴇʔ5	tseq7		7	5		ts	eq	ts	ᴇʔ
痞	痞	pʰi44	phi3		3	44		ph	i	pʰ	i
胯	胯	kʰu423	khu5		5	423		kh	u	kʰ	u
袴	袴	kʰu423	khu5		5	423		kh	u	kʰ	u
絝	绔	kʰu423	khu5		5	423		kh	u	kʰ	u
輔	辅	fu44	fu3		3	44		f	u	f	u
齲	龋	tɕʰi44	chi3		3	44		ch	i	tɕʰ	i
祛	祛	tɕʰi53	chi1		1	53		ch	i	tɕʰ	i
砝	砝	faʔ5	faeq7		7	5		f	aeq	f	aʔ
顱	颅	lɯ24	lou2		2	24		l	ou	l	ɯ
瀘	泸	lɯ24	lou2		2	24		l	ou	l	ɯ
鱸	鲈	lɯ24	lou2		2	24		l	ou	l	ɯ
潞	潞	lɯ213	lou6		6	213		l	ou	l	ɯ
璐	璐	lɯ213	lou6		6	213		l	ou	l	ɯ
鶻	鹘	ɦuoʔ23	woq8		8	23		w	oq	ɦ	uoʔ
瀣	瀣	ɦie213	ye6	【文读】	6	213		y	e	ɦ	ie
骷	骷	kʰu53	khu1		1	53		kh	u	kʰ	u
髏	髅	lᴇ24	lei2		2	24		l	ei	l	ᴇ
詬	诟	kᴇ423	kei5		5	423		k	ei	k	ᴇ
垢	垢	kᴇ423	kei5		5	423		k	ei	k	ᴇ
逗	逗	dᴇ213	dei6		6	213		d	ei	d	ᴇ
痘	痘	dᴇ213	dei6		6	213		d	ei	d	ᴇ
琅	琅	lɒ̃24	laon2		2	24		l	aon	l	ɒ̃
瑯	瑯	lɒ̃24	laon2		2	24		l	aon	l	ɒ̃
埌	埌	lɒ̃213	laon6		6	213		l	aon	l	ɒ̃
閬	阆	lɒ̃213	laon6		6	213		l	aon	l	ɒ̃
塱	塱	lɒ̃31	laon4		4	31		l	aon	l	ɒ̃
郎	郎	lɒ̃24	laon2		2	24		l	aon	l	ɒ̃
朗	朗	lɒ̃31	laon4		4	31		l	aon	l	ɒ̃
螂	螂	lɒ̃24	laon2		2	24		l	aon	l	ɒ̃
啷	啷	lɒ̃53	laon1	形容骑马声。	1	53		l	aon	l	ɒ̃
誏	誏	lɒ̃53	laon1		1	53		l	aon	l	ɒ̃
瓤	瓤	nɒ̃24	naon2		2	24		n	aon	n	ɒ̃
襠	裆	tɒ̃53	taon1		1	53		t	aon	t	ɒ̃
擋	挡	tɒ̃44	taon3		3	44		t	aon	t	ɒ̃
檔	档	tɒ̃423	taon5		5	423		t	aon	t	ɒ̃
趟	趟	tʰɒ̃423	thaon5		5	423		th	aon	tʰ	ɒ̃
棠	棠	dɒ̃24	daon2		2	24		d	aon	d	ɒ̃
螳	螳	dɒ̃24	daon2		2	24		d	aon	d	ɒ̃
趤	趤	dɒ̃213	daon6		6	213		d	aon	d	ɒ̃
餉	饷	ɕiã423	shian5		5	423		sh	ian	ɕ	iã
韁	缰	tɕiã53	cian1		1	53		c	ian	tɕ	iã
繮	繮	tɕiã53	cian1		1	53		c	ian	tɕ	iã
殃	殃	iã53	ian1		1	53			ian		iã
瘍	疡	ɦiã24	yan2		2	24		y	an	ɦ	iã
沱	沱	dɯ24	dou2		2	24		d	ou	d	ɯ
鴕	鸵	dɯ24	dou2		2	24		d	ou	d	ɯ
柯	柯	kʰɯ53	khou1		1	53		kh	ou	kʰ	ɯ
坷	坷	kʰɯ44	khou3	坎~。	3	44		kh	ou	kʰ	ɯ
坷	坷	kʰᴇʔ5	kheq7	金~垃。	7	5		kh	eq	kʰ	ᴇʔ
抲	抲	kʰɑ53	kha1		1	53		kh	a	kʰ	ɑ
滂	滂	pʰɒ̃53	phaon1		1	53		ph	aon	pʰ	ɒ̃
蒡	蒡	pɒ̃423	paon5		5	423		p	aon	p	ɒ̃
傍	傍	bɒ̃213	baon6		6	213		b	aon	b	ɒ̃
彷	彷	bɒ̃24	baon2		2	24		b	aon	b	ɒ̃
膀	膀	pɒ̃44	paon3	肩~。	3	44		p	aon	p	ɒ̃
膀	膀	bɒ̃24	baon2	~胱。	2	24		b	aon	b	ɒ̃
髈	髈	pʰɒ̃44	phaon3	蹄~。	3	44		ph	aon	pʰ	ɒ̃
贓	赃	tsɒ̃53	tsaon1		1	53		ts	aon	ts	ɒ̃
髒	脏	tsɒ̃53	tsaon1	肮~。	1	53		ts	aon	ts	ɒ̃
臟	脏	dzɒ̃213	dzaon6	内~。	6	213		dz	aon	dz	ɒ̃
妝	妆	tsɒ̃53	tsaon1		1	53		ts	aon	ts	ɒ̃
蟑	蟑	tsɒ̃53	tsaon1		1	53		ts	aon	ts	ɒ̃
璋	璋	tsɒ̃53	tsaon1		1	53		ts	aon	ts	ɒ̃
彰	彰	tsɒ̃53	tsaon1		1	53		ts	aon	ts	ɒ̃
嶂	嶂	tsɒ̃423	tsaon5		5	423		ts	aon	ts	ɒ̃
葬	葬	tsɒ̃423	tsaon5		5	423		ts	aon	ts	ɒ̃
莽	莽	mɒ̃31	maon4		4	31		m	aon	m	ɒ̃
娼	娼	tsʰɒ̃53	tshaon1		1	53		tsh	aon	tsʰ	ɒ̃
艙	舱	tsʰɒ̃53	tshaon1		1	53		tsh	aon	tsʰ	ɒ̃
滄	沧	tsʰɒ̃53	tshaon1		1	53		tsh	aon	tsʰ	ɒ̃
菖	菖	tsʰɒ̃53	tshaon1		1	53		tsh	aon	tsʰ	ɒ̃
猖	猖	tsʰɒ̃53	tshaon1		1	53		tsh	aon	tsʰ	ɒ̃
鯧	鲳	tsʰɒ̃53	tshaon1		1	53		tsh	aon	tsʰ	ɒ̃
闖	闯	tsʰɒ̃44	tshaon3		3	44		tsh	aon	tsʰ	ɒ̃
倡	倡	tsʰɒ̃423	tshaon5		5	423		tsh	aon	tsʰ	ɒ̃
磉	磉	sɒ̃44	saon3		3	44		s	aon	s	ɒ̃
嗓	嗓	sɒ̃44	saon3		3	44		s	aon	s	ɒ̃
搡	搡	sɒ̃44	saon3		3	44		s	aon	s	ɒ̃
豇	豇	kɒ̃53	kaon1		1	53		k	aon	k	ɒ̃
崗	岗	kɒ̃53	kaon1		1	53		k	aon	k	ɒ̃
肛	肛	kɒ̃53	kaon1		1	53		k	aon	k	ɒ̃
炕	炕	kʰɒ̃423	khaon5		5	423		kh	aon	kʰ	ɒ̃
骯	骯	ɒ̃53	aon1	~三（品质差，令人不快或失望）。	1	53			aon		ɒ̃
肮	肮	ɒ̃53	aon1		1	53			aon		ɒ̃
沆	沆	ɦɒ̃31	ghaon4		4	31		gh	aon	ɦ	ɒ̃
夯	夯	hɒ̃53	haon1		1	53		h	aon	h	ɒ̃
亢	亢	kʰɒ̃423	khaon5		5	423		kh	aon	kʰ	ɒ̃
笐	笐	ɦɒ̃213	ghaon6		6	213		gh	aon	ɦ	ɒ̃
胱	胱	kuɒ̃53	kuaon1		1	53		k	uaon	k	uɒ̃
怳	恍	huɒ̃44	huaon3		3	44		h	uaon	h	uɒ̃
惚	惚	huoʔ5	huoq7		7	5		h	uoq	h	uoʔ
煌	煌	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
璜	璜	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
磺	磺	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
潢	潢	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
徨	徨	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
遑	遑	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
惶	惶	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
幌	幌	ɦuɒ̃31	waon4		4	31		w	aon	ɦ	uɒ̃
篁	篁	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
蝗	蝗	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
隍	隍	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
凰	凰	ɦuɒ̃24	waon2		2	24		w	aon	ɦ	uɒ̃
枉	枉	uɒ̃44	uaon3		3	44			uaon		uɒ̃
魑	魑	tsʰɿ53	tshy1		1	53		tsh	y	tsʰ	ɿ
魅	魅	mᴇ213	mei6		6	213		m	ei	m	ᴇ
魍	魍	mɒ̃31	maon4		4	31		m	aon	m	ɒ̃
魎	魉	liã31	lian4		4	31		l	ian	l	iã
迸	迸	pã423	pan5		5	423		p	an	p	ã
湓	湓	bᴇ̃24	ben2		2	24		b	en	b	ᴇ̃
芬	芬	fᴇ̃53	fen1		1	53		f	en	f	ᴇ̃
汶	汶	vᴇ̃213	ven6		6	213		v	en	v	ᴇ̃
雯	雯	vᴇ̃24	ven2		2	24		v	en	v	ᴇ̃
紊	紊	vᴇ̃213	ven6		6	213		v	en	v	ᴇ̃
蘊	蕴	ɦioŋ213	yon6		6	213		y	on	ɦ	ioŋ
戥	戥	tᴇ̃44	ten3		3	44		t	en	t	ᴇ̃
绐	绐	dæ31	dae4		4	31		d	ae	d	æ
貽	贻	ɦi24	yi2		2	24		y	i	ɦ	i
眙	眙	ɦi24	yi2		2	24		y	i	ɦ	i
迤	迤	ɦi24	yi2		2	24		y	i	ɦ	i
迤	迤	ɦi31	yi4		4	31		y	i	ɦ	i
迆	迆	ɦi24	yi2		2	24		y	i	ɦ	i
迆	迆	ɦi31	yi4		4	31		y	i	ɦ	i
喝	喝	hᴇʔ5	heq7	饮。口语中一般不用。	7	5		h	eq	h	ᴇʔ
褐	褐	ɦᴇʔ23	gheq8		8	23		gh	eq	ɦ	ᴇʔ
邨	邨	tsʰᴇ̃53	tshen1	同“村”。常特指社区，区别传统意义的“村”。	1	53		tsh	en	tsʰ	ᴇ̃
膯	膯	tᴇ̃53	ten1		1	53		t	en	t	ᴇ̃
憕	憕	tᴇ̃423	ten5		5	423		t	en	t	ᴇ̃
謄	誊	dᴇ̃24	den2		2	24		d	en	d	ᴇ̃
瞪	瞪	tᴇ̃423	ten5		5	423		t	en	t	ᴇ̃
瞠	瞠	tsã53	tsan1	【白读】	1	53		ts	an	ts	ã
瞠	瞠	tsʰᴇ̃53	tshen1	【文读】	1	53		tsh	en	tsʰ	ᴇ̃
驐	驐	tᴇ̃53	ten1		1	53		t	en	t	ᴇ̃
豚	豚	dᴇ̃24	den2		2	24		d	en	d	ᴇ̃
飩	饨	dᴇ̃24	den2		2	24		d	en	d	ᴇ̃
沌	沌	dᴇ̃24	den2		2	24		d	en	d	ᴇ̃
囤	囤	dᴇ̃24	den2	~积；~粮。	2	24		d	en	d	ᴇ̃
