来源：	唐爱华 刘玲燕 2015 《东至龙泉方言研究》
tʂʰ	［1］抽初□{扶}［2］仇酬稠绸筹［3］丑楚［5］臭［6］骤助售宙［7］触畜{～牲}
ʂ	［1］梳收［2］锄［3］手首守［5］兽［6］蜀熟寿授受［7］叔
ʐ	［2］柔［7］辱
ts	［1］租邹［3］祖组阻［5］皱绉［7］足卒{～子}
tsʰ	［1］粗［2］愁［6］族［7］促猝
s	［1］酥苏疏蔬飕{₁凉～～}［3］数［5］素诉数嗽{咳～}［6］俗续{继～}［7］速肃宿{住～；星～}塑{₁雕～}
ŋ	［1］殴瓯欧
#iau	
m	［7］□{<没有>}
t	［1］丢［2］流刘留榴{石～}硫{～磺}［3］柳［5］溜{～冰}［6］六陆［7］绿□{黄鼠～：黄鼠狼}
tɕ	［1］纠鬏{～巴儿：发髻}［3］酒九久韭［5］救究［7］菊
tɕʰ	［1］臼{碓～}丘秋袖{₁衫～：袖子}［2］求球囚{～笼}□{蜷曲}［6］旧舅就柩［7］曲{歌～；酒～}
ȵ	［1］扭{～来～去}［2］牛揉［3］纽扭{～紧}［7］肉
ɕ	［1］休修羞［3］朽［5］嗅{～觉}秀绣锈袖{₂～珍；领～}［7］蓄畜{～牧}粟
∅	［1］幽优忧［2］由油游邮［3］酉有友［5］诱幼［6］釉柚{～子}又右佑［7］育郁
#an	
p	［1］般班斑颁［3］板{₂老～}版［5］办{₁～法；何样～}扮
pʰ	［1］潘攀{高～}［2］盘{₃方向～；～子}［5］判叛盼［6］办{₁～公室}
m	［2］蛮馒{～头}［3］□{～～：婶婶}［6］慢漫{₂～长}
f	［1］帆{～船}［2］凡帆{～布}繁［5］泛{～滥}［6］范犯
t	［1］耽丹单{～独}［3］胆掸［5］担{负～}旦
tʰ	［1］贪滩摊［2］潭谭痰檀{～树}坛{₂文～}弹［3］毯坦{草疕～；晒谷～}［5］探叹炭［6］蛋弹{子～}态{₂～度}但
n	［2］男{₂～排}［6］难{苦～}
l	［2］篮［3］览揽榄{橄～}［6］滥
tʂ	［1］毡［5］战颤站{车～}
tʂʰ	［2］馋禅{～师}
ʂ	［1］膻删珊{～瑚}［3］闪陕［6］善单{姓}禅{～让}
ʐ	［3］冉
ts	［1］簪{～子}［3］攒［5］赞{～扬}
tsʰ	［1］参{～加}餐{₂西～}［2］蚕惭{～愧}残［3］惨［5］窜篡灿［6］錾{～子}暂{～时}
s	［5］蒜算{～着：算了}
k	［1］肝{₂～炎}间{₁一～；中～}［3］感敢橄{～榄}［5］鉴{～定}干{～大事；骨～}
kʰ	［1］勘龛{神～}刊看{～守}铅{～笔；～锅儿：铝锅}［3］砍坎槛㦿{～子：窗户}［5］嵌{₂}
ŋ	［1］庵{尼姑～}安鞍淹［5］暗按案［6］雁
x	［2］涵{～洞}含函寒{～假}韩［3］喊［6］撼憾旱焊限陷
#ian	
pʰ	［5］片{₂相～}
t	［3］点{～子}典［5］电{₂～视}奠
tʰ	［6］□{～菜：荠菜}
tɕ	［1］监兼艰间{₂中～}奸［3］检简［5］谏建荐舰
tɕʰ	［1］迁［2］乾{～坤}［3］遣［5］歉倩［6］渐
ȵ	［2］言{₂发～}［6］验谚
ɕ	［1］锨［2］弦衔{军～}闲{空～}［3］显［6］限现
∅	［1］淹{～没}［2］炎延［3］演掩［5］燕宴［6］艳焰{～火：火焰}
#uan	
k	［5］贯罐观{道～}冠{～军}惯
kʰ	［3］款{～待；存～}□{门～：门环}
x	［2］还{～原}环{₂～境}［3］缓［5］汉{男子～}［6］换{变～}患宦幻{～灯}
∅	［2］玩顽丸［3］腕皖晚挽
#yan	
tɕ	［1］绢［5］篆{～刻}
tɕʰ	［1］圈{圆～}［3］犬［6］传{～记}倦
ɕ	［2］旋{～转}玄炫{～耀}［5］绚{～丽}
∅	［1］渊［2］袁援
#en	
p	［1］崩{～溃}奔{～驰}□{把东西装起来：～谷}［3］本［5］笨奔{～命}
pʰ	［1］烹{～调}喷{₃～水}［2］盘{～算}盆彭膨{～胀}
m	［2］门蚊{～虫}明{～朝}［3］蠓{～子儿}［5］闷{～人}［6］问闷{～人；～饭}
f	［1］分［2］坟［3］粉［5］粪喷{₁～雾器}奋愤［6］份□{～大蒜：种大蒜}
t	［1］灯{₂～笼}登［2］□{～胖：很胖}［3］□{墩子：门～}□{颠簸：车～人}［5］瞪顿炖
tʰ	［1］吞［2］豚{一种像鸭子的家禽，有的地方叫鸳鸯鸭}［6］盾囤邓
n	［1］□{～精：柔软，有韧性}［2］能□{～筋：柔软，有韧性}［6］嫩
l	［2］棱{～角}轮伦囵{～砖：整砖}［3］□{濎}［5］愣［6］论{议～}
tʂ	［1］真珍针征正{～月}蒸［3］枕诊整［5］镇震振证症正政
tʂʰ	［1］称{～呼}撑抻{～手：伸手}［2］陈沉成城诚橙乘{～法；～车}承丞［3］惩逞［5］趁衬秤称{相～}［6］阵郑
