t0用字	记音	备注																
拍	pʰia2																	
魄	pʰie2																	
珀	pʰie2																	
粕	pʰie2																	
彭	pʰən2																	
膨	pʰən2																	
白	pie2																	
帛	pie2																	
盲	mɑŋ2																	
虻	mɑŋ2																	
猛	məŋ3																	
蜢	məŋ3																	
孟	məŋ5																	
𢫦	mie2																	
陌	mie2																	
打	ta3																	
冷	lən3																	
撐	ʦʰən1																	
牚	ʦʰən5																	
拆	ʨʰie2																	
㿭	ʨʰie2																	
坼	ʨʰie2																	
澄	ʦʰən2																	
鋥	ʦʰən5																	
䂻	ʦʰən5																	
澤	ʨʰie2																	
擇	ʨʰie2																	
宅	ʨʰie2																	
宅	ʦai2																	
窄	ʨie2																	
鐺	tɑŋ1																	
䜺	ʦʰo2																	
生	sən1																	
牲	sən1																	
笙	sən1																	
甥	sən1																	
省	sən3																	
眚	sən3																	
更	kən1																	
更	ʨin1																	
粳	kən1																	
庚	kən1																	
羹	kən1																	
哽	kən3																	
埂	kən3																	
梗	kən3																	
梗	ŋən3																	
更	kən5																	
格	ke2																	
骼	ke2																	
坑	kʰən1																	
客	kʰe2																	
硬	ŋən5																	
額	ŋe2																	
亨	xən1																	
哼	xən1																	
赫	xe2																	
嚇	xe2																	
行	ɕin2																	
衡	xən2																	
杏	xən5																	
绷	pən1																	
浜	pɑŋ1																	
迸	pən5																	
擘	pie2																	
檗	pie2																	
棚	pʰəŋ2																	
蚌	pɑŋ5																	
萌	məŋ2																	
氓	mɑŋ2																	
麥	mie2																	
脈	mie2																	
摘	ʨie2																	
橙	ʦʰən2																	
争	ʦən1																	
筝	ʦən1																	
筝	tən1																	
睁	ʦʰən1																	
踭	ʦən1																	
責	ʦe2																	
策	ʨʰie2																	
册	ʨʰie2																	
栅	ʨʰie2																	
栅	ʦa5																	
耕	kən1																	
耿	kən3																	
革	ke2																	
隔	ke2																	
嗝	ke2																	
莖	ʨin1																	
莖	kən1																	
幸	ɕin5																	
核	xe2																	
鶯	in1																	
鸚	in1																	
櫻	in1																	
櫻	ŋən1																	
扼	ŋe2																	
軛	ŋe2																	
厄	ŋe2																	
兵	pin1																	
丙	pin3																	
秉	pin3																	
炳	pin3																	
柄	pin3																	
碧	pi2																	
平	pʰin2																	
坪	pʰin2																	
評	pʰin2																	
病	pin5																	
鳴	min2																	
明	min2																	
明	mən2																	
盟	məŋ2																	
皿	min3																	
命	min5																	
京	ʨin1																	
荆	ʨin1																	
驚	ʨin1																	
境	ʨin3																	
景	ʨin3																	
警	ʨin3																	
敬	ʨin5																	
竟	ʨin5																	
鏡	ʨin5																	
戟	ʨi2																	
卿	ʨʰin1																	
慶	ʨʰin5																	
隙	ɕi2																	
擎	ʨʰin2																	
鯨	ʨʰin2																	
鯨	ʨin1																	
競	ʨin5																	
劇	ʨy5																	
屐	ʨʰi2																	
迎	in2																	
逆	ȵi2																	
英	in1																	
影	in3																	
映	in5																	
餅	pin3																	
倂	pʰin1																	
璧	pi2																	
聘	pʰin5																	
僻	pʰi2																	
癖	pʰi2																	
闢	pʰi2																	
名	min2																	
領	lin3																	
嶺	lin3																	
令	lin5																	
精	ʨin1																	
晶	ʨin1																	
睛	ʨin1																	
井	ʨin3																	
積	ʨi2																	
跡	ʨi2																	
脊	ʨi2																	
清	ʨʰin1																	
請	ʨʰin3																	
情	ʨʰin2																	
晴	ʨʰin2																	
	ʨʰin2																	
静	ʨin5																	
靖	ʨin5																	
淨	ʨin5																	
籍	ʨi2																	
藉	ʨi2																	
省	ɕin3																	
性	ɕin5																	
姓	ɕin5																	
惜	ɕi2																	
昔	ɕi2																	
席	ɕi2																	
夕	ɕi2																	
貞	ʦən1																	
禎	ʦən1																	
蟶	ʦʰən1																	
偵	ʦən																	
逞	ʦʰən3																	
呈	ʦʰən2																	
程	ʦʰən2																	
埕	ʦʰən2																	
鄭	ʦən5																	
擲	ʦɿ2																	
正	ʦən1																	
征	ʦən1																	
整	ʦən3																	
正	ʦən5																	
政	ʦən5																	
隻	ʦɿ2																	
炙	ʦɿ2																	
赤	ʦʰɿ2																	
斥	ʦʰɿ2																	
尺	ʦʰɿ2																	
射	ɕie5																	
射	se5																	
聲	sən1																	
聖	sən5																	
適	sɿ2																	
釋	sɿ2																	
成	ʦʰən2																	
城	ʦʰən2																	
誠	ʦʰən2																	
盛	sən2																	
盛	sən5																	
石	sɿ2																	
碩	so2																	
頸	ʨin3																	
頸	kən3																	
勁	ʨin5																	
輕	ʨʰin1																	
嬰	in1																	
纓	in1																	
益	i2																	
溢	i2																	
盈	yn2																	
贏	in2																	
亦	i2																	
譯	i2																	
易	i2																	
液	i2																	
腋	i2																	
壁	pi2																	
姘	pʰin1																	
拼	pʰin1																	
劈	pʰi2																	
霹	pʰi2																	
瓶	pʰin2																	
屏	pʰin2																	
萍	pʰin2																	
並	pin5																	
銘	min2																	
暝	min2																	
覓	mi2																	
丁	tin1																	
釘	tin1																	
靪	tin1																	
疔	tin1																	
盯	tin2																	
叮	tin1																	
頂	tin3																	
鼎	tin3																	
釘	tin5																	
訂	tin5																	
濎	tin5																	
的	ti2																	
的	lɛ1																	
滴	ti2																	
嫡	ti2																	
擿	ti2																	
聽	tʰin1																	
廳	tʰin1																	
汀	tʰin1																	
聽	tʰin5																	
踢	tʰi2																	
剔	tʰi2																	
剔	tʰi1																	
亭	tʰin2																	
停	tʰin2																	
廷	tʰin2																	
庭	tʰin2																	
蜓	tʰin2																	
婷	tʰin2																	
艇	tʰin3																	
挺	tʰin3																	
錠	tin5																	
定	tin5																	
笛	ti2																	
敵	ti2																	
狄	ti2																	
糴	ti2																	
滌	ti2																	
寧	ȵin2																	
擰	ȵin5																	
寧	ȵin5																	
佞	ȵin5																	
溺	ȵi2																	
靈	lin2																	
零	lin2																	
鈴	lin2																	
伶	lin2																	
拎	lin2																	
翎	lin2																	
齡	lin2																	
玲	lin2																	
羚	lin2																	
另	lin5																	
歷	li2																	
曆	li2																	
靂	li2																	
礫	li2																	
績	ʨi2																	
靑	ʨʰin1																	
蜻	ʨʰin1																	
戚	ʨʰi2																	
寂	ʨi2																	
星	ɕin1																	
腥	ɕin1																	
猩	ɕin1																	
醒	ɕin3																	
錫	ɕi2																	
析	ɕi2																	
晰	ɕi2																	
經	ʨin1																	
徑	ʨin5																	
徑	ʨin3																	
經	ʨin5																	
擊	ʨi2																	
激	ʨi2																	
磬	ʨʰin5																	
吃	ʨʰi1																	
吃	ʦʰɿ2																	
馨	ɕin1																	
形	ɕin2																	
型	ɕin2																	
刑	ɕin2																	
陘	ɕin2																	
邢	ɕin2																	
礦	koŋ3																	
礦	kʰuɑŋ5																	
虢	kua2																	
横	xuən2																	
横	xuan2																	
横	xən5																	
摑	kua2																	
蟈	kua2																	
轟	xoŋ1																	
揈	xoŋ1																	
轟	xoŋ5																	
宏	xoŋ2																	
獲	xua2																	
劃	xua2																	
兄	ɕioŋ1																	
榮	yn2																	
永	yn3																	
泳	yn5																	
詠	yn5																	
傾	ʨʰyn3																	
頃	ʨʰyn3																	
檾	ʨʰyn3																	
瓊	ʨʰyn2																	
營	yn2																	
塋	yn2																	
穎	in3																	
疫	iu2																	
役	iu2																	
螢	yn2																	
滎	yn2																	
熒	yn2																	
迥	ʨyn3																	
炯	ʨyn3																	
卜	pu5																	
卜	po2																	
撲	pʰu2																	
醭	pʰu2																	
仆	pʰu2																	
篷	pʰəŋ2																	
蓬	pʰəŋ2																	
埲	pʰəŋ3																	
僕	pʰu2																	
曝	pʰu2																	
瀑	pʰu2																	
蒙	məŋ2																	
懵	məŋ3																	
蠓	məŋ3																	
木	mo2																	
沐	mo2																	
東	toŋ1																	
董	toŋ3																	
懂	toŋ3																	
凍	toŋ5																	
凍	toŋ1																	
棟	toŋ5																	
通	tʰoŋ1																	
熥	tʰoŋ1																	
桶	tʰoŋ3																	
捅	tʰoŋ3																	
捅	tʰoŋ1																	
痛	tʰoŋ5																	
秃	tʰu2																	
同	tʰoŋ2																	
銅	tʰoŋ2																	
桐	tʰoŋ2																	
筒	tʰoŋ2																	
童	tʰoŋ2																	
瞳	tʰoŋ2																	
動	toŋ5																	
桶	toŋ5																	
洞	toŋ5																	
獨	tu2																	
讀	tu2																	
牘	tu2																	
犢	tu2																	
齈	loŋ2																	
籠	loŋ2																	
聾	loŋ1																	
礱	loŋ2																	
攏	loŋ3																	
嚨	loŋ3																	
弄	loŋ1																	
鹿	lu2																	
禄	lu2																	
椶	ʦoŋ1																	
鬃	ʦoŋ1																	
總	ʦoŋ3																	
糉	ʦoŋ5																	
聰	ʦʰoŋ1																	
怱	ʦʰoŋ1																	
葱	ʦʰoŋ1																	
囱	ʦʰoŋ1																	
叢	ʦʰoŋ2																	
族	ʨʰiu2																	
送	soŋ5																	
速	ɕiu2																	
公	koŋ1																	
蚣	koŋ1																	
工	koŋ1																	
功	koŋ1																	
攻	koŋ1																	
貢	koŋ5																	
穀	ku2																	
谷	ko2																	
空	kʰoŋ1																	
孔	kʰoŋ3																	
控	kʰoŋ5																	
空	kʰoŋ5																	
哭	kʰu2																	
烘	xoŋ1																	
哄	xoŋ3																	
紅	xoŋ2																	
洪	xoŋ2																	
鴻	xoŋ2																	
汞	koŋ3																	
閧	xoŋ2																	
斛	fu2																	
翁	uəŋ1																	
塕	uəŋ3																	
甕	uəŋ5																	
齆	uəŋ5																	
屋	vu2																	
冬	toŋ1																	
篤	tu2																	
督	tu2																	
統	tʰoŋ3																	
毒	tu2																	
農	loŋ2																	
膿	loŋ2																	
儂	loŋ2																	
儂	ȵiɑŋ2	训读，指“人”或者第三人称尊称																
宗	ʦoŋ1																	
綜	ʦoŋ1																	
豵	ʦoŋ1																	
鬆	soŋ1																	
宋	soŋ5																	
酷	kʰu2																	
沃	uo2																	
鲎	uo2																	
風	fəŋ1																	
楓	fəŋ1																	
瘋	fəŋ1																	
諷	fəŋ3																	
福	fu2																	
幅	fu2																	
蝠	fu2																	
複	fu2																	
腹	fu2																	
輻	fu2																	
豐	fəŋ1																	
覆	fu2																	
蝮	fu2																	
馮	fəŋ2																	
鳳	fəŋ5																	
服	fu2																	
伏	fu2																	
栿	fu2																	
復	fu2																	
袱	fu2																	
夢	məŋ5																	
目	mo2																	
穆	mu2																	
牧	məŋ2																	
隆	loŋ2																	
窿	loŋ2																	
六	lu2																	
陸	lu2																	
嵩	soŋ1																	
肅	ɕiu2																	
宿	ɕiu2																	
中	ʦoŋ1																	
忠	ʦoŋ1																	
衷	ʦoŋ1																	
中	ʦoŋ5																	
竹	ʦu2																	
築	ʦu2																	
畜	ʦʰu2																	
蟲	ʦʰoŋ2																	
仲	ʦoŋ5																	
逐	ʦu2																	
軸	ʦu2																	
崇	ʦʰoŋ2																	
縮	so2																	
終	ʦoŋ1																	
衆	ʦoŋ5																	
祝	ʦu2																	
粥	ʦu2																	
粥	ʦəu1																	
充	ʦʰoŋ1																	
銃	ʦʰoŋ5																	
叔	su2																	
熟	su2																	
淑	su2																	
戎	zoŋ2																	
絨	zoŋ2																	
肉	zu2																	
肉	zəu5																	
肉	ka3	训读																
弓	koŋ1																	
躬	koŋ1																	
躬	ʨioŋ1																	
宮	koŋ1																	
菊	ʨiu2																	
掬	ʨiu2																	
鞠	ʨiu2																	
麴	ʨʰiu2																	
窮	ʨʰioŋ2																	
嗅	ɕiəu5																	
畜	ɕiu2																	
蓄	ɕiu2																	
蕻	ɕiu2																	
郁	iu2																	
熊	ɕioŋ2																	
雄	ɕioŋ2																	
融	ioŋ2																	
育	iu2																	
封	fəŋ1																	
峯	fəŋ1																	
蜂	fəŋ1																	
鋒	fəŋ1																	
捧	pʰəŋ3																	
逢	fəŋ2																	
縫	fəŋ2																	
奉	fəŋ5																	
俸	fəŋ5																	
縫	fəŋ5																	
濃	loŋ2																	
龍	loŋ2																	
隴	loŋ3																	
壠	loŋ3																	
緑	lu2																	
録	lu2																	
蹤	ʦoŋ1																	
縱	ʦoŋ1																	
縱	ʦoŋ5																	
足	ʨiu2																	
從	ʦʰoŋ2																	
促	ʨʰiu2																	
從	ʦʰoŋ2																	
慫	soŋ3																	
粟	su2																	
松	soŋ1																	
松	soŋ2																	
㞞	soŋ2																	
誦	soŋ5																	
頌	soŋ5																	
訟	soŋ5																	
俗	ɕiu2																	
續	ɕiu2																	
冢	ʦoŋ3																	
寵	ʦʰoŋ3																	
重	ʦʰoŋ2																	
重	ʦoŋ5																	
鐘	ʦoŋ1																	
鍾	ʦoŋ1																	
盅	ʦoŋ1																	
種	ʦoŋ3																	
腫	ʦoŋ3																	
種	ʦoŋ5																	
燭	ʦo2																	
囑	ʦu2																	
衝	ʦʰoŋ1																	
觸	ʦu2																	
贖	ɕiu2																	
舂	ʦʰoŋ1																	
束	ʦʰo2																	
鱅	soŋ2																	
蜀	su2																	
屬	su2																	
茸	zoŋ2																	
冗	zoŋ3																	
氄	zoŋ3																	
辱	zu2																	
褥	zu2																	
恭	koŋ1																	
供	koŋ1																	
龔	koŋ1																	
龔	ʨioŋ1																	
拱	koŋ3																	
鞏	koŋ3																	
供	koŋ5																	
供	ʨioŋ1																	
鋦	ʨiu2																	
恐	kʰoŋ3																	
曲	ʨʰiu2																	
共	koŋ5																	
局	ʨiu2																	
玉	y5																	
獄	iu2																	
胸	ɕioŋ1																	
匈	ɕioŋ1																	
凶	ɕioŋ1																	
兇	ɕioŋ1																	
雍	ioŋ1																	
癰	ioŋ1																	
痈	ioŋ1																	
擁	ioŋ3																	
壅	ioŋ5																	
容	ioŋ2																	
蓉	ioŋ2																	
鎔	ioŋ2																	
庸	ioŋ1																	
溶	ioŋ2																	
甬	ioŋ3																	
勇	ioŋ3																	
湧	ioŋ3																	
恿	ioŋ3																	
踊	ioŋ3																	
蛹	ioŋ3																	
用	ioŋ5																	
欲	iu2																	
慾	iu2																	
浴	iu2																	
驁	ŋɑu1																	
