繁體	简体	聲韻	聲調	注釋			
派	派	pʰa	55				
漂	漂	pʰiɔ	55	～亮			
炮	炮	pʰɔ	55				
片	片	pʰie	55				
盼	盼	pʰɛ	55				
破	破	pʰo	55				
票	票	pʰiɔ	55				
聘	聘	pʰiɪŋ	55				
胖	胖	pʰɔ̃	55				
襻	襻	pʰɛ	55				
譬	譬	pʰi	55				
配	配	pʰe	55				
騙	骗	pʰie	55				
倒	倒	tɔ	55	～水			
凍	冻	toŋ	55				
凳	凳	təŋ	55				
到	到	tɔ	55				
剁	剁	to	55				
吊	吊	tiɔ	55				
妒	妒	tu	55				
對	对	te	55				
帝	帝	ti	55				
帶	带	ta	55				
店	店	tie	55				
戴	戴	ta	55	～帽子			
戴	戴	te	55	姓；愛～			
掭	掭	tie	55				
擔	担	tɛ	55	挑～			
斷	断	tø	55	判～			
旦	旦	tɛ	55				
棟	栋	toŋ	55				
澄	澄	tiɪŋ	55	水渾，～一～			
當	当	tɔ̃	55	～作，典～			
瞪	瞪	təŋ	55				
碓	碓	te	55				
訂	订	tiɪŋ	55				
釣	钓	tiɔ	55				
鍛	锻	tø	55				
鐙	镫	təŋ	55				
頓	顿	təŋ	55				
鬥	斗	tɤ	55				
兔	兔	tʰu	55				
剃	剃	tʰi	55				
吐	吐	tʰu	55	嘔吐			
唾	唾	tʰu	55				
套	套	tʰɔ	55				
屜	屉	tʰi	55				
態	态	tʰe	55				
探	探	tʰø	55				
替	替	tʰi	55				
歎	叹	tʰɛ	55				
涕	涕	tʰi	55				
炭	炭	tʰɛ	55				
燙	烫	tʰɔ̃	55				
痛	痛	tʰoŋ	55				
糶	粜	tʰiɔ	55				
蛻	蜕	tʰe	55				
褪	褪	tʰəŋ	55				
趟	趟	tʰɔ̃	55				
跳	跳	tʰiɔ	55				
退	退	tʰe	55				
透	透	tʰɤ	55				
假	假	cia	55	文讀，放假			
價	价	cia	55	文讀			
冀	冀	ci	55				
券	券	cyø	55				
劍	剑	cie	55				
勁	劲	ciɪŋ	55				
卷	卷	cyø	55				
句	句	cy	55				
叫	叫	ciɔ	55				
嫁	嫁	cia	55	文讀			
季	季	cy	55				
寄	寄	ci	55				
建	建	cie	55				
徑	径	ciɪŋ	55				
救	救	ciɤu	55				
敬	敬	ciɪŋ	55				
既	既	ci	55				
架	架	cia	55	文讀			
校	校	ciɔ	55	文讀，～對			
桂	桂	cy	55				
眷	眷	cyø	55				
稼	稼	cia	55	文讀			
究	究	ciɤu	55				
窖	窖	ciɔ	55	文讀			
系	系	ci	55	系鞋帶			
紀	纪	ci	55				
絹	绢	cyø	55				
經	经	ciɪŋ	55	～緯			
繼	继	ci	55				
見	见	cie	55				
覺	觉	ciɔ	55	文讀，睡～			
計	计	ci	55				
記	记	ci	55				
貴	贵	cy	55				
鋸	锯	cy	55	文讀			
鏡	镜	ciɪŋ	55				
駕	驾	cia	55	文讀			
髻	髻	ci	55				
勸	劝	cʰyø	55				
去	去	cʰy	55	文讀			
器	器	cʰi	55				
契	契	cʰi	55				
慶	庆	cʰiɪŋ	55				
棄	弃	cʰi	55				
欠	欠	cʰie	55				
歉	歉	cʰie	55				
氣	气	cʰi	55				
汽	汽	cʰi	55				
竅	窍	cʰiɔ	55				
丐	丐	ke	55				
介	介	ka	55				
個	个	ke	55	量詞			
假	假	ko	55	白讀，～期			
價	价	ko	55	白讀			
冠	冠	kuø	55	～軍			
劊	刽	kue	55				
勾	勾	kɤ	55	～當			
卦	卦	kua	55				
告	告	kɔ	55				
夠	够	kɤ	55				
嫁	嫁	ko	55	白讀			
尬	尬	ka	55				
屆	届	ka	55				
幹	干	kø	55				
怪	怪	kua	55				
慣	惯	kue	55				
戒	戒	ka	55				
掛	挂	kua	55				
會	会	kue	55	～計			
杠	杠	kɔ̃	55				
架	架	ko	55	白讀			
校	校	kɔ	55	白讀，～對			
桄	桄	kɔ̃	55				
棍	棍	kuəŋ	55				
概	概	ke	55				
構	构	kɤ	55				
檜	桧	kue	55				
溉	溉	ke	55				
澗	涧	kɛ	55				
灌	灌	kuø	55				
界	界	ka	55				
疥	疥	ka	55				
稼	稼	ko	55	白讀			
窖	窖	kɔ	55	白讀			
繪	绘	kue	55				
罐	罐	kuø	55				
芥	芥	ka	55				
蓋	盖	ke	55				
覺	觉	kɔ	55	白讀，睡～			
觀	观	kuø	55	寺～			
諫	谏	kɛ	55				
貢	贡	koŋ	55				
貫	贯	kue	55				
購	购	kɤ	55				
鋸	锯	ke	55	白讀			
鐧	锏	kɛ	55				
鑒	鉴	kɛ	55				
降	降	kɔ̃	55				
駕	驾	ko	55	白讀			
勘	勘	kʰø	55				
去	去	kʰe	55	白讀			
囥	囥	kʰɔ̃	55	藏			
困	困	kʰuəŋ	55				
塊	块	kʰue	55				
寇	寇	kʰɤ	55				
庫	库	kʰu	55				
快	快	kʰua	55				
愧	愧	kʰue	55				
慨	慨	kʰe	55				
扣	扣	kʰɤ	55				
抗	抗	kʰɔ̃	55				
控	控	kʰoŋ	55				
揢	揢	kʰo	55				
曠	旷	kʰɔ̃	55				
炕	炕	kʰã	55				
犒	犒	kʰɔ	55				
看	看	kʰø	55				
礦	矿	kʰɔ̃	55				
筷	筷	kʰua	55				
褲	裤	kʰu	55				
課	课	kʰo	55				
跨	跨	kʰua	55				
靠	靠	kʰɔ	55				
付	付	fu	55				
副	副	fu	55				
吠	吠	fi	55				
富	富	fu	55				
廢	废	fi	55				
放	放	fɔ̃	55				
泛	泛	fɛ	55				
痱	痱	fi	55				
翡	翡	fi	55				
肺	肺	fi	55				
訃	讣	fu	55				
訪	访	fɔ̃	55				
諷	讽	foŋ	55				
販	贩	fɛ	55				
費	费	fi	55				
賦	赋	fu	55				
赴	赴	fu	55				
乍	乍	tso	55				
佐	佐	tso	55				
做	做	tso	55				
債	债	tsa	55				
再	再	tse	55				
只	只	tsɿ	55	文讀，只有			
壯	壮	tsɔ̃	55	文讀			
奏	奏	tsɤ	55				
志	志	tsɿ	55				
智	智	tsɿ	55				
最	最	tse	55				
榨	榨	tso	55				
灒	灒	tsɛ	55	濺			
灶	灶	tsɔ	55				
炸	炸	tso	55				
痣	痣	tsɿ	55				
瘴	瘴	tsɔ̃	55				
皺	皱	tsɤ	55				
笊	笊	tsɔ	55				
粽	粽	tsoŋ	55				
縐	绉	tsɤ	55				
纂	纂	tsø	55				
罩	罩	tsɔ	55				
置	置	tsɿ	55				
至	至	tsɿ	55				
致	致	tsɿ	55				
葬	葬	tsɔ̃	55				
蔗	蔗	tso	55				
蘸	蘸	tsɛ	55				
詐	诈	tso	55				
贊	赞	tsɛ	55				
躁	躁	tsɔ	55				
載	载	tse	55				
障	障	tsɔ̃	55				
侈	侈	tsʰɿ	55				
倡	倡	tsʰɔ̃	55				
刺	刺	tsʰɿ	55				
創	创	tsʰɔ̃	55				
厠	厠	tsʰɿ	55				
唱	唱	tsʰɔ̃	55				
寸	寸	tsʰəŋ	55				
岔	岔	tsʰo	55				
措	措	tsʰu	55				
次	次	tsʰɿ	55				
湊	凑	tsʰɤ	55				
燦	灿	tsʰɛ	55				
竄	窜	tsʰø	55				
篡	篡	tsʰø	55				
粹	粹	tsʰe	55				
糙	糙	tsʰɔ	55				
綜	综	tsʰoŋ	55	織布機上的～			
翅	翅	tsʰɿ	55				
翠	翠	tsʰe	55				
菜	菜	tsʰe	55				
蔡	蔡	tsʰa	55				
襯	衬	tsʰəŋ	55				
醋	醋	tsʰu	55				
銼	锉	tsʰo	55				
錯	错	tsʰo	55				
伺	伺	sɿ	55				
嗽	嗽	sɤ	55				
四	四	sɿ	55				
塑	塑	su	55				
宋	宋	soŋ	55				
帥	帅	se	55				
散	散	sɛ	55	分～			
數	数	su	55	名詞			
曬	晒	sa	55	文讀			
曬	晒	so	55	白讀			
疝	疝	sɛ	55				
瘦	瘦	sɤ	55				
碎	碎	se	55				
算	算	sø	55				
素	素	su	55				
絮	絮	sɿ	55	白讀			
肆	肆	sɿ	55				
舍	舍	so	55				
蒜	蒜	sø	55				
訴	诉	su	55				
試	试	sɿ	55				
賜	赐	sɿ	55				
賽	赛	se	55				
赦	赦	so	55				
送	送	soŋ	55				
遜	逊	səŋ	55				
中	中	tɕyoŋ	55	射～			
俊	俊	tɕyøŋ	55				
借	借	tɕia	55				
制	制	tɕi	55				
劑	剂	tɕi	55				
咒	咒	tɕiɤu	55				
壯	壮	tɕiɔ̃	55	白讀			
帳	帐	tɕiã	55				
戰	战	tɕie	55				
振	振	tɕiɪŋ	55				
政	政	tɕiɪŋ	55				
晉	晋	tɕiɪŋ	55				
晝	昼	tɕiɤu	55				
正	正	tɕiɪŋ	55				
注	注	tɕy	55				
浸	浸	tɕiɪŋ	55				
濟	济	tɕi	55				
照	照	tɕiɔ	55				
症	症	tɕiɪŋ	55				
祭	祭	tɕi	55				
種	种	tɕyoŋ	55	～樹			
箭	箭	tɕie	55				
綴	缀	tɕy	55				
脹	胀	tɕiã	55				
著	着	tɕy	55				
薦	荐	tɕie	55				
蛀	蛀	tɕy	55				
衆	衆	tɕyoŋ	55				
證	证	tɕiɪŋ	55				
賬	账	tɕiã	55				
贅	赘	tɕy	55				
進	进	tɕiɪŋ	55				
醉	醉	tɕy	55				
醬	酱	tɕiã	55				
鎮	镇	tɕiɪŋ	55				
鑄	铸	tɕy	55				
際	际	tɕi	55				
震	震	tɕiɪŋ	55				
顫	颤	tɕie	55				
駐	驻	tɕy	55				
串	串	tɕʰyø	55				
俏	俏	tɕʰiɔ	55				
撳	揿	tɕʰiɪŋ	55	按			
暢	畅	tɕʰiã	55				
砌	砌	tɕʰi	55				
秤	秤	tɕʰiɪŋ	55				
笡	笡	tɕʰia	55	斜			
脆	脆	tɕʰy	55				
臭	臭	tɕʰiɤu	55				
處	处	tɕʰy	55				
親	亲	tɕʰiɪŋ	55	～家			
趁	趁	tɕʰiɪŋ	55				
趣	趣	tɕʰy	55				
銃	铳	tɕʰyoŋ	55	放～			
世	世	ɕi	55				
信	信	ɕiɪŋ	55				
勝	胜	ɕiɪŋ	55				
勢	势	ɕi	55				
卸	卸	ɕia	55				
姓	姓	ɕiɪŋ	55				
婿	婿	ɕi	55				
庶	庶	ɕy	55				
性	性	ɕiɪŋ	55				
恕	恕	ɕy	55				
戍	戍	ɕy	55				
扇	扇	ɕie	55				
歲	岁	ɕy	55				
殉	殉	ɕyøŋ	55				
瀉	泻	ɕia	55				
獸	兽	ɕiɤu	55				
相	相	ɕiã	55	～貌			
秀	秀	ɕiɤu	55				
稅	税	ɕy	55				
笑	笑	ɕiɔ	55				
細	细	ɕi	55				
絮	絮	ɕy	55	文讀			
線	线	ɕie	55				
繡	绣	ɕiɤu	55				
聖	圣	ɕiɪŋ	55				
舜	舜	ɕyøŋ	55				
訊	讯	ɕiɪŋ	55				
迅	迅	ɕiɪŋ	55				
鏽	锈	ɕiɤu	55				
鞘	鞘	ɕiɔ	55				
向	向	çiã	55				
憲	宪	çie	55				
戲	戏	çi	55				
楦	楦	çyø	55				
況	况	çiɔ̃	55				
獻	献	çie	55				
訓	训	çyøŋ	55				
釁	衅	çiɪŋ	55				
化	化	hua	55				
喚	唤	huø	55				
好	好	hɔ	55	愛～			
孝	孝	hɔ	55				
悔	悔	hue	55				
戽	戽	hu	55				
晦	晦	hue	55				
漢	汉	hø	55				
煥	焕	huø	55				
穢	秽	hue	55				
耗	耗	hɔ	55				
莧	苋	hɛ	55				
貨	货	ho	55				
酵	酵	hɔ	55				
妹	妹	ʔme	55				
悶	闷	ʔməŋ	55				
昧	昧	ʔme	55				
閉	闭	ʔmi	55	白讀			
膩	腻	ʔȵi	55				
亞	亚	o	55				
億	亿	i	55				
印	印	iɪŋ	55				
厭	厌	ie	55				
咽	咽	ie	55				
堰	堰	ie	55				
壅	壅	yoŋ	55	施肥			
奧	奥	ɔ	55				
幼	幼	iɤu	55				
怨	怨	yø	55				
意	意	i	55				
愛	爱	e	55				
慪	怄	ɤ	55				
慰	慰	y	55				
憶	忆	i	55				
應	应	iɪŋ	55				
懊	懊	ɔ	55				
按	按	ø	55				
映	映	iɪŋ	55				
晏	晏	ɛ	55	晚			
暗	暗	ø	55				
案	案	ø	55				
漚	沤	ɤ	55				
燕	燕	ie	55	～子			
畏	畏	ue	55				
蔭	荫	iɪŋ	55	～涼			
藹	蔼	e	55				
要	要	iɔ	55				
隘	隘	a	55				
僕	仆	boʔ	2				
別	别	biɪʔ	2				
勃	勃	bəʔ	2				
帛	帛	baʔ	2				
拔	拔	bɛʔ	2				
泊	泊	bɔʔ	2				
瀑	瀑	boʔ	2	～布			
白	白	baʔ	2				
薄	薄	baʔ	2	～荷			
薄	薄	boʔ	2	～荷			
薄	薄	bɔʔ	2				
鈸	钹	bəʔ	2				
雹	雹	boʔ	2				
餑	饽	bəʔ	2				
鼻	鼻	biɪʔ	2				
奪	夺	dəʔ	2				
捷	捷	diɪʔ	2				
敵	敌	diɪʔ	2				
毒	毒	doʔ	2				
牒	牒	diɪʔ	2				
牘	牍	doʔ	2				
特	特	dəʔ	2				
犢	犊	doʔ	2				
狄	狄	diɪʔ	2				
獨	独	doʔ	2				
疊	叠	diɪʔ	2				
碟	碟	diɪʔ	2				
突	突	dəʔ	2				
笛	笛	diɪʔ	2				
糴	籴	diɪʔ	2				
蝶	蝶	diɪʔ	2				
諜	谍	diɪʔ	2				
讀	读	doʔ	2				
踏	踏	dɛʔ	2				
踱	踱	dɔʔ	2				
達	达	dɛʔ	2				
遝	沓	dɛʔ	2				
鐸	铎	dɔʔ	2				
傑	杰	ɟiɪʔ	2				
劇	剧	ɟiaʔ	2				
及	及	ɟiɪʔ	2				
局	局	ɟyoʔ	2				
掘	掘	ɟyøʔ	2				
極	极	ɟiɪʔ	2				
軋	轧	gaʔ	2	～棉花			
乏	乏	vɛʔ	2				
伏	伏	voʔ	2				
伐	伐	vɛʔ	2				
佛	佛	vəʔ	2				
服	服	voʔ	2				
物	物	vəʔ	2	文讀			
筏	筏	vɛʔ	2				
縛	缚	vɔʔ	2				
罰	罚	vɛʔ	2				
宅	宅	dzaʔ	2				
擇	择	dzaʔ	2				
澤	泽	dzaʔ	2				
族	族	zoʔ	2				
昨	昨	zɔʔ	2				
炸	炸	zɛʔ	2	用油～			
賊	贼	zəʔ	2				
鍘	铡	zɛʔ	2				
鑿	凿	zɔʔ	2				
閘	闸	zɛʔ	2				
雜	杂	zəʔ	2				
侄	侄	dʑiɪʔ	2				
值	值	dʑiɪʔ	2				
寂	寂	dʑiɪʔ	2				
徹	彻	dʑiɪʔ	2				
撤	撤	dʑiɪʔ	2				
擲	掷	dʑiɪʔ	2				
朮	朮	dʑyøʔ	2	白～，蒼～			
植	植	dʑiɪʔ	2				
殖	殖	dʑiɪʔ	2				
濁	浊	dʑiɔʔ	2				
直	直	dʑiɪʔ	2				
秩	秩	dʑiɪʔ	2				
著	着	dʑiaʔ	2	睡～			
蟄	蛰	dʑiɪʔ	2				
軸	轴	dʑyoʔ	2				
轍	辙	dʑiɪʔ	2				
逐	逐	dʑyoʔ	2				
鐲	镯	dʑiɔʔ	2				
什	什	ʑiɪʔ	2	～物			
入	入	ʑiɪʔ	2				
十	十	ʑiɪʔ	2				
嚼	嚼	ʑiaʔ	2				
夕	夕	ʑiɪʔ	2				
實	实	ʑiɪʔ	2				
屬	属	ʑyoʔ	2				
席	席	ʑiɪʔ	2				
席	席	ʑiɪʔ	2	～子			
弱	弱	ʑiaʔ	2				
惹	惹	ʑiaʔ	2				
截	截	ʑiɪʔ	2				
拾	拾	ʑiɪʔ	2				
捷	捷	ʑiɪʔ	2				
涉	涉	ʑiɪʔ	2				
淑	淑	ʑyoʔ	2				
熟	熟	ʑyoʔ	2				
疾	疾	ʑiɪʔ	2				
石	石	ʑiɪʔ	2				
籍	籍	ʑiɪʔ	2				
絶	絶	ʑyøʔ	2				
續	续	ʑyoʔ	2				
習	习	ʑiɪʔ	2				
舌	舌	ʑiɪʔ	2				
若	若	ʑiaʔ	2				
藉	藉	ʑiɪʔ	2				
蜀	蜀	ʑyoʔ	2				
蝕	蚀	ʑiɪʔ	2				
術	术	ʑyøʔ	2				
褥	褥	ʑyoʔ	2				
襲	袭	ʑiɪʔ	2				
贖	赎	ʑyoʔ	2				
辱	辱	ʑyoʔ	2				
述	述	ʑyøʔ	2				
集	集	ʑiɪʔ	2				
食	食	ʑiɪʔ	2				
亦	亦	ɦiɪʔ	2				
俗	俗	ɦyoʔ	2				
劃	划	ɦuaʔ	2				
匣	匣	ɦəʔ	2	箱～			
協	协	ɦiɪʔ	2				
合	合	ɦəʔ	2				
哈	哈	ɦəʔ	2				
域	域	ɦoʔ	2				
學	学	ɦɔʔ	2				
役	役	ɦyoʔ	2				
悅	悦	ɦiaʔ	2				
惑	惑	ɦoʔ	2				
或	或	ɦoʔ	2				
易	易	ɦiɪʔ	2	交～			
曰	曰	ɦiaʔ	2				
核	核	ɦɛʔ	2				
欲	欲	ɦyoʔ	2				
活	活	ɦuəʔ	2				
洽	洽	ɦəʔ	2				
洽	洽	ɦɛʔ	2				
浴	浴	ɦyoʔ	2				
液	液	ɦiɪʔ	2				
滑	滑	ɦuɛʔ	2				
狹	狭	ɦɛʔ	2				
猾	猾	ɦuɛʔ	2				
獲	获	ɦuaʔ	2				
疫	疫	ɦyoʔ	2				
盒	盒	ɦəʔ	2				
穴	穴	ɦiaʔ	2				
粵	粤	ɦiaʔ	2				
翼	翼	ɦiɪʔ	2				
育	育	ɦyoʔ	2				
腋	腋	ɦiɪʔ	2				
葉	叶	ɦiɪʔ	2				
藥	药	ɦiaʔ	2				
譯	译	ɦiɪʔ	2				
越	越	ɦiaʔ	2				
躍	跃	ɦiaʔ	2				
轄	辖	ɦɛʔ	2				
逸	逸	ɦiɪʔ	2				
鑊	镬	ɦɔʔ	2	鍋			
鑰	钥	ɦiaʔ	2				
閲	閲	ɦiaʔ	2				
頁	页	ɦiɪʔ	2				
墨	墨	moʔ	2				
密	密	miɪʔ	2				
寞	寞	mɔʔ	2				
幕	幕	mɔʔ	2				
抹	抹	məʔ	2				
摸	摸	mɔʔ	2				
木	木	moʔ	2				
末	末	məʔ	2				
栢	栢	maʔ	2	打			
沒	没	məʔ	2				
沫	沫	məʔ	2				
滅	灭	miɪʔ	2				
牧	牧	moʔ	2				
物	物	məʔ	2	白讀			
目	目	moʔ	2				
穆	穆	moʔ	2				
篾	篾	miɪʔ	2				
脈	脉	maʔ	2				
膜	膜	mɔʔ	2				
莫	莫	mɔʔ	2				
蜜	蜜	miɪʔ	2				
襪	袜	mɛʔ	2				
覓	觅	miɪʔ	2				
陌	陌	maʔ	2				
麥	麦	maʔ	2				
默	默	moʔ	2				
捺	捺	nɛʔ	2				
納	纳	nəʔ	2				
諾	诺	nɔʔ	2				
匿	匿	ȵiaʔ	2				
孽	孽	ȵiɪʔ	2				
捏	捏	ȵiɪʔ	2				
日	日	ȵiɪʔ	2				
月	月	ȵyøʔ	2				
業	业	ȵiɪʔ	2				
溺	溺	ȵiaʔ	2				
熱	热	ȵiɪʔ	2				
獄	狱	ȵyoʔ	2				
玉	玉	ȵyoʔ	2				
箬	箬	ȵiaʔ	2				
聶	聂	ȵiɪʔ	2				
肉	肉	ȵyoʔ	2				
虐	虐	ȵiaʔ	2				
躡	蹑	ȵiɪʔ	2				
逆	逆	ȵiɪʔ	2				
鑷	镊	ȵiɪʔ	2				
嶽	岳	ŋɔʔ	2				
樂	乐	ŋɔʔ	2	音～			
鄂	鄂	ŋɔʔ	2				
額	额	ŋaʔ	2				
鶴	鹤	ŋɔʔ	2				
例	例	liɪʔ	2				
六	六	loʔ	2				
列	列	liɪʔ	2				
力	力	liɪʔ	2				
劣	劣	liɪʔ	2				
勒	勒	ləʔ	2				
律	律	ləʔ	2				
捋	捋	ləʔ	2				
掠	掠	liaʔ	2				
曆	历	liɪʔ	2				
栗	栗	liɪʔ	2				
樂	乐	lɔʔ	2				
洛	洛	lɔʔ	2				
烈	烈	liɪʔ	2				
烙	烙	lɔʔ	2				
獵	猎	liɪʔ	2				
率	率	ləʔ	2	速～			
略	略	liaʔ	2				
瘌	瘌	lɛʔ	2				
祿	禄	loʔ	2				
立	立	liɪʔ	2				
絡	络	lɔʔ	2				
緑	緑	loʔ	2				
肋	肋	lɛʔ	2				
臘	腊	lɛʔ	2				
落	落	lɔʔ	2				
蠟	蜡	lɛʔ	2				
裂	裂	liɪʔ	2				
辣	辣	lɛʔ	2				
酪	酪	lɔʔ	2				
録	録	loʔ	2				
镴	镴	lɛʔ	2				
陸	陆	loʔ	2				
駱	骆	lɔʔ	2				
鹿	鹿	loʔ	2				
