字表	聲母	韻母	聲調		序號
叱	tsʰ	əʔ	7		782
斥	tsʰ	aʔ	7		2571
斥	tsʰ	əʔ	7		2572
赤	tsʰ	aʔ	7		6183
翅	tsʰ	ɿ	5		4888
敕	tsʰ	əʔ	7		2534
飭	tsʰ	əʔ	7		7232
飭	tsʰ	əʔ	7		7271
冲	tsʰ	oŋ	1		473
充	tsʰ	oŋ	1		413
沖	tsʰ	oŋ	1		3197
忡	tsʰ	oŋ	1		1906
舂	tsʰ	oŋ	1		5110
衝	tsʰ	oŋ	1		5628
憧	tsʰ	oŋ	1		2067
虫	z	oŋ	6		5472
崇	z	oŋ	6		1638
蟲	z	oŋ	6		5595
寵	tsʰ	oŋ	5		1471
寵	tsʰ	oŋ	5		1521
銃	tsʰ	oŋ	5		6630
銃	tsʰ	oŋ	5		6796
抽	tsʰ	ɤ	1		2200
仇	z	ɤ	6		135
仇	dʑ	iɤ	6		136
酬	z	ɤ	6		6548
稠	z	ɤ	6		4356
愁	z	ɤ	6		2018
綢	z	ɤ	6		4649
綢	z	ɤ	6		4805
儔	z	ɤ	6		293
儔	z	ɤ	6		392
疇	z	ɤ	6		3933
疇	z	ɤ	6		3940
籌	z	ɤ	6		4480
籌	z	ɤ	6		4536
躊	z	ɤ	6		6239
躊	z	ɤ	6		6279
丑	tsʰ	ɤ	5		14
醜	tsʰ	ɤ	5		6567
臭	tsʰ	ɤ	5		5102
出	tsʰ	əʔ	7		508
初	tsʰ	uᵝ	1		529
除	z	ɿ	6		6994
鋤	z	uᵝ	6		6650
鋤	z	ɿ	6		6651
鋤	z	uᵝ	6		6807
鋤	z	ɿ	6		6808
廚	z	ɿ	6		730
廚	z	ɿ	6		1787
躇	z	ɿ	6		6277
雛	z	ɿ	6		7042
雛	z	ɿ	6		7046
檣	z	iã	6		3003
櫥	z	ɿ	6		3004
檣	z	iã	6		3028
櫥	z	ɿ	6		3029
楚	tsʰ	uᵝ	5		2925
褚	tsʰ	ɿ	5		5692
儲	z	ɿ	6		358
儲	z	ɿ	6		398
礎	tsʰ	uᵝ	5		4221
礎	tsʰ	uᵝ	5		4272
怵	tsʰ	əʔ	7		1940
畜	ɕ	ioʔ	7		3919
畜	tsʰ	oʔ	7		3921
處	tsʰ	ɿ	5		1229
處	tsʰ	ɿ	5		5463
黜	tsʰ	əʔ	7		7646
觸	tsʰ	oʔ	7		5751
觸	tsʰ	oʔ	7		5752
矗	tsʰ	oʔ	7		4179
揣	tsʰ	ø	1		2366
啜	tsʰ	əʔ	7		938
川	tsʰ	ø	1		1664
穿	tsʰ	ø	1		4387
船	z	ø	6		5135
椽	z	ø	6		2919
傳	z	ø	6		196
傳	z	ø	6		362
喘	tsʰ	ø	5		960
串	tsʰ	ø	1		42
串	tsʰ	ø	5		43
釧	tsʰ	ø	5		6598
釧	tsʰ	ø	5		6744
窗	tsʰ	ɑ̃	1		4396
瘡	tsʰ	ɑ̃	1		3961
瘡	tsʰ	ɑ̃	1		4010
牀	z	ɑ̃	6		1753
幢	z	ɑ̃	6		1728
闖	tsʰ	ɑ̃	5		6905
闖	tsʰ	ɑ̃	5		6916
創	tsʰ	ɑ̃	5		528
創	tsʰ	ɑ̃	5		578
愴	tsʰ	ɑ̃	5		1922
愴	tsʰ	ɑ̃	5		2031
吹	tsʰ	ø	1		831
吹-	tsʰ	ɿ	1		832
炊	tsʰ	ø	1		3561
炊	tsʰ	ɿ	1	~飯，俗作“粢”	
垂	z	ø	6		1129
陲	z	ø	6		7000
槌	z	ø	6		2957
錘	z	ø	6		6660
錘	z	ø	6		6827
春	tsʰ	əŋ	1		2623
椿	tsʰ	əŋ	1		2920
唇	z	əŋ	6		914
純	z	əŋ	6		4604
純	z	əŋ	6		4743
淳	z	əŋ	6		3345
醇	z	əŋ	6		6558
鶉	z	əŋ	6		7553
鶉	z	əŋ	6		7600
蠢	tsʰ	əŋ	5		5606
戳	tsʰ	oʔ	7		2125
綽	tsʰ	aʔ	7		4662
綽	tsʰ	aʔ	7		4663
綽	tsʰ	a	5		4664
綽	tsʰ	aʔ	7		4796
綽	tsʰ	aʔ	7		4797
綽	tsʰ	a	5		4798
輟	tsʰ	oʔ	7		6314
輟	tsʰ	oʔ	7		6356
擉	tsʰ	oʔ	7		2472
齪	tsʰ	oʔ	7		7677
齪	tsʰ	oʔ	7		7687
疵	tsʰ	ɿ	1		3966
跐	tsʰ	ɿ	5		6218
祠	z	ɿ	6		4294
瓷	z	ɿ	6		3886
詞	z	ɿ	6		5788
詞	z	ɿ	6		5949
慈	z	ɿ	6		2036
磁	z	ɿ	6		4252
雌	tsʰ	ɿ	1		7040
糍	z	ɿ	6		4573
辭	z	ɿ	6		6369
辭	z	ɿ	6		6377
此	tsʰ	ɿ	1		3063
次	tsʰ	ɿ	5		3043
伺	z	ɿ	6		208
刺	l	aʔ	8		546
刺	tsʰ	ɿ	5		547
賜	s	ɿ	5		6095
賜	s	ɿ	5		6169
匆	tsʰ	oŋ	1		642
囪	tsʰ	oŋ	1		1064
囱	tsʰ	oŋ	1		1068
葱	tsʰ	oŋ	1		5339
蔥	tsʰ	oŋ	1		5379
樅	ts	oŋ	1		2777
樅	ts	oŋ	1		2970
聰	tsʰ	oŋ	1		4944
聰	tsʰ	oŋ	1		4946
从	z	oŋ	6		142
从	tsʰ	oŋ	1	~容	143
從	z	oŋ	6		1876
從	tsʰ	oŋ	1		1877
叢	z	oŋ	6		24
叢	z	oŋ	6		766
湊	tsʰ	ɤ	5		490
湊	tsʰ	ɤ	5		3381
腠	tsʰ	ɤ	5		5051
粗	tsʰ	uᵝ	1		4551
促	tsʰ	oʔ	7		278
猝	tsʰ	əʔ	7		3760
醋	tsʰ	uᵝ	5		6560
簇	tsʰ	oʔ	7		4522
蹙	ts	oʔ	7		6260
蹴	tsʰ	oʔ	7		6268
汆	tsʰ	ø	1		3157
攛	tsʰ	ø	1		2463
攛	tsʰ	ø	1		2509
躥	tsʰ	ø	1		6273
躥	tsʰ	ø	1		6284
篡	tsʰ	ø	5		4510
竄	tsʰ	ø	1		4399
竄	tsʰ	ø	1		4414
崔	tsʰ	ø	1		1640
催	tsʰ	ø	1		359
摧	tsʰ	ø	1		2420
脆	tsʰ	ø	5		5021
萃	z	ø	6		5303
啐	tsʰ	ᴇ	5		935
淬	tsʰ	ø	5		3342
悴	z	ø	6		1988
瘁	z	ø	6		3999
粹	z	ø	6		4567
翠	tsʰ	ø	5		4896
