武義同音字表							
简体	繁體	吳拼	IPA	备注			
另	另	lin6	lin31				
轮	輪	lin	lin21	~盤：輪子			
今	今	cin1	ʨin24				
金	金	cin1	ʨin24				
襟	襟	cin1	ʨin24				
巾	巾	cin1	ʨin24				
筋	筋	cin1	ʨin24				
征	徵	cin1	ʨin24				
惩	懲	cin1	ʨin24				
蒸	蒸	cin1	ʨin24				
京	京	cin1	ʨin24				
荆	荊	cin1	ʨin24				
精	精	cin1	ʨin24				
晶	晶	cin1	ʨin24				
经	經	cin1	ʨin24				
锦	錦	cin3	ʨin445				
紧	緊	cin3	ʨin445				
景	景	cin3	ʨin445				
警	警	cin3	ʨin445				
井	井	cin3	ʨin445				
整	整	cin3	ʨin445				
颈	頸	cin3	ʨin445				
鲫	鯽	cin3	ʨin445	~ȵie445：鯽魚			
惊	驚	cin3	ʨin445	~蟄			
正	正	cin3	ʨin445	~月			
禁	禁	cin5	ʨin53	~止			
进	進	cin5	ʨin53				
晋	晉	cin5	ʨin53				
斤	斤	cin5	ʨin53				
甑	甑	cin5	ʨin53				
证	證	cin5	ʨin53				
症	症	cin5	ʨin53				
境	境	cin5	ʨin53				
敬	敬	cin5	ʨin53				
竟	竟	cin5	ʨin53				
镜	鏡	cin5	ʨin53				
正	正	cin5	ʨin53	反~			
政	政	cin5	ʨin53				
竞	競	cin5	ʨin53				
憎	憎	cin5	ʨin53	叮農~：討人嫌			
征	征	cin5	ʨin53	長~			
中	中	cin5	ʨin53	當~：中間			
钦	欽	chin1	ʨʰin24				
亲	親	chin1	ʨʰin24	~戚			
称	稱	chin1	ʨʰin24	~呼			
卿	卿	chin1	ʨʰin24				
清	清	chin1	ʨʰin24				
轻	輕	chin1	ʨʰin24				
青	青	chin1	ʨʰin24				
蜻	蜻	chin1	ʨʰin24				
请	請	chin3	ʨʰin445				
侵	侵	chin3	ʨʰin445	~略			
称	稱	chin5	ʨʰin53	對~			
秤	秤	chin5	ʨʰin53				
庆	慶	chin5	ʨʰin53				
磬	磬	chin5	ʨʰin53				
琴	琴	jin2	ʥin423				
禽	禽	jin2	ʥin423				
擒	擒	jin2	ʥin423				
勤	勤	jin2	ʥin423				
芹	芹	jin2	ʥin423				
擎	擎	jin2	ʥin423	舉；兩臂向左右伸展的長度			
呈	呈	jin2	ʥin423				
程	程	jin2	ʥin423				
诚	誠	jin2	ʥin423				
近	近	jin4	ʥin334				
谨	謹	jin6	ʥin31				
仅	僅	jin6	ʥin31				
劲	勁	jin6	ʥin31				
郑	鄭	jin6	ʥin31				
妗	妗	jin6	ʥin31	~~：舅母			
壬	壬	gnin2	ȵin423				
人	人	gnin2	ȵin423	丈~			
银	銀	gnin2	ȵin423				
迎	迎	gnin2	ȵin423				
盈	盈	gnin2	ȵin423				
赢	贏	gnin2	ȵin423				
忍	忍	gnin4	ȵin334				
蝇	蠅	gnin5	ȵin53	蒼~			
认	認	gnin6	ȵin31				
仁	仁	gnin	ȵin21	~村：地名			
宁	寧	gnin	ȵin21	~波：地名			
心	心	shin1	ɕin24				
辛	辛	shin1	ɕin24				
薪	薪	shin1	ɕin24				
欣	欣	shin1	ɕin24				
升	昇	shin1	ɕin24				
兴	興	shin1	ɕin24	紹~			
声	聲	shin1	ɕin24	~音			
星	星	shin1	ɕin24				
腥	腥	shin1	ɕin24				
擤	擤	shin3	ɕin445				
醒	醒	shin3	ɕin445				
信	信	shin5	ɕin53				
讯	訊	shin5	ɕin53				
胜	勝	shin5	ɕin53				
兴	興	shin5	ɕin53	人多熱鬧；高~			
性	性	shin5	ɕin53				
姓	姓	shin5	ɕin53				
圣	圣	shin5	ɕin53				
升	升	shin5	ɕin53	一~			
秦	秦	zhin2	ʑin423				
仁	仁	zhin2	ʑin423				
人	人	zhin2	ʑin423	~民			
乘	乘	zhin2	ʑin423				
绳	繩	zhin2	ʑin423				
塍	塍	zhin2	ʑin423				
承	承	zhin2	ʑin423				
丞	丞	zhin2	ʑin423				
情	情	zhin2	ʑin423				
晴	晴	zhin2	ʑin423				
成	成	zhin2	ʑin423				
城	城	zhin2	ʑin423				
蕈	蕈	zhin4	ʑin334	蘑菇			
尽	盡	zhin4	ʑin334				
静	靜	zhin4	ʑin334				
赁	賃	zhin6	ʑin31	租			
任	任	zhin6	ʑin31				
剩	剩	zhin6	ʑin31				
盛	盛	zhin6	ʑin31	茂~			
音	音	in1	in24				
阴	陰	in1	in24				
因	因	in1	in24				
姻	姻	in1	in24				
殷	殷	in1	in24				
鹰	鷹	in1	in24				
樱	櫻	in1	in24				
英	英	in1	in24				
缨	纓	in1	in24				
萤	螢	in1	in24				
寅	寅	in2	in423				
形	形	in2	in423				
型	型	in2	in423				
刑	刑	in2	in423				
营	營	in2	in423				
隐	隱	in3	in445				
影	影	in3	in445				
鹦	鸚	in3	in445	~鵡			
引	引	in4	in334				
瘾	癮	in4	in334				
印	印	in5	in53				
应	應	in5	in53	答~			
荫	蔭	in5	in53	烏~干兒：傍晚			
瘾	癮	in5	in53	~頭			
关	關	kuen1	kuen24	~門			
管	管	kuen3	kuen445	水竹~：竹舀子			
滚	滾	kuen3	kuen445				
灌	灌	kuen5	kuen53	膿腫			
棍	棍	kuen5	kuen53				
昆	昆	khuen1	kʰuen24				
昆	崑	khuen1	kʰuen24				
捆	捆	khuen3	kʰuen445				
困	困	khuen5	kʰuen53				
坤	坤	khuen5	kʰuen53	乾~			
昏	昏	huen1	xuen24				
婚	婚	huen1	xuen24				
荤	葷	huen1	xuen24				
温	溫	uen1	uen24				
瘟	瘟	uen1	uen24				
魂	魂	uen2	uen423				
浑	渾	uen2	uen423				
稳	穩	uen3	uen445				
混	混	uen6	uen31				
馄	餛	uen	uen21	~飩			
钧	鈞	ciun1	ʨyin24				
均	均	ciun1	ʨyin24				
军	軍	ciun1	ʨyin24				
君	君	ciun1	ʨyin24				
卷	捲	ciun3	ʨyin445				
准	準	ciun3	ʨyin445				
准	准	ciun3	ʨyin445				
俊	俊	ciun5	ʨyin53				
津	津	ciun5	ʨyin53	天~			
穿	穿	chiun1	ʨʰyin24				
春	春	chiun1	ʨʰyin24				
菌	菌	chiun3	ʨʰyin445				
串	串	chiun5	ʨʰyin53				
蠢	蠢	chiun5	ʨʰyin53				
顷	頃	chiun5	ʨʰyin53				
群	群	jiun2	ʥyin423				
裙	裙	jiun2	ʥyin423				
琼	瓊	jiun2	ʥyin423				
郡	郡	jiun6	ʥyin31				
熏	熏	shiun1	ɕyin24				
熏	薰	shiun1	ɕyin24				
勋	勛	shiun1	ɕyin24				
迅	迅	shiun5	ɕyin53				
殉	殉	shiun5	ɕyin53				
舜	舜	shiun5	ɕyin53				
训	訓	shiun5	ɕyin53				
循	循	zhiun2	ʑyin423				
巡	巡	zhiun2	ʑyin423				
纯	純	zhiun2	ʑyin423				
醇	醇	zhiun2	ʑyin423				
仍	仍	zhiun2	ʑyin423	~舊			
顺	順	zhiun6	ʑyin31				
闰	閏	zhiun6	ʑyin31				
润	潤	zhiun6	ʑyin31				
唇	唇	zhiun	ʑyin21	~中：人中			
肫	肫	iun1	yin24				
匀	勻	iun2	yin423				
云	雲	iun2	yin423				
允	允	iun4	yin334				
永	永	iun4	yin334				
韵	韻	iun6	yin31				
运	運	iun6	yin31				
晕	暈	iun6	yin31				
捧	捧	phon3	pʰɔŋ445	動詞			
篷	篷	bon2	bɔŋ423				
冯	馮	bon2	bɔŋ423				
芒	芒	mon2	mɔŋ423	麥~			
蒙	蒙	mon2	mɔŋ423				
梦	夢	mon6	mɔŋ31				
风	風	fon1	fɔŋ24				
枫	楓	fon1	fɔŋ24				
疯	瘋	fon1	fɔŋ24	半身不遂			
丰	豐	fon1	fɔŋ24				
讽	諷	fon1	fɔŋ24				
封	封	fon1	fɔŋ24				
锋	鋒	fon1	fɔŋ24				
峰	峰	fon1	fɔŋ24				
蜂	蜂	fon1	fɔŋ24				
烽	烽	fon1	fɔŋ24				
缝	縫	von2	vɔŋ423	裁~			
奉	奉	von4	vɔŋ334				
凤	鳳	von6	vɔŋ31				
缝	縫	von6	vɔŋ31	名詞			
通	通	thon1	tʰɔŋ24				
捅	捅	thon3	tʰɔŋ445				
统	統	thon3	tʰɔŋ445				
痛	痛	thon5	tʰɔŋ53				
同	同	don2	dɔŋ423				
铜	銅	don2	dɔŋ423				
筒	筒	don2	dɔŋ423				
桶	桶	don4	dɔŋ334				
动	動	don4	dɔŋ334				
洞	洞	don6	dɔŋ31				
桐	桐	don6	dɔŋ31	梧~			
童	童	don6	dɔŋ31	兒~			
东	東	non1	nɔŋ24				
冬	冬	non1	nɔŋ24				
农	農	non2	nɔŋ423	人			
脓	膿	non2	nɔŋ423				
懂	懂	non3	nɔŋ445				
董	董	non3	nɔŋ445				
中	中	non3	nɔŋ445	~央指：中指			
冻	凍	non5	nɔŋ53				
栋	棟	non5	nɔŋ53				
脓	膿	non6	nɔŋ31				
奴	奴	non	nɔŋ21	~才			
笼	籠	lon2	lɔŋ423				
聋	聾	lon2	lɔŋ423				
砻	礱	lon2	lɔŋ423				
隆	隆	lon2	lɔŋ423				
龙	龍	lon2	lɔŋ423				
陇	隴	lon2	lɔŋ423				
拢	攏	lon4	lɔŋ334				
窿	窿	lon4	lɔŋ334				
弄	弄	lon6	lɔŋ31	動詞			
弄	弄	lon6	lɔŋ31	名詞			
咙	嚨	lon	lɔŋ21	~喉：喉嚨			
棕	棕	tson1	tsɔŋ24				
宗	宗	tson1	tsɔŋ24				
中	中	tson1	tsɔŋ24	~間			
忠	忠	tson1	tsɔŋ24				
终	終	tson1	tsɔŋ24				
钟	鐘	tson1	tsɔŋ24	廟裡的鐘			
钟	鍾	tson1	tsɔŋ24	姓			
盅	盅	tson1	tsɔŋ24				
鬃	鬃	tson3	tsɔŋ445	~頭毛：鬃			
粽	粽	tson5	tsɔŋ53				
中	中	tson5	tsɔŋ53	~狀元			
众	眾	tson5	tsɔŋ53				
种	種	tson5	tsɔŋ53	芒~			
总	總	tson5	tsɔŋ53	~理			
聪	聰	tshon1	tsʰɔŋ24				
匆	匆	tshon1	tsʰɔŋ24				
葱	蔥	tshon1	tsʰɔŋ24				
囱	囪	tshon1	tsʰɔŋ24				
充	充	tshon1	tsʰɔŋ24				
冲	衝	tshon1	tsʰɔŋ24				
楤	楤	tshon1	tsʰɔŋ24	稻稈~：尖頭扁擔			
铳	銃	tshon5	tsʰɔŋ53				
虫	蟲	dzon2	dzɔŋ423				
重	重	dzon2	dzɔŋ423	~複			
重	重	dzon4	dzɔŋ334	形容詞			
仲	仲	dzon6	dzɔŋ31				
松	鬆	son1	sɔŋ24				
嵩	嵩	son1	sɔŋ24				
松	松	son1	sɔŋ24	~香			
送	送	son5	sɔŋ53				
宋	宋	son5	sɔŋ53				
丛	叢	zon2	zɔŋ423				
崇	崇	zon2	zɔŋ423				
丛	叢	zon2	zɔŋ423	介詞			
绒	絨	zon2	zɔŋ423				
茸	茸	zon2	zɔŋ423				
鳙	鳙	zon2	zɔŋ423	大頭~：胖頭魚			
㞞	㞞	zon2	zɔŋ423	無能			
诵	誦	zon6	zɔŋ31				
颂	頌	zon6	zɔŋ31				
讼	訟	zon6	zɔŋ31				
松	松	zon	zɔŋ21	~樹			
公	公	kon1	kɔŋ24				
工	工	kon1	kɔŋ24				
功	功	kon1	kɔŋ24				
弓	弓	kon1	kɔŋ24				
躬	躬	kon1	kɔŋ24				
宫	宮	kon1	kɔŋ24				
恭	恭	kon1	kɔŋ24				
巩	鞏	kon3	kɔŋ445				
拱	拱	kon3	kɔŋ445	~兵			
赣	贛	kon5	kɔŋ53				
汞	汞	kon5	kɔŋ53				
贡	貢	kon5	kɔŋ53				
蚣	蚣	kon5	kɔŋ53	mɔŋ21~：蜈蚣			
空	空	khon1	kʰɔŋ24	~氣			
孔	孔	khon3	kʰɔŋ445				
孔	孔	khon5	kʰɔŋ53	冷水~：泉水			
控	控	khon5	kʰɔŋ53				
空	空	khon5	kʰɔŋ53	閑			
共	共	gon6	ɡɔŋ31				
烘	烘	hon1	xɔŋ24				
哄	哄	hon3	xɔŋ445				
蕻	蕻	hon5	xɔŋ53	菜~：菜的分支			
翁	翁	on1	ɔŋ24				
弘	弘	on2	ɔŋ423				
宏	宏	on2	ɔŋ423				
红	紅	on2	ɔŋ423				
洪	洪	on2	ɔŋ423				
鸿	鴻	on2	ɔŋ423				
塕	塕	on3	ɔŋ445	灰塵			
瓮	甕	on5	ɔŋ53				
供	供	cion1	ʨiɔŋ24	~爺娘：供養父母			
穷	窮	jion2	ʥiɔŋ423				
共	共	jion6	ʥiɔŋ31	~一個：同一個			
凶	兇	shion1	ɕiɔŋ24				
胸	胸	shion1	ɕiɔŋ24				
凶	凶	shion1	ɕiɔŋ24				
雍	雍	ion1	iɔŋ24				
痈	癰	ion1	iɔŋ24				
熊	熊	ion2	iɔŋ423				
雄	雄	ion2	iɔŋ423				
融	融	ion2	iɔŋ423				
浓	濃	ion2	iɔŋ423				
容	容	ion2	iɔŋ423				
种	種	ion3	iɔŋ445	名詞			
肿	腫	ion3	iɔŋ445				
拥	擁	ion4	iɔŋ334				
种	種	ion5	iɔŋ53	~田			
荣	榮	ion5	iɔŋ53	光~			
庸	庸	ion5	iɔŋ53	中~			
蓉	蓉	ion5	iɔŋ53	芙~花			
勇	勇	ion5	iɔŋ53	~敢			
用	用	ion6	iɔŋ31				
百	百	paeq7	paʔ5				
柏	柏	paeq7	paʔ5				
伯	伯	paeq7	paʔ5				
迫	迫	paeq7	paʔ5				
拍	拍	phaeq7	pʰaʔ5				
魄	魄	phaeq7	pʰaʔ5				
𤖼	𤖼	phaeq7	pʰaʔ5	掰；撕			
摘	摘	laeq7	laʔ5				
宰	宰	tsaeq7	tsaʔ5	~相			
宅	宅	tsaeq7	tsaʔ5	陶~：地名			
责	責	tsaeq7	tsaʔ5				
只	隻	tsaeq7	tsaʔ5				
拆	拆	tshaeq7	tsʰaʔ5				
坼	坼	tshaeq7	tsʰaʔ5	裂縫兒			
策	策	tshaeq7	tsʰaʔ5				
册	冊	tshaeq7	tsʰaʔ5				
赤	赤	tshaeq7	tsʰaʔ5	~腳			
萨	薩	saeq7	saʔ5				
格	格	kaeq7	kaʔ5				
革	革	kaeq7	kaʔ5				
隔	隔	kaeq7	kaʔ5				
慨	慨	khaeq7	kʰaʔ5	慷~			
客	客	khaeq7	kʰaʔ5				
轭	軛	ngaeq7	ŋaʔ5				
吓	嚇	haeq7	xaʔ5				
压	壓	aeq7	aʔ5				
扼	扼	aeq7	aʔ5				
帖	帖	thiaeq7	tʰiaʔ5				
贴	貼	thiaeq7	tʰiaʔ5				
铁	鐵	thiaeq7	tʰiaʔ5				
跌	跌	liaeq7	liaʔ5				
个	個	ciaeq7	ʨiaʔ5	一~			
姐	姐	ciaeq7	ʨiaʔ5	~~：伯母			
蔗	蔗	ciaeq7	ʨiaʔ5				
介	介	ciaeq7	ʨiaʔ5				
界	界	ciaeq7	ʨiaʔ5				
芥	芥	ciaeq7	ʨiaʔ5				
疥	疥	ciaeq7	ʨiaʔ5				
届	屆	ciaeq7	ʨiaʔ5				
戒	戒	ciaeq7	ʨiaʔ5				
解	解	ciaeq7	ʨiaʔ5	起~			
眨	眨	ciaeq7	ʨiaʔ5				
夹	夾	ciaeq7	ʨiaʔ5	頭髮~			
挟	挾	ciaeq7	ʨiaʔ5	~菜			
节	節	ciaeq7	ʨiaʔ5				
蚱	蚱	ciaeq7	ʨiaʔ5	~蜢			
𥰾	𥰾	ciaeq7	ʨiaʔ5	~酒：壓酒			
切	切	chiaeq7	ʨʰiaʔ5				
㶁	㶁	kuaq7	kuɑʔ5	開裂			
划	劃	nguaq8	ŋuɑʔ3	漢字的一筆			
获	獲	uaq8	uɑʔ3				
获	穫	uaq8	uɑʔ3				
划	劃	uaq8	uɑʔ3	計~			
八	八	puaq7	puɑʔ5				
法	法	fuaq7	fuɑʔ5				
髪	髪	fuaq7	fuɑʔ5				
发	發	fuaq7	fuɑʔ5				
拓	拓	thuaq7	tʰuɑʔ5	按手印			
塔	塔	thuaq7	tʰuɑʔ5				
獭	獺	thuaq7	tʰuɑʔ5				
搭	搭	luaq7	luɑʔ5				
褡	褡	luaq7	luɑʔ5	肚~：兜肚			
榨	榨	tsuaq7	tsuɑʔ5	~菜			
炸	炸	tsuaq7	tsuɑʔ5				
插	插	tshuaq7	tsʰuɑʔ5				
擦	擦	tshuaq7	tsʰuɑʔ5				
察	察	tshuaq7	tsʰuɑʔ5				
撒	撒	suaq7	suɑʔ5				
杀	殺	suaq7	suɑʔ5				
夹	夾	kuaq7	kuɑʔ5	地~：兩邊的夾子			
夹	裌	kuaq7	kuɑʔ5				
荚	莢	kuaq7	kuɑʔ5				
甲	甲	kuaq7	kuɑʔ5				
刮	刮	kuaq7	kuɑʔ5				
括	括	kuaq7	kuɑʔ5				
扩	擴	khuaq7	kʰuɑʔ5				
阔	闊	khuaq7	kʰuɑʔ5				
喝	喝	huaq7	xuɑʔ5	啜			
豁	豁	huaq7	xuɑʔ5				
挜	掗	uaq7	uɑʔ5	強迫給人			
鸭	鴨	uaq7	uɑʔ5				
押	押	uaq7	uɑʔ5				
挖	挖	uaq7	uɑʔ5				
博	博	poq7	pɔʔ5				
剥	剝	poq7	pɔʔ5				
驳	駁	poq7	pɔʔ5				
壁	壁	poq7	pɔʔ5	吸~虎兒：壁虎			
薄	薄	poq7	pɔʔ5	~荷			
朴	樸	phoq7	pʰɔʔ5				
仆	仆	phoq7	pʰɔʔ5	前~後繼			
覆	覆	phoq7	pʰɔʔ5	趴			
薄	薄	boq8	bɔʔ3	形容詞			
箔	箔	boq8	bɔʔ3				
缚	縛	boq8	bɔʔ3	捆			
菔	菔	boq8	bɔʔ3	蘆~：蘿蔔			
莫	莫	moq8	mɔʔ3				
摸	摸	moq8	mɔʔ3				
木	木	moq8	mɔʔ3				
目	目	moq8	mɔʔ3				
穆	穆	moq8	mɔʔ3				
牧	牧	moq8	mɔʔ3				
复	復	foq7	fɔʔ5	~興			
福	福	foq7	fɔʔ5				
复	複	foq7	fɔʔ5	~雜			
服	服	voq8	vɔʔ3				
伏	伏	voq8	vɔʔ3				
秃	禿	thoq7	tʰɔʔ5				
独	獨	doq8	dɔʔ3				
读	讀	doq8	dɔʔ3				
渎	瀆	doq8	dɔʔ3	溝渠			
牍	牘	doq8	dɔʔ3				
毒	毒	doq8	dɔʔ3				
督	督	loq7	lɔʔ5				
竹	竹	loq7	lɔʔ5				
芦	蘆	loq7	lɔʔ5	~菔：蘿蔔			
鹿	鹿	loq8	lɔʔ3				
簏	簏	loq8	lɔʔ3	盒子			
禄	祿	loq8	lɔʔ3				
六	六	loq8	lɔʔ3				
陆	陸	loq8	lɔʔ3				
绿	綠	loq8	lɔʔ3				
录	錄	loq8	lɔʔ3				
筑	筑	tsoq7	tsɔʔ5				
祝	祝	tsoq7	tsɔʔ5				
粥	粥	tsoq7	tsɔʔ5				
足	足	tsoq7	tsɔʔ5				
烛	燭	tsoq7	tsɔʔ5				
嘱	囑	tsoq7	tsɔʔ5				
捉	捉	tshoq7	tsʰɔʔ5	讀字			
畜	畜	tshoq7	tsʰɔʔ5	~牲			
促	促	tshoq7	tsʰɔʔ5				
触	觸	tshoq7	tsʰɔʔ5				
轴	軸	dzoq8	dzɔʔ3				
蜀	蜀	dzoq8	dzɔʔ3				
速	速	soq7	sɔʔ5				
肃	肅	soq7	sɔʔ5				
缩	縮	soq7	sɔʔ5				
宿	宿	soq7	sɔʔ5				
叔	叔	soq7	sɔʔ5				
淑	淑	soq7	sɔʔ5				
粟	粟	soq7	sɔʔ5				
族	族	zoq8	zɔʔ3				
熟	熟	zoq8	zɔʔ3				
塾	塾	zoq8	zɔʔ3				
俗	俗	zoq8	zɔʔ3				
续	續	zoq8	zɔʔ3				
属	屬	zoq8	zɔʔ3				
辱	辱	zoq8	zɔʔ3				
褥	褥	zoq8	zɔʔ3				
谷	穀	koq7	kɔʔ5				
谷	谷	koq7	kɔʔ5				
窟	窟	khoq7	kʰɔʔ5				
哭	哭	khoq7	kʰɔʔ5				
酷	酷	khoq7	kʰɔʔ5				
握	握	oq7	ɔʔ5				
屋	屋	oq7	ɔʔ5				
菊	菊	cioq7	ʨiɔʔ5				
鞠	鞠	cioq7	ʨiɔʔ5				
曲	曲	chioq7	ʨʰiɔʔ5				
曲	麯	chioq7	ʨʰiɔʔ5				
局	局	jioq8	ʥiɔʔ3				
肉	肉	gnioq8	ȵiɔʔ3				
玉	玉	gnioq8	ȵiɔʔ3				
狱	獄	gnioq8	ȵiɔʔ3				
畜	畜	shioq7	ɕiɔʔ5	~牧			
蓄	蓄	shioq7	ɕiɔʔ5	儲~			
斲	斲	ioq7	iɔʔ5	砍			
育	育	ioq8	iɔʔ3				
欲	慾	ioq8	iɔʔ3				
浴	浴	ioq8	iɔʔ3				
笔	筆	peq7	pəʔ5				
滗	潷	peq7	pəʔ5				
毕	畢	peq7	pəʔ5				
必	必	peq7	pəʔ5				
不	不	peq7	pəʔ5				
北	北	peq7	pəʔ5				
逼	逼	peq7	pəʔ5				
檗	檗	peq7	pəʔ5	黃~			
碧	碧	peq7	pəʔ5				
壁	壁	peq7	pəʔ5				
璧	璧	peq7	pəʔ5				
䏘	䏘	pheq7	pʰəʔ5	女陰			
鼻	鼻	beq8	bəʔ3				
别	別	beq8	bəʔ3	~個：別的			
𧼱	𧼱	beq8	bəʔ3	~鴨：趕鴨子			
密	密	meq8	məʔ3				
蜜	蜜	meq8	məʔ3				
墨	墨	meq8	məʔ3				
默	默	meq8	məʔ3				
弗	弗	feq7	fəʔ5	不			
佛	彿	feq7	fəʔ5				
勿	勿	feq7	fəʔ5				
佛	佛	veq8	vəʔ3				
物	物	veq8	vəʔ3				
的	的	teq7	təʔ5	讀字			
脱	脫	theq7	tʰəʔ5				
忒	忒	theq7	tʰəʔ5				
踢	踢	theq7	tʰəʔ5				
剔	剔	theq7	tʰəʔ5				
夺	奪	deq8	dəʔ3				
突	突	deq8	dəʔ3				
特	特	deq8	dəʔ3				
笛	笛	deq8	dəʔ3				
敌	敵	deq8	dəʔ3				
狄	狄	deq8	dəʔ3				
籴	糴	deq8	dəʔ3				
日	日	neq7	nəʔ5	明~			
吶	吶	neq7	nəʔ5	無，沒有			
日	日	neq8	nəʔ3				
呢	呢	neq8	nəʔ3	助詞			
得	得	leq7	ləʔ5				
德	德	leq7	ləʔ5				
了	了	leq8	ləʔ3	助詞			
猎	獵	leq8	ləʔ3				
立	立	leq8	ləʔ3				
列	列	leq8	ləʔ3				
烈	烈	leq8	ləʔ3				
裂	裂	leq8	ləʔ3				
捋	捋	leq8	ləʔ3				
劣	劣	leq8	ləʔ3				
栗	栗	leq8	ləʔ3				
律	律	leq8	ləʔ3				
率	率	leq8	ləʔ3	效~			
肋	肋	leq8	ləʔ3				
力	力	leq8	ləʔ3				
历	歷	leq8	ləʔ3				
历	曆	leq8	ləʔ3				
疬	癧	leq8	ləʔ3				
只	只	tseq7	tsəʔ5	副詞			
执	執	tseq7	tsəʔ5				
汁	汁	tseq7	tsəʔ5				
质	質	tseq7	tsəʔ5				
则	則	tseq7	tsəʔ5				
侧	側	tseq7	tsəʔ5				
织	織	tseq7	tsəʔ5				
职	職	tseq7	tsəʔ5				
积	積	tseq7	tsəʔ5				
迹	跡	tseq7	tsəʔ5				
绩	績	tseq7	tsəʔ5				
撮	撮	tsheq7	tsʰəʔ5				
塞	塞	tsheq7	tsʰəʔ5	塞子			
测	測	tsheq7	tsʰəʔ5				
秩	秩	dzeq8	dzəʔ3				
卒	卒	dzeq8	dzəʔ3	棋子之一			
殖	殖	dzeq8	dzəʔ3				
植	植	dzeq8	dzəʔ3				
涩	澀	seq7	səʔ5				
屑	屑	seq7	səʔ5	風~：頭皮			
虱	虱	seq7	səʔ5				
失	失	seq7	səʔ5				
室	室	seq7	səʔ5				
色	色	seq7	səʔ5				
识	識	seq7	səʔ5				
十	十	zeq8	zəʔ3				
拾	拾	zeq8	zəʔ3				
实	實	zeq8	zəʔ3				
贼	賊	zeq8	zəʔ3				
个	個	keq7	kəʔ5	的			
蛤	蛤	keq7	kəʔ5	~pɑo445：癩蛤蟆			
今	今	keq7	kəʔ5	~日			
结	結	keq7	kəʔ5	~舌：口吃			
磕	磕	kheq7	kʰəʔ5				
掐	掐	kheq7	kʰəʔ5	兼指用指甲按			
刻	刻	kheq7	kʰəʔ5				
克	克	kheq7	kʰəʔ5				
个	個	geq0	ɡəʔ0	的			
核	覈	geq8	ɡəʔ3	審～			
黑	黑	heq7	xəʔ5				
赫	赫	heq7	xəʔ5				
急	急	cieq7	ʨiəʔ5				
级	級	cieq7	ʨiəʔ5				
给	給	cieq7	ʨiəʔ5				
吉	吉	cieq7	ʨiəʔ5				
雀	雀	cieq7	ʨiəʔ5	麻~			
侧	側	cieq7	ʨiəʔ5				
织	織	cieq7	ʨiəʔ5				
识	識	cieq7	ʨiəʔ5	~著：知道			
剧	劇	cieq7	ʨiəʔ5	~烈			
脊	脊	cieq7	ʨiəʔ5				
击	擊	cieq7	ʨiəʔ5				
缉	緝	chieq7	ʨʰiəʔ5				
辑	輯	chieq7	ʨʰiəʔ5				
泣	泣	chieq7	ʨʰiəʔ5				
七	七	chieq7	ʨʰiəʔ5				
漆	漆	chieq7	ʨʰiəʔ5				
迄	迄	chieq7	ʨʰiəʔ5				
乞	乞	chieq7	ʨʰiəʔ5				
赤	赤	chieq7	ʨʰiəʔ5				
斥	斥	chieq7	ʨʰiəʔ5				
尺	尺	chieq7	ʨʰiəʔ5				
戚	戚	chieq7	ʨʰiəʔ5				
吃	喫	chieq7	ʨʰiəʔ5	~力			
蛰	蟄	jieq8	ʥiəʔ3				
及	及	jieq8	ʥiəʔ3				
侄	侄	jieq8	ʥiəʔ3				
秩	秩	jieq8	ʥiəʔ3				
直	直	jieq8	ʥiəʔ3				
值	值	jieq8	ʥiəʔ3				
极	極	jieq8	ʥiəʔ3				
剧	劇	jieq8	ʥiəʔ3	婺~			
屐	屐	jieq8	ʥiəʔ3				
入	入	gnieq8	ȵiəʔ3	塞進去			
逆	逆	gnieq8	ȵiəʔ3				
吸	吸	shieq7	ɕiəʔ5				
㽺	㽺	shieq7	ɕiəʔ5	壞，不好			
戌	戌	shieq7	ɕiəʔ5				
息	息	shieq7	ɕiəʔ5				
识	識	shieq7	ɕiəʔ5				
式	式	shieq7	ɕiəʔ5				
饰	飾	shieq7	ɕiəʔ5				
惜	惜	shieq7	ɕiəʔ5	可~			
释	釋	shieq7	ɕiəʔ5				
锡	錫	shieq7	ɕiəʔ5				
析	析	shieq7	ɕiəʔ5				
集	集	zhieq8	ʑiəʔ3				
入	入	zhieq8	ʑiəʔ3				
日	日	zhieq8	ʑiəʔ3	~本			
食	食	zhieq8	ʑiəʔ3				
蚀	蝕	zhieq8	ʑiəʔ3				
籍	籍	zhieq8	ʑiəʔ3				
席	席	zhieq8	ʑiəʔ3				
席	蓆	zhieq8	ʑiəʔ3				
石	石	zhieq8	ʑiəʔ3				
揖	揖	ieq7	iəʔ5				
乙	乙	ieq7	iəʔ5				
一	一	ieq7	iəʔ5				
逸	逸	ieq7	iəʔ5				
益	益	ieq7	iəʔ5				
页	頁	ieq7	iəʔ5				
越	越	ieq7	iəʔ5	~講~多			
翼	翼	ieq7	iəʔ5	鰭			
亦	亦	ieq7	iəʔ5				
译	譯	ieq7	iəʔ5				
易	易	ieq7	iəʔ5	交~			
国	國	kueq7	kuəʔ5				
忽	忽	hueq7	xuəʔ5				
核	核	ueq8	uəʔ3	果核			
或	或	ueq8	uəʔ3				
惑	惑	ueq8	uəʔ3				
㰵	㰵	ciueq7	ʨyəʔ5	吮吸			
橘	橘	ciueq7	ʨyəʔ5				
屈	屈	chiueq7	ʨʰyəʔ5				
