#来源	Pekkhak（啵啵）整理自顏森《高安（老屋周家）方言的语音系统》																																								
#说明	這份資料記錄的並非高安市區方言，其面貌與高安市區方言存在一定的差異																																								
#符号说明：-白=文*俗?待考																																									
#调值	［1］⁵⁵［2］²⁴［3］⁴²［5］³³［6］¹¹［7］³［8］¹［0］⁰																																								
#a																																									
tʰ	［1］滩摊=［2］谈檀坛=弹{～棉花}［3］毯坦诞［5］炭=叹［6］但弹{子～}																																								
l	［1］难{～易}兰拦栏幱{～裙：围裙}［3］懒［6］览难{遭～}烂［0］□{鼻～：鼻涕}□{热～哩：发烧时生的舌苔}																																								
ts	［3］盏［5］站{～立；车～}赞																																								
tsʰ	［1］餐䱗{～鱼}［2］残［3］铲［6］赚栈																																								
s	［1］衫珊山删［3］散{鞋带子～箇}伞产［5］散{～会}																																								
k	［1］艰间{中～}奸［3］简鐧拣［5］间{～断}涧																																								
kʰ	［3］舰																																								
ŋ	［2］颜［3］眼［5］晏																																								
h	［1］摊［2］还{～有}［5］炭［6］蛋限苋																																								
#uan																																									
k	［1］鳏关［5］惯																																								
∅	［1］弯湾［2］顽还{～原}环［3］晚挽𩾃{～鱼}［6］万																																								
#ian																																									
ɕ	［2］咸{～丰皇帝}闲{～悠：轻松自然}																																								
#ɔn																																									
t	［1］端{～正}［3］短［5］断{决～}锻																																								
tʰ	［2］团=［6］缎																																								
l	［2］鸾□{将衣袖扎裤脚的动作}［3］暖卵{男阴}［6］乱［0］□{这～子：这些；话～子：说点儿}																																								
ts	［1］钻{狗～洞}［3］纂{～文}攒{～笔钱}［5］钻{～子：木工用具}																																								
tsʰ	［1］汆［5］窜篡																																								
s	［1］酸闩［5］算蒜涮																																								
k	［1］干肝竿乾{～湿}［3］杆稈赶［5］干{～部}																																								
kʰ	［1］堪刊［5］看																																								
ŋ	［1］安鞍□{～tɕyɔn˧：叮嘱，吩附}［3］擀{～面}［5］按案［6］岸玩{古～}																																								
h	［2］寒韩团{～近子：附近}［3］罕［5］汉翰［6］旱汗焊断段																																								
#yɔn																																									
tɕ	［1］专砖捐［3］转{～眼}捲［5］转{打～～}眷卷绢桊{牛鼻拴子}□{ŋɔn˥～：叮嘱，吩咐}																																								
tɕʰ	［1］川穿圈［2］传{～达}椽{～皮哩：瓦～}拳权颧［3］喘犬［5］串劝［6］篆{传～记}倦钏{手～}																																								
ɕ	［1］轩掀□{～红：很红}［2］弦船玄悬［6］县																																								
∅	［1］冤渊［2］丸圆员沿铅元原源袁辕园援鼋{～鱼}芫{～荽}［3］软远［5］怨愿{去庙里还～}［6］諺砚院愿{～意}□{～口：辑鞋口}																																								
#ɛn																																									
p	［1］般搬崩［5］半																																								
pʰ	［1］潘拚{～命}［2］盘［5］判叛拌{～命：拼命}［6］伴拌																																								
m	［2］瞒馒萌{～芽}［3］满［6］孟{～夫子}面?{一～鼓：一个鼓}																																								
f	［1］欢轰［2］完={～全}［5］唤焕［6］缓																																								
t	［1］登灯镫{马～}［3］等戥［5］凳□{绊}［0］□{犁～哩：牛轭}																																								
tʰ	［2］腾誊藤=［6］邓=																																								
l	［1］□{～眼：瞪大眼睛}［2］然燃能楞{～角}［5］□{咬：～甘蔗；蜈蚣虫～人}［6］凌{冰～}［0］□侬?{你～：你}																																								
ts	［1］曾{姓}增僧争={斗～}筝□{沓：一～纸}［3］□{跌交：莫～到}［5］甑																																								
tsʰ	［1］曾{～经}层［5］衬［6］赠																																								
s	［1］生={学～}牲笙{～箫}［3］省{江西～}																																								
h	［1］吞亨［2］痕藤恒澄{～清}衡［3］很□{朝，对：渠～到我笑}［6］恨邓																																								
#uɛn																																									
k	［1］官棺观{参～}冠{衣～；～军}［3］管馆［5］贯灌耀观{寺～}［0］鹳{啄木～哩：啄木鸟}																																								
kʰ	［1］宽［3］款																																								
∅	［1］豌［2］完［3］皖碗［6］换																																								
#iɛn																																									
