漢字	拼音	IPA	注釋		語系	語片	方言	地理	政區	分佈	位點	人口	相關	作者	名牌									
紫	tsə																							
雌	tsʰə																							
此	tsʰə																							
刺	tsʰə		tsʰə刺刀																					
刺	tɕʰie		魚刺tɕʰie																					
疵	tsʰə																							
斯	sə																							
撕	sə																							
撕	tsʰəɯ																							
廝	sə																							
璽	ɕi																							
徙	ɕi																							
賜	sə																							
賜	tsʰə																							
知	tɕi		tɕi知識																					
知	tsə		tsə知了																					
智	tɕi		tɕi智商																					
智	tsə		tsə智能																					
池	dʑi		臨池dʑi																					
池	zə		水池zə																					
馳	dʑi																							
篩	tɕiɐʔ																							
支	tɕi																							
枝	tɕi																							
枝	ki																							
梔	tɕi																							
梔	ki																							
肢	tɕi																							
只	tseʔ																							
只	tsɐʔ																							
紙	tɕi																							
紙	tɕie																							
侈	tɕʰie																							
施	ɕi		ɕi施工																					
施	sə		sə施（姓氏）																					
豕	ʑi																							
啻	ɕi																							
翅	tɕʰi																							
翅	tsʰə																							
匙	ʑi		藥匙ʑi																					
匙	ʑie		鎖匙ʑi																					
就	dzəɯ		dzəɯ就業																					
就	dʑi		就																					
就	dʑiʔ		肯定、強調																					
是	dʑi		是																					
是	dʑiʔ		肯定附和																					
是	ʑi		ʑi是非																					
氏	ʑi																							
豉	ʑi		鹹豉ʑi																					
豉	ʑie		豆豉ʑi子																					
兒	ȵi		南瓜兒ȵi（小稱）																					
兒	ȵi		ȵi兒女																					
兒	ə		ə兒童節																					
爾	ŋ																							
爾	ȵi																							
爾	ʑi																							
羈	ʑi																							
寄	ki																							
寄	kie																							
企	ɡi																							
奇	ɡi																							
騎	ɡi		ɡi騎馬																					
騎	ɡie		坐騎ɡie																					
岐	ɡi																							
技	ɡi																							
妓	ɡi																							
宜	ȵi		合宜ȵi																					
宜	i		小便宜i																					
儀	ȵi																							
蟻	ŋai	ŋai	ŋai蟻子（螞蟻）																					
義	ȵi																							
義	i																							
議	ȵi																							
誼	ȵi																							
犧	xi																							
戲	xi																							
椅	i																							
移	i																							
易	i		容易i																					
易	iɐʔ		iɐʔ易（姓氏）																					
悲	pi																							
悲	pue																							
鄙	pi																							
比	pi																							
庇	pi																							
庇	pʰi																							
痹	pi																							
泌	pi																							
秘	pi																							
秘	mi																							
轡	pi																							
丕	pʰi																							
丕	pʰəɯ																							
屁	pʰi																							
琵	bi																							
牝	bɪŋ																							
備	bi																							
鼻	bɐʔ		bɐʔ鼻頭																					
鼻	biɐʔ		豬鼻biɐʔ頭																					
篦	pi																							
篦	piẽ																							
眉	mi																							
眉	mɐi																							
楣	mi																							
黴	mi																							
美	mi																							
美	mɐi																							
媚	mi																							
媚	mɐi																							
寐	mi																							
寐	mɐi																							
