	注释：-白，=文
ts	[1]栀栽[3]子-指-纸-摺-[5]这-□{～～：父妹}[7]褶=接节折渐哲责摘-子-
tsʰ	[3]湿-扯={使劲扯}[5]菜[6]彻捷宅贼泽择涉[7]切妾册策拆测侧彻沏
s	[1]师茜{水～：地名}□{一种水草}嘻{～笑}[2]蛇匙[3]洗舐-使-{用}[5]哂{大笑}[6]笑失-{遗失}[7]李-{～子}涩啬设屑色塞泄
k	[1]鸡-几-{～多}[3]急-{生气}[5]髻[7]给洁结格革隔=
kʰ	[1]溪[2]骑[3]企徛{站立}[5]契锲[6]杰竭揭蝎[7]克客=刻
ŋ	[1]热{～痱：痱子}□{微湿，潮}[3]摄-{抓取}[5]艾-[6]业叶页热孽逆[7]聂摄镊额蚁-
x	[3]嬉-{媚媚～～：不正经}[6]协穴骇核[7]胁歇黑
∅	[2]呃{言语中断}[7]谒厄扼
v	[1]□{一种鱼}[5]秽{杂草}
#uõ	
p	[1]般搬[5]半-扮[7]粄{米馃}
pʰ	[1]潘-[2]盘[3]□{～禾：打谷子}□{悬挂衣被}[5]伴判叛拌绊扮胖[6]伴-{～工：换工}
m	[7][2]螨鳗-[3]满[6]幔
f	[1]欢獾[2]寒-韩桓[3]旱-[5]汗-贩焕换=唤奂痪涣[6]翰焊缓
t	[1]端单[3]短断-{截断}□{跌倒}[5]断顿
tʰ	[1]吞[2]团[3]断-[5]炭褪{～衫}段断-{～了}缎煅□{丢失}[7]团-{个～泥}[6]□{丢失}
l	[2]难-拦-栏-鸾銮[3]暖卵=[6]烂-乱[7]卵{松毛～：疙瘩}
ts	[1]钻{～洞，穿过}[3]钻{～石}转-{拧干}[5]钻{～孔}[7]□{个～花：一朵花}
tsʰ	[1]诠铨□{成批收购}[3]喘[5]□{造谣}纂赚[7]□{～秽：锄草}
s	[1]山-酸删珊栓[3]伞卵-[5]算蒜僆{鸡～：小母鸡}[7]卵-{芋～：芋子}
k	[1]竿-肝乾-官棺欢光冠[3]秆{稻草}管馆广[5]灌[7]管{舀水用竹管}
kʰ	[1]宽[3]款
v	[1]安鞍[2]圆-[3]碗皖腕[5]案按[6]换-{情～：交换}
#iaŋ	
