来源：	李小平 1991《临县方言志》；灰原哀 木瓜 整理录入
tʰ	［1］拖汤［2］驼驮舵堂棠螳唐糖塘［3］倘躺趟［5］烫
n	［2］挪囊［3］攮{～子：匕首}馕{～饭胚：骂人饭桶}□{～耐：东西多}［5］齉{～鼻子}□{～得多嘞：多得多呢}
l	［2］罗锣箩螺郎狼［3］裸{～体}［5］朗浪乐-{～得多嘞：高兴得多呢}
ts	［1］脏□{～是这：就是这}□{～～地吃嘞：象声词，吃时发出的声响，含有贬义}［3］左{～右}佐［5］葬藏{西～}匠左{～手}
tsʰ	［1］搓仓苍［2］藏{～东西}［5］错-{～开了}
s	［1］桑丧{～事}［3］嗓搡［5］丧{～失}
tʂ	［1］仔张袁樟障［2］长生～涨掌［5］丈仗杖帐胀账瘴
tʂʰ	［1］昌猖{～毒：猖狂狠毒}［2］长{～短}肠场{打谷～}常=偿={～命}尝［3］偿=厂畅倡场{～地}氅敞［5］唱
ʂ	［1］商伤{太～：太狠}［2］裳偿-{～命}尝-常-{老～}［3］偿-赏尚-［5］响{后～}上{～山}尚{高～}
ɻ	［2］瓤酿攘禳{～破：迷信活动，解决问题，排除奸邪}［3］壤嚷［5］让人
k	［1］哥歌冈岗刚纲钢{～铁}缸港［5］个杠钢{～切刀：旧刀加新钢刃}□{一趟：跑一趟}
