汉字	拼音	拼音	IPA	注释
符	hu5	hu②	hu˥˥	
扶	hu5	hu②	hu˥˥	
釜	hu2	hu③	hu˥˧	
腐	hu1	hu①	hu˦˥	
腐	hu7	hu⑥	hu˨˨	又，豆~
輔	hu6	hu④	hu˨˥	
父	hu6	hu④	hu˨˥	
父	pe6	pe④	pɛ˨˥	訓
附	hu3	hu⑤	hu˨˩˨	
毋	bo5	bo②	bo˥˥	
毋	m6	m④	m˨˥	
毋	m7	m⑥	m˨˨	
巫	bu5	bu②	bu˥˥	
誣	bu5	bu②	bu˥˥	
無	bu5	bu②	bu˥˥	~數
無	bo5	bo②	bo˥˥	
舞	bu2	bu③	bu˥˧	
舞	mong6	mong④	moŋ˨˥	白
侮	bu2	bu③	bu˥˧	
武	bu2	bu③	bu˥˧	
鵡	bu2	bu③	bu˥˧	
霧	bu7	bu⑥	bu˨˨	
務	bu6	bu④	bu˨˥	
縷	lu2	lu③	lu˥˧	
屢	lu2	lu③	lu˥˧	
趨	tshu1	tshu①	tsʰu˦˥	
取	tshu2	tshu③	tsʰu˥˧	
取	tshiu2	tshiu③	tsʰiu˥˧	白
娶	tshu2	tshu③	tsʰu˥˧	
趣	tshu3	tshu⑤	tsʰu˨˩˨	
聚	tsu6	tsu④	tsu˨˥	
需	su1	su①	su˦˥	
須	su1	su①	su˦˥	
鬚	tshiu1	tshiu①	tsʰiu˦˥	
蛛	tu1	tu①	tu˦˥	
株	tsu1	tsu①	tsu˦˥	
誅	tu1	tu①	tu˦˥	
駐	tsu6	tsu④	tsu˨˥	
厨	tou5	tou②	tou˥˥	
柱	thiau6	thiau④	tʰiau˨˥	
住	tsu6	tsu④	tsu˨˥	
芻	tshu1	tshu①	tsʰu˦˥	
雛	tshu1	tshu①	tsʰu˦˥	
數	su3	su⑤	su˨˩˨	文
數	siau3	siau⑤	siau˨˩˨	白
珠	tsu1	tsu①	tsu˦˥	
珠	tsiu1	tsiu①	tsiu˦˥	白，目~
朱	tsu1	tsu①	tsu˦˥	
主	tsu2	tsu③	tsu˥˧	
注	tsu3	tsu⑤	tsu˨˩˨	
鑄	tsu3	tsu⑤	tsu˨˩˨	
樞	khu1	khu①	kʰu˦˥	
輸	su1	su①	su˦˥	
戍	sue3	sue⑤	sue˨˩˨	
輸	su1	su①	su˦˥	
殊	su5	su②	su˥˥	
豎	su6	su④	su˨˥	
樹	su6	su④	su˨˥	文
樹	tshiu7	tshiu⑥	tsʰiu˨˨	白
儒	ju5	ju②	dzu˥˥	
乳	ju2	ju③	dzu˥˧	
拘	khu1	khu①	kʰu˦˥	
駒	khu1	khu①	kʰu˦˥	
俱	ku6	ku④	ku˨˥	
矩	kur2	kur③	kɯ˥˧	
句	ku3	ku⑤	ku˨˩˨	
區	khu1	khu①	kʰu˦˥	
驅	khu1	khu①	kʰu˦˥	
瞿	khur5	khur②	kʰɯ˥˥	
具	ku6	ku④	ku˨˥	
具	khu6	khu④	kʰu˨˥	又
懼	ku6	ku④	ku˨˥	
栩	hu2	hu③	hu˥˧	
虞	ngo5	ngo②	ŋo˥˥	
愚	ngo5	ngo②	ŋo˥˥	
娛	u5	u②	u˥˥	
娛	gu5	gu②	gu˥˥	又
遇	ngo6	ngo④	ŋo˨˥	
寓	ngo6	ngo④	ŋo˨˥	
