汉字	拼音	拼音	IPA	注释
千	tshoinn1	tshoinn①	tsʰõi˦˥	
筅	tshoinn2	tshoinn③	tsʰõi˥˧	
前	tsoinn5	tsoinn②	tsõi˥˥	
先	sin1	sin①	sin˦˥	~生
先	soinn1	soinn①	sõi˦˥	
肩	koinn1	koinn①	kõi˦˥	
堅	kian1	kian①	kiɛn˦˥	
堅	ken1	ken①	kɛn˦˥	又，地域差
繭	koinn2	koinn③	kõi˥˧	
見	kian3	kian⑤	kiɛn˨˩˨	
見	ken3	ken⑤	kɛn˨˩˨	又，地域差
見	kinn3	kinn⑤	kĩ˨˩˨	
牽	khan1	khan①	kʰan˦˥	
研	ngurn1	ngurn①	ŋɯn˦˥	文
研	ngoi2	ngoi③	ŋõi˥˧	白
硯	inn7	inn⑥	ĩ˨˨	
顯	hian2	hian③	hiɛn˥˧	
顯	hen2	hen③	hɛn˥˧	又，地域差
賢	hian5	hian②	hiɛn˥˥	
賢	hen5	hen②	hɛn˥˥	又，地域差
弦	hian5	hian②	hiɛn˥˥	文
弦	hen5	hen②	hɛn˥˥	又，地域差
弦	hinn5	hinn②	hĩ˥˥	白
現	hin7	hin⑥	hin˨˨	
煙	in1	in①	in˦˥	
燕	ian1	ian①	iɛn˦˥	文
燕	en1	en①	ɛn˦˥	又，地域差
燕	ian3	ian⑤	iɛn˨˩˨	文，~窩
燕	en3	en⑤	ɛn˨˩˨	又，地域差
燕	inn3	inn⑤	ĩ˨˩˨	白
宴	an3	an⑤	an˨˩˨	
獺	thuah4	thuah⑦	tʰuaʔ˧˨	
達	tat8	tat⑧	tat˥˦	
捺	nai6	nai④	nai˨˥	俗
辣	lat8	lat⑧	lat˥˦	文
辣	luah4	luah⑦	luaʔ˧˨	白
辣	luah8	luah⑧	luaʔ˥˦	白
擦	tshat4	tshat⑦	tsʰat˧˨	
撒	sat4	sat⑦	sat˧˨	文
撒	suah4	suah⑦	suaʔ˧˨	白
薩	sat4	sat⑦	sat˧˨	
割	kuah4	kuah⑦	kuaʔ˧˨	
葛	kuah4	kuah⑦	kuaʔ˧˨	
渴	kuah4	kuah⑦	kuaʔ˧˨	
渴	khuah4	khuah⑦	kʰuaʔ˧˨	
喝	hat4	hat⑦	hat˧˨	文
喝	huah4	huah⑦	huaʔ˧˨	白
八	pueh4	pueh⑦	pueʔ˧˨	
拔	puat8	puat⑧	puat˥˦	文
拔	pueh8	pueh⑧	pueʔ˥˦	白
札	tsat4	tsat⑦	tsat˧˨	
扎	tsat4	tsat⑦	tsat˧˨	
察	tshat4	tshat⑦	tsʰat˧˨	
殺	suah4	suah⑦	suaʔ˧˨	
軋	tsat4	tsat⑦	tsat˧˨	俗
軋	khoih4	khoih⑦	kʰoiʔ˧˨	替
瞎	hat4	hat⑦	hat˧˨	
轄	hat4	hat⑦	hat˧˨	
憋	pih4	pih⑦	piʔ˧˨	
鱉	pih4	pih⑦	piʔ˧˨	
別	piat8	piat⑧	piɛt˥˦	文
別	pet8	pet⑧	pɛt˥˦	又，地域差
別	pat8	pat⑧	pat˥˦	白，~儂
別	pat4	pat⑦	pat˧˨	白
滅	mit8	mit⑧	mit˥˦	
列	liat8	liat⑧	liɛt˥˦	
列	let8	let⑧	lɛt˥˦	又，地域差
裂	lih8	lih⑧	liʔ˥˦	
烈	liat8	liat⑧	liɛt˥˦	
烈	let8	let⑧	lɛt˥˦	又，地域差
薛	sih4	sih⑦	siʔ˧˨	
褻	siat4	siat⑦	siɛt˧˨	
褻	set4	set⑦	sɛt˧˨	又，地域差
泄	siap8	siap⑧	siap˥˦	
哲	tiat4	tiat⑦	tiɛt˧˨	
哲	tet4	tet⑦	tɛt˧˨	又，地域差
徹	thiat4	thiat⑦	tʰiɛt˧˨	
徹	thet4	thet⑦	tʰɛt˧˨	又，地域差
撤	thiat4	thiat⑦	tʰiɛt˧˨	
撤	thet4	thet⑦	tʰɛt˧˨	又，地域差
轍	thiat4	thiat⑦	tʰiɛt˧˨	
轍	thet4	thet⑦	tʰɛt˧˨	又，地域差
浙	tsit4	tsit⑦	tsit˧˨	
舌	tsih8	tsih⑧	tsiʔ˥˦	
設	siat4	siat⑦	siɛt˧˨	
設	set4	set⑦	sɛt˧˨	又，地域差
折	sih8	sih⑧	siʔ˥˦	
折	tsih8	tsih⑧	tsiʔ˥˦	
折	tsih4	tsih⑦	tsiʔ˧˨	
熱	jiat8	jiat⑧	dziɛt˥˦	文
熱	jet8	jet⑧	dzɛt˥˦	又，地域差
熱	juah8	juah⑧	dzuaʔ˥˦	白
傑	kiat8	kiat⑧	kiɛt˥˦	
傑	ket8	ket⑧	kɛt˥˦	又，地域差
孽	ngiat8	ngiat⑧	ŋiɛt˥˦	
孽	nget8	nget⑧	ŋɛt˥˦	又，地域差
揭	kit4	kit⑦	kit˧˨	地名
揭	kiah4	kiah⑦	kiaʔ˧˨	白
竭	kiat8	kiat⑧	kiɛt˥˦	
竭	ket8	ket⑧	kɛt˥˦	又，地域差
歇	hiah4	hiah⑦	hiaʔ˧˨	
蝎	hiat4	hiat⑦	hiɛt˧˨	
蝎	het4	het⑦	hɛt˧˨	又，地域差
蝎	hat4	hat⑦	hat˧˨	
撇	phiat4	phiat⑦	pʰiɛt˧˨	文
撇	phet4	phet⑦	pʰɛt˧˨	又，地域差
撇	phuat4	phuat⑦	pʰuat˧˨	
篾	bih8	bih⑧	biʔ˥˦	
鐵	thih4	thih⑦	tʰiʔ˧˨	
迭	tiat4	tiat⑦	tiɛt˧˨	
迭	tet4	tet⑦	tɛt˧˨	又，地域差
跌	tiat4	tiat⑦	tiɛt˧˨	
跌	tet4	tet⑦	tɛt˧˨	又，地域差
跌	tiat8	tiat⑧	tiɛt˥˦	又
跌	tet8	tet⑧	tɛt˥˦	又，地域差
捏	niap4	niap⑦	niap˧˨	文
捏	niap8	niap⑧	niap˥˦	
節	tsiat4	tsiat⑦	tsiɛt˧˨	文
節	tset4	tset⑦	tsɛt˧˨	又，地域差
節	tsoih4	tsoih⑦	tsoiʔ˧˨	白，節日
節	tsat4	tsat⑦	tsat˧˨	白
切	tshiat4	tshiat⑦	tsʰiɛt˧˨	文
切	tshet4	tshet⑦	tsʰɛt˧˨	又，地域差
截	tsoih8	tsoih⑧	tsoiʔ˥˦	
屑	siat4	siat⑦	siɛt˧˨	
屑	set4	set⑦	sɛt˧˨	又，地域差
屑	sut4	sut⑦	sut˧˨	
結	kit4	kit⑦	kit˧˨	
結	kat4	kat⑦	kat˧˨	白
潔	kiat4	kiat⑦	kiɛt˧˨	
潔	ket4	ket⑦	kɛt˧˨	又，地域差
搬	puann1	puann①	puã˦˥	
般	puann1	puann①	puã˦˥	
半	puann3	puann⑤	puã˨˩˨	
潘	phuann1	phuann①	pʰuã˦˥	
潘	phun1	phun①	pʰun˦˥	泔水
拚	pun3	pun⑤	pun˨˩˨	
拚	piann3	piann⑤	piã˨˩˨	
判	phuan3	phuan⑤	pʰuan˨˩˨	文
判	phuann3	phuann⑤	pʰuã˨˩˨	白
盤	phuan5	phuan②	pʰuan˥˥	文
盤	puann5	puann②	puã˥˥	白
伴	phuann6	phuann④	pʰuã˨˥	
伴	puann7	puann⑥	puã˨˨	放~
叛	puan6	puan④	puan˨˥	
瞞	mua5	mua②	muã˥˥	
饅	muan6	muan④	muan˨˥	
饅	man6	man④	man˨˥	又
滿	muan2	muan③	muan˥˧	文
滿	mua2	mua③	muã˥˧	白
漫	muan6	muan④	muan˨˥	
端	tuan1	tuan①	tuan˦˥	
短	to2	to③	to˥˧	
斷	tuan3	tuan⑤	tuan˨˩˨	文
鍛	tuan3	tuan⑤	tuan˨˩˨	
團	thuan5	thuan②	tʰuan˥˥	
斷	tuan6	tuan④	tuan˨˥	文
斷	tng6	tng④	tŋ˨˥	白
段	tuan6	tuan④	tuan˨˥	文
段	tng7	tng⑥	tŋ˨˨	白
緞	tng7	tng⑥	tŋ˨˨	
暖	luan2	luan③	luan˥˧	
鸞	luan5	luan②	luan˥˥	
卵	luan2	luan③	luan˥˧	文
卵	nng6	nng④	nŋ˨˥	白
亂	luan6	luan④	luan˨˥	
鑽	tsng3	tsng⑤	tsŋ˨˩˨	
竄	tshuan3	tshuan⑤	tsʰuan˨˩˨	
酸	sng1	sng①	sŋ˦˥	
算	suan3	suan⑤	suan˨˩˨	文
算	sng3	sng⑤	sŋ˨˩˨	白
蒜	sng3	sng⑤	sŋ˨˩˨	
官	kuann1	kuann①	kuã˦˥	
觀	kuan1	kuan①	kuan˦˥	
冠	kuan1	kuan①	kuan˦˥	
管	kuan2	kuan③	kuan˥˧	文
管	kng2	kng③	kŋ˥˧	白
館	kuan2	kuan③	kuan˥˧	
冠	kuan3	kuan⑤	kuan˨˩˨	
觀	kuan3	kuan⑤	kuan˨˩˨	
灌	kuan3	kuan⑤	kuan˨˩˨	
罐	kuan3	kuan⑤	kuan˨˩˨	
貫	kuan3	kuan⑤	kuan˨˩˨	文
貫	kng3	kng⑤	kŋ˨˩˨	白
寬	khuan1	khuan①	kʰuan˦˥	文
寬	khuann1	khuann①	kʰuã˦˥	白
款	khuan2	khuan③	kʰuan˥˧	
玩	nguan2	nguan③	ŋuan˥˧	
歡	huan1	huan①	huan˦˥	文
歡	huann1	huann①	huã˦˥	白
喚	huan3	huan⑤	huan˨˩˨	
煥	huan3	huan⑤	huan˨˩˨	
完	uan5	uan②	uan˥˥	
丸	uan5	uan②	uan˥˥	
丸	inn5	inn②	ĩ˥˥	訓“圓”
緩	huan2	huan③	huan˥˧	
緩	man7	man⑥	man˨˨	訓“慢”
皖	uan2	uan③	uan˥˧	
換	huan3	huan⑤	huan˨˩˨	文
換	uann7	uann⑥	uã˨˨	白
豌	uan1	uan①	uan˦˥	
碗	uann2	uann③	uã˥˧	
腕	uan2	uan③	uan˥˧	
鰥	kuan1	kuan①	kuan˦˥	
幻	huan3	huan⑤	huan˨˩˨	
幻	huam3	huam⑤	huam˨˩˨	又
篡	tshuan3	tshuan⑤	tsʰuan˨˩˨	
撰	tsuan6	tsuan④	tsuan˨˥	
閂	tshuann3	tshuann⑤	tsʰuã˨˩˨	
涮	sueh4	sueh⑦	sueʔ˧˨	俗
涮	suan3	suan⑤	suan˨˩˨	
關	kuan1	kuan①	kuan˦˥	文
關	kuenn1	kuenn①	kuẽ˦˥	白
慣	kuan3	kuan⑤	kuan˨˩˨	文
慣	kuinn3	kuinn⑤	kũi˨˩˨	白，~勢
頑	nguan2	nguan③	ŋuan˥˧	文
頑	ngui5	ngui②	ŋũi˥˥	白，麻痹
還	huan5	huan②	huan˥˥	文
還	hoinn5	hoinn②	hõi˥˥	白，動詞
環	huan5	huan②	huan˥˥	
患	huam6	huam④	huam˨˥	
宦	huam6	huam④	huam˨˥	
彎	uan1	uan①	uan˦˥	
灣	uan1	uan①	uan˦˥	
戀	luan3	luan⑤	luan˨˩˨	
痊	tshuan5	tshuan②	tsʰuan˥˥	
全	tshuan5	tshuan②	tsʰuan˥˥	文
全	tsng5	tsng②	tsŋ˥˥	白
泉	tsuann5	tsuann②	tsuã˥˥	
宣	suan1	suan①	suan˦˥	
選	suan2	suan③	suan˥˧	
旋	suan5	suan②	suan˥˥	
旋	tsng7	tsng⑥	tsŋ˨˨	
轉	tsuan2	tsuan③	tsuan˥˧	文
轉	tng2	tng③	tŋ˥˧	白
傳	thuan5	thuan②	tʰuan˥˥	
椽	uan5	uan②	uan˥˥	俗
篆	tuan6	tuan④	tuan˨˥	
傳	tng7	tng⑥	tŋ˨˨	
專	tsuan1	tsuan①	tsuan˦˥	
磚	tsng1	tsng①	tsŋ˦˥	
川	tshuan1	tshuan①	tsʰuan˦˥	
穿	tshuan1	tshuan①	tsʰuan˦˥	文
穿	tshng1	tshng①	tsʰŋ˦˥	白
喘	tshuan2	tshuan③	tsʰuan˥˧	
舛	tshuan2	tshuan③	tsʰuan˥˧	
串	tshuan3	tshuan⑤	tsʰuan˨˩˨	
船	tsun5	tsun②	tsun˥˥	
軟	nng2	nng③	nŋ˥˧	
捲	kuan2	kuan③	kuan˥˧	文
捲	kng2	kng③	kŋ˥˧	白
眷	kuan3	kuan⑤	kuan˨˩˨	
卷	kuan2	kuan③	kuan˥˧	文
卷	kng2	kng③	kŋ˥˧	白
圈	khuan1	khuan①	kʰuan˦˥	
權	khuan5	khuan②	kʰuan˥˥	
拳	khun5	khun②	kʰun˥˥	
拳	kun5	kun②	kun˥˥	~頭
倦	kuan6	kuan④	kuan˨˥	
員	uan5	uan②	uan˥˥	
圓	inn5	inn②	ĩ˥˥	
院	inn7	inn⑥	ĩ˨˨	
緣	uan5	uan②	uan˥˥	
沿	in5	in②	in˥˥	
鉛	in5	in②	in˥˥	
捐	kian1	kian①	kiɛn˦˥	
捐	ken1	ken①	kɛn˦˥	又，地域差
藩	phuan1	phuan①	pʰuan˦˥	俗
反	huan2	huan③	huan˥˧	文
反	puenn2	puenn③	puẽ˥˧	白
翻	huan1	huan①	huan˦˥	
番	huan1	huan①	huan˦˥	
販	huan3	huan⑤	huan˨˩˨	
煩	huan5	huan②	huan˥˥	
礬	huam3	huam⑤	huam˨˩˨	
繁	huan5	huan②	huan˥˥	
飯	huan6	huan④	huan˨˥	文
飯	huam6	huam④	huam˨˥	文，又
飯	png7	png⑥	pŋ˨˨	白
晚	mng2	mng③	mŋ˥˧	
挽	man2	man③	man˥˧	
萬	buan7	buan⑥	buan˨˨	
勸	khng3	khng⑤	kʰŋ˨˩˨	
券	kuan3	kuan⑤	kuan˨˩˨	
元	nguan5	nguan②	ŋuan˥˥	
芫	uan5	uan②	uan˥˥	
原	nguan5	nguan②	ŋuan˥˥	
源	nguan5	nguan②	ŋuan˥˥	
阮	nguan2	nguan③	ŋuan˥˧	
願	nguan6	nguan④	ŋuan˨˥	
喧	suan1	suan①	suan˦˥	
冤	uan1	uan①	uan˦˥	
鴛	uan1	uan①	uan˦˥	
宛	uan2	uan③	uan˥˧	
婉	uan2	uan③	uan˥˧	
怨	uan3	uan⑤	uan˨˩˨	
袁	uan5	uan②	uan˥˥	
園	hng5	hng②	hŋ˥˥	
援	ian6	ian④	iɛn˨˥	
援	en6	en④	ɛn˨˥	又，地域差
遠	ian2	ian③	iɛn˥˧	文
遠	en2	en③	ɛn˥˧	又，地域差
遠	hng6	hng④	hŋ˨˥	白
涓	kian1	kian①	kiɛn˦˥	
涓	ken1	ken①	kɛn˦˥	又，地域差
犬	khian2	khian③	kʰiɛn˥˧	
犬	khen2	khen③	kʰɛn˥˧	又，地域差
懸	hian5	hian②	hiɛn˥˥	文
懸	hen5	hen②	hɛn˥˥	又，地域差
懸	kuinn5	kuinn②	kũi˥˥	白，高
玄	hian5	hian②	hiɛn˥˥	
玄	hen5	hen②	hɛn˥˥	又，地域差
縣	kuinn7	kuinn⑥	kũi˨˨	
眩	hian5	hian②	hiɛn˥˥	文
眩	hen5	hen②	hɛn˥˥	又，地域差
眩	hin5	hin②	hin˥˥	
淵	ian1	ian①	iɛn˦˥	
淵	en1	en①	ɛn˦˥	又，地域差
缽	puah4	puah⑦	puaʔ˧˨	
撥	phuah4	phuah⑦	pʰuaʔ˧˨	
潑	phuah4	phuah⑦	pʰuaʔ˧˨	
跋	puat8	puat⑧	puat˥˦	
跋	puah8	puah⑧	puah˦˥	替，摔倒
末	muat8	muat⑧	muat˥˦	文
末	buah8	buah⑧	buaʔ˥˦	白
抹	buah4	buah⑦	buaʔ˧˨	
沫	muat8	muat⑧	muat˥˦	文
沫	buah8	buah⑧	buaʔ˥˦	白
脫	thut4	thut⑦	tʰut˧˨	
奪	toh8	toh⑧	toʔ˥˦	
捋	luah8	luah⑧	luaʔ˥˦	替
捋	lut8	lut⑧	lut˥˦	
撮	tshoh4	tshoh⑦	tsʰoʔ˧˨	
括	kuat4	kuat⑦	kuat˧˨	
闊	khuah4	khuah⑦	kʰuaʔ˧˨	
豁	huah4	huah⑦	huaʔ˧˨	
豁	khuah4	khuah⑦	kʰuaʔ˧˨	又
活	uah8	uah⑧	uaʔ˥˦	
斡	uat4	uat⑦	uat˧˨	文
斡	ut4	ut⑦	ut˧˨	白
滑	kut8	kut⑧	kut˥˦	
猾	kut8	kut⑧	kut˥˦	
挖	ue1	ue①	ue˦˥	俗
挖	ueh4	ueh⑦	ueʔ˧˨	
刷	sueh4	sueh⑦	sueʔ˧˨	
刮	kueh4	kueh⑦	kueʔ˧˨	
劣	luat4	luat⑦	luat˧˨	
絕	tsoh8	tsoh⑧	tsoʔ˥˦	
雪	soh4	soh⑦	soʔ˧˨	
輟	tshuat4	tshuat⑦	tsʰuat˧˨	
拙	tshuat4	tshuat⑦	tsʰuat˧˨	
說	sueh4	sueh⑦	sueʔ˧˨	
悅	juat8	juat⑧	dzuat˥˦	
閲	luat4	luat⑦	luat˧˨	
髮	huat4	huat⑦	huat˧˨	
發	huat4	huat⑦	huat˧˨	
伐	huat8	huat⑧	huat˥˦	
筏	huat8	huat⑧	huat˥˦	
罰	huat8	huat⑧	huat˥˦	
襪	gueh8	gueh⑧	gueʔ˥˦	
厥	khiat4	khiat⑦	kʰiɛt˧˨	
厥	khet4	khet⑦	kʰɛt˧˨	又，地域差
厥	kueh4	kueh⑦	kueʔ˨	白
闕	khueh4	khueh⑦	kʰueʔ˧˨	
掘	kut8	kut⑧	kut˥˦	
橛	khiat4	khiat⑦	kʰiɛt˧˨	
橛	khet4	khet⑦	kʰɛt˧˨	又，地域差
橛	kueh8	kueh⑧	kueʔ˥˦	一截
月	gueh8	gueh⑧	gueʔ˥˦	
噦	ueh4	ueh⑦	ueʔ˧˨	
越	uat8	uat⑧	uat˥˦	
曰	uat4	uat⑦	uat˧˨	
粵	uat8	uat⑧	uat˥˦	
決	kuat4	kuat⑦	kuat˧˨	
訣	kuat4	kuat⑦	kuat˧˨	
缺	khueh4	khueh⑦	kʰueʔ˧˨	
缺	khih4	khih⑦	kʰiʔ˧˨	
血	hueh4	hueh⑦	hueʔ˧˨	
穴	huat8	huat⑧	huat˥˦	
吞	thun1	thun①	tʰun˦˥	
根	kurn1	kurn①	kɯn˦˥	
跟	kurn1	kurn①	kɯn˦˥	
墾	khurn2	khurn③	kʰɯn˥˧	
懇	khurn2	khurn③	kʰɯn˥˧	
齦	khurn2	khurn③	kʰɯn˥˧	
齦	ngurn5	ngurn②	ŋɯn˥˥	
痕	hun5	hun②	hun˥˥	
很	hurn2	hurn③	hɯn˥˧	
恨	hurn6	hurn④	hɯn˨˥	
恩	urn1	urn①	ɯn˦˥	
彬	pin1	pin①	pin˦˥	
賓	pin1	pin①	pin˦˥	
檳	pin1	pin①	pin˦˥	
殯	pin3	pin⑤	pin˨˩˨	
殯	pin1	pin①	pin˦˥	又
貧	phin5	phin②	pʰin˥˥	
貧	pan5	pan②	pan˥˥	白，~懶
頻	phin5	phin②	pʰin˥˥	
閩	man5	man②	man˥˥	
民	min5	min②	min˥˥	
敏	mian2	mian③	miɛn˥˧	
敏	men2	men③	mɛn˥˧	又，地域差
憫	mian2	mian③	miɛn˥˧	
憫	men2	men③	mɛn˥˧	又，地域差
鄰	lin5	lin②	lin˥˥	
鱗	lin5	lin②	lin˥˥	文
鱗	lan5	lan②	lan˥˥	白
磷	lin5	lin②	lin˥˥	
吝	lian6	lian④	liɛn˨˥	
吝	len6	len④	lɛn˨˥	又，地域差
津	tsin1	tsin①	tsin˦˥	
盡	tsin6	tsin④	tsin˨˥	
進	tsin3	tsin⑤	tsin˨˩˨	
晉	tsin3	tsin⑤	tsin˨˩˨	
親	tshin1	tshin①	tsʰin˦˥	
秦	tshin5	tshin②	tsʰin˥˥	
辛	sin1	sin①	sin˦˥	
新	sin1	sin①	sin˦˥	
薪	sin1	sin①	sin˦˥	
薪	tsin1	tsin①	tsin˦˥	
信	sin3	sin⑤	sin˨˩˨	
訊	sin3	sin⑤	sin˨˩˨	
珍	tian1	tian①	tiɛn˦˥	
珍	ten1	ten①	tɛn˦˥	又，地域差
鎮	tin3	tin⑤	tin˨˩˨	
趁	tsian2	tsian③	tsiɛn˥˧	俗
趁	tsen2	tsen③	tsɛn˥˧	又，地域差
趁	than3	than⑤	tʰan˨˩˨	白，賺
陳	thin5	thin②	tʰin˥˥	文
陳	tan5	tan②	tan˥˥	白，姓氏
塵	tin5	tin②	tin˥˥	文
塵	thun5	thun②	tʰun˥˥	白，筅~
陣	tin7	tin⑥	tin˨˨	文
陣	tsun7	tsun⑥	tsun˨˨	白，時~
陣	tsun5	tsun②	tsun˥˥	白，又
榛	tsin1	tsin①	tsin˦˥	
臻	tsin1	tsin①	tsin˦˥	
襯	tshin3	tshin⑤	tsʰin˨˩˨	
真	tsin1	tsin①	tsin˦˥	
診	tsian2	tsian③	tsiɛn˥˧	
診	tsen2	tsen③	tsɛn˥˧	又，地域差
疹	tsian2	tsian③	tsiɛn˥˧	
疹	tsen2	tsen③	tsɛn˥˧	又，地域差
振	tsin2	tsin③	tsin˥˧	
振	tin2	tin③	tin˥˧	~動
震	tsin2	tsin③	tsin˥˧	
神	sin5	sin②	sin˥˥	
身	sin1	sin①	sin˦˥	
申	sin1	sin①	sin˦˥	
伸	sin1	sin①	sin˦˥	文
伸	tshun1	tshun①	tsʰun˦˥	白
呻	sin1	sin①	sin˦˥	文
呻	tshan1	tshan①	tsʰan˦˥	白
娠	sin5	sin②	sin˥˥	
辰	sin5	sin②	sin˥˥	
晨	sin5	sin②	sin˥˥	
臣	tshin5	tshin②	tsʰin˥˥	
腎	sian6	sian④	siɛn˨˥	
腎	sen6	sen④	sɛn˨˥	又，地域差
慎	sin2	sin③	sin˥˧	
人	jin5	jin②	dzin˥˥	
人	nang5	nang②	naŋ˥˥	訓
仁	jin5	jin②	dzin˥˥	
忍	jim2	jim③	dzim˥˧	文
忍	lun2	lun③	lun˥˧	白
認	jin7	jin⑥	dzin˨˨	
刃	jim2	jim③	dzim˥˧	
韌	jim2	jim③	dzim˥˧	文
韌	jun7	jun⑥	dzun˨˨	白
巾	kurn1	kurn①	kɯn˦˥	
緊	kin2	kin③	kin˥˧	
僅	kurn2	kurn③	kɯn˥˧	
銀	ngurn5	ngurn②	ŋɯn˥˥	
因	in1	in①	in˦˥	
姻	in1	in①	in˦˥	
印	in3	in⑤	in˨˩˨	
寅	in5	in②	in˥˥	
引	in2	in③	in˥˧	
斤	kurn1	kurn①	kɯn˦˥	
筋	kurn1	kurn①	kɯn˦˥	
謹	kurn2	kurn③	kɯn˥˧	
勤	khurn5	khurn②	kʰɯn˥˥	
芹	khurn5	khurn②	kʰɯn˥˥	
近	kurn6	kurn④	kɯn˨˥	
欣	hurn1	hurn①	hɯn˦˥	
殷	hurn1	hurn①	hɯn˦˥	
隱	un2	un③	un˥˧	
筆	pit4	pit⑦	pit˧˨	
畢	pit4	pit⑦	pit˧˨	
畢	pit8	pit⑧	pit˥˦	又，~業
必	pit4	pit⑦	pit˧˨	
匹	phit4	phit⑦	pʰit˧˨	
弼	pit8	pit⑧	pit˥˦	
密	mit8	mit⑧	mit˥˦	文
密	mat8	mat⑧	mat˥˦	白，又，~~
密	bat8	bat⑧	bat˥˦	白
蜜	mit8	mit⑧	mit˥˦	文
蜜	bit8	bit⑧	bit˥˦	
栗	lat8	lat⑧	lat˥˦	
七	tshit4	tshit⑦	tsʰit˧˨	
漆	tship4	tship⑦	tsʰip˧˨	文，~器
漆	tshat4	tshat⑦	tsʰat˧˨	白
疾	tsit8	tsit⑧	tsit˥˦	
悉	sek4	sek⑦	sɛk˧˨	
膝	tship4	tship⑦	tsʰip˧˨	
窒	tiat4	tiat⑦	tiɛt˧˨	
窒	tet4	tet⑦	tɛt˧˨	又，地域差
侄	tiat8	tiat⑧	tiɛt˥˦	
侄	tet8	tet⑧	tɛt˥˦	又，地域差
秩	tiat4	tiat⑦	tiɛt˧˨	
秩	tet4	tet⑦	tɛt˧˨	又，地域差
瑟	sek4	sek⑦	sɛk˧˨	
虱	sat4	sat⑦	sat˧˨	
質	tsioh4	tsioh⑦	tsioʔ˧˨	
實	sit8	sit⑧	sit˥˦	文
實	tsat8	tsat⑧	tsat˥˦	白
失	sit4	sit⑦	sit˧˨	
室	sit4	sit⑦	sit˧˨	
日	jit8	jit⑧	dzit˥˦	
吉	kit4	kit⑦	kit˧˨	
一	it4	it⑦	it˧˨	
一	tsek8	tsek⑧	tsɛk˥˦	訓
乙	it4	it⑦	it˧˨	
逸	it8	it⑧	it˥˦	
乞	khurt4	khurt⑦	kʰɯt˧˨	
迄	ngurt4	ngurt⑦	ŋɯt˧˨	
吃	ngurt4	ngurt⑦	ŋɯt˧˨	
奔	pun1	pun①	pun˦˥	
奔	phun1	phun①	pʰun˦˥	
本	png2	png③	pŋ˥˧	
噴	phun3	phun⑤	pʰun˨˩˨	
盆	phun5	phun②	pʰun˥˥	
笨	pun2	pun③	pun˥˧	
門	mng5	mng②	mŋ˥˥	
敦	tun1	tun①	tun˦˥	
墩	tun1	tun①	tun˦˥	
頓	tun6	tun④	tun˨˥	文
頓	tun3	tun⑤	tun˨˩˨	動詞
頓	tng3	tng⑤	tŋ˨˩˨	白
褪	tho3	tho⑤	tʰo˨˩˨	俗
褪	thng3	thng⑤	tʰŋ˨˩˨	
屯	thun5	thun②	tʰun˥˥	
豚	thun5	thun②	tʰun˥˥	
飩	thun1	thun①	tʰun˦˥	
臀	thun5	thun②	tʰun˥˥	
臀	tian6	tian④	tiɛn˨˥	俗
臀	ten6	ten④	tɛn˨˥	又，地域差
囤	thun5	thun②	tʰun˥˥	
囤	tun1	tun①	tun˦˥	俗
沌	tun6	tun④	tun˨˥	
盾	tun2	tun③	tun˥˧	
鈍	tun6	tun④	tun˨˥	
遁	tun6	tun④	tun˨˥	
嫩	lun3	lun⑤	lun˨˩˨	
崙	lun5	lun②	lun˥˥	
論	lun6	lun④	lun˨˥	
尊	tsun1	tsun①	tsun˦˥	
村	tshng1	tshng①	tsʰŋ˦˥	
寸	tshun3	tshun⑤	tsʰun˨˩˨	
存	tshun5	tshun②	tsʰun˥˥	
蹲	tsun1	tsun①	tsun˦˥	
蹲	tun1	tun①	tun˦˥	
孫	sun1	sun①	sun˦˥	
孫	sng1	sng①	sŋ˦˥	白，姓氏
損	sun2	sun③	sun˥˧	文
損	sng2	sng③	sŋ˥˧	白
遜	sun3	sun⑤	sun˨˩˨	
昆	khun1	khun①	kʰun˦˥	
崑	khun1	khun①	kʰun˦˥	
滾	kun2	kun③	kun˥˧	
棍	kun3	kun⑤	kun˨˩˨	
坤	khun1	khun①	kʰun˦˥	
捆	khun2	khun③	kʰun˥˧	
困	khun3	khun⑤	kʰun˨˩˨	
昏	hun1	hun①	hun˦˥	
昏	hng1	hng①	hŋ˦˥	白，暝~，夜晚
婚	hun1	hun①	hun˦˥	
魂	hun5	hun②	hun˥˥	
餛	hun5	hun②	hun˥˥	
混	hun6	hun④	hun˨˥	
渾	hun6	hun④	hun˨˥	
温	un1	un①	un˦˥	
瘟	un1	un①	un˦˥	
穩	un2	un③	un˥˧	
倫	lun5	lun②	lun˥˥	
淪	lun5	lun②	lun˥˥	
輪	lun5	lun②	lun˥˥	
遵	tsun1	tsun①	tsun˦˥	
俊	tsun3	tsun⑤	tsun˨˩˨	
竣	tsun3	tsun⑤	tsun˨˩˨	
荀	sun5	sun②	sun˥˥	
詢	sun5	sun②	sun˥˥	
迅	sin3	sin⑤	sin˨˩˨	
旬	sun5	sun②	sun˥˥	
循	sun5	sun②	sun˥˥	
巡	sun5	sun②	sun˥˥	
殉	sun5	sun②	sun˥˥	
諄	tun1	tun①	tun˦˥	
準	tsun2	tsun③	tsun˥˧	
准	tsun2	tsun③	tsun˥˧	
春	tshun1	tshun①	tsʰun˦˥	
蠢	tshun2	tshun③	tsʰun˥˧	
唇	tun5	tun②	tun˥˥	
順	sun6	sun④	sun˨˥	
