汉字	拼音	IPA	注释		
芥	kua5	kua˨˩˨	白，~菜		
芥	keh7	kɛʔ˨	替，~藍		
尬	kai5	kai˨˩˨			
界	kai5	kai˨˩˨	文		
界	koi5	koi˨˩˨	白，地名		
介	kai5	kai˨˩˨			
疥	koi5	koi˨˩˨			
届	kai5	kai˨˩˨			
揩	khoi1	kʰoi˧˧			
楷	khai3	kʰai˥˩			
諧	hai2	hai˥˥			
駭	hai4	hai˨˥			
械	hai4	hai˨˥			
挨	ai1	ai˧˧	文		
挨	oi1	oi˧˧	白		
擺	pai3	pai˥˩			
派	phai5	pʰai˨˩˨			
牌	pai2	pai˥˥			
罷	pa4	pa˨˥			
稗	phoinn6	pʰõi˨˩			
買	boi3	boi˥˩			
賣	boi6	boi˨˩			
奶	nai3	nai˥˩	文		
奶	ni4	ni˨˥	訓		
奶	ni1	ni˧˧	訓		
債	tse5	tsɛ˨˩˨			
釵	thoi1	tʰoi˧˧			
差	tshe1	tsʰɛ˧˧			
柴	tsha2	tsʰa˥˥	訓		
篩	sai1	sai˧˧	文，~酒		
篩	thai1	tʰai˧˧	白		
灑	sai5	sai˨˩˨			
灑	sa5	sa˨˩˨	又，瀟~		
曬	sai5	sai˨˩˨			
佳	kia1	kia˧˧			
街	koi1	koi˧˧			
涯	ngai2	ŋai˥˥			
崖	ngai2	ŋai˥˥			
鞋	oi2	oi˥˥			
蟹	hoi4	hoi˨˥			
解	hai4	hai˨˥	文		
解	koi3	koi˥˩	白		
解	koi5	koi˨˩˨	白		
解	oi4	oi˨˥	白，會		
懈	hai4	hai˨˥			
矮	oi3	oi˥˩			
隘	ai3	ai˥˩			
敗	pai6	pai˨˩			
邁	mai4	mai˨˥			
寨	tse6	tsɛ˨˩			
蔽	pi6	pi˨˩			
斃	pi6	pi˨˩			
敝	pi6	pi˨˩			
幣	pi4	pi˨˥			
弊	pi6	pi˨˩			
厲	li4	li˨˥			
勵	li4	li˨˥			
例	li6	li˨˩			
祭	tsi5	tsi˨˩˨			
際	tsi5	tsi˨˩˨			
穄	tsi5	tsi˨˩˨			
滯	thi5	tʰi˨˩˨			
制	tsi5	tsi˨˩˨			
製	tsi5	tsi˨˩˨			
勢	si5	si˨˩˨			
世	si5	si˨˩˨	文		
世	sua5	sua˨˩˨	白，續		
誓	si6	si˨˩	文		
誓	tsua6	tsua˨˩	白，咒~		
逝	si6	si˨˩	文		
逝	tsua6	tsua˨˩	白，次		
藝	goi6	goi˨˩			
刈	ngi4	ŋi˨˥			
閉	pi6	pi˨˩			
批	phoi1	pʰoi˧˧			
陛	pi4	pi˨˥			
迷	mi2	mi˥˥			
米	bi3	bi˥˩			
謎	mi4	mi˨˥			
堤	toi1	toi˧˧			
低	ti1	ti˧˧			
底	ti3	ti˥˩	文		
底	toi3	toi˥˩	白		
抵	ti3	ti˥˩	文		
抵	toi3	toi˥˩	白		
帝	ti5	ti˨˩˨			
梯	thui1	tʰui˧˧			
體	thi3	tʰi˥˩	文		
體	thoinn3	tʰõi˥˩	白		
替	thi5	tʰi˨˩˨	文		
替	thoi5	tʰoi˨˩˨	白		
涕	thi5	tʰi˨˩˨			
剃	thi5	tʰi˨˩˨			
提	thi2	tʰi˥˥			
題	toi2	toi˥˥			
蹄	toi2	toi˥˥			
啼	thi2	tʰi˥˥			
弟	ti4	ti˨˥			
第	ti4	ti˨˥	文		
第	toinn4	tõi˨˥	白		
遞	ti2	ti˥˥			
遞	ti4	ti˨˥			
泥	ni2	ni˥˥			
犁	li2	li˥˥	文		
犁	loi2	loi˥˥	白		
黎	li2	li˥˥	文		
黎	loi2	loi˥˥	白，姓氏		
