	字	音	調	注			聲調																																										
	髹																																																
	擀																																																
	熹																																																
	甏																																																
	擻																																																
	縠																																																
	磬																																																
	顳																																																
	蕻																																																
	鞘																																																
	顢																																																
	薤																																																
	薨																																																
	檠																																																
	薏																																																
	藪																																																
	薜																																																
	薅																																																
	樾																																																
	橛																																																
	橇																																																
	樵																																																
	檎																																																
	櫓																																																
	樽																																																
	樨																																																
	櫞																																																
	墼																																																
	橐																																																
	翮																																																
	醛																																																
	醐																																																
	醍																																																
	醚																																																
	磲																																																
	贋																																																
	飆																																																
	殪																																																
	霖																																																
	霏																																																
	霓																																																
	鏨																																																
	轔																																																
	臻																																																
	遽																																																
	氅																																																
	瞟																																																
	瞠																																																
	瞰																																																
	嚄																																																
	嚆																																																
	噤																																																
	暾																																																
	蹀																																																
	踹																																																
	踵																																																
	踽																																																
	蹉																																																
	蹁																																																
	蟎																																																
	蟒																																																
	螈																																																
	螅																																																
	螭																																																
	螠																																																
	螟																																																
	噱																																																
	噬																																																
	噫																																																
	噻																																																
	劈																																																
	罹																																																
	圜																																																
	䦃																																																
	鏢																																																
	鏜																																																
	鏝																																																
	鏰																																																
	鏞																																																
	鏑																																																
	鏃																																																
	鏐																																																
	氌																																																
	氆																																																
	憩																																																
	穡																																																
	篝																																																
	篥																																																
	篦																																																
	篪																																																
	篙																																																
	盥																																																
	劓																																																
	翺																																																
	魎																																																
	魈																																																
	徼																																																
	歙																																																
	膳																																																
	膦																																																
	膙																																																
	鯪																																																
	鯡																																																
	鯤																																																
	鯧																																																
	鯝																																																
	鯢																																																
	鯛																																																
	鯔																																																
	獴																																																
	獺																																																
	獬																																																
	邂																																																
	鷓																																																
	廨																																																
	贇																																																
	瘰																																																
	廩																																																
	癭																																																
	瘵																																																
	瘴																																																
	癃																																																
	瘳																																																
	斕																																																
	麇																																																
	麈																																																
	嬴																																																
	壅																																																
	羲																																																
	糗																																																
	瞥																																																
	甑																																																
	燎																																																
	燠																																																
	燔																																																
	燧																																																
	瀨																																																
	濉																																																
	潞																																																
	澧																																																
	澹																																																
	澥																																																
	澶																																																
	濂																																																
	褰																																																
	寰																																																
	窸																																																
	褶																																																
	禧																																																
	嬖																																																
	強																																																
	隰																																																
	嬗																																																
	顙																																																
	繾																																																
	繰																																																
	繯																																																
	璨																																																
	璩																																																
	璐																																																
	璪																																																
	螫																																																
	擤																																																
	壕																																																
	觳																																																
	罄																																																
	擢																																																
	薹																																																
	鞡																																																
	鞬																																																
	薷																																																
	熏																																																
	蘚																																																
	槁																																																
	檄																																																
	檁																																																
	懋																																																
	醢																																																
	翳																																																
	礅																																																
	磴																																																
	鷯																																																
	齲																																																
	齷																																																
	豳																																																
	壑																																																
	黻																																																
	嚏																																																
	嚅																																																
	躡																																																
	蹣																																																
	蹊																																																
	蟥																																																
	螬																																																
	螵																																																
	疃																																																
	螳																																																
	蟑																																																
	嚓																																																
	羈																																																
	罽																																																
	罾																																																
	嶷																																																
	黜																																																
	黝																																																
	髁																																																
	髀																																																
	鐔																																																
	鐝																																																
	鐐																																																
	鐓																																																
	鑭																																																
	鑹																																																
	鏹																																																
	鐙																																																
	罅																																																
	黏																																																
	簌																																																
	篾																																																
	篼																																																
	籪																																																
	簋																																																
	鼢																																																
	黛																																																
	儡																																																
	鷦																																																
	鼾																																																
	皤																																																
	魍																																																
	龠																																																
	繇																																																
	貘																																																
	邈																																																
	貔																																																
	臌																																																
	膻																																																
	臆																																																
	臃																																																
	鱝																																																
	鰈																																																
	鯷																																																
	鰓																																																
	鰍																																																
	鰉																																																
	鯿																																																
	螽																																																
	燮																																																
	鷲																																																
	襄																																																
	糜																																																
	縻																																																
	膺																																																
	癍																																																
	麋																																																
	懣																																																
	濡																																																
	濮																																																
	濞																																																
	濠																																																
	濯																																																
	蹇																																																
	謇																																																
	邃																																																
	繈																																																
	檗																																																
	擘																																																
	孺																																																
	隳																																																
	嬤																																																
	蟊																																																
	鷸																																																
	鍪																																																
	鏊																																																
	鼇																																																
	鬈																																																
	鬃																																																
	瞽																																																
	韉																																																
	鞨																																																
	鞫																																																
	鞧																																																
	鞣																																																
	藜																																																
	藠																																																
	藩																																																
	醪																																																
	蹙																																																
	礓																																																
	燹																																																
	餮																																																
	瞿																																																
	曛																																																
	顥																																																
	曜																																																
	躇																																																
	蹚																																																
	鷺																																																
	蟛																																																
	蟪																																																
	蟠																																																
	蟮																																																
	鹮																																																
	黠																																																
	黟																																																
	髏																																																
	髂																																																
	鑊																																																
	鐳																																																
	鐲																																																
	馥																																																
	簟																																																
	簪																																																
	鼬																																																
	讎																																																
	艟																																																
	鰨																																																
	鰥																																																
	鰩																																																
	癩																																																
	癔																																																
	癜																																																
	癖																																																
	糨																																																
	蹩																																																
	鎏																																																
	懵																																																
	彜																																																
	邋																																																
	鬏																																																
	攉																																																
	攢																																																
	鞲																																																
	韝																																																
	藿																																																
	蘧																																																
	蘅																																																
	麓																																																
	醮																																																
	醯																																																
	酃																																																
	霪																																																
	靄																																																
	霨																																																
	黼																																																
	謔																																																
	躕																																																
	蹶																																																
	蹽																																																
	蹼																																																
	蹴																																																
	蹾																																																
	躥																																																
	蠖																																																
	蠓																																																
	蟾																																																
	蠊																																																
	黢																																																
	髖																																																
	髕																																																
	鑔																																																
	籀																																																
	籟																																																
	齁																																																
	魑																																																
	艨																																																
	鰳																																																
	鰾																																																
	鱈																																																
	鰻																																																
	鱅																																																
	麒																																																
	鏖																																																
	羸																																																
	㸆																																																
	瀚																																																
	瀣																																																
	瀛																																																
	襦																																																
	讖																																																
	襞																																																
	驥																																																
	纘																																																
	瓚																																																
	攘																																																
	蘩																																																
	蘖																																																
	醴																																																
	霰																																																
	酆																																																
	矍																																																
	曦																																																
	躅																																																
	鼉																																																
	巉																																																
	黷																																																
	黥																																																
	黲																																																
	鑣																																																
	鑞																																																
	黧																																																
	纂																																																
	璺																																																
	鼯																																																
	臢																																																
	鱖																																																
	鱔																																																
	鱒																																																
	獾																																																
	孀																																																
	驤																																																
	瓘																																																
	鼙																																																
	醺																																																
	礴																																																
	顰																																																
	曩																																																
	鱧																																																
	癲																																																
	麝																																																
	夔																																																
	爝																																																
	灝																																																
	禳																																																
	鐾																																																
	羼																																																
	蠡																																																
	耱																																																
	懿																																																
	蘸																																																
	鸛																																																
	霾																																																
	氍																																																
	饕																																																
	躐																																																
	髑																																																
	鑱																																																
	穰																																																
	饔																																																
	鬻																																																
	鬟																																																
	趲																																																
	攫																																																
	攥																																																
	顴																																																
	躦																																																
	鼴																																																
	臒																																																
	麟																																																
	蠲																																																
	蠹																																																
	躞																																																
	衢																																																
	鑫																																																
	灞																																																
	襻																																																
	纛																																																
	鬣																																																
	攮																																																
	囔																																																
	饢																																																
	戇																																																
	爨																																																
	齉																																																
	亍																																																
	尢																																																
	彳																																																
	卬																																																
	殳																																																
	_xD841__xDE76_																																																
	毌																																																
	邘																																																
	戔																																																
	圢																																																
	氕																																																
	伋																																																
	仝																																																
	冮																																																
	氿																																																
	汈																																																
	泛																																																
	忉																																																
	宄																																																
	_xD872__xDCD9_																																																
	訒																																																
	扞																																																
	圲																																																
	圫																																																
	芏																																																
	芃																																																
	朳																																																
	朸																																																
	_xD861__xDE78_																																																
	邨																																																
	吒																																																
	吖																																																
	屼																																																
	屾																																																
	辿																																																
	釓																																																
	仳																																																
	伣																																																
	伈																																																
	癿																																																
	甪																																																
	邠																																																
	犴																																																
	冱																																																
	邡																																																
	閆																																																
	_xD870__xDDD5_																																																
	汋																																																
	䜣																																																
	訩																																																
	_xD872__xDCDE_																																																
	孖																																																
	_xD871__xDE13_																																																
	纊																																																
	玒																																																
	玓																																																
	玘																																																
	瑒																																																
	剗																																																
	_xD86E__xDF5F_																																																
	壢																																																
	坉																																																
	扽																																																
	_xD86E__xDF62_																																																
	坋																																																
	扺																																																
	㧑																																																
	毐																																																
	芰																																																
	芣																																																
	苊																																																
	苉																																																
	芘																																																
	芴																																																
	芠																																																
	_xD86C__xDDED_																																																
	芤																																																
	杕																																																
	杙																																																
	杄																																																
	杧																																																
	榪																																																
	尪																																																
	尨																																																
	軑																																																
	_xD86D__xDC04_																																																
	坒																																																
	羋																																																
	旴																																																
	旵																																																
	咼																																																
	㕮																																																
	岍																																																
	_xD86F__xDD77_																																																
	岠																																																
	岜																																																
	呇																																																
	冏																																																
	覎																																																
	嶴																																																
	伾																																																
	㑇																																																
	伭																																																
	佖																																																
	伲																																																
	佁																																																
	揚																																																
	狃																																																
	閌																																																
	汧																																																
	汫																																																
	_xD84F__xDC98_																																																
	_xD84F__xDC97_																																																
	沄																																																
	沘																																																
	_xD870__xDDD9_																																																
	汭																																																
	㳇																																																
	沇																																																
	忮																																																
	忳																																																
	忺																																																
	_xD872__xDCE1_																																																
	祃																																																
	詗																																																
	邲																																																
	詘																																																
	詖																																																
	屭																																																
	_xD86F__xDE29_																																																
	岊																																																
	阽																																																
	䢺																																																
	阼																																																
	妧																																																
	妘																																																
	_xD861__xDE95_																																																
	紘																																																
	馹																																																
	_xD86D__xDE1C_																																																
	紵																																																
	_xD871__xDE18_																																																
	_xD86D__xDE1D_																																																
	紖																																																
	玤																																																
	玞																																																
	瑲																																																
	玟																																																
	邽																																																
	邿																																																
	坥																																																
	坰																																																
	坬																																																
	坽																																																
	弆																																																
	耵																																																
	䢼																																																
	_xD85A__xDF5C_																																																
	茋																																																
	苧																																																
	苾																																																
	苠																																																
	枅																																																
	㭎																																																
	枘																																																
	枍																																																
	矼																																																
	矻																																																
	匼																																																
	_xD872__xDE02_																																																
	_xD870__xDC29_																																																
	_xD870__xDC2A_																																																
	旿																																																
	升																																																
	昄																																																
	昒																																																
	昈																																																
	咉																																																
	咇																																																
	咍																																																
	岵																																																
	崬																																																
	岨																																																
	岞																																																
	峂																																																
	㟃																																																
	囷																																																
	_xD872__xDF29_																																																
	釤																																																
	鍆																																																
	鍚																																																
	牥																																																
	佴																																																
	垈																																																
	侁																																																
	侹																																																
	佸																																																
	佺																																																
	隹																																																
	㑊																																																
	侂																																																
	佽																																																
	侘																																																
	郈																																																
	舠																																																
	鄶																																																
	合																																																
	攽																																																
	肭																																																
	肸																																																
	膁																																																
	狉																																																
	獮																																																
	飿																																																
	忞																																																
	於																																																
	炌																																																
	炆																																																
	泙																																																
	沺																																																
	泂																																																
	泜																																																
	泃																																																
	泇																																																
	怊																																																
	嶨																																																
	穸																																																
	祋																																																
	祊																																																
	_xD86C__xDF63_																																																
	_xD872__xDCF3_																																																
	_xD872__xDE7D_																																																
	鳲																																																
	弢																																																
	弨																																																
	陑																																																
	_xD872__xDFBF_																																																
	陎																																																
	_xD872__xDFC0_																																																
	巹																																																
	乸																																																
	妭																																																
	姈																																																
	_xD86F__xDC1B_																																																
	徑																																																
	叕																																																
	_xD873__xDCF5_																																																
	駔																																																
	_xD873__xDCF6_																																																
	䌹																																																
	騶																																																
	_xD86E__xDC0A_																																																
	紼																																																
	紿																																																
	砉																																																
	耔																																																
	㛃																																																
	玶																																																
	珇																																																
	珅																																																
	_xD870__xDF5B_																																																
	珋																																																
	玹																																																
	珌																																																
	玿																																																
	韍																																																
	垚																																																
	墶																																																
	垙																																																
	塏																																																
	埏																																																
	垍																																																
	耇																																																
	鿍																																																
	垎																																																
	堖																																																
	垟																																																
	垞																																																
	挓																																																
	垵																																																
	垏																																																
	拶																																																
	荖																																																
	荁																																																
	薘																																																
	蕘																																																
	茈																																																
	茽																																																
	荄																																																
	茺																																																
	_xD871__xDF2C_																																																
	荓																																																
	茳																																																
	_xD85B__xDC21_																																																
	茛																																																
	葒																																																
	㭕																																																
	柷																																																
	柃																																																
	柊																																																
	枹																																																
	栐																																																
	柖																																																
	郚																																																
	剅																																																
	䴓																																																
	乃																																																
	厖																																																
	砆																																																
	砑																																																
	砄																																																
	耏																																																
	奓																																																
	䶮																																																
	軹																																																
	軤																																																
	轢																																																
	軺																																																
	昺																																																
	_xD86B__xDFA2_																																																
	曨																																																
	盷																																																
	咡																																																
	咺																																																
	昳																																																
	昣																																																
	噠																																																
	昤																																																
	昫																																																
	昡																																																
	咥																																																
	昪																																																
	虷																																																
	虸																																																
	哃																																																
	峘																																																
	端																																																
	峛																																																
	_xD86A__xDE30_																																																
	峗																																																
	峧																																																
	帡																																																
	鈃																																																
	_xD86D__xDCE7_																																																
	鉅																																																
	_xD872__xDF2E_																																																
	_xD872__xDF31_																																																
	_xD872__xDF2D_																																																
	鈧																																																
	鈥																																																
	鈄																																																
	矧																																																
	秬																																																
	俫																																																
	舁																																																
	俜																																																
	俙																																																
	俍																																																
	垕																																																
	衎																																																
	艤																																																
	弇																																																
	侴																																																
	鶬																																																
	䏡																																																
	胠																																																
	_xD859__xDE76_																																																
	胈																																																
	胩																																																
	胣																																																
	朏																																																
	颭																																																
	訄																																																
	餏																																																
	庤																																																
	疢																																																
	炣																																																
