广韵字	繁体字	简体字	常用级	频率	声母	韵母	调值	声调	国际音标	说明	
晰	晰	晰			ɕ	i	24	阳平	ɕi24	新	
析	析	析			ɕ	i	24	阳平	ɕi24	新	
檄	檄	檄	D		ɕ	i	24	阳平	ɕi24		
熄	熄	熄	C	2284	ɕ	i	24	阳平	ɕi24		
矽	矽	硅			ɕ	i	24	阳平	ɕi24	新	
習	習	习			ɕ	i	24	阳平	ɕi24	新	
蓆	蓆	席			ɕ	i	24	阳平	ɕi24	新	
襲	襲	袭			ɕ	i	24	阳平	ɕi24	新	
錫	錫	锡			ɕ	i	24	阳平	ɕi24	新	
喜	喜	喜	A3	58449	ɕ	i	42	上声	ɕi42		
洗	洗	洗	B	20229	ɕ	i	42	上声	ɕi42		
蟢	蟢	蟢	E		ɕ	i	42	上声	ɕi42		
許	許	许			ɕ	i	42	上声	ɕi42		
婿	婿	婿	C	1635	ɕ	i	45	去声	ɕi45		
戲	戲	戏	B	29402	ɕ	i	45	去声	ɕi45		
系	系	系	A3	190769	ɕ	i	45	去声	ɕi45		
絮	絮	絮			ɕ	i	45	去声	ɕi45		
緒	緒	绪	B	15571	ɕ	i	45	去声	ɕi45		
繫	繫	系	A3	190769	ɕ	i	45	去声	ɕi45		
隙	隙	隙	C	4130	ɕ	i	45	去声	ɕi45		
蝦	蝦	虾	C	2338	ɕ	ia	13	阴平	ɕia13		
挲	挲	挲			ɕ	ia	13	阴平	ɕia13	腿张开	
俠	俠	侠	B	20999	ɕ	ia	24	阳平	ɕia24		
匣	匣	匣	C	1747	ɕ	ia	24	阳平	ɕia24		
峽	峽	峡	B	10028	ɕ	ia	24	阳平	ɕia24		
狹	狹	狭	C	6901	ɕ	ia	24	阳平	ɕia24		
瞎	瞎	瞎	C	4260	ɕ	ia	24	阳平	ɕia24		
轄	轄	辖	B	11213	ɕ	ia	24	阳平	ɕia24		
郟	郟	郏	E		ɕ	ia	24	阳平	ɕia24		
霞	霞	霞	C	6885	ɕ	ia	24	阳平	ɕia24		
下	下	下	A1	621185	ɕ	ia	45	去声	ɕia45	文	
夏	夏	夏	B	24888	ɕ	ia	45	去声	ɕia45		
廈	廈	厦	C	5083	ɕ	ia	45	去声	ɕia45		
廈	廈	厦	C	5083	ɕ	ia	45	去声	ɕia45		
仙	仙	仙			ɕ	ien	13	阴平	ɕien13	新	
先	先	先			ɕ	ien	13	阴平	ɕien13	新	
杴	杴	杴	E		ɕ	ien	13	阴平	ɕien13		
纖	纖	纤	C	6166	ɕ	ien	13	阴平	ɕien13	新	
鍁	鍁	锨	C	268	ɕ	ien	13	阴平	ɕien13		
鮮	鮮	鲜			ɕ	ien	13	阴平	ɕien13	新	
咸	咸	咸			ɕ	ien	24	阳平	ɕien24	新	
啣	啣	衔	D		ɕ	ien	24	阳平	ɕien24	新	
嫌	嫌	嫌	B	8748	ɕ	ien	24	阳平	ɕien24		
弦	弦	弦	C	5117	ɕ	ien	24	阳平	ɕien24	新	
暇	暇	暇	C	2641	ɕ	ien	24	阳平	ɕien24		
涎	涎	涎			ɕ	ien	24	阳平	ɕien24		
絃	絃	弦	D		ɕ	ien	24	阳平	ɕien24	新	
舷	舷	舷	C	1654	ɕ	ien	24	阳平	ɕien24	新	
賢	賢	贤	C	7713	ɕ	ien	24	阳平	ɕien24		
銜	銜	衔	C	4684	ɕ	ien	24	阳平	ɕien24	新	
閑	閑	闲	C	13316	ɕ	ien	24	阳平	ɕien24		
閒	閒	闲	C	13316	ɕ	ien	24	阳平	ɕien24		
鹹	鹹	咸	C	3627	ɕ	ien	24	阳平	ɕien24	新	
銑	銑	铣	C	226	ɕ	ien	42	上声	ɕien42		
險	險	险	A3	58047	ɕ	ien	42	上声	ɕien42		
顯	顯	显	A3	87825	ɕ	ien	42	上声	ɕien42		
鮮	鮮	鲜			ɕ	ien	42	上声	ɕien42	新	
憲	憲	宪	B	14251	ɕ	ien	45	去声	ɕien45		
獻	獻	献	B	22396	ɕ	ien	45	去声	ɕien45		
現	現	现	A1	433960	ɕ	ien	45	去声	ɕien45		
線	線	线			ɕ	ien	45	去声	ɕien45	新	
縣	縣	县	A3	38407	ɕ	ien	45	去声	ɕien45		
羨	羨	羡			ɕ	ien	45	去声	ɕien45	新	
腺	腺	腺			ɕ	ien	45	去声	ɕien45	新	
陷	陷	陷	B	19703	ɕ	ien	45	去声	ɕien45	文	
餡	餡	馅	C	742	ɕ	ien	45	去声	ɕien45		
限	限	限			ɕ	ien	45	去声	ɕien45		
廂	廂	厢			ɕ	iaŋ	13	阴平	ɕiaŋ13	新	
湘	湘	湘			ɕ	iaŋ	13	阴平	ɕiaŋ13	新	
相	相	相			ɕ	iaŋ	13	阴平	ɕiaŋ13	新	
襄	襄	襄			ɕ	iaŋ	13	阴平	ɕiaŋ13	新	
鄉	鄉	乡	A3	36025	ɕ	iaŋ	13	阴平	ɕiaŋ13		
鑲	鑲	镶			ɕ	iaŋ	13	阴平	ɕiaŋ13	新	
香	香	香	A3	46525	ɕ	iaŋ	13	阴平	ɕiaŋ13		
祥	祥	祥			ɕ	iaŋ	24	阳平	ɕiaŋ24	新	
翔	翔	翔			ɕ	iaŋ	24	阳平	ɕiaŋ24	新	
詳	詳	详			ɕ	iaŋ	24	阳平	ɕiaŋ24	新	
降	降	降	A3	49306	ɕ	iaŋ	24	阳平	ɕiaŋ24		
享	享	享	B	20830	ɕ	iaŋ	42	上声	ɕiaŋ42		
想	想	想			ɕ	iaŋ	42	上声	ɕiaŋ42	新	
響	響	响	A3	81702	ɕ	iaŋ	42	上声	ɕiaŋ42		
像	像	像			ɕ	iaŋ	45	去声	ɕiaŋ45	新	
向	向	向	A2	276986	ɕ	iaŋ	45	去声	ɕiaŋ45		
嚮	嚮	向	A2	276986	ɕ	iaŋ	45	去声	ɕiaŋ45		
橡	橡	橡	C	2251	ɕ	iaŋ	45	去声	ɕiaŋ45		
相	相	相			ɕ	iaŋ	45	去声	ɕiaŋ45	新	
象	象	象	A2	143453	ɕ	iaŋ	45	去声	ɕiaŋ45		
囂	囂	嚣	C	1930	ɕ	iau	13	阴平	ɕiau13		
宵	宵	宵	C	1604	ɕ	iau	13	阴平	ɕiau13	新	
消	消	消	A3	96263	ɕ	iau	13	阴平	ɕiau13	新	
硝	硝	硝	C	1695	ɕ	iau	13	阴平	ɕiau13	新	
簫	簫	箫	C	874	ɕ	iau	13	阴平	ɕiau13	新	
肖	肖	肖	C	6899	ɕ	iau	13	阴平	ɕiau13	新	
蕭	蕭	萧	B	8097	ɕ	iau	13	阴平	ɕiau13	新	
蛸	蛸	蛸	E		ɕ	iau	13	阴平	ɕiau13	新	
銷	銷	销	A3	36821	ɕ	iau	13	阴平	ɕiau13	新	
霄	霄	霄	D		ɕ	iau	13	阴平	ɕiau13	新	
淆	淆	淆	C	1375	ɕ	iau	24	阳平	ɕiau24		
爻	爻	爻	D		ɕ	iau	24	阳平	ɕiau24		
肴	肴	肴	C	1026	ɕ	iau	24	阳平	ɕiau24		
小	小	小	A1	410987	ɕ	iau	42	上声	ɕiau42	新	
曉	曉	晓	B	17316	ɕ	iau	42	上声	ɕiau42		
哮	哮	哮	C	2146	ɕ	iau	45	去声	ɕiau45		
嘯	嘯	啸	C	4850	ɕ	iau	45	去声	ɕiau45	新	
孝	孝	孝	C	6112	ɕ	iau	45	去声	ɕiau45		
效	效	效	A3	74009	ɕ	iau	45	去声	ɕiau45		
校	校	校	A3	63200	ɕ	iau	45	去声	ɕiau45		
笑	笑	笑	A2	122902	ɕ	iau	45	去声	ɕiau45	新	
些	些	些			ɕ	ie	13	阴平	ɕie13	新	
蠍	蠍	蝎	C	616	ɕ	ie	13	阴平	ɕie13		
協	協	协	A3	50123	ɕ	ie	24	阳平	ɕie24		
挈	挈	挈	D		ɕ	ie	24	阳平	ɕie24		
挾	挾	挟	C	2438	ɕ	ie	24	阳平	ɕie24		
攜	攜	携	C	7449	ɕ	ie	24	阳平	ɕie24		
斜	斜	斜			ɕ	ie	24	阳平	ɕie24	新	
楔	楔	楔	C	667	ɕ	ie	24	阳平	ɕie24		
歇	歇	歇	B	8733	ɕ	ie	24	阳平	ɕie24		
泄	泄	泄			ɕ	ie	24	阳平	ɕie24	新	
畦	畦	畦	C	224	ɕ	ie	24	阳平	ɕie24		
穴	穴	穴			ɕ	ie	24	阳平	ɕie24	老	
脅	脅	胁	B	13948	ɕ	ie	24	阳平	ɕie24		
諧	諧	谐	C	4135	ɕ	ie	24	阳平	ɕie24		
邪	邪	邪	B	12952	ɕ	ie	24	阳平	ɕie24		
邪	邪	邪			ɕ	ie	24	阳平	ɕie24	新	
雪	雪	雪			ɕ	ie	24	阳平	ɕie24	新	
寫	寫	写			ɕ	ie	42	上声	ɕie42	新	
卸	卸	卸			ɕ	ie	45	去声	ɕie45	新	
屑	屑	屑			ɕ	ie	45	去声	ɕie45	新	
懈	懈	懈	C	2893	ɕ	ie	45	去声	ɕie45		
泄	泄	泄			ɕ	ie	45	去声	ɕie45	新	
瀉	瀉	泻			ɕ	ie	45	去声	ɕie45	新	
蟹	蟹	蟹			ɕ	ie	45	去声	ɕie45	文读	
解	解	解	A2	200090	ɕ	ie	45	去声	ɕie45		
謝	謝	谢			ɕ	ie	45	去声	ɕie45	新	
心	心	心			ɕ	in	13	阴平	ɕin13	新	
惺	惺	惺			ɕ	in	13	阴平	ɕin13	新	
新	新	新	A2	253921	ɕ	in	13	阴平	ɕin13	新	
昕	昕	昕	E		ɕ	in	13	阴平	ɕin13		
星	星	星			ɕ	in	13	阴平	ɕin13	新	
欣	欣	欣	B	13500	ɕ	in	13	阴平	ɕin13		
猩	猩	猩			ɕ	in	13	阴平	ɕin13	新	
腥	腥	腥			ɕ	in	13	阴平	ɕin13	新	
興	興	兴	A3	76760	ɕ	in	13	阴平	ɕin13		
芯	芯	芯			ɕ	in	13	阴平	ɕin13	新	
薪	薪	薪	C	5741	ɕ	in	13	阴平	ɕin13	新	
辛	辛	辛	B	14713	ɕ	in	13	阴平	ɕin13	新	
鋅	鋅	锌	C	992	ɕ	in	13	阴平	ɕin13		
鑫	鑫	鑫	E		ɕ	in	13	阴平	ɕin13		
刑	刑	刑	B	26453	ɕ	in	24	阳平	ɕin24		
型	型	型	A3	73216	ɕ	in	24	阳平	ɕin24		
形	形	形	A2	162049	ɕ	in	24	阳平	ɕin24		
行	行	行	A1	531848	ɕ	in	24	阳平	ɕin24		
邢	邢	邢	C	1176	ɕ	in	24	阳平	ɕin24		
省	省	省			ɕ	in	42	上声	ɕin42	新	
醒	醒	醒			ɕ	in	42	上声	ɕin42	新	
馨	馨	馨	D		ɕ	in	42	上声	ɕin42		
信	信	信	A2	230248	ɕ	in	45	去声	ɕin45	新	
倖	倖	幸	B	37198	ɕ	in	45	去声	ɕin45		
姓	姓	姓			ɕ	in	45	去声	ɕin45	新	
幸	幸	幸	B	37198	ɕ	in	45	去声	ɕin45		
性	性	性			ɕ	in	45	去声	ɕin45	新	
杏	杏	杏	C	2538	ɕ	in	45	去声	ɕin45		
汛	汛	汛			ɕ	in	45	去声	ɕin45	老	
興	興	兴	A3	76760	ɕ	in	45	去声	ɕin45		
訊	訊	讯	B	20488	ɕ	in	45	去声	ɕin45	新	
迅	迅	迅			ɕ	in	45	去声	ɕin45	老	
釁	釁	衅	C	1578	ɕ	in	45	去声	ɕin45		
削	削	削			ɕ	io	24	阳平	ɕio24	新	
學	學	学	A1	464261	ɕ	io	24	阳平	ɕio24		
兄	兄	兄	B	26386	ɕ	ioŋ	13	阴平	ɕioŋ13		
兇	兇	凶	C	16707	ɕ	ioŋ	13	阴平	ɕioŋ13		
凶	凶	凶	B	16707	ɕ	ioŋ	13	阴平	ɕioŋ13		
匈	匈	匈	C	3700	ɕ	ioŋ	13	阴平	ɕioŋ13		
洶	洶	汹	C	2684	ɕ	ioŋ	13	阴平	ɕioŋ13		
胸	胸	胸	B	17392	ɕ	ioŋ	13	阴平	ɕioŋ13		
熊	熊	熊	B	9788	ɕ	ioŋ	24	阳平	ɕioŋ24		
畜	畜	畜	C	6821	ɕ	ioŋ	24	阳平	ɕioŋ24	畜牧局	
雄	雄	雄	B	28184	ɕ	ioŋ	24	阳平	ɕioŋ24		
嗅	嗅	嗅			ɕ	ioŋ	45	去声	ɕioŋ45	白	
休	休	休	B	26539	ɕ	iəu	13	阴平	ɕiəu13		
修	修	修	B	49829	ɕ	iəu	13	阴平	ɕiəu13	新	
羞	羞	羞	C	6651	ɕ	iəu	13	阴平	ɕiəu13	新	
脩	脩	修	D		ɕ	iəu	13	阴平	ɕiəu13	新	
朽	朽	朽	C	3526	ɕ	iəu	42	上声	ɕiəu42		
嗅	嗅	嗅	C	2843	ɕ	iəu	45	去声	ɕiəu45	文	
宿	宿	宿	B	9693	ɕ	iəu	45	去声	ɕiəu45	新	
秀	秀	秀	B	24620	ɕ	iəu	45	去声	ɕiəu45	新	
繡	繡	绣	C	4046	ɕ	iəu	45	去声	ɕiəu45		
袖	袖	袖	B	10564	ɕ	iəu	45	去声	ɕiəu45	新	
鏽	鏽	锈	C	1198	ɕ	iəu	45	去声	ɕiəu45	新	
吁	吁	吁	C	5891	ɕ	y	13	阴平	ɕy13		
噓	噓	嘘	D		ɕ	y	13	阴平	ɕy13		
墟	墟	墟	D		ɕ	y	13	阴平	ɕy13		
抒	抒	抒	C	1724	ɕ	y	13	阴平	ɕy13		
書	書	书	A2	151357	ɕ	y	13	阴平	ɕy13		
梳	梳	梳	C	2806	ɕ	y	13	阴平	ɕy13		
樞	樞	枢	C	3169	ɕ	y	13	阴平	ɕy13		
疏	疏	疏	B	8101	ɕ	y	13	阴平	ɕy13		
紓	紓	纾	E		ɕ	y	13	阴平	ɕy13		
舒	舒	舒			ɕ	y	13	阴平	ɕy13		
蔬	蔬	蔬			ɕ	y	13	阴平	ɕy13		
虛	虛	虚	B	27076	ɕ	y	13	阴平	ɕy13		
輸	輸	输	A3	34688	ɕ	y	13	阴平	ɕy13		
需	需	需	A3	103832	ɕ	y	13	阴平	ɕy13	新	
須	須	须	A3	94903	ɕ	y	13	阴平	ɕy13	新	
鬚	鬚	须	C		ɕ	y	13	阴平	ɕy13	新	
徐	徐	徐	B	18175	ɕ	y	24	阳平	ɕy24		
殊	殊	殊	B	22407	ɕ	y	24	阳平	ɕy24		
續	續	续			ɕ	y	24	阳平	ɕy24		
術	術	术			ɕ	y	24	阳平	ɕy24		
暑	暑	暑			ɕ	y	42	上声	ɕy42		
曙	曙	曙			ɕ	y	42	上声	ɕy42		
水	水	水			ɕ	y	42	上声	ɕy42		
薯	薯	薯	C	1204	ɕ	y	42	上声	ɕy42		
許	許	许	A2	166034	ɕ	y	42	上声	ɕy42		
卹	卹	恤	D		ɕ	y	45	去声	ɕy45		
墅	墅	墅	C	2152	ɕ	y	45	去声	ɕy45		
序	序	序	A3	41129	ɕ	y	45	去声	ɕy45		
恕	恕	恕			ɕ	y	45	去声	ɕy45		
恤	恤	恤	C	1459	ɕ	y	45	去声	ɕy45		
戍	戍	戍	D		ɕ	y	45	去声	ɕy45		
敘	敘	叙	B	11786	ɕ	y	45	去声	ɕy45		
旭	旭	旭	C	2341	ɕ	y	45	去声	ɕy45		
樹	樹	树	A3	54037	ɕ	y	45	去声	ɕy45		
睡	睡	睡	A3	33420	ɕ	y	45	去声	ɕy45		
蓄	蓄	蓄	C	7213	ɕ	y	45	去声	ɕy45		
豎	豎	竖	C	3698	ɕ	y	45	去声	ɕy45		
酗	酗	酗	C	467	ɕ	y	45	去声	ɕy45		
刷	刷	刷			ɕ	ya	24	阳平	ɕya24		
刷	刷	刷			ɕ	ya	24	阳平	ɕya24		
摔	摔	摔	C	5035	ɕ	yai	13	阴平	ɕyai13		
衰	衰	衰			ɕ	yai	13	阴平	ɕyai13		
帥	帥	帅			ɕ	yai	45	去声	ɕyai45		
帥	帥	帅	B	8249	ɕ	yai	45	去声	ɕyai45		
率	率	率	A3	64453	ɕ	yai	45	去声	ɕyai45		
蟀	蟀	蟀	C	717	ɕ	yai	45	去声	ɕyai45		
喧	喧	喧	C	2579	ɕ	yen	13	阴平	ɕyen13		
宣	宣	宣	A3	47041	ɕ	yen	13	阴平	ɕyen13		
掀	掀	掀	C	3831	ɕ	yen	13	阴平	ɕyen13		
栓	栓	栓	C	2068	ɕ	yen	13	阴平	ɕyen13	老	
軒	軒	轩	C	4304	ɕ	yen	13	阴平	ɕyen13		
揎	揎	揎			ɕ	yen	13	阴平	ɕyen13	推	
弦	弦	弦			ɕ	yen	24	阳平	ɕyen24	老	
懸	懸	悬	B	8282	ɕ	yen	24	阳平	ɕyen24		
玄	玄	玄	B	10151	ɕ	yen	24	阳平	ɕyen24		
絃	絃	弦			ɕ	yen	24	阳平	ɕyen24	老	
舷	舷	舷			ɕ	yen	24	阳平	ɕyen24	老	
癬	癬	癣	C	543	ɕ	yen	42	上声	ɕyen42		
選	選	选	A3	82498	ɕ	yen	42	上声	ɕyen42		
旋	旋	旋	B	16441	ɕ	yen	45	去声	ɕyen45		
漩	漩	漩	C	794	ɕ	yen	45	去声	ɕyen45		
炫	炫	炫	C	1329	ɕ	yen	45	去声	ɕyen45		
眩	眩	眩	D		ɕ	yen	45	去声	ɕyen45		
絢	絢	绚	D		ɕ	yen	45	去声	ɕyen45		
雙	雙	双			ɕ	yaŋ	13	阴平	ɕyaŋ13		
霜	霜	霜			ɕ	yaŋ	13	阴平	ɕyaŋ13		
薛	薛	薛			ɕ	ye	13	阴平	ɕye13	新	
靴	靴	靴	C	1688	ɕ	ye	13	阴平	ɕye13		
穴	穴	穴	C	7772	ɕ	ye	24	阳平	ɕye24	新	
血	血	血	A3	59944	ɕ	ye	24	阳平	ɕye24		
屑	屑	屑	C	3655	ɕ	ye	45	去声	ɕye45	老	
雖	雖	虽			ɕ	yəi	13	阴平	ɕyəi13		
水	水	水	A1	198932	ɕ	yəi	42	上声	ɕyəi42		
勛	勛	勋	C	4568	ɕ	yn	13	阴平	ɕyn13		
燻	燻	熏	C	1900	ɕ	yn	13	阴平	ɕyn13		
薰	薰	熏	C	1900	ɕ	yn	13	阴平	ɕyn13		
蘊	蘊	蕴	C	3110	ɕ	yn	13	阴平	ɕyn13		
鄖	鄖	郧	E		ɕ	yn	13	阴平	ɕyn13		
尋	尋	寻	A3	33469	ɕ	yn	24	阳平	ɕyn24		
巡	巡	巡	B	12852	ɕ	yn	24	阳平	ɕyn24		
循	循	循	B	9768	ɕ	yn	24	阳平	ɕyn24		
旬	旬	旬	C	4671	ɕ	yn	24	阳平	ɕyn24		
詢	詢	询	B	11643	ɕ	yn	24	阳平	ɕyn24		
殉	殉	殉	C	1310	ɕ	yn	45	去声	ɕyn45		
汛	汛	汛	C	748	ɕ	yn	45	去声	ɕyn45	新	
瞬	瞬	瞬			ɕ	yn	45	去声	ɕyn45		
舜	舜	舜	D		ɕ	yn	45	去声	ɕyn45		
訓	訓	训	B	29911	ɕ	yn	45	去声	ɕyn45		
迅	迅	迅	B	26321	ɕ	yn	45	去声	ɕyn45	新	
遜	遜	逊	B	10444	ɕ	yn	45	去声	ɕyn45		
順	順	顺	A3	34708	ɕ	yn	45	去声	ɕyn45		
馴	馴	驯	C	2423	ɕ	yn	45	去声	ɕyn45		
呀	呀	呀	A3	35343	ʑ	ia	13	阴平	ʑia13		
壓	壓	压	A3	48038	ʑ	ia	24	阳平	ʑia24		
押	押	押	B	9401	ʑ	ia	24	阳平	ʑia24	新	
牙	牙	牙	B	31466	ʑ	ia	24	阳平	ʑia24		
芽	芽	芽	C	2717	ʑ	ia	24	阳平	ʑia24		
蚜	蚜	蚜	C	360	ʑ	ia	24	阳平	ʑia24		
衙	衙	衙	C	2625	ʑ	ia	24	阳平	ʑia24		
鴨	鴨	鸭	C	5932	ʑ	ia	24	阳平	ʑia24	新	
訝	訝	讶	C	5760	ʑ	ia	42	上声	ʑia42		
雅	雅	雅			ʑ	ia	42	上声	ʑia42		
軋	軋	轧	C	1367	ʑ	ia	45	去声	ʑia45		
亞	亞	亚			ʑ	a	45	去声	ʑa45		
咽	咽	咽	C	6818	ʑ	en	13	阴平	ʑen13		
淹	淹	淹	C	3315	ʑ	en	13	阴平	ʑen13		
焉	焉	焉	D		ʑ	en	13	阴平	ʑen13		
煙	煙	烟	B	33137	ʑ	en	13	阴平	ʑen13		
燕	燕	燕	B	10325	ʑ	en	13	阴平	ʑen13		
菸	菸	烟	B	33137	ʑ	en	13	阴平	ʑen13		
蔫	蔫	蔫	C	241	ʑ	en	13	阴平	ʑen13		
醃	醃	腌	C	452	ŋ	an	45	去声	ŋan45	白，腌制	
醃	醃	腌	C	452	ʑ	en	13	阴平	ʑen13	文	
閹	閹	阉	E		ʑ	en	13	阴平	ʑen13		
岩	岩	岩	D		ʑ	en	24	阳平	ʑen24	新	
沿	沿	沿	B	22781	ʑ	en	24	阳平	ʑen24		
炎	炎	炎	B	17971	ʑ	en	24	阳平	ʑen24	新	
研	研	研	A3	93761	ʑ	en	24	阳平	ʑen24	新	
簷	簷	檐	C	1667	ʑ	en	24	阳平	ʑen24	新	
蜒	蜒	蜒	C	852	ʑ	en	24	阳平	ʑen24		
言	言	言	A2	120308	ʑ	en	24	阳平	ʑen24	新	
閻	閻	阎	C	3823	ʑ	en	24	阳平	ʑen24	新	
鹽	鹽	盐	B	8266	ʑ	en	24	阳平	ʑen24		
奄	奄	奄	C	1073	ʑ	en	42	上声	ʑen42		
掩	掩	掩	B	13680	ʑ	en	42	上声	ʑen42		
演	演	演			ʑ	en	42	上声	ʑen42	新	
厭	厭	厌	B	11376	ʑ	en	45	去声	ʑen45		
堰	堰	堰	C	1049	ʑ	en	45	去声	ʑen45		
宴	宴	宴			ʑ	en	45	去声	ʑen45	新	
焰	焰	焰	C	5116	ʑ	en	45	去声	ʑen45	新	
燕	燕	燕	B	10325	ʑ	en	45	去声	ʑen45		
硯	硯	砚	C	509	ʑ	en	45	去声	ʑen45	新	
諺	諺	谚	C	884	ʑ	en	45	去声	ʑen45		
豔	豔	艳	C	6172	ʑ	en	45	去声	ʑen45	新	
驗	驗	验	A3	76542	ʑ	en	45	去声	ʑen45	新	
央	央	央	A3	44052	ʑ	aŋ	13	阴平	ʑaŋ13		
殃	殃	殃	C	964	ʑ	aŋ	13	阴平	ʑaŋ13		
秧	秧	秧	C	1003	ʑ	aŋ	13	阴平	ʑaŋ13		
羊	羊	羊	B	17763	ʑ	aŋ	13	阴平	ʑaŋ13		
鴦	鴦	鸯	C	591	ʑ	aŋ	13	阴平	ʑaŋ13		
佯	佯	佯	D		ʑ	aŋ	24	阳平	ʑaŋ24		
垟	垟	垟	E		ʑ	aŋ	24	阳平	ʑaŋ24		
揚	揚	扬	B	26509	ʑ	aŋ	24	阳平	ʑaŋ24		
楊	楊	杨	B	27561	ʑ	aŋ	24	阳平	ʑaŋ24		
洋	洋	洋	A3	43692	ʑ	aŋ	24	阳平	ʑaŋ24		
陽	陽	阳	A3	60867	ʑ	aŋ	24	阳平	ʑaŋ24		
颺	颺	扬	D		ʑ	aŋ	24	阳平	ʑaŋ24		
仰	仰	仰	B	16940	ȵ	iaŋ	42	上声	ȵiaŋ42	白，就着	
仰	仰	仰	B	16940	ʑ	aŋ	42	上声	ʑaŋ42		
氧	氧	氧	B	8401	ʑ	aŋ	42	上声	ʑaŋ42		
癢	癢	痒	C	3055	ʑ	aŋ	42	上声	ʑaŋ42		
養	養	养	A3	47702	ʑ	aŋ	42	上声	ʑaŋ42		
養	養	养	A3	47702	ʑ	aŋ	42	上声	ʑaŋ42		
樣	樣	样	A1	398149	ʑ	aŋ	45	去声	ʑaŋ45		
漾	漾	漾	C	803	ʑ	aŋ	45	去声	ʑaŋ45		
吆	吆	吆	C	973	ʑ	au	13	阴平	ʑau13		
夭	夭	夭	C	1709	ʑ	au	13	阴平	ʑau13		
妖	妖	妖	B	8337	ʑ	au	13	阴平	ʑau13		
腰	腰	腰	B	14841	ʑ	au	13	阴平	ʑau13		
要	要	要	A1	811011	ʑ	au	13	阴平	ʑau13		
邀	邀	邀	B	8484	ʑ	au	13	阴平	ʑau13		
堯	堯	尧	D		ʑ	au	24	阳平	ʑau24		
姚	姚	姚	C	4806	ʑ	au	24	阳平	ʑau24		
搖	搖	摇	A3	34635	ʑ	au	24	阳平	ʑau24	文	
瑤	瑤	瑶	D		ʑ	au	24	阳平	ʑau24		
窯	窯	窑	C	4611	ʑ	au	24	阳平	ʑau24		
謠	謠	谣	C	3219	ʑ	au	24	阳平	ʑau24		
遙	遙	遥	B	10179	ʑ	au	24	阳平	ʑau24		
舀	舀	舀	C	415	ʑ	au	42	上声	ʑau42		
耀	耀	耀	B	9060	ʑ	au	45	去声	ʑau45		
要	要	要	A1	811011	ʑ	au	45	去声	ʑau45		
躍	躍	跃	B	13645	ʑ	au	45	去声	ʑau45	白读	
噎	噎	噎	D		ʑ	e	13	阴平	ʑe13		
椰	椰	椰	C	615	ʑ	e	13	阴平	ʑe13		
耶	耶	耶	D		ʑ	e	13	阴平	ʑe13		
爺	爺	爷	B	30930	ʑ	e	24	阳平	ʑe24		
葉	葉	叶	A3	36032	ʑ	e	24	阳平	ʑe24		
頁	頁	页	B	24861	ʑ	e	24	阳平	ʑe24		
頡	頡	颉	D		ʑ	e	24	阳平	ʑe24		
也	也	也	A1	710259	ʑ	e	42	上声	ʑe42		
冶	冶	冶	C	2525	ʑ	e	42	上声	ʑe42		
野	野	野	A3	40681	ʑ	e	42	上声	ʑe42		
夜	夜	夜	A3	58839	ʑ	e	45	去声	ʑe45		
拽	拽	拽	D		ʑ	e	45	去声	ʑe45		
掖	掖	掖	C	656	ʑ	e	45	去声	ʑe45		
曳	曳	曳	D		ʑ	e	45	去声	ʑe45		
液	液	液	B	14940	ʑ	e	45	去声	ʑe45		
腋	腋	腋	C	925	ʑ	e	45	去声	ʑe45		
謁	謁	谒	C	1163	ʑ	e	45	去声	ʑe45		
伊	伊	伊	A3	47619	ʑ	i	13	阴平	ʑi13		
依	依	依	A3	70632	ʑ	i	13	阴平	ʑi13		
衣	衣	衣	A3	51134	ʑ	i	13	阴平	ʑi13		
醫	醫	医	A3	84620	ʑ	i	13	阴平	ʑi13		
銥	銥	铱	E		ʑ	i	13	阴平	ʑi13		
一	一	一	A1	3050722	ʑ	i	24	阳平	ʑi24		
乙	乙	乙	B	8313	ʑ	i	24	阳平	ʑi24		
儀	儀	仪	B	19064	ʑ	i	24	阳平	ʑi24	新	
壹	壹	壹	C	267	ʑ	i	24	阳平	ʑi24		
夷	夷	夷	C	4638	ʑ	i	24	阳平	ʑi24		
姨	姨	姨	C	4928	ʑ	i	24	阳平	ʑi24		
宜	宜	宜	B	18833	ʑ	i	24	阳平	ʑi24	新	
彞	彞	彝	D		ʑ	i	24	阳平	ʑi24		
揖	揖	揖	C	1031	ʑ	i	24	阳平	ʑi24		
移	移	移	A3	38349	ʑ	i	24	阳平	ʑi24		
胰	胰	胰	C	1411	ʑ	i	24	阳平	ʑi24		
誼	誼	谊	C	5902	ʑ	i	24	阳平	ʑi24	新	
譯	譯	译	B	22170	ʑ	i	24	阳平	ʑi24		
輿	輿	舆			ʑ	i	24	阳平	ʑi24	老	
頤	頤	颐	D		ʑ	i	24	阳平	ʑi24		
以	以	以	A1	910627	ʑ	i	42	上声	ʑi42		
倚	倚	倚	C	3149	ʑ	i	42	上声	ʑi42		
已	已	已	A2	318143	ʑ	i	42	上声	ʑi42		
椅	椅	椅	B	10917	ʑ	i	42	上声	ʑi42		
矣	矣	矣	D		ʑ	i	42	上声	ʑi42		
蟻	蟻	蚁	C	3653	ʑ	i	42	上声	ʑi42	新	
亦	亦	亦	A3	37960	ʑ	i	45	去声	ʑi45		
億	億	亿	B	27897	ʑ	i	45	去声	ʑi45		
