#符号：-白=文	
ɿ	
l	[1]□{用针缝：~衣服}[2]聊=撂2{~麦}疗[3]燎{头发叫火给~啦！}了{完：~啦}[5]撂1{~砖}
ts	[1]焦椒{□[tsʰin⁴²]~：青椒}
s	[1]消销{~售}宵削={~铅笔}[3]小[5]笑
tɕ	[1]浇{~地}娇{待她~}胶{~水}[3]搅铰[5]叫轿照{~亮}赵{姓}
tɕʰ	[1]超{~过}敲跷{~腿儿}抄[2]潮{~湿}桥[3]巧[5]窍{~门儿}撬{~开}
ɕ	[1]烧{~住了}逍□{心里高兴：他爸从北京带了衣服，看把他~咧！}[3]少稍{~微}[5]校孝效
∅	[1]腰妖[2]摇{~棒}幺{~儿，小坑：在刚挖那个~儿里浇点水。}[3]咬[5]要□{靴或袜的筒儿：浅~袜儿}
#ou	
m	[1]□{“没有”的合音}[3]□{蒙住脸猛的露出来逗小孩儿声：~儿}
f	[1]否=
t	[1]兜{~儿}都[3]抖[5]豆{黄~}斗痘逗
tʰ	[1]偷[2]头投[5]透{~气}
l	[1]搂1{搜刮：用耙子再~~看还有没啦！}[2]楼耧{播撒麦种的机器：今天拉~去长（种）麦吧！}[3]搂2{~抱}篓{话~子：非常爱说话}[5]漏露1{~出来}
ts	[3]走{~路}[5]揍奏
tsʰ	[1]□{象声词，瞬间穿过：~一下过去啦，我也没看见是啥。}[5]凑{~热闹}
s	[1]搜{~落生（花生）}[3]擞[5]嗽{咳~}
tʂ	[2]轴{车~儿}[3]肘{猪~}
tʂʰ	[1]□{推上高处：~给我}[2]愁[3]瞅
ʂ	[5]瘦
ʐ	[1]□{闲逛：没事再~儿~儿呗！}[2]揉柔[5]肉
k	[1]沟{水~}钩{鱼~}购[3]狗[5]□{接触到：~着屋顶了没？}垢够
kʰ	[1]抠{~鼻子}[2]□{女人嘴巴厉害：你看她~咧，谁敢娶她啊！}[3]口{两~儿}[5]扣叩{~首}
x	[1]齁{象声词：~~声}□{副词，形容臭或咸味儿，意思是特别：~臭︱~咸}[2]猴[3]吼[5]后厚
∅	[1]欧偶殴[3]□{糊、焦：赶紧把火关了，饼都~啦！}[5]□{草或柴发酵：把草~两天都上地里去吧！}□{缠人：别~了啊，我要去做饭啦！}
#iou	
p	[2]□{象声词，打枪的声音}
m	[5]谬{~论}
t	[1]丢{~人}
n	[1]妞[2]牛{公~}[3]扭钮{按~}[5]拗
l	[1]溜{~冰}[2]留流{~水}刘[3]□{“里头”的合音}柳绺{一~儿}[5]熘{~馒头}六
ts	[1]揫揪{~出来}[3]酒韭鸠[5]就{搭配：~吃}臼{~脱}
tsʰ	[1]秋{立~}[2]囚{~犯}
s	[1]修{~理}羞{害~}[5]袖{~筒儿}秀绣{十字~}
tɕ	[1]纠灸{针~}[3]久九[5]救舅旧=
tɕʰ	[1]抽{~屉}蚯{~蚓}[2]稠仇球{打~}求[3]丑[5]臭
ɕ	[1]收[3]手首{叩~}守[5]受寿授{教~}
∅	[1]优幼幽悠[2]油{豆~}游邮[3]有友呦[5]右佑{保~}
#an	
p	[1]扳{~子[tɛ⁵⁵]}班搬般斑[3]绊{摔：你~住啦！}版板[5]绊{~倒}办半{~儿}
