简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
鸡	雞		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
稽	稽		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
羁	羈		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
萁	萁	狼～头：蕨菜	tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
箕	箕		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
肌	肌		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
饥	饑		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
饥	飢		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
几	几	茶～	tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
几	幾	～乎	tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
虮	蟣	～糟：燥热；心里不舒服	tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
基	基		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
姬	姬		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
机	機		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
讥	譏		tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
肩	肩	□pʰa5～胛：肩膀	tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
□	□	～□kəʊ1头：不干不湿	tɕ	i	⁴⁴³	tɕi⁴⁴³	ci1	
麂	麂		tɕ	i	⁵³	tɕi⁵³	ci3	
己	己		tɕ	i	⁵³	tɕi⁵³	ci3	
几	幾	～个	tɕ	i	⁵³	tɕi⁵³	ci3	
茧	繭		tɕ	i	⁵³	tɕi⁵³	ci3	
趼	趼		tɕ	i	⁵³	tɕi⁵³	ci3	
计	計		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
继	繼		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
系	繫	～鞋带	tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
寄	寄		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
冀	冀		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
纪	紀		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
记	記		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
既	既		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
暨	暨		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
季	季		tɕ	i	⁴⁴	tɕi⁴⁴	ci5	
溪	溪		tɕʰ	i	⁴⁴³	tɕʰi⁴⁴³	chi1	
欺	欺		tɕʰ	i	⁴⁴³	tɕʰi⁴⁴³	chi1	
牵	牽	～牛	tɕʰ	i	⁴⁴³	tɕʰi⁴⁴³	chi1	
启	啟		tɕʰ	i	⁵³	tɕʰi⁵³	chi3	
企	企		tɕʰ	i	⁵³	tɕʰi⁵³	chi3	
起	起		tɕʰ	i	⁵³	tɕʰi⁵³	chi3	
杞	杞		tɕʰ	i	⁵³	tɕʰi⁵³	chi3	
岂	豈		tɕʰ	i	⁵³	tɕʰi⁵³	chi3	
□	□	雌性动物发情	tɕʰ	i	⁵³	tɕʰi⁵³	chi3	
去	去	白读	tɕʰ	i	⁴⁴	tɕʰi⁴⁴	chi5	
器	器		tɕʰ	i	⁴⁴	tɕʰi⁴⁴	chi5	
弃	棄		tɕʰ	i	⁴⁴	tɕʰi⁴⁴	chi5	
气	氣		tɕʰ	i	⁴⁴	tɕʰi⁴⁴	chi5	
汽	汽		tɕʰ	i	⁴⁴	tɕʰi⁴⁴	chi5	
芡	芡	白读，打～头	tɕʰ	i	⁴⁴	tɕʰi⁴⁴	chi5	
纤	縴	纤绳	tɕʰ	i	⁴⁴	tɕʰi⁴⁴	chi5	
奇	奇		dʑ	i	²³²	dʑi²³²	ji2	
骑	騎		dʑ	i	²³²	dʑi²³²	ji2	
歧	歧	～翘：翘起	dʑ	i	²³²	dʑi²³²	ji2	
岐	岐		dʑ	i	²³²	dʑi²³²	ji2	
祈	祈		dʑ	i	²³²	dʑi²³²	ji2	
鳍	鰭		dʑ	i	²³²	dʑi²³²	ji2	
耆	耆		dʑ	i	²³²	dʑi²³²	ji2	
棋	棋		dʑ	i	²³²	dʑi²³²	ji2	
其	其		dʑ	i	²³²	dʑi²³²	ji2	
旗	旗		dʑ	i	²³²	dʑi²³²	ji2	
期	期		dʑ	i	²³²	dʑi²³²	ji2	
蜞	蜞	蟛～：一种小螃蟹	dʑ	i	²³²	dʑi²³²	ji2	
祈	祈		dʑ	i	²³²	dʑi²³²	ji2	
钳	鉗	老虎～；～花搅：交错	dʑ	i	²³²	dʑi²³²	ji2	
及	及	来弗～	dʑ	i	²³²	dʑi²³²	ji2	
□	□	□liɛ̃2～：馋人	dʑ	i	²³²	dʑi²³²	ji2	
技	技		dʑ	i	³¹³	dʑi³¹³	ji6	
妓	妓		dʑ	i	³¹³	dʑi³¹³	ji6	
忌	忌		dʑ	i	³¹³	dʑi³¹³	ji6	
俭	儉	白读，省钱：会趁弗如会～	dʑ	i	³¹³	dʑi³¹³	ji6	
件	件		dʑ	i	³¹³	dʑi³¹³	ji6	
健	健	白读，身体健朗	dʑ	i	³¹³	dʑi³¹³	ji6	
□	□	转头：头～转去	ȵ	i	⁴⁴³	ȵi⁴⁴³	gni1	
泥	泥		ȵ	i	²³²	ȵi²³²	gni2	
倪	倪		ȵ	i	²³²	ȵi²³²	gni2	
霓	霓		ȵ	i	²³²	ȵi²³²	gni2	
宜	宜	～兴	ȵ	i	²³²	ȵi²³²	gni2	
仪	儀		ȵ	i	²³²	ȵi²³²	gni2	
尼	尼		ȵ	i	²³²	ȵi²³²	gni2	
呢	呢	～绒	ȵ	i	²³²	ȵi²³²	gni2	
腻	膩	～心：恶心	ȵ	i	²³²	ȵi²³²	gni2	
