	註釋：-白讀，=文讀									
s	[1]搜蒐溲□{拌}[2]□{經常}□{勻}[3]叟擻									
k	[1]溝=勾=鉤=膠=[3]狗苟枸									
kʰ	[3]口=									
ŋ	[3]偶									
h	[1]哮{～喘}[2]侯=猴=喉=									
∅	[1]歐甌區{姓～}鷗謳枵{腹飢}									
#øy										
t	[1]堆[2]頹臺-{南～}[3]短[5]著[6]箸									
tʰ	[1]推-胎-{頭～}[3]腿									
n	[5]饇{飽食}飫{同“饇”}[6]膩{油～}									
l	[1]颣[2]雷=朘{男陰}螺-鐳摞{擰}[3]儡-[5]鑢=[6]慮濾									
ts	[2]才{秀～}裁[5]廚注=註=蛀=漬恣𤳯[6]自=住-柱=聚炷駐									
tsʰ	[1]催{又}[3]髓惴[5]處刺=娶趣覷[5]處刺=娶趣覷									
s	[1]衰𤸬䙑[5]賜恕絮庶弑肆=駟泗試=[6]序敘士=仕事=樹=緒似豎嗣飼=俟祀=嶼墅巳侍-{～候}									
k	[2]懷-[5]巨距據鋸拒炬[6]具懼俱炬{動詞}據{手杖}									
kʰ	[5]去=									
ŋ	[5]鑢{慢鋸}[6]寓遇馭禦									
h	[2]餵-[5]酗煦嫗									
∅	[6]預豫譽裕諛喻與{幹～}鋊{～去}欲慾									
#ɔy										
t	[5]對塊{訓}[6]袋代-兌									
tʰ	[5]退=蛻									
n	[6]內									
l	[5]□{鑽孔}[6]擂耒□{鑽孔}									
ts	[5]最晬[6]罪									
tsʰ	[5]碎-莝剉									
s	[5]帥[6]坐-									
∅	[5]愛{想要}									
#uai										
p	[5]拜-簸-									
pʰ	[5]破-派=湃									
m	[2]埋磨-蔴-麻-									
t	[6]大-舵-									
tʰ	[1]拖{又}									
tsʰ	[3]揣									
k	[1]乖[3]拐夬蒯[5]怪									
kʰ	[3]駃{良馬}[5]快=塊=筷									
ŋ	[3]我-									
h	[1]□{消腫}[2]懷=淮槐[6]壞									
∅	[1]歪□{佔住不還}[6]夥{若～，副詞}									
#ui										
p	[1]杯盃飛-[2]肥-培賠陪[3]㧩{撥}[5]疿貝輩背褙□{藥名}[6]佩狽背{～叛}焙㫲吠-悖蓓									
pʰ	[1]坯胚[2]皮-啡[5]配沛柿屁-啡{又}[6]陪{又}被-									
m	[1]妹{又}[2]煤媒玫枚梅黴糜-[3]每莓尾[5]妹沫[6]未-昧									
t	[1]追堆=[2]搥[5]懟墜{～下}[6]隊墜鐜									
tʰ	[1]推=[2]槌錘[5]贅-[6]礈									
n	[2]挼[3]餒									
l	[2]騾[3]蕊儡=壘磊累{積～}瘰[5]羸[6]淚類彙酹									
ts	[1]錐椎䳡[2]□{這個}[3]水嘴尿{小～}[5]醉贅=[6]悴粹萃									
tsʰ	[1]雖推=吹炊摧璀崔[2]菙=[5]脆翠喙-碎={～屍萬段}									
s	[1]荽綏[2]隨隋誰垂陲[5]睡稅賽綞祟穗說歲=[6]隧燧瑞邃									
k	[1]歸龜媯[3]改-鬼粿-裹{～粽}軌傀=晷詭[5]髻檜劊貴鱖會{～計}瑰癸[6]跪櫃饋潰蕢{～草}									
kʰ	[1]開-魁丐恢=悝虺[3]跪{跪拜}[5]愧									
ŋ	[2]危巍[6]魏外=偽									
h	[1]灰恢-詼{又}輝揮暉麾悝[2]回迴洄蛔□{那個}茴[3]火-毀翡夥-{家～}[5]悔晦誨緯-諱歲-[6]會繪匯憒喙=惠={賢～}									
∅	[1]威煨偎[2]桅圍為韋闈違[3]委萎諉煒偉緯=賄痿[5]穢蔚尉畏慰歲{做～}[6]胃為{～何}位衛謂渭蝟蝟									
#aŋ										
p	[1]班斑=頒=邦浜磻璠[2]平-坪棚[3]板=[5]柄扮{又}[6]病-									
pʰ	[1]潘=攀頒㽃[2]彭膨蟛評-澎龐[5]冇									
m	[1]胮䊟[2]蠻暝-盲虻{牛～}鞔明-螃{～蟹}氓{群～}[3]猛-蜢-[5]□{不行}[6]慢=幔漫=謾曼蔓=饅									
t	[1]躭耽擔{～任}丹單靪{骹後～，腳後跟}鄲珊𣆀顛{～倒}[2]彈{～棉}談壇餤殘-[3]膽疸今{現在}[5]盯{睜}但旦□{滲出}[6]淡彈{子～}鄭譫澹憚啖									
tʰ	[1]攤癱貪撐-灘[2]痰檀曇譚磹潭[3]坦毯袒忐[5]炭探撐{～大}歎									
n	[2]男難{困～}南楠喃[3]赧[6]難{災～}									
l	[2]蘭籃攔欄襤林-淋-{～頭}藍斕嵐闌瀾[3]婪濫灠攬欖覽懶林-{竹～}[5]□{撐起}[6]瀾濫攔兩-									
ts	[1]髒簪爭-[2]蠶=殘=潺饞慚[3]斬嶄井-盞[5]贊讚賺{又}蘸浸[6]站鏨暫棧綻{又}仗={～勢}									
tsʰ	[1]青-參{～觀}驂生-攙滲-[2]殘{野～，潑辣}[3]慘鏟嶄{又}醒-[5]燦讖=粲懺昶									
s	[1]三山三杉衫刪刪疝生-舢牲訕{又}珊={～瑚}[2]晴-[3]傘散{丸～}產省-[5]散{～步}姓-性-訕汕[6]靜-									
k	[1]甘干乾=柑竿肝杆奸姦乾更-{三～}菅{～青}泔疳間{中～}艱監{～禁}尷坩[2]寒-銜-啣含-鼾-[3]趕簡柬敢稈=㔶哽-堿{燒～}蓋{蓋被}[5]鑑監{太～}間{離～}幹鍳=淦[6]汗旱{～熏，旱菸}									
kʰ	[1]堪勘刊坑龕看{～守}戡[3]砍=坎侃艦檻嵌[5]看瞰									
ŋ	[1]□{～～叫}[2]岩顏癌[3]眼俺[6]雁岸=諺贗									
h	[1]蚶酣邯鼾=[2]寒=緘咸鹹函涵含=啣=銜=煐{燒}閑=汗={可～}[3]罕悍喊[5]漢□{告知}[6]翰瀚憾陷頷撼汗={～馬功勞}									
∅	[1]安鞍按庵骯[2]桁衡-{～補，配搭}[3]飲-諳□{閉門}瘖[5]暗案按窨{地～}晏[6]餡旱=焊									
#iŋ										
p	[1]賓檳繽濱兵豳冰彬斌□{表兄}[2]平=評{～話}憑瓶萍蘋頻顰屏貧憑胼駢瀕[3]柄=炳丙餅=牝稟秉算{竹～}摒=									
pʰ	[1]拼=摒{～舍}姘乒[2]評=[3]品									
m	[1]泯[2]明=鳴名=銘民閩眠-螟暝=[3]皿酩敏茗閔憫抿鰵泯									
t	[1]椹丁叮釘疔盯{又}徵懲砧-{～板}燈-仃珍貞禎瞪{又}[2]陳塵藤澄-亭停婷廷庭=霆=蜓[3]等-頂=酊町=鼎=戥									
tʰ	[1]汀聽=琛忱砧=[2]沈=[3]艇挺=逞郢頂-{～橄欖}									
n	[2]寧檸濘擰仁-[3]嬸-									
l	[1]伶拎[2]林=霖淋淩稜菱=陵臨麟嶙磷憐=鱗遴鄰靈零囹苓聆鈴齡伶{～俐}蛉翎鴒綾羚欞愣[3]領=嶺=廩檁懍凜嬸{又}									
ts	[1]真蒸晶津侵斟=旌精=升{量詞}清-{稀}睛瞋征菁{蔓～骹}鉎[2]秦晴=情=螓[3]枕拯井=振震賑縝疹診寢整									
tsʰ	[1]稱親深侵{又}清=青=蜻菁[2]堘[3]請=寢{又}頃{～～光}									
s	[1]星心升惺猩身申伸紳娠昇陞薪新聲=勝{又}辛莘呻=腥芯[2]□{一種動物}晨神=承盛{～水}乘尋成=誠城=辰繩蠅-丞臣[3]審瀋嬸醒=省{反～}哂沈									
