来源：	sainirwuu 整理录入
ʐ	［2］饶［3］桡扰绕［5］绕
k	［1］羔高糕［3］膏篙搞稿［5］告
kʰ	［3］考烤［5］犒靠
ŋ	［2］熬［3］祆［5］傲懊鍪奥拗
x	［1］蒿［2］毫豪嚎号壕耗{消～}［3］好［5］好号浩耗{～子：老鼠}
#iɯu
p	［1］彪标膘［3］表［5］鳔
pʰ	［1］漂飘［2］瓢嫖［5］漂票
m	［2］苗描矛-［3］秒渺藐［5］妙庙谬
t	［1］刁貂雕［5］吊钓调藋掉
tʰ	［1］挑{～针：用针扎手指的疗法}劁{～猪：阉割猪}［2］调条［3］挑{厾～：挑拨}［5］粜跳
n	［2］嫽{～得来来：觉得自己好看的样子。闹～嚂：弄得好}［3］鸟咬［5］尿
l	［1］撩{日～：形容人能耐大}［2］辽疗聊寥撩燎［3］了［5］尥料瞭
tɕ	［1］交郊娇浇骄胶椒焦蕉教［2］嚼=［3］侥狡绞铰搅剿缴［5］矫叫轿较教窖酵噍醮觉校
tɕʰ	［1］悄敲锹缲［2］乔侨荞桥瞧［3］巧［5］俏窍鞘翘=
ɕ	［1］宵消萧硝销箫霄嚣淆［2］学=［3］小晓［5］酵孝效校笑
Ø	［1］幺吆妖腰邀杳约={～摸：估计}舀要［2］尧肴姚窑谣摇［5］要鹞耀跃猺{黄～：黄鼠狼}
#ɤɯ
t	［1］兜［3］斗抖陡［5］豆斗痘
tʰ	［1］偷［2］头投［5］透
n	［1］努［2］奴［5］怒
l	［2］楼耧搂卢庐芦炉鸬［3］搂篓卤虏鲁橹［5］陋漏露赂路鹭
ts	［1］掫邹走［5］绉皱骤奏
tsʰ	［1］瞅［2］愁［5］凑=
s	［1］捜［3］馊飕叟［5］瘦嗽
tʂ	［1］州舟周洲粥-［2］轴［3］肘碡［5］纣咒宙昼
tʂʰ	［1］抽［2］仇绸稠筹酬［3］丑［5］臭
ʂ	［1］收［2］熟{煮～了}［3］手守首［5］寿受售授兽
ʐ	［2］柔揉［5］肉
k	［1］勾沟钩［3］狗苟［5］构购够
kʰ	［1］抠眍［3］口［5］叩扣寇
ŋ	［1］欧殴瓯［3］呕偶藕［5］怄沤
x	［2］侯喉猴瘊小{训读}［3］吼［5］后厚候
#iɤɯ
t	［1］丢［5］𠲍{代字，滚动。～砣：小孩子滚着轮胎玩}
n	［2］牛［3］扭纽
l	［1］绺{代字。圪～：弯曲。“恘”的分音词}㨨{代字。圪～：挠痒使人发笑（其他晋语此字为li阴平）}［2］刘流留琉硫馏榴牛{男阴}［3］柳［5］六溜碌
tɕ	［1］鬏纠究鸠阉揪蹴{圪～：蹲}［3］九久灸韭酒［5］旧臼咎柩救就舅鸠{咕咕～：斑鸠}
tɕʰ	［1］丘秋鳅［2］仇囚=求球［3］恘{背～转：手背过去}
ɕ	［1］休修羞［2］囚-咻{代字，～净：形容衣服清爽干净，或者院子清净}［3］朽［5］宿秀绣袖锈嗅
Ø	［1］优忧幽悠犹［2］尤由邮油游［3］友有酉［5］柚莠又右幼祐诱釉
#əŋ
p	［1］奔崩绷=［3］本［5］奔笨迸=蹦=锛坌
pʰ	［1］喷烹［2］盆朋彭棚=蓬篷膨硼□{一种面食做法。～面：焖面}［3］捧［5］碰
m	［1］懵［2］门萌盟蒙虻{瞎～：牛虻}［3］蒙猛［5］闷孟梦
f	［1］分纷芬丰风枫封疯［2］坟焚峰锋蜂冯逢缝［3］粉讽［5］分份奋忿愤粪缝凤奉俸
v	［1］温瘟［2］文纹闻蚊翁［3］刎吻稳［5］问璺瓮
t	［1］灯登［3］等［5］澄{河～泥：河滩的淤泥}邓凳瞪磴{圪～～：台阶}
tʰ	［1］腾吞［2］疼誊藤
n	［1］棱{立～～：形容挺拔}［2］能脓棱{～缘边边：高处边缘}［5］嫩
l	［1］愣{㞗～：傻大头}［2］棱［3］冷［5］愣
ts	［1］曾增榛臻争挣睁筝［5］憎锃赠缯
tsʰ	［1］岑撑={～大}［2］秦-{～始皇}层曾［3］碜[52]蹭衬
s	［1］森僧生牲笙甥［3］省［5］渗瘆
tʂ	［1］贞针侦珍真斟征蒸正今-{～年}［3］诊疹振拯整［5］枕阵镇震正证郑政症
tʂʰ	［1］称［2］尘臣沉辰=陈晨=丞成呈承诚城乘程澄橙娠盛撑={支～}［3］惩逞［5］称趁秤慎-
ʂ	［1］申伸身深升声晨-{早～}［2］辰-{时～}神窚{～不住你一阵阵：埋怨人坐不住}绳［3］沈审婶［5］圣葚=乘肾甚胜盛剩慎=
ʐ	［1］扔=仍［2］人{～家：住户}仁壬任［3］忍［5］刃认任韧
k	［1］根跟更={打～}更{～改}庚耕=羹［3］哽耿［5］更艮{雷翻～震：形容巨响}亘
kʰ	［1］坑=［3］肯垦恳啃［5］吭
ŋ	［1］恩
x	［2］痕亨恒横=衡［3］狠很恨-［5］恨=横哼撼-{用力摇动。～不动}
Ø	［2］人{～家：人称代词}
#iəŋ
p	［1］宾彬槟冰兵［3］丙秉柄饼禀壁{又读。照～：大门口的墙，往往写着“福”字}［5］殡鬓并病
